"Historical Prices Export"
"(MYTIL)"
""
"Ημερομηνία "," Τελευτ. Πράξη"," MID"," Αγορά"," Πώληση"," Όγκος"," Όγκος (μετοχές)"," Άνοιγμα"," Μέγιστη"," Ελάχιστη"
"10/05/2013","4.86","4.945","4.86","3.54","2558822.61","517444","5.05","5.11","4.86"
"09/05/2013","5.05","5.112","5.05","5.05","2849362.52","557413","5.13","5.25","5"
"08/05/2013","5.13","5.057","5.13","5.13","3132674.51","619539","4.85","5.18","4.85"
"02/05/2013","4.74","4.725","4.74","4.73","876489.18","185512","4.65","4.79","4.6"
"30/04/2013","4.7","4.659","4.7","3.27","851240.63","182707","4.64","4.79","4.57"
"29/04/2013","4.67","4.661","4.67","4.67","882934.08","189413","4.75","4.82","4.58"
"26/04/2013","4.75","4.823","4.75","4","1120881.13","232429","4.94","4.97","4.72"
"25/04/2013","4.94","4.839","4.97","4.94","1794202.86","370751","4.73","4.94","4.73"
"24/04/2013","4.68","4.688","4.68","4.68","625042.76","133316","4.64","4.72","4.63"
"23/04/2013","4.6","4.64","4.6","4.6","591374.34","127451","4.55","4.72","4.55"
"22/04/2013","4.62","4.639","4.62","4.62","1016912.24","219228","4.6","4.7","4.57"
"19/04/2013","4.54","4.682","4.54","4.54","828081.26","176878","4.8","4.83","4.54"
"18/04/2013","4.72","4.748","4.72","4.72","1151274.62","242468","4.64","4.82","4.63"
"17/04/2013","4.64","4.582","4.76","4.64","1106761.74","241574","4.5","4.68","4.48"
"16/04/2013","4.5","4.427","4.61","4.5","928268.67","209664","4.26","4.52","4.26"
"15/04/2013","4.3","4.371","4.3","4","1263930.26","289194","4.36","4.56","4.24"
"12/04/2013","4.4","4.345","4.44","4.4","969702.9","223175","4.45","4.47","4.25"
"11/04/2013","4.4","4.275","4.4","4.4","1564770.19","366027","4.2","4.4","4.12"
"10/04/2013","4.24","4.156","4.47","4.24","1479615.33","356005","4.05","4.24","4.05"
"09/04/2013","4.05","3.946","4.05","3.93","1881088.56","476749","3.73","4.1","3.7"
"08/04/2013","3.66","3.526","3.66","3.55","1496940.33","424587","3.51","3.7","3.38"
"05/04/2013","3.6","3.662","3.6","3.45","885218.37","241739","3.76","3.78","3.6"
"04/04/2013","3.76","3.751","3.76","3.76","989418.89","263770","3.68","3.83","3.65"
"03/04/2013","3.6","3.745","3.6","3.55","1252365.75","334374","3.83","3.87","3.6"
"02/04/2013","3.78","3.896","3.78","3.78","1574637.08","404161","4.16","4.16","3.76"
"28/03/2013","4.12","4.154","4.12","4.12","1063245.94","255976","4.09","4.29","3.98"
"27/03/2013","4.08","4.08","4.08","4.08","2127110.7","521347","4.2","4.31","3.88"
"26/03/2013","4.25","4.303","4.25","4","981542.7","228105","4.52","4.52","4.21"
"22/03/2013","4.52","4.491","4.52","4.41","927151.95","206457","4.4","4.63","4.31"
"21/03/2013","4.4","4.399","4.4","4.4","764146.45","173722","4.45","4.51","4.27"
"20/03/2013","4.36","4.434","4.36","4.36","927164.98","209110","4.36","4.56","4.3"
