Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.60,1.60,1.60,1.60,000,1.60
2013-05-22,1.60,1.60,1.60,1.60,000,1.60
2013-05-21,1.60,1.60,1.60,1.60,000,1.60
2013-05-20,1.60,1.60,1.60,1.60,000,1.60
2013-05-17,1.60,1.60,1.60,1.60,000,1.60
2013-05-16,1.60,1.60,1.60,1.60,000,1.60
2013-05-15,1.60,1.60,1.60,1.60,000,1.60
2013-05-14,1.60,1.60,1.60,1.60,000,1.60
2013-05-13,1.60,1.60,1.60,1.60,000,1.60
2013-05-10,1.60,1.60,1.60,1.60,000,1.60
2013-05-09,1.60,1.60,1.60,1.60,000,1.60
2013-05-08,1.60,1.60,1.60,1.60,000,1.60
2013-05-07,1.50,1.50,1.50,1.50,000,1.50
2013-05-06,1.50,1.50,1.50,1.50,000,1.50
2013-05-03,1.50,1.50,1.50,1.50,000,1.50
2013-05-02,1.50,1.50,1.50,1.50,000,1.50
2013-05-01,1.43,1.43,1.43,1.43,000,1.43
2013-04-30,1.43,1.43,1.43,1.43,000,1.43
2013-04-29,1.31,1.46,1.31,1.43,100,1.43
2013-04-26,1.30,1.30,1.30,1.30,000,1.30
2013-04-25,1.30,1.30,1.30,1.30,000,1.30
2013-04-24,1.30,1.30,1.30,1.30,000,1.30
2013-04-23,1.41,1.41,1.41,1.41,500,1.41
2013-04-22,1.36,1.36,1.36,1.36,300,1.36
2013-04-19,1.69,1.69,1.69,1.69,000,1.69
2013-04-18,1.69,1.69,1.69,1.69,000,1.69
2013-04-17,1.69,1.69,1.69,1.69,000,1.69
2013-04-16,1.69,1.69,1.69,1.69,000,1.69
2013-04-15,1.69,1.69,1.69,1.69,000,1.69
2013-04-12,1.69,1.69,1.69,1.69,000,1.69
2013-04-11,1.69,1.69,1.69,1.69,000,1.69
2013-04-10,1.69,1.69,1.69,1.69,000,1.69
2013-04-09,1.69,1.69,1.69,1.69,000,1.69
2013-04-08,1.69,1.69,1.69,1.69,000,1.69
2013-04-05,1.69,1.69,1.69,1.69,000,1.69
2013-04-04,1.69,1.69,1.69,1.69,000,1.69
2013-04-03,1.69,1.69,1.69,1.69,000,1.69
2013-04-02,1.69,1.69,1.69,1.69,000,1.69
2013-04-01,1.69,1.69,1.69,1.69,000,1.69
2013-03-29,1.69,1.69,1.69,1.69,000,1.69
2013-03-28,1.69,1.69,1.69,1.69,000,1.69
2013-03-27,1.69,1.69,1.69,1.69,000,1.69
2013-03-26,1.69,1.69,1.69,1.69,000,1.69
2013-03-25,1.69,1.69,1.69,1.69,000,1.69
