Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.15,0.15,0.14,0.15,49700,0.15
2013-05-22,0.16,0.16,0.14,0.15,18000,0.15
2013-05-21,0.16,0.16,0.16,0.16,95700,0.16
2013-05-20,0.15,0.17,0.15,0.16,192800,0.16
2013-05-17,0.14,0.15,0.14,0.14,102600,0.14
2013-05-16,0.13,0.14,0.13,0.13,70800,0.13
2013-05-15,0.13,0.13,0.12,0.13,40400,0.13
2013-05-14,0.12,0.12,0.12,0.12,14800,0.12
2013-05-13,0.12,0.12,0.12,0.12,12400,0.12
2013-05-10,0.12,0.12,0.12,0.12,21800,0.12
2013-05-09,0.12,0.12,0.12,0.12,29700,0.12
2013-05-08,0.11,0.12,0.11,0.12,14000,0.12
2013-05-07,0.12,0.12,0.12,0.12,000,0.12
2013-05-06,0.12,0.12,0.12,0.12,000,0.12
2013-05-03,0.12,0.12,0.12,0.12,000,0.12
2013-05-02,0.12,0.12,0.12,0.12,200,0.12
2013-05-01,0.12,0.12,0.12,0.12,000,0.12
2013-04-30,0.12,0.12,0.11,0.12,7000,0.12
2013-04-29,0.13,0.13,0.12,0.12,50000,0.12
2013-04-26,0.13,0.13,0.12,0.12,26900,0.12
2013-04-25,0.13,0.13,0.13,0.13,14500,0.13
2013-04-24,0.15,0.15,0.13,0.14,47600,0.14
2013-04-23,0.15,0.15,0.14,0.15,142900,0.15
2013-04-22,0.15,0.15,0.15,0.15,129400,0.15
2013-04-19,0.12,0.13,0.12,0.12,7800,0.12
2013-04-18,0.11,0.12,0.11,0.12,21400,0.12
2013-04-17,0.13,0.13,0.12,0.12,1700,0.12
2013-04-16,0.12,0.12,0.12,0.12,4200,0.12
2013-04-15,0.10,0.12,0.10,0.12,42600,0.12
2013-04-12,0.10,0.10,0.10,0.10,19500,0.10
2013-04-11,0.10,0.10,0.10,0.10,2500,0.10
2013-04-10,0.09,0.10,0.09,0.10,43700,0.10
2013-04-09,0.10,0.10,0.09,0.09,37100,0.09
2013-04-08,0.11,0.11,0.10,0.10,3500,0.10
2013-04-05,0.10,0.10,0.10,0.10,1100,0.10
2013-04-04,0.10,0.10,0.10,0.10,15400,0.10
2013-04-03,0.09,0.11,0.09,0.10,4100,0.10
2013-04-02,0.12,0.12,0.11,0.11,1900,0.11
2013-04-01,0.12,0.12,0.12,0.12,000,0.12
2013-03-29,0.12,0.12,0.12,0.12,000,0.12
2013-03-28,0.12,0.12,0.11,0.12,12400,0.12
2013-03-27,0.13,0.13,0.11,0.11,28900,0.11
2013-03-26,0.13,0.13,0.11,0.13,17900,0.13
2013-03-25,0.12,0.12,0.12,0.12,000,0.12
2013-03-22,0.10,0.12,0.10,0.12,6100,0.12
2013-03-21,0.11,0.11,0.11,0.11,18300,0.11
2013-03-20,0.09,0.09,0.09,0.09,22700,0.09
2013-03-19,0.10,0.10,0.10,0.10,46000,0.10
2013-03-18,0.10,0.10,0.10,0.10,000,0.10
2013-03-15,0.11,0.11,0.10,0.10,5000,0.10
2013-03-14,0.10,0.11,0.10,0.11,4600,0.11
2013-03-13,0.11,0.11,0.11,0.11,1800,0.11
2013-03-12,0.10,0.11,0.10,0.11,14200,0.11
2013-03-11,0.12,0.12,0.11,0.11,36200,0.11
2013-03-08,0.12,0.12,0.11,0.12,6600,0.12
2013-03-07,0.11,0.11,0.11,0.11,17100,0.11
2013-03-06,0.12,0.12,0.11,0.12,33300,0.12
2013-03-05,0.12,0.12,0.12,0.12,45300,0.12
2013-03-04,0.12,0.13,0.12,0.12,3000,0.12
2013-03-01,0.13,0.13,0.13,0.13,13600,0.13
2013-02-28,0.13,0.13,0.12,0.13,20400,0.13
2013-02-27,0.13,0.13,0.12,0.13,17500,0.13
2013-02-26,0.14,0.14,0.13,0.13,51300,0.13
2013-02-25,0.13,0.13,0.13,0.13,4100,0.13
2013-02-22,0.12,0.14,0.12,0.14,22100,0.14
2013-02-21,0.12,0.13,0.12,0.12,26500,0.12
