Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,2.63,2.70,2.63,2.69,5200,2.69
2013-05-22,2.60,2.75,2.60,2.75,4200,2.75
2013-05-21,2.65,2.80,2.65,2.75,9100,2.75
2013-05-20,2.76,2.81,2.55,2.76,12700,2.76
2013-05-17,2.65,2.85,2.65,2.76,13900,2.76
2013-05-16,2.86,2.86,2.68,2.85,12600,2.85
2013-05-15,2.80,2.85,2.72,2.81,62200,2.81
2013-05-14,2.69,2.80,2.60,2.72,17500,2.72
2013-05-13,2.55,2.80,2.50,2.76,28700,2.76
2013-05-10,2.48,2.58,2.48,2.55,31500,2.55
2013-05-09,2.45,2.55,2.41,2.53,19200,2.53
2013-05-08,2.40,2.55,2.40,2.45,1800,2.45
2013-05-07,2.38,2.38,2.38,2.38,000,2.38
2013-05-06,2.38,2.38,2.38,2.38,000,2.38
2013-05-03,2.38,2.38,2.38,2.38,000,2.38
2013-05-02,2.33,2.42,2.33,2.38,900,2.38
2013-05-01,2.40,2.40,2.40,2.40,000,2.40
2013-04-30,2.32,2.42,2.32,2.40,9000,2.40
2013-04-29,2.33,2.40,2.33,2.37,7800,2.37
2013-04-26,2.36,2.42,2.35,2.36,1700,2.36
2013-04-25,2.33,2.42,2.33,2.42,7100,2.42
2013-04-24,2.30,2.40,2.29,2.36,34800,2.36
2013-04-23,2.38,2.41,2.30,2.35,19100,2.35
2013-04-22,2.36,2.39,2.30,2.38,14400,2.38
2013-04-19,2.40,2.43,2.39,2.43,5600,2.43
2013-04-18,2.43,2.43,2.40,2.43,4900,2.43
2013-04-17,2.31,2.46,2.31,2.43,18400,2.43
2013-04-16,2.31,2.38,2.29,2.38,14800,2.38
2013-04-15,2.42,2.42,2.37,2.38,6600,2.38
2013-04-12,2.44,2.49,2.43,2.44,4900,2.44
2013-04-11,2.41,2.49,2.41,2.49,2700,2.49
2013-04-10,2.40,2.50,2.40,2.46,12100,2.46
2013-04-09,2.36,2.45,2.35,2.43,4800,2.43
2013-04-08,2.39,2.41,2.32,2.39,7700,2.39
2013-04-05,2.43,2.45,2.39,2.40,7400,2.40
2013-04-04,2.48,2.49,2.43,2.45,1500,2.45
2013-04-03,2.42,2.50,2.42,2.48,6600,2.48
2013-04-02,2.43,2.50,2.39,2.46,17300,2.46
2013-04-01,2.50,2.50,2.50,2.50,000,2.50
2013-03-29,2.50,2.50,2.50,2.50,000,2.50
2013-03-28,2.41,2.50,2.41,2.50,10800,2.50
2013-03-27,2.55,2.55,2.40,2.49,8100,2.49
2013-03-26,2.42,2.55,2.36,2.55,21800,2.55
2013-03-25,2.46,2.46,2.46,2.46,000,2.46
2013-03-22,2.45,2.55,2.43,2.46,2600,2.46
2013-03-21,2.56,2.56,2.45,2.53,10600,2.53
2013-03-20,2.44,2.55,2.39,2.53,12500,2.53
2013-03-19,2.53,2.59,2.46,2.50,16900,2.50
2013-03-18,2.58,2.58,2.58,2.58,000,2.58
2013-03-15,2.63,2.68,2.55,2.58,4600,2.58
2013-03-14,2.58,2.70,2.52,2.63,10700,2.63
2013-03-13,2.50,2.65,2.50,2.58,17200,2.58
2013-03-12,2.49,2.58,2.47,2.55,33300,2.55
2013-03-11,2.51,2.56,2.48,2.54,8500,2.54
2013-03-08,2.53,2.57,2.52,2.56,15500,2.56
2013-03-07,2.48,2.61,2.48,2.56,34100,2.56
2013-03-06,2.44,2.55,2.42,2.50,14500,2.50
2013-03-05,2.55,2.62,2.51,2.51,6100,2.51
2013-03-04,2.63,2.65,2.54,2.63,11600,2.63
2013-03-01,2.74,2.80,2.66,2.70,45300,2.70
2013-02-28,2.52,2.74,2.50,2.74,32300,2.74
2013-02-27,2.36,2.50,2.36,2.50,6200,2.50
2013-02-26,2.36,2.45,2.35,2.45,7800,2.45
2013-02-25,2.35,2.45,2.35,2.44,23500,2.44
2013-02-22,2.47,2.50,2.40,2.41,9900,2.41
2013-02-21,2.60,2.60,2.47,2.47,45700,2.47
2013-02-20,2.60,2.64,2.53,2.60,22600,2.60
2013-02-19,2.52,2.62,2.51,2.60,7100,2.60
2013-02-18,2.55,2.63,2.53,2.63,3100,2.63
2013-02-15,2.60,2.62,2.49,2.62,9500,2.62
2013-02-14,2.53,2.64,2.53,2.57,16500,2.57
2013-02-13,2.54,2.57,2.49,2.57,32100,2.57
2013-02-12,2.41,2.52,2.41,2.49,39300,2.49
2013-02-11,2.43,2.47,2.40,2.40,23400,2.40
2013-02-08,2.40,2.48,2.38,2.48,27400,2.48
2013-02-07,2.32,2.42,2.32,2.40,16000,2.40
2013-02-06,2.33,2.42,2.32,2.40,21000,2.40
2013-02-05,2.30,2.40,2.30,2.39,11900,2.39
2013-02-04,2.29,2.38,2.28,2.37,7800,2.37
2013-02-01,2.30,2.36,2.27,2.36,8200,2.36
2013-01-31,2.32,2.36,2.25,2.34,13400,2.34
2013-01-30,2.43,2.50,2.39,2.39,6700,2.39
2013-01-29,2.39,2.59,2.39,2.48,47000,2.48
2013-01-28,2.32,2.50,2.25,2.49,57400,2.49
2013-01-25,2.08,2.26,2.08,2.26,8100,2.26
2013-01-24,2.16,2.26,2.14,2.18,14800,2.18
2013-01-23,2.23,2.32,2.18,2.22,36300,2.22
2013-01-22,2.28,2.30,2.20,2.29,16400,2.29
2013-01-21,2.29,2.34,2.20,2.28,10800,2.28
2013-01-18,2.05,2.28,2.00,2.28,28800,2.28
2013-01-17,2.03,2.10,2.02,2.08,3300,2.08
2013-01-16,1.98,2.09,1.98,2.07,4200,2.07
2013-01-15,2.08,2.08,2.00,2.05,6700,2.05
2013-01-14,2.15,2.18,2.11,2.15,7400,2.15
2013-01-11,2.10,2.15,2.10,2.15,3600,2.15
2013-01-10,2.15,2.21,2.12,2.15,12400,2.15
2013-01-09,2.08,2.19,2.07,2.19,7700,2.19
