Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.16,1.16,1.16,1.16,000,1.16
2013-05-22,1.11,1.16,1.10,1.16,4000,1.16
2013-05-21,1.15,1.15,1.10,1.12,2700,1.12
2013-05-20,1.17,1.17,1.15,1.16,2100,1.16
2013-05-17,1.08,1.16,1.08,1.16,4500,1.16
2013-05-16,1.11,1.11,1.08,1.08,1200,1.08
2013-05-15,1.08,1.12,1.08,1.11,6900,1.11
2013-05-14,1.08,1.09,1.04,1.05,2100,1.05
2013-05-13,1.04,1.06,1.04,1.06,3000,1.06
2013-05-10,1.04,1.04,1.04,1.04,500,1.04
2013-05-09,1.07,1.07,1.03,1.03,2700,1.03
2013-05-08,1.01,1.07,1.01,1.06,3100,1.06
2013-05-07,1.06,1.06,1.06,1.06,000,1.06
2013-05-06,1.06,1.06,1.06,1.06,000,1.06
2013-05-03,1.06,1.06,1.06,1.06,000,1.06
2013-05-02,0.96,1.06,0.96,1.06,8300,1.06
2013-05-01,1.03,1.03,1.03,1.03,000,1.03
2013-04-30,1.03,1.03,1.03,1.03,000,1.03
2013-04-29,1.03,1.03,1.03,1.03,000,1.03
2013-04-26,1.00,1.00,1.00,1.00,1500,1.00
2013-04-25,1.03,1.03,0.96,0.99,4500,0.99
2013-04-24,1.03,1.03,0.96,1.00,1000,1.00
2013-04-23,0.99,0.99,0.99,0.99,500,0.99
2013-04-22,0.98,0.99,0.98,0.99,700,0.99
2013-04-19,1.03,1.03,0.97,0.97,1100,0.97
2013-04-18,0.94,1.00,0.94,1.00,3300,1.00
2013-04-17,0.93,1.00,0.93,1.00,700,1.00
2013-04-16,0.93,1.00,0.93,0.95,1100,0.95
2013-04-15,0.95,1.00,0.95,1.00,2100,1.00
2013-04-12,1.02,1.02,1.02,1.02,400,1.02
2013-04-11,0.99,0.99,0.98,0.99,100,0.99
2013-04-10,0.90,0.98,0.90,0.98,1700,0.98
2013-04-09,0.99,0.99,0.99,0.99,000,0.99
2013-04-08,0.99,0.99,0.99,0.99,000,0.99
2013-04-05,0.99,0.99,0.99,0.99,000,0.99
2013-04-04,0.99,0.99,0.99,0.99,000,0.99
2013-04-03,0.99,0.99,0.99,0.99,000,0.99
2013-04-02,0.99,0.99,0.99,0.99,000,0.99
2013-04-01,0.99,0.99,0.99,0.99,000,0.99
2013-03-29,0.99,0.99,0.99,0.99,000,0.99
2013-03-28,1.01,1.01,0.96,0.99,900,0.99
2013-03-27,0.94,0.98,0.94,0.98,100,0.98
2013-03-26,1.00,1.00,1.00,1.00,000,1.00
2013-03-25,1.00,1.00,1.00,1.00,000,1.00
2013-03-22,1.02,1.02,0.90,1.00,200,1.00
2013-03-21,0.91,1.00,0.91,1.00,1000,1.00
2013-03-20,1.01,1.01,0.97,0.98,500,0.98
2013-03-19,0.95,1.00,0.95,0.98,600,0.98
2013-03-18,1.03,1.03,1.03,1.03,000,1.03
2013-03-15,1.03,1.03,1.03,1.03,000,1.03
2013-03-14,1.03,1.03,1.03,1.03,000,1.03
2013-03-13,1.02,1.02,1.02,1.02,000,1.02
2013-03-12,0.93,1.02,0.93,1.02,1600,1.02
2013-03-11,1.03,1.03,1.03,1.03,000,1.03
2013-03-08,1.03,1.03,1.02,1.03,1000,1.03
2013-03-07,0.94,1.02,0.94,1.02,500,1.02
2013-03-06,1.03,1.03,1.03,1.03,000,1.03
2013-03-05,1.01,1.03,1.00,1.03,2000,1.03
2013-03-04,1.03,1.03,1.03,1.03,000,1.03
2013-03-01,1.05,1.05,1.00,1.03,3700,1.03
2013-02-28,1.05,1.07,1.02,1.05,3600,1.05
2013-02-27,1.01,1.09,1.01,1.05,7300,1.05
2013-02-26,1.05,1.07,1.03,1.06,1000,1.06
2013-02-25,1.09,1.09,1.09,1.09,000,1.09
2013-02-22,1.05,1.10,1.02,1.09,6600,1.09
2013-02-21,1.07,1.09,1.01,1.09,5200,1.09
2013-02-20,1.10,1.10,1.07,1.07,700,1.07
2013-02-19,1.10,1.10,1.10,1.10,1000,1.10
2013-02-18,1.10,1.10,1.10,1.10,1000,1.10
2013-02-15,1.10,1.10,1.10,1.10,000,1.10
2013-02-14,1.06,1.10,1.06,1.10,200,1.10
2013-02-13,1.09,1.09,1.09,1.09,000,1.09
2013-02-12,1.09,1.10,1.06,1.09,6300,1.09
