Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.30,0.30,0.29,0.29,200,0.29
2013-05-22,0.28,0.30,0.28,0.29,100,0.29
2013-05-21,0.22,0.31,0.22,0.28,100,0.28
2013-05-20,0.23,0.25,0.23,0.25,100,0.25
2013-05-17,0.24,0.25,0.24,0.25,000,0.25
2013-05-16,0.21,0.27,0.21,0.27,000,0.27
2013-05-15,0.25,0.34,0.25,0.29,1000,0.29
2013-05-14,0.25,0.26,0.25,0.26,100,0.26
2013-05-13,0.25,0.26,0.25,0.26,100,0.26
2013-05-10,0.25,0.39,0.25,0.28,100,0.28
2013-05-09,0.27,0.38,0.27,0.30,000,0.30
2013-05-08,0.25,0.37,0.25,0.29,100,0.29
2013-05-07,0.28,0.28,0.28,0.28,000,0.28
2013-05-06,0.28,0.28,0.28,0.28,000,0.28
2013-05-03,0.28,0.28,0.28,0.28,000,0.28
2013-05-02,0.28,0.28,0.28,0.28,000,0.28
2013-05-01,0.31,0.31,0.31,0.31,000,0.31
2013-04-30,0.31,0.32,0.28,0.31,12100,0.31
2013-04-29,0.31,0.31,0.31,0.31,000,0.31
2013-04-26,0.29,0.31,0.26,0.31,2300,0.31
2013-04-25,0.28,0.29,0.28,0.29,000,0.29
2013-04-24,0.28,0.28,0.28,0.28,000,0.28
2013-04-23,0.28,0.28,0.28,0.28,200,0.28
2013-04-22,0.31,0.31,0.31,0.31,000,0.31
2013-04-19,0.31,0.34,0.31,0.34,5200,0.34
2013-04-18,0.30,0.31,0.30,0.31,4400,0.31
2013-04-17,0.30,0.30,0.30,0.30,100,0.30
2013-04-16,0.29,0.29,0.29,0.29,300,0.29
2013-04-15,0.32,0.32,0.32,0.32,100,0.32
2013-04-12,0.36,0.36,0.36,0.36,000,0.36
2013-04-11,0.32,0.36,0.32,0.36,2500,0.36
2013-04-10,0.36,0.36,0.36,0.36,2800,0.36
2013-04-09,0.40,0.40,0.40,0.40,000,0.40
2013-04-08,0.40,0.40,0.40,0.40,000,0.40
2013-04-05,0.40,0.40,0.40,0.40,000,0.40
2013-04-04,0.40,0.40,0.40,0.40,000,0.40
2013-04-03,0.40,0.40,0.40,0.40,000,0.40
2013-04-02,0.40,0.40,0.40,0.40,000,0.40
2013-04-01,0.40,0.40,0.40,0.40,000,0.40
2013-03-29,0.40,0.40,0.40,0.40,000,0.40
2013-03-28,0.40,0.40,0.40,0.40,000,0.40
2013-03-27,0.44,0.44,0.44,0.44,000,0.44
2013-03-26,0.44,0.44,0.44,0.44,000,0.44
2013-03-25,0.44,0.44,0.44,0.44,000,0.44
2013-03-22,0.44,0.44,0.44,0.44,000,0.44
2013-03-21,0.44,0.44,0.44,0.44,000,0.44
2013-03-20,0.44,0.44,0.44,0.44,000,0.44
2013-03-19,0.44,0.44,0.44,0.44,000,0.44
2013-03-18,0.44,0.44,0.44,0.44,000,0.44
2013-03-15,0.44,0.44,0.44,0.44,000,0.44
2013-03-14,0.44,0.44,0.44,0.44,000,0.44
2013-03-13,0.38,0.44,0.38,0.44,300,0.44
2013-03-12,0.43,0.43,0.43,0.43,000,0.43
2013-03-11,0.35,0.43,0.35,0.43,100,0.43
2013-03-08,0.39,0.39,0.39,0.39,100,0.39
2013-03-07,0.43,0.43,0.43,0.43,000,0.43
2013-03-06,0.39,0.43,0.39,0.43,700,0.43
2013-03-05,0.43,0.43,0.39,0.39,800,0.39
2013-03-04,0.43,0.43,0.43,0.43,000,0.43
2013-03-01,0.39,0.39,0.39,0.39,000,0.39
2013-02-28,0.43,0.43,0.43,0.43,000,0.43
2013-02-27,0.43,0.43,0.43,0.43,000,0.43
2013-02-26,0.43,0.43,0.43,0.43,000,0.43
2013-02-25,0.43,0.43,0.43,0.43,000,0.43
2013-02-22,0.43,0.43,0.43,0.43,000,0.43
2013-02-21,0.43,0.43,0.43,0.43,000,0.43
2013-02-20,0.43,0.43,0.43,0.43,000,0.43
2013-02-19,0.35,0.43,0.35,0.43,300,0.43
2013-02-18,0.39,0.39,0.39,0.39,000,0.39
2013-02-15,0.42,0.42,0.42,0.42,000,0.42
2013-02-14,0.38,0.42,0.38,0.42,300,0.42
2013-02-13,0.34,0.38,0.32,0.38,400,0.38
2013-02-12,0.35,0.35,0.35,0.35,100,0.35
2013-02-11,0.39,0.39,0.39,0.39,000,0.39
2013-02-08,0.42,0.43,0.42,0.43,000,0.43
2013-02-07,0.47,0.47,0.47,0.47,000,0.47
2013-02-06,0.43,0.52,0.43,0.52,1100,0.52
2013-02-05,0.47,0.47,0.47,0.47,000,0.47
2013-02-04,0.47,0.47,0.47,0.47,000,0.47
2013-02-01,0.47,0.47,0.47,0.47,000,0.47
2013-01-31,0.39,0.47,0.39,0.47,400,0.47
2013-01-30,0.43,0.43,0.43,0.43,000,0.43
2013-01-29,0.44,0.44,0.44,0.44,000,0.44
2013-01-28,0.40,0.44,0.40,0.44,300,0.44
2013-01-25,0.44,0.44,0.44,0.44,000,0.44
2013-01-24,0.36,0.44,0.36,0.44,1300,0.44
2013-01-23,0.33,0.40,0.33,0.40,600,0.40
2013-01-22,0.40,0.40,0.37,0.37,600,0.37
2013-01-21,0.41,0.41,0.41,0.41,000,0.41
2013-01-18,0.41,0.41,0.41,0.41,000,0.41
2013-01-17,0.41,0.41,0.41,0.41,000,0.41
2013-01-16,0.39,0.43,0.39,0.43,700,0.43
2013-01-15,0.39,0.39,0.39,0.39,000,0.39
2013-01-14,0.41,0.42,0.41,0.41,2400,0.41
2013-01-11,0.34,0.39,0.34,0.39,100,0.39
2013-01-10,0.36,0.36,0.30,0.35,2200,0.35
2013-01-09,0.30,0.33,0.30,0.33,200,0.33
2013-01-08,0.30,0.30,0.30,0.30,000,0.30
2013-01-07,0.30,0.30,0.30,0.30,000,0.30
2013-01-04,0.29,0.31,0.29,0.31,000,0.31
2013-01-03,0.29,0.29,0.29,0.29,000,0.29
2013-01-02,0.29,0.29,0.29,0.29,000,0.29
2013-01-01,0.29,0.29,0.29,0.29,000,0.29
2012-12-31,0.29,0.29,0.29,0.29,000,0.29
2012-12-28,0.29,0.29,0.29,0.29,000,0.29
2012-12-27,0.29,0.29,0.29,0.29,000,0.29
2012-12-26,0.29,0.29,0.29,0.29,000,0.29
2012-12-25,0.29,0.29,0.29,0.29,000,0.29
2012-12-24,0.29,0.29,0.29,0.29,000,0.29
2012-12-21,0.29,0.29,0.29,0.29,000,0.29
2012-12-20,0.28,0.29,0.28,0.29,000,0.29
2012-12-19,0.28,0.28,0.28,0.28,000,0.28
2012-12-18,0.28,0.28,0.28,0.28,000,0.28
2012-12-17,0.28,0.28,0.28,0.28,400,0.28
2012-12-14,0.28,0.28,0.28,0.28,000,0.28
2012-12-13,0.28,0.28,0.28,0.28,000,0.28
2012-12-12,0.28,0.28,0.27,0.28,2900,0.28
2012-12-11,0.28,0.28,0.28,0.28,000,0.28
2012-12-10,0.28,0.28,0.28,0.28,000,0.28
2012-12-07,0.28,0.28,0.28,0.28,000,0.28
2012-12-06,0.28,0.28,0.28,0.28,000,0.28
2012-12-05,0.27,0.27,0.27,0.27,000,0.27
2012-12-04,0.27,0.27,0.27,0.27,000,0.27
2012-12-03,0.27,0.27,0.27,0.27,000,0.27
2012-11-30,0.27,0.27,0.27,0.27,000,0.27
2012-11-29,0.27,0.27,0.27,0.27,000,0.27
2012-11-28,0.27,0.27,0.27,0.27,000,0.27
2012-11-27,0.26,0.26,0.26,0.26,000,0.26
2012-11-26,0.26,0.26,0.26,0.26,000,0.26
2012-11-23,0.26,0.26,0.26,0.26,000,0.26
2012-11-22,0.26,0.26,0.26,0.26,000,0.26
2012-11-21,0.26,0.26,0.26,0.26,000,0.26
2012-11-20,0.26,0.26,0.26,0.26,000,0.26
2012-11-19,0.26,0.26,0.26,0.26,000,0.26
2012-11-16,0.25,0.26,0.25,0.26,1700,0.26
2012-11-15,0.25,0.25,0.25,0.25,000,0.25
2012-11-14,0.25,0.25,0.25,0.25,000,0.25
2012-11-13,0.25,0.25,0.25,0.25,3200,0.25
2012-11-12,0.25,0.25,0.25,0.25,100,0.25
2012-11-09,0.25,0.25,0.25,0.25,000,0.25
2012-11-08,0.25,0.25,0.25,0.25,000,0.25
2012-11-07,0.26,0.26,0.26,0.26,000,0.26
2012-11-06,0.26,0.26,0.26,0.26,000,0.26
2012-11-05,0.26,0.26,0.26,0.26,000,0.26
2012-11-02,0.26,0.26,0.26,0.26,000,0.26
2012-11-01,0.25,0.27,0.25,0.26,2100,0.26
2012-10-31,0.25,0.25,0.25,0.25,000,0.25
2012-10-30,0.25,0.25,0.25,0.25,000,0.25
2012-10-29,0.25,0.25,0.25,0.25,000,0.25
2012-10-26,0.24,0.24,0.24,0.24,000,0.24
2012-10-25,0.24,0.24,0.24,0.24,200,0.24
2012-10-24,0.23,0.23,0.23,0.23,000,0.23
2012-10-23,0.21,0.23,0.21,0.23,000,0.23
2012-10-22,0.24,0.24,0.24,0.24,000,0.24
2012-10-19,0.24,0.24,0.24,0.24,2200,0.24
2012-10-18,0.24,0.24,0.24,0.24,000,0.24
2012-10-17,0.24,0.24,0.24,0.24,000,0.24
2012-10-16,0.24,0.24,0.24,0.24,000,0.24
2012-10-15,0.24,0.24,0.24,0.24,000,0.24
2012-10-12,0.23,0.23,0.23,0.23,000,0.23
2012-10-11,0.23,0.23,0.23,0.23,000,0.23
2012-10-10,0.23,0.23,0.23,0.23,000,0.23
2012-10-09,0.23,0.23,0.23,0.23,1700,0.23
2012-10-08,0.22,0.22,0.22,0.22,000,0.22
2012-10-05,0.18,0.22,0.18,0.22,3000,0.22
2012-10-04,0.18,0.20,0.18,0.20,1000,0.20
2012-10-03,0.19,0.19,0.19,0.19,000,0.19
2012-10-02,0.19,0.19,0.19,0.19,000,0.19
2012-10-01,0.19,0.19,0.19,0.19,000,0.19
2012-09-28,0.19,0.19,0.19,0.19,600,0.19
2012-09-27,0.24,0.24,0.22,0.22,100,0.22
2012-09-26,0.24,0.24,0.24,0.24,000,0.24
2012-09-25,0.25,0.25,0.25,0.25,000,0.25
2012-09-24,0.25,0.25,0.25,0.25,000,0.25
2012-09-21,0.25,0.25,0.25,0.25,1500,0.25
2012-09-20,0.25,0.25,0.25,0.25,000,0.25
2012-09-19,0.24,0.24,0.24,0.24,000,0.24
2012-09-18,0.23,0.23,0.23,0.23,000,0.23
2012-09-17,0.23,0.23,0.23,0.23,000,0.23
2012-09-14,0.23,0.23,0.23,0.23,000,0.23
2012-09-13,0.21,0.21,0.21,0.21,000,0.21
2012-09-12,0.21,0.21,0.21,0.21,300,0.21
2012-09-11,0.21,0.21,0.21,0.21,300,0.21
2012-09-10,0.19,0.19,0.19,0.19,000,0.19
2012-09-07,0.17,0.17,0.17,0.17,000,0.17
2012-09-06,0.16,0.16,0.16,0.16,000,0.16
2012-09-05,0.18,0.18,0.18,0.18,000,0.18
2012-09-04,0.18,0.18,0.18,0.18,000,0.18
2012-09-03,0.19,0.19,0.19,0.19,000,0.19
2012-08-31,0.19,0.19,0.19,0.19,000,0.19
2012-08-30,0.19,0.19,0.19,0.19,000,0.19
2012-08-29,0.19,0.19,0.19,0.19,000,0.19
2012-08-28,0.19,0.19,0.19,0.19,1900,0.19
2012-08-27,0.18,0.18,0.18,0.18,000,0.18
2012-08-24,0.18,0.18,0.18,0.18,100,0.18
2012-08-23,0.18,0.18,0.18,0.18,000,0.18
2012-08-22,0.18,0.18,0.18,0.18,000,0.18
