Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.59,0.59,0.55,0.55,1300,0.55
2013-05-22,0.64,0.64,0.64,0.64,000,0.64
2013-05-21,0.65,0.65,0.56,0.57,2500,0.57
2013-05-20,0.65,0.68,0.65,0.68,200,0.68
2013-05-17,0.64,0.74,0.64,0.72,2400,0.72
2013-05-16,0.60,0.77,0.60,0.76,37500,0.76
2013-05-15,0.68,0.68,0.65,0.67,30800,0.67
2013-05-14,0.45,0.68,0.45,0.68,42500,0.68
2013-05-13,0.50,0.60,0.50,0.58,4800,0.58
2013-05-10,0.48,0.52,0.48,0.52,700,0.52
2013-05-09,0.50,0.55,0.50,0.55,300,0.55
2013-05-08,0.47,0.51,0.47,0.51,12200,0.51
2013-05-07,0.47,0.47,0.47,0.47,000,0.47
2013-05-06,0.47,0.47,0.47,0.47,000,0.47
2013-05-03,0.47,0.47,0.47,0.47,000,0.47
2013-05-02,0.43,0.48,0.43,0.47,12100,0.47
2013-05-01,0.43,0.43,0.43,0.43,000,0.43
2013-04-30,0.42,0.45,0.42,0.43,9400,0.43
2013-04-29,0.45,0.45,0.45,0.45,000,0.45
2013-04-26,0.37,0.48,0.37,0.45,7300,0.45
2013-04-25,0.43,0.45,0.40,0.44,19700,0.44
2013-04-24,0.43,0.43,0.39,0.42,500,0.42
2013-04-23,0.40,0.43,0.38,0.40,7500,0.40
2013-04-22,0.38,0.41,0.38,0.40,3500,0.40
2013-04-19,0.40,0.41,0.40,0.41,400,0.41
2013-04-18,0.40,0.41,0.40,0.40,1800,0.40
2013-04-17,0.35,0.41,0.35,0.41,2000,0.41
2013-04-16,0.33,0.42,0.33,0.42,700,0.42
2013-04-15,0.43,0.43,0.40,0.40,000,0.40
2013-04-12,0.34,0.39,0.34,0.39,200,0.39
2013-04-11,0.39,0.39,0.34,0.34,000,0.34
2013-04-10,0.35,0.39,0.35,0.37,2900,0.37
2013-04-09,0.38,0.39,0.38,0.39,2800,0.39
2013-04-08,0.30,0.39,0.30,0.39,700,0.39
2013-04-05,0.32,0.40,0.32,0.40,200,0.40
2013-04-04,0.38,0.38,0.38,0.38,500,0.38
2013-04-03,0.33,0.41,0.33,0.41,100,0.41
2013-04-02,0.39,0.39,0.39,0.39,000,0.39
2013-04-01,0.39,0.39,0.39,0.39,000,0.39
2013-03-29,0.39,0.39,0.39,0.39,000,0.39
2013-03-28,0.41,0.41,0.38,0.39,1500,0.39
2013-03-27,0.41,0.41,0.41,0.41,000,0.41
2013-03-26,0.41,0.41,0.41,0.41,000,0.41
2013-03-25,0.41,0.41,0.41,0.41,000,0.41
2013-03-22,0.41,0.41,0.41,0.41,12000,0.41
2013-03-21,0.40,0.46,0.40,0.46,14400,0.46
2013-03-20,0.39,0.42,0.39,0.42,100,0.42
2013-03-19,0.39,0.50,0.39,0.44,2700,0.44
2013-03-18,0.47,0.47,0.47,0.47,000,0.47
2013-03-15,0.53,0.53,0.46,0.47,6900,0.47
2013-03-14,0.48,0.53,0.48,0.52,100,0.52
2013-03-13,0.54,0.55,0.48,0.51,2500,0.51
2013-03-12,0.50,0.53,0.48,0.53,2900,0.53
2013-03-11,0.57,0.57,0.49,0.50,6400,0.50
2013-03-08,0.55,0.55,0.55,0.55,000,0.55
2013-03-07,0.54,0.54,0.50,0.51,3400,0.51
2013-03-06,0.53,0.56,0.50,0.51,3100,0.51
2013-03-05,0.50,0.56,0.50,0.53,10000,0.53
2013-03-04,0.49,0.57,0.49,0.56,700,0.56
2013-03-01,0.50,0.58,0.50,0.58,6200,0.58
2013-02-28,0.57,0.58,0.52,0.56,900,0.56
2013-02-27,0.51,0.60,0.51,0.57,2200,0.57
2013-02-26,0.52,0.58,0.52,0.55,8600,0.55
2013-02-25,0.52,0.58,0.52,0.58,1000,0.58
2013-02-22,0.51,0.60,0.51,0.60,3300,0.60
2013-02-21,0.62,0.63,0.55,0.60,13700,0.60
2013-02-20,0.53,0.60,0.53,0.60,4600,0.60
2013-02-19,0.53,0.58,0.53,0.58,1700,0.58
2013-02-18,0.54,0.60,0.54,0.58,2400,0.58
2013-02-15,0.63,0.63,0.57,0.58,5200,0.58
2013-02-14,0.55,0.63,0.55,0.58,5000,0.58
2013-02-13,0.61,0.63,0.61,0.62,2000,0.62
2013-02-12,0.68,0.68,0.57,0.61,76300,0.61
2013-02-11,0.72,0.77,0.57,0.62,38700,0.62
2013-02-08,0.73,0.77,0.71,0.72,47500,0.72
2013-02-07,0.58,0.69,0.57,0.69,25600,0.69
2013-02-06,0.54,0.60,0.54,0.56,16300,0.56
2013-02-05,0.55,0.58,0.50,0.52,39200,0.52
2013-02-04,0.56,0.60,0.40,0.53,92800,0.53
2013-02-01,0.65,0.65,0.53,0.55,25600,0.55
2013-01-31,0.64,0.64,0.54,0.63,31600,0.63
2013-01-30,0.79,0.79,0.67,0.69,30700,0.69
2013-01-29,0.73,0.79,0.71,0.77,12500,0.77
2013-01-28,0.83,0.87,0.75,0.75,21900,0.75
2013-01-25,0.82,0.86,0.67,0.85,34000,0.85
2013-01-24,0.74,0.81,0.74,0.80,810800,0.80
