Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.65,0.65,0.61,0.62,3200,0.62
2013-05-22,0.65,0.65,0.62,0.63,5100,0.63
2013-05-21,0.66,0.66,0.61,0.63,8500,0.63
2013-05-20,0.70,0.70,0.62,0.66,12200,0.66
2013-05-17,0.69,0.69,0.62,0.68,22600,0.68
2013-05-16,0.65,0.69,0.65,0.67,30700,0.67
2013-05-15,0.56,0.65,0.56,0.65,50300,0.65
2013-05-14,0.48,0.60,0.48,0.55,72200,0.55
2013-05-13,0.51,0.51,0.47,0.48,18000,0.48
2013-05-10,0.51,0.51,0.49,0.50,3000,0.50
2013-05-09,0.50,0.51,0.49,0.50,5000,0.50
2013-05-08,0.50,0.50,0.47,0.50,11100,0.50
2013-05-07,0.49,0.49,0.49,0.49,000,0.49
2013-05-06,0.49,0.49,0.49,0.49,000,0.49
2013-05-03,0.49,0.49,0.49,0.49,000,0.49
2013-05-02,0.49,0.50,0.48,0.49,4000,0.49
2013-05-01,0.47,0.47,0.47,0.47,000,0.47
2013-04-30,0.51,0.51,0.46,0.47,1700,0.47
2013-04-29,0.52,0.52,0.48,0.49,400,0.49
2013-04-26,0.53,0.53,0.50,0.50,400,0.50
2013-04-25,0.50,0.51,0.48,0.51,3000,0.51
2013-04-24,0.49,0.49,0.48,0.49,2300,0.49
2013-04-23,0.49,0.49,0.47,0.48,2000,0.48
2013-04-22,0.49,0.50,0.45,0.48,2600,0.48
2013-04-19,0.49,0.49,0.48,0.49,500,0.49
2013-04-18,0.44,0.49,0.44,0.48,5900,0.48
2013-04-17,0.43,0.44,0.42,0.44,800,0.44
2013-04-16,0.43,0.43,0.40,0.43,2100,0.43
2013-04-15,0.41,0.42,0.40,0.42,3800,0.42
2013-04-12,0.42,0.42,0.41,0.41,5300,0.41
2013-04-11,0.42,0.42,0.37,0.40,11500,0.40
2013-04-10,0.41,0.41,0.39,0.40,3900,0.40
2013-04-09,0.38,0.39,0.37,0.39,9600,0.39
2013-04-08,0.40,0.40,0.36,0.36,4900,0.36
2013-04-05,0.43,0.43,0.38,0.38,1400,0.38
2013-04-04,0.41,0.41,0.40,0.41,600,0.41
2013-04-03,0.43,0.43,0.38,0.40,4400,0.40
2013-04-02,0.43,0.44,0.40,0.41,5600,0.41
2013-04-01,0.43,0.43,0.43,0.43,000,0.43
2013-03-29,0.43,0.43,0.43,0.43,000,0.43
