Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.56,0.57,0.55,0.55,10785700,0.55
2013-05-22,0.57,0.59,0.56,0.57,14390100,0.57
2013-05-21,0.56,0.57,0.55,0.56,13599300,0.56
2013-05-20,0.57,0.60,0.56,0.57,14758100,0.57
2013-05-17,0.63,0.67,0.57,0.57,28452800,0.57
2013-05-16,0.64,0.65,0.60,0.62,15037600,0.62
2013-05-15,0.62,0.65,0.59,0.63,21681600,0.63
2013-05-14,0.60,0.62,0.54,0.59,26388600,0.59
2013-05-13,0.56,0.70,0.56,0.62,34941500,0.62
2013-05-10,1.53,1.57,1.29,1.36,34801600,1.36
2013-05-09,1.39,1.60,1.38,1.54,14971200,1.54
2013-05-08,1.28,1.43,1.23,1.43,15882000,1.43
2013-05-07,1.15,1.15,1.15,1.15,000,1.15
2013-05-06,1.15,1.15,1.15,1.15,000,1.15
2013-05-03,1.15,1.15,1.15,1.15,000,1.15
2013-05-02,0.96,1.21,0.91,1.15,8009000,1.15
2013-05-01,0.96,0.96,0.96,0.96,000,0.96
2013-04-30,1.09,1.10,0.96,0.96,5697400,0.96
2013-04-29,1.20,1.24,1.10,1.10,5596300,1.10
2013-04-26,1.22,1.30,1.13,1.21,10262800,1.21
2013-04-25,1.04,1.20,1.03,1.18,8896400,1.18
2013-04-24,1.00,1.04,0.98,1.03,4360200,1.03
2013-04-23,0.98,1.00,0.90,0.98,6117000,0.98
2013-04-22,0.86,1.01,0.85,0.99,6251700,0.99
2013-04-19,0.78,0.84,0.77,0.83,6090800,0.83
2013-04-18,0.76,0.77,0.73,0.76,2374200,0.76
2013-04-17,0.74,0.78,0.74,0.75,3827100,0.75
2013-04-16,0.78,0.80,0.73,0.74,3502500,0.74
2013-04-15,0.80,0.88,0.76,0.81,3862600,0.81
2013-04-12,0.84,0.85,0.74,0.81,6548200,0.81
2013-04-11,0.77,0.84,0.73,0.81,7669200,0.81
2013-04-10,0.65,0.79,0.65,0.73,8229400,0.73
2013-04-09,0.62,0.68,0.60,0.64,4365200,0.64
2013-04-08,0.52,0.61,0.45,0.60,5133900,0.60
2013-04-05,0.62,0.62,0.57,0.57,2742300,0.57
2013-04-04,0.60,0.63,0.60,0.62,1328900,0.62
2013-04-03,0.66,0.66,0.60,0.62,2169100,0.62
2013-04-02,0.70,0.70,0.61,0.65,3938800,0.65
2013-04-01,0.71,0.71,0.71,0.71,000,0.71
2013-03-29,0.71,0.71,0.71,0.71,000,0.71
2013-03-28,0.71,0.72,0.68,0.71,1710500,0.71
2013-03-27,0.72,0.74,0.69,0.70,1634300,0.70
2013-03-26,0.76,0.76,0.69,0.73,1963200,0.73
2013-03-25,0.76,0.76,0.76,0.76,000,0.76
2013-03-22,0.73,0.79,0.71,0.76,3442000,0.76
2013-03-21,0.74,0.76,0.69,0.73,2275800,0.73
2013-03-20,0.68,0.75,0.68,0.74,3707300,0.74
2013-03-19,0.70,0.72,0.68,0.68,5080100,0.68
2013-03-18,0.75,0.75,0.75,0.75,000,0.75
2013-03-15,0.74,0.81,0.73,0.75,11056200,0.75
2013-03-14,0.80,0.80,0.73,0.74,5736300,0.74
2013-03-13,0.85,0.85,0.80,0.80,3895800,0.80
2013-03-12,0.87,0.88,0.83,0.85,2264300,0.85
2013-03-11,0.90,0.90,0.82,0.87,2836400,0.87
2013-03-08,0.84,0.88,0.81,0.87,3071800,0.87
2013-03-07,0.90,0.93,0.83,0.83,3520600,0.83
2013-03-06,0.88,0.91,0.81,0.90,5027500,0.90
2013-03-05,0.94,0.94,0.87,0.88,2639600,0.88
2013-03-04,0.97,0.97,0.90,0.91,3264800,0.91
2013-03-01,1.03,1.04,0.98,0.98,2472000,0.98
2013-02-28,1.01,1.07,1.00,1.02,3757900,1.02
2013-02-27,0.96,1.01,0.95,0.99,2976600,0.99
2013-02-26,0.94,0.97,0.91,0.93,4075400,0.93
2013-02-25,1.06,1.07,0.98,0.98,5673600,0.98
2013-02-22,1.12,1.13,1.05,1.05,3873900,1.05
2013-02-21,1.18,1.20,1.10,1.10,3834600,1.10
2013-02-20,1.21,1.23,1.18,1.20,2332100,1.20
2013-02-19,1.18,1.19,1.15,1.19,2595900,1.19
2013-02-18,1.21,1.23,1.16,1.16,2292100,1.16
2013-02-15,1.17,1.23,1.16,1.20,2809200,1.20
2013-02-14,1.20,1.23,1.16,1.18,3611500,1.18
2013-02-13,1.26,1.28,1.16,1.20,4348600,1.20
2013-02-12,1.25,1.31,1.24,1.26,1984900,1.26
2013-02-11,1.31,1.33,1.24,1.25,1976500,1.25
2013-02-08,1.39,1.42,1.32,1.32,2115100,1.32
2013-02-07,1.42,1.45,1.34,1.38,3655000,1.38
2013-02-06,1.34,1.44,1.33,1.42,4500600,1.42
2013-02-05,1.28,1.36,1.28,1.32,2547100,1.32
2013-02-04,1.25,1.32,1.23,1.29,2374500,1.29
2013-02-01,1.30,1.33,1.27,1.28,2210300,1.28
2013-01-31,1.30,1.30,1.25,1.27,1915300,1.27
2013-01-30,1.30,1.34,1.29,1.30,2191100,1.30
2013-01-29,1.33,1.34,1.28,1.29,2767100,1.29
2013-01-28,1.39,1.40,1.30,1.30,2375300,1.30
2013-01-25,1.33,1.38,1.28,1.37,4255300,1.37
2013-01-24,1.42,1.46,1.29,1.30,7428900,1.30
2013-01-23,1.34,1.40,1.31,1.40,7440300,1.40
2013-01-22,1.21,1.30,1.16,1.29,6854800,1.29
2013-01-21,1.24,1.25,1.13,1.16,7244900,1.16
2013-01-18,1.30,1.32,1.19,1.22,4835500,1.22
2013-01-17,1.31,1.35,1.27,1.28,2605400,1.28
2013-01-16,1.33,1.38,1.31,1.32,2757000,1.32
2013-01-15,1.33,1.39,1.27,1.28,4834300,1.28
2013-01-14,1.53,1.55,1.34,1.36,4017600,1.36
2013-01-11,1.53,1.58,1.48,1.55,3193400,1.55
2013-01-10,1.61,1.62,1.53,1.56,2630500,1.56
2013-01-09,1.64,1.66,1.58,1.61,2499200,1.61
2013-01-08,1.57,1.66,1.57,1.61,2464300,1.61
2013-01-07,1.67,1.67,1.59,1.59,2315300,1.59
2013-01-04,1.54,1.66,1.51,1.64,3773500,1.64
2013-01-03,1.50,1.54,1.45,1.50,2163000,1.50
2013-01-02,1.49,1.53,1.45,1.53,1707300,1.53
2013-01-01,1.46,1.46,1.46,1.46,000,1.46
2012-12-31,1.46,1.46,1.46,1.46,000,1.46
2012-12-28,1.52,1.57,1.44,1.46,2107500,1.46
2012-12-27,1.40,1.55,1.40,1.53,2389500,1.53
2012-12-26,1.37,1.37,1.37,1.37,000,1.37
2012-12-25,1.37,1.37,1.37,1.37,000,1.37
2012-12-24,1.37,1.37,1.37,1.37,000,1.37
2012-12-21,1.30,1.38,1.26,1.37,4211700,1.37
2012-12-20,1.40,1.43,1.29,1.29,3812400,1.29
2012-12-19,1.36,1.43,1.33,1.41,4155400,1.41
2012-12-18,1.34,1.34,1.24,1.29,4980100,1.29
2012-12-17,1.57,1.57,1.29,1.31,5239400,1.31
2012-12-14,1.56,1.57,1.52,1.54,1299300,1.54
2012-12-13,1.65,1.66,1.52,1.54,3353800,1.54
2012-12-12,1.69,1.71,1.62,1.64,3013200,1.64
2012-12-11,1.61,1.68,1.58,1.67,3052500,1.67
2012-12-10,1.60,1.64,1.56,1.59,2702300,1.59
2012-12-07,1.70,1.72,1.59,1.59,3249200,1.59
2012-12-06,1.67,1.74,1.64,1.70,3642400,1.70
2012-12-05,1.60,1.65,1.58,1.65,1632100,1.65
2012-12-04,1.66,1.68,1.55,1.56,2874600,1.56
2012-12-03,1.54,1.67,1.54,1.63,3389100,1.63
2012-11-30,1.54,1.60,1.51,1.54,3910600,1.54
2012-11-29,1.57,1.65,1.51,1.57,3801400,1.57
2012-11-28,1.65,1.70,1.52,1.53,7501800,1.53
2012-11-27,1.94,1.96,1.66,1.68,8917600,1.68
2012-11-26,1.92,1.95,1.84,1.89,2740900,1.89
2012-11-23,1.95,1.99,1.88,1.89,3641200,1.89
2012-11-22,1.87,2.02,1.86,1.95,4980100,1.95
2012-11-21,1.64,1.85,1.63,1.84,5478700,1.84
2012-11-20,1.81,1.85,1.71,1.76,4909600,1.76
2012-11-19,1.57,1.83,1.57,1.81,6068300,1.81
2012-11-16,1.49,1.56,1.44,1.50,3135800,1.50
2012-11-15,1.55,1.60,1.47,1.47,3491300,1.47
2012-11-14,1.57,1.62,1.52,1.59,5249400,1.59
2012-11-13,1.52,1.58,1.39,1.51,10640200,1.51
2012-11-12,1.86,1.88,1.47,1.56,5442400,1.56
2012-11-09,1.67,1.81,1.64,1.81,3877000,1.81
2012-11-08,1.94,1.95,1.71,1.71,3441100,1.71
2012-11-07,2.04,2.06,1.93,1.97,2992300,1.97
2012-11-06,2.03,2.09,1.97,2.00,4238500,2.00
2012-11-05,1.86,2.02,1.79,2.02,5036600,2.02
2012-11-02,1.64,1.85,1.56,1.83,5015400,1.83
2012-11-01,1.80,1.82,1.54,1.60,5664200,1.60
2012-10-31,1.89,1.97,1.74,1.80,4816800,1.80
2012-10-30,1.93,2.06,1.77,1.85,6626000,1.85
2012-10-29,2.22,2.24,1.96,1.97,6680700,1.97
2012-10-26,2.27,2.33,2.22,2.27,1337300,2.27
2012-10-25,2.36,2.42,2.28,2.29,3807300,2.29
2012-10-24,2.16,2.36,2.15,2.34,4420900,2.34
2012-10-23,2.26,2.36,2.24,2.26,3073000,2.26
2012-10-22,2.14,2.37,2.11,2.29,5221200,2.29
2012-10-19,2.12,2.19,2.08,2.14,2685700,2.14
2012-10-18,2.13,2.20,2.08,2.12,4210000,2.12
2012-10-17,2.08,2.11,2.02,2.11,4579700,2.11
2012-10-16,2.04,2.05,1.94,2.04,4176000,2.04
2012-10-15,1.86,1.98,1.85,1.96,2888600,1.96
2012-10-12,1.84,1.90,1.83,1.85,2231100,1.85
2012-10-11,1.75,1.81,1.73,1.81,2563300,1.81
2012-10-10,1.89,1.91,1.78,1.78,3046300,1.78
2012-10-09,1.93,1.97,1.89,1.89,2619700,1.89
2012-10-08,2.07,2.07,1.91,1.92,5020900,1.92
2012-10-05,1.82,2.03,1.79,2.03,8763700,2.03
2012-10-04,1.75,1.80,1.73,1.78,2131900,1.78
2012-10-03,1.85,1.86,1.74,1.74,3049400,1.74
2012-10-02,1.75,1.87,1.73,1.83,5050500,1.83
2012-10-01,1.87,1.89,1.75,1.77,8141500,1.77
2012-09-28,1.64,1.72,1.62,1.66,4028000,1.66
2012-09-27,1.67,1.68,1.61,1.61,1703000,1.61
2012-09-26,1.62,1.67,1.60,1.64,1638300,1.64
2012-09-25,1.60,1.66,1.55,1.66,2698000,1.66
2012-09-24,1.65,1.71,1.60,1.60,2567200,1.60
2012-09-21,1.63,1.72,1.61,1.70,3282100,1.70
2012-09-20,1.62,1.72,1.60,1.63,2372600,1.63
2012-09-19,1.70,1.74,1.65,1.65,3951200,1.65
2012-09-18,1.54,1.69,1.47,1.68,5568200,1.68
2012-09-17,1.62,1.64,1.56,1.56,2401500,1.56
2012-09-14,1.65,1.68,1.53,1.58,5140300,1.58
2012-09-13,1.72,1.75,1.56,1.56,7207400,1.56
2012-09-12,1.59,1.76,1.56,1.70,8972200,1.70
2012-09-11,1.56,1.58,1.49,1.57,3623200,1.57
2012-09-10,1.46,1.57,1.43,1.56,5533900,1.56
2012-09-07,1.46,1.49,1.45,1.46,3147200,1.46
2012-09-06,1.47,1.48,1.40,1.43,3137700,1.43
2012-09-05,1.37,1.45,1.37,1.45,2645000,1.45
2012-09-04,1.34,1.37,1.34,1.36,692100,1.36
2012-09-03,1.35,1.38,1.34,1.34,762200,1.34
2012-08-31,1.33,1.36,1.32,1.35,809800,1.35
2012-08-30,1.35,1.38,1.32,1.33,1338500,1.33
2012-08-29,1.34,1.37,1.32,1.36,1086200,1.36
2012-08-28,1.37,1.40,1.32,1.32,2468900,1.32
2012-08-27,1.49,1.50,1.37,1.39,3510600,1.39
2012-08-24,1.37,1.44,1.35,1.44,1724200,1.44
2012-08-23,1.45,1.46,1.36,1.37,2428600,1.37
2012-08-22,1.42,1.46,1.40,1.44,1944700,1.44
2012-08-21,1.34,1.44,1.34,1.42,2708600,1.42
2012-08-20,1.35,1.36,1.32,1.33,1030400,1.33
2012-08-17,1.35,1.37,1.32,1.35,1443700,1.35
2012-08-16,1.26,1.32,1.24,1.32,1122600,1.32
2012-08-15,1.25,1.25,1.25,1.25,000,1.25
2012-08-14,1.27,1.29,1.25,1.25,409800,1.25
2012-08-13,1.27,1.29,1.26,1.26,848100,1.26
2012-08-10,1.25,1.29,1.23,1.28,1020900,1.28
2012-08-09,1.30,1.31,1.24,1.26,1236200,1.26
2012-08-08,1.34,1.37,1.27,1.29,1807300,1.29
2012-08-07,1.32,1.38,1.31,1.37,2663900,1.37
2012-08-06,1.24,1.30,1.23,1.29,2154600,1.29
2012-08-03,1.21,1.23,1.18,1.22,1613100,1.22
2012-08-02,1.25,1.27,1.19,1.19,3130800,1.19
2012-08-01,1.20,1.29,1.14,1.26,4416700,1.26
2012-07-31,1.19,1.27,1.17,1.21,5333500,1.21
2012-07-30,1.14,1.20,1.11,1.18,3532700,1.18
2012-07-27,1.04,1.06,1.02,1.05,842000,1.05
2012-07-26,1.03,1.03,1.00,1.00,830600,1.00
2012-07-25,1.03,1.06,1.01,1.02,1014600,1.02
2012-07-24,1.00,1.03,1.00,1.02,1116700,1.02
2012-07-23,1.05,1.06,0.99,0.99,2911000,0.99
2012-07-20,1.10,1.14,1.09,1.09,1194700,1.09
2012-07-19,1.11,1.11,1.07,1.09,750400,1.09
2012-07-18,1.10,1.13,1.08,1.08,966100,1.08
2012-07-17,1.13,1.14,1.09,1.11,1061900,1.11
2012-07-16,1.13,1.21,1.11,1.11,2119000,1.11
2012-07-13,1.11,1.13,1.08,1.13,1715000,1.13
2012-07-12,1.06,1.11,1.04,1.09,1529000,1.09
2012-07-11,1.08,1.11,1.04,1.07,1866900,1.07
2012-07-10,1.19,1.20,1.10,1.10,1529200,1.10
2012-07-09,1.20,1.24,1.17,1.18,1447200,1.18
2012-07-06,1.18,1.22,1.15,1.20,1901700,1.20
2012-07-05,1.27,1.30,1.16,1.18,3996900,1.18
2012-07-04,1.18,1.26,1.14,1.26,2905400,1.26
2012-07-03,1.23,1.23,1.15,1.17,2272100,1.17
2012-07-02,1.27,1.31,1.20,1.20,4836200,1.20
2012-06-29,1.22,1.30,1.22,1.26,6304400,1.26
2012-06-28,1.11,1.15,1.05,1.10,3811600,1.10
2012-06-27,1.16,1.18,1.09,1.12,3639900,1.12
2012-06-26,1.01,1.13,0.99,1.13,7382300,1.13
2012-06-25,1.20,1.23,1.01,1.02,7111200,1.02
2012-06-22,1.24,1.35,1.23,1.25,3549200,1.25
2012-06-21,1.23,1.33,1.17,1.30,6350700,1.30
2012-06-20,1.45,1.48,1.20,1.25,9096200,1.25
2012-06-19,1.44,1.49,1.35,1.42,8712400,1.42
2012-06-18,1.58,1.62,1.38,1.42,12166300,1.42
2012-06-15,1.28,1.35,1.16,1.35,10009100,1.35
2012-06-14,0.95,1.23,0.95,1.23,8803100,1.23
2012-06-13,0.88,0.95,0.85,0.95,3628500,0.95
2012-06-12,0.81,0.88,0.80,0.86,3775300,0.86
2012-06-11,0.84,0.88,0.81,0.84,2526800,0.84
2012-06-08,0.73,0.80,0.71,0.79,2731400,0.79
2012-06-07,0.73,0.76,0.71,0.73,1460400,0.73
2012-06-06,0.71,0.73,0.69,0.70,1651900,0.70
2012-06-05,0.76,0.77,0.66,0.69,2010500,0.69
2012-06-04,0.76,0.76,0.76,0.76,000,0.76
2012-06-01,0.87,0.88,0.76,0.76,2715700,0.76
2012-05-31,0.87,0.89,0.85,0.88,2205200,0.88
2012-05-30,0.92,0.92,0.87,0.89,2993900,0.89
2012-05-29,0.90,0.94,0.87,0.92,4186400,0.92
2012-05-28,0.83,0.89,0.83,0.87,3275900,0.87
2012-05-25,0.79,0.81,0.77,0.80,1430600,0.80
2012-05-24,0.82,0.83,0.77,0.79,2047100,0.79
2012-05-23,0.77,0.83,0.77,0.82,2491400,0.82
2012-05-22,0.77,0.78,0.76,0.78,1877600,0.78
2012-05-21,0.78,0.80,0.75,0.75,1797300,0.75
2012-05-18,0.70,0.80,0.68,0.76,3752400,0.76
2012-05-17,0.73,0.74,0.69,0.69,2482900,0.69
2012-05-16,0.74,0.78,0.70,0.71,3438900,0.71
2012-05-15,0.81,0.86,0.67,0.74,6304700,0.74
2012-05-14,0.70,0.82,0.70,0.79,3247900,0.79
2012-05-11,0.81,0.82,0.75,0.77,4583900,0.77
2012-05-10,0.75,0.90,0.74,0.83,6252000,0.83
2012-05-09,0.73,0.76,0.72,0.72,4986900,0.72
2012-05-08,0.84,0.86,0.69,0.72,6801500,0.72
2012-05-07,0.82,0.86,0.80,0.84,6294600,0.84
2012-05-04,0.99,1.09,0.98,1.04,4888700,1.04
2012-05-03,0.97,0.99,0.92,0.99,3319600,0.99
2012-05-02,1.08,1.09,0.95,0.95,3885800,0.95
2012-05-01,1.06,1.06,1.06,1.06,000,1.06
2012-04-30,1.07,1.11,1.06,1.06,1538300,1.06
2012-04-27,1.04,1.09,1.04,1.07,1393700,1.07
2012-04-26,1.06,1.09,1.03,1.06,1433700,1.06
2012-04-25,1.07,1.10,1.02,1.05,2528400,1.05
2012-04-24,1.10,1.13,1.04,1.07,2661900,1.07
2012-04-23,1.11,1.16,1.05,1.10,3918900,1.10
2012-04-20,1.00,1.09,0.99,1.07,3766200,1.07
2012-04-19,1.15,1.17,1.01,1.02,4803500,1.02
2012-04-18,1.17,1.24,1.13,1.17,3388200,1.17
2012-04-17,1.14,1.30,1.09,1.20,5482800,1.20
2012-04-16,1.13,1.13,1.13,1.13,000,1.13
2012-04-13,1.13,1.13,1.13,1.13,000,1.13
2012-04-12,1.09,1.13,0.99,1.13,4225100,1.13
2012-04-11,1.12,1.19,1.03,1.08,9467100,1.08
2012-04-10,0.86,1.09,0.86,1.07,7231300,1.07
2012-04-09,0.84,0.84,0.84,0.84,000,0.84
2012-04-06,0.84,0.84,0.84,0.84,000,0.84
2012-04-05,0.81,0.85,0.79,0.84,3427600,0.84
2012-04-04,0.87,0.87,0.80,0.80,3319100,0.80
2012-04-03,0.89,0.94,0.85,0.87,4181900,0.87
2012-04-02,0.99,0.99,0.87,0.87,4952800,0.87
2012-03-30,0.99,1.02,0.95,0.98,3702700,0.98
2012-03-29,1.07,1.12,0.97,0.97,5168000,0.97
2012-03-28,1.04,1.16,0.99,1.07,7752900,1.07
2012-03-27,1.28,1.29,1.07,1.07,6631400,1.07
2012-03-26,1.33,1.35,1.26,1.26,2380900,1.26
2012-03-23,1.36,1.37,1.31,1.33,1298400,1.33
2012-03-22,1.34,1.39,1.33,1.34,2093200,1.34
2012-03-21,1.40,1.44,1.33,1.35,3302200,1.35
2012-03-20,1.49,1.51,1.42,1.42,3765000,1.42
2012-03-19,1.48,1.53,1.44,1.48,4411900,1.48
2012-03-16,1.42,1.48,1.34,1.48,5538700,1.48
2012-03-15,1.35,1.44,1.32,1.42,4125800,1.42
2012-03-14,1.52,1.54,1.38,1.38,5046800,1.38
2012-03-13,1.38,1.43,1.28,1.42,6241300,1.42
2012-03-12,1.46,1.50,1.33,1.35,5350100,1.35
2012-03-09,1.67,1.69,1.49,1.54,10647900,1.54
2012-03-08,1.64,1.69,1.58,1.63,7810600,1.63
2012-03-07,1.52,1.64,1.51,1.55,5805700,1.55
2012-03-06,1.29,1.58,1.28,1.55,8026100,1.55
2012-03-05,1.30,1.34,1.27,1.30,2672500,1.30
2012-03-02,1.38,1.41,1.33,1.34,3238000,1.34
2012-03-01,1.33,1.40,1.28,1.33,5113500,1.33
2012-02-29,1.24,1.36,1.12,1.33,8905700,1.33
2012-02-28,1.39,1.42,1.19,1.23,6406500,1.23
2012-02-27,1.37,1.37,1.37,1.37,000,1.37
2012-02-24,1.41,1.46,1.29,1.37,5148900,1.37
2012-02-23,1.34,1.49,1.24,1.36,10133400,1.36
2012-02-22,1.56,1.59,1.35,1.35,8853800,1.35
2012-02-21,1.86,1.87,1.58,1.59,10161500,1.59
2012-02-20,1.91,1.95,1.77,1.81,9827200,1.81
2012-02-17,1.73,1.83,1.68,1.81,10306600,1.81
2012-02-16,1.45,1.56,1.37,1.56,7891700,1.56
2012-02-15,1.62,1.64,1.45,1.45,7805400,1.45
2012-02-14,1.74,1.78,1.62,1.69,6620800,1.69
2012-02-13,1.65,1.78,1.60,1.74,11311800,1.74
2012-02-10,1.49,1.52,1.33,1.45,12146600,1.45
2012-02-09,1.58,1.68,1.44,1.60,13310000,1.60
2012-02-08,1.76,1.81,1.63,1.65,13180900,1.65
2012-02-07,1.68,1.74,1.56,1.72,12413500,1.72
2012-02-06,1.50,1.58,1.42,1.58,12157300,1.58
2012-02-03,1.49,1.60,1.31,1.32,12143900,1.32
2012-02-02,1.75,1.77,1.43,1.62,12797900,1.62
2012-02-01,1.66,1.83,1.48,1.66,16428300,1.66
2012-01-31,1.40,1.56,1.29,1.52,13236200,1.52
2012-01-30,1.15,1.36,1.10,1.24,7610400,1.24
2012-01-27,1.16,1.39,1.04,1.17,18210200,1.17
2012-01-26,0.92,1.14,0.91,1.13,16170700,1.13
2012-01-25,0.74,0.88,0.73,0.88,6499700,0.88
2012-01-24,0.77,0.82,0.70,0.73,10271100,0.73
2012-01-23,0.66,0.80,0.64,0.77,8566600,0.77
2012-01-20,0.64,0.67,0.59,0.67,6111100,0.67
2012-01-19,0.56,0.66,0.56,0.62,8337000,0.62
2012-01-18,0.49,0.56,0.49,0.55,5223300,0.55
2012-01-17,0.49,0.50,0.47,0.49,2091300,0.49
2012-01-16,0.45,0.48,0.44,0.48,1932000,0.48
2012-01-13,0.45,0.48,0.45,0.47,3090400,0.47
2012-01-12,0.44,0.46,0.44,0.45,3355400,0.45
2012-01-11,0.43,0.45,0.42,0.44,3959300,0.44
2012-01-10,0.44,0.45,0.42,0.42,2698300,0.42
2012-01-09,0.47,0.47,0.43,0.43,2286600,0.43
2012-01-06,0.47,0.47,0.47,0.47,000,0.47
2012-01-05,0.45,0.47,0.44,0.47,1508500,0.47
2012-01-04,0.47,0.48,0.44,0.45,1875000,0.45
2012-01-03,0.51,0.51,0.45,0.46,2405300,0.46
2012-01-02,0.54,0.54,0.51,0.51,1506500,0.51
