Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.04,0.04,0.03,0.03,145700,0.03
2013-05-22,0.03,0.03,0.03,0.03,26400,0.03
2013-05-21,0.03,0.04,0.03,0.03,12500,0.03
2013-05-20,0.03,0.04,0.03,0.03,25800,0.03
2013-05-17,0.04,0.04,0.04,0.04,85500,0.04
2013-05-16,0.04,0.04,0.04,0.04,37100,0.04
2013-05-15,0.04,0.04,0.04,0.04,100500,0.04
2013-05-14,0.03,0.04,0.03,0.04,32000,0.04
2013-05-13,0.03,0.03,0.03,0.03,22300,0.03
2013-05-10,0.04,0.04,0.03,0.03,20000,0.03
2013-05-09,0.03,0.03,0.03,0.03,119500,0.03
2013-05-08,0.03,0.03,0.03,0.03,43800,0.03
2013-05-07,0.03,0.03,0.03,0.03,000,0.03
2013-05-06,0.03,0.03,0.03,0.03,000,0.03
2013-05-03,0.03,0.03,0.03,0.03,000,0.03
2013-05-02,0.03,0.03,0.03,0.03,000,0.03
2013-05-01,0.03,0.03,0.03,0.03,000,0.03
2013-04-30,0.03,0.03,0.03,0.03,22400,0.03
2013-04-29,0.03,0.03,0.03,0.03,5000,0.03
2013-04-26,0.03,0.03,0.03,0.03,2100,0.03
2013-04-25,0.03,0.03,0.03,0.03,8900,0.03
2013-04-24,0.03,0.03,0.03,0.03,5000,0.03
2013-04-23,0.03,0.03,0.03,0.03,12100,0.03
2013-04-22,0.03,0.03,0.03,0.03,23300,0.03
2013-04-19,0.03,0.03,0.03,0.03,3000,0.03
2013-04-18,0.03,0.03,0.03,0.03,27200,0.03
2013-04-17,0.03,0.03,0.03,0.03,69000,0.03
2013-04-16,0.03,0.03,0.03,0.03,38900,0.03
2013-04-15,0.03,0.03,0.03,0.03,41600,0.03
2013-04-12,0.03,0.03,0.03,0.03,21500,0.03
2013-04-11,0.02,0.03,0.02,0.03,34100,0.03
2013-04-10,0.03,0.03,0.03,0.03,6000,0.03
2013-04-09,0.03,0.03,0.03,0.03,33000,0.03
2013-04-08,0.02,0.03,0.02,0.02,145700,0.02
2013-04-05,0.03,0.03,0.03,0.03,41400,0.03
2013-04-04,0.03,0.03,0.03,0.03,3000,0.03
2013-04-03,0.03,0.03,0.03,0.03,5900,0.03
2013-04-02,0.03,0.03,0.03,0.03,18500,0.03
2013-04-01,0.03,0.03,0.03,0.03,000,0.03
2013-03-29,0.03,0.03,0.03,0.03,000,0.03
2013-03-28,0.03,0.03,0.03,0.03,36400,0.03
2013-03-27,0.03,0.03,0.03,0.03,25000,0.03
2013-03-26,0.03,0.03,0.03,0.03,19700,0.03
2013-03-25,0.03,0.03,0.03,0.03,000,0.03
2013-03-22,0.03,0.03,0.03,0.03,9500,0.03
2013-03-21,0.03,0.03,0.03,0.03,12600,0.03
2013-03-20,0.03,0.03,0.03,0.03,1500,0.03
2013-03-19,0.03,0.03,0.03,0.03,87300,0.03
2013-03-18,0.03,0.03,0.03,0.03,000,0.03
2013-03-15,0.03,0.03,0.03,0.03,3700,0.03
2013-03-14,0.03,0.03,0.03,0.03,15600,0.03
2013-03-13,0.03,0.03,0.03,0.03,19600,0.03
2013-03-12,0.03,0.03,0.03,0.03,6500,0.03
2013-03-11,0.03,0.03,0.03,0.03,56700,0.03
2013-03-08,0.03,0.03,0.03,0.03,000,0.03
2013-03-07,0.03,0.03,0.03,0.03,6800,0.03
2013-03-06,0.03,0.03,0.03,0.03,9100,0.03
2013-03-05,0.03,0.03,0.03,0.03,102500,0.03
2013-03-04,0.04,0.04,0.03,0.03,8100,0.03
2013-03-01,0.04,0.04,0.04,0.04,26600,0.04
2013-02-28,0.04,0.04,0.04,0.04,36900,0.04
2013-02-27,0.04,0.04,0.04,0.04,119500,0.04
2013-02-26,0.03,0.04,0.03,0.04,68900,0.04
2013-02-25,0.04,0.04,0.03,0.04,17800,0.04
2013-02-22,0.04,0.04,0.04,0.04,167100,0.04
2013-02-21,0.03,0.04,0.03,0.04,18100,0.04
2013-02-20,0.04,0.04,0.04,0.04,50400,0.04
2013-02-19,0.04,0.04,0.04,0.04,40500,0.04
2013-02-18,0.04,0.04,0.04,0.04,17200,0.04
2013-02-15,0.03,0.04,0.03,0.04,364000,0.04
2013-02-14,0.04,0.04,0.03,0.03,197200,0.03
2013-02-13,0.04,0.04,0.04,0.04,19000,0.04
2013-02-12,0.04,0.04,0.04,0.04,134800,0.04
2013-02-11,0.04,0.04,0.04,0.04,56600,0.04
2013-02-08,0.05,0.05,0.04,0.04,12300,0.04
2013-02-07,0.04,0.05,0.04,0.04,187600,0.04
2013-02-06,0.04,0.05,0.04,0.04,38400,0.04
2013-02-05,0.04,0.05,0.04,0.05,76800,0.05
2013-02-04,0.05,0.05,0.04,0.05,56500,0.05
2013-02-01,0.05,0.05,0.05,0.05,109400,0.05
2013-01-31,0.04,0.05,0.04,0.04,66900,0.04
2013-01-30,0.04,0.04,0.04,0.04,11700,0.04
2013-01-29,0.04,0.04,0.04,0.04,80300,0.04
2013-01-28,0.04,0.04,0.04,0.04,107300,0.04
2013-01-25,0.04,0.04,0.04,0.04,152800,0.04
2013-01-24,0.03,0.04,0.03,0.04,26500,0.04
2013-01-23,0.04,0.04,0.04,0.04,92000,0.04
2013-01-22,0.04,0.04,0.04,0.04,20500,0.04
2013-01-21,0.04,0.05,0.04,0.04,85800,0.04
2013-01-18,0.05,0.05,0.05,0.05,79100,0.05
2013-01-17,0.05,0.05,0.05,0.05,118800,0.05
2013-01-16,0.04,0.05,0.04,0.05,88900,0.05
2013-01-15,0.05,0.05,0.05,0.05,154700,0.05
2013-01-14,0.06,0.06,0.06,0.06,115600,0.06
2013-01-11,0.06,0.06,0.06,0.06,107100,0.06
2013-01-10,0.06,0.06,0.06,0.06,183300,0.06
2013-01-09,0.06,0.06,0.06,0.06,307200,0.06
2013-01-08,0.06,0.06,0.06,0.06,93700,0.06
2013-01-07,0.04,0.05,0.04,0.05,407300,0.05
2013-01-04,0.04,0.04,0.04,0.04,644800,0.04
2013-01-03,0.04,0.04,0.04,0.04,419900,0.04
2013-01-02,0.04,0.04,0.04,0.04,199700,0.04
2013-01-01,0.04,0.04,0.04,0.04,000,0.04
2012-12-31,0.04,0.04,0.04,0.04,000,0.04
2012-12-28,0.04,0.04,0.03,0.04,49000,0.04
2012-12-27,0.04,0.04,0.04,0.04,255700,0.04
2012-12-26,0.04,0.04,0.04,0.04,000,0.04
2012-12-25,0.04,0.04,0.04,0.04,000,0.04
2012-12-24,0.04,0.04,0.04,0.04,000,0.04
2012-12-21,0.04,0.04,0.03,0.04,129200,0.04
2012-12-20,0.04,0.04,0.04,0.04,68800,0.04
2012-12-19,0.04,0.04,0.04,0.04,531300,0.04
2012-12-18,0.04,0.04,0.04,0.04,60400,0.04
2012-12-17,0.04,0.04,0.04,0.04,146000,0.04
2012-12-14,0.04,0.04,0.03,0.04,52600,0.04
2012-12-13,0.03,0.03,0.03,0.03,7800,0.03
2012-12-12,0.04,0.04,0.04,0.04,47800,0.04
2012-12-11,0.03,0.04,0.03,0.04,8800,0.04
2012-12-10,0.03,0.03,0.03,0.03,24300,0.03
2012-12-07,0.04,0.04,0.04,0.04,13000,0.04
2012-12-06,0.03,0.03,0.03,0.03,3000,0.03
2012-12-05,0.03,0.03,0.03,0.03,4300,0.03
2012-12-04,0.04,0.04,0.04,0.04,000,0.04
2012-12-03,0.04,0.04,0.04,0.04,38000,0.04
2012-11-30,0.03,0.03,0.03,0.03,3900,0.03
2012-11-29,0.02,0.03,0.02,0.03,22600,0.03
2012-11-28,0.03,0.03,0.03,0.03,9400,0.03
2012-11-27,0.03,0.03,0.03,0.03,16500,0.03
2012-11-26,0.03,0.03,0.03,0.03,200,0.03
2012-11-23,0.03,0.04,0.03,0.03,15900,0.03
2012-11-22,0.03,0.03,0.03,0.03,25300,0.03
2012-11-21,0.04,0.04,0.03,0.04,6000,0.04
2012-11-20,0.04,0.04,0.04,0.04,6700,0.04
2012-11-19,0.03,0.04,0.03,0.04,8800,0.04
2012-11-16,0.03,0.04,0.03,0.03,3400,0.03
2012-11-15,0.03,0.03,0.03,0.03,3300,0.03
2012-11-14,0.03,0.03,0.03,0.03,10000,0.03
2012-11-13,0.03,0.03,0.03,0.03,15900,0.03
2012-11-12,0.03,0.04,0.03,0.03,17500,0.03
2012-11-09,0.04,0.04,0.04,0.04,2300,0.04
2012-11-08,0.03,0.04,0.03,0.04,5000,0.04
2012-11-07,0.04,0.04,0.04,0.04,14000,0.04
2012-11-06,0.03,0.03,0.03,0.03,15600,0.03
2012-11-05,0.03,0.03,0.03,0.03,25100,0.03
2012-11-02,0.03,0.03,0.03,0.03,15400,0.03
2012-11-01,0.03,0.03,0.03,0.03,5400,0.03
2012-10-31,0.03,0.03,0.03,0.03,58000,0.03
2012-10-30,0.03,0.03,0.03,0.03,16100,0.03
2012-10-29,0.04,0.04,0.03,0.03,9500,0.03
2012-10-26,0.04,0.04,0.03,0.04,15900,0.04
2012-10-25,0.04,0.04,0.04,0.04,108000,0.04
2012-10-24,0.03,0.04,0.03,0.04,14100,0.04
2012-10-23,0.04,0.04,0.04,0.04,21400,0.04
