Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.10,0.11,0.10,0.11,85700,0.11
2013-05-22,0.11,0.11,0.11,0.11,57300,0.11
2013-05-21,0.12,0.12,0.11,0.11,28600,0.11
2013-05-20,0.12,0.12,0.12,0.12,90400,0.12
2013-05-17,0.12,0.12,0.12,0.12,380600,0.12
2013-05-16,0.12,0.12,0.12,0.12,225100,0.12
2013-05-15,0.11,0.12,0.11,0.12,458400,0.12
2013-05-14,0.10,0.11,0.10,0.11,84700,0.11
2013-05-13,0.10,0.11,0.10,0.11,69400,0.11
2013-05-10,0.11,0.11,0.10,0.11,42200,0.11
2013-05-09,0.11,0.11,0.10,0.11,13700,0.11
2013-05-08,0.10,0.11,0.10,0.11,74300,0.11
2013-05-07,0.10,0.10,0.10,0.10,000,0.10
2013-05-06,0.10,0.10,0.10,0.10,000,0.10
2013-05-03,0.10,0.10,0.10,0.10,000,0.10
2013-05-02,0.10,0.10,0.10,0.10,000,0.10
2013-05-01,0.10,0.10,0.10,0.10,000,0.10
2013-04-30,0.10,0.10,0.10,0.10,57000,0.10
2013-04-29,0.10,0.10,0.10,0.10,103100,0.10
2013-04-26,0.11,0.11,0.10,0.11,70600,0.11
2013-04-25,0.10,0.10,0.10,0.10,93500,0.10
2013-04-24,0.10,0.10,0.10,0.10,40700,0.10
2013-04-23,0.10,0.10,0.10,0.10,16200,0.10
2013-04-22,0.10,0.10,0.09,0.10,110400,0.10
2013-04-19,0.10,0.10,0.09,0.09,28500,0.09
2013-04-18,0.09,0.09,0.09,0.09,29600,0.09
2013-04-17,0.08,0.08,0.08,0.08,64200,0.08
2013-04-16,0.08,0.09,0.08,0.08,17300,0.08
2013-04-15,0.08,0.08,0.08,0.08,35800,0.08
2013-04-12,0.08,0.09,0.08,0.09,51000,0.09
2013-04-11,0.08,0.08,0.08,0.08,58100,0.08
2013-04-10,0.08,0.08,0.07,0.08,189800,0.08
2013-04-09,0.09,0.09,0.09,0.09,66100,0.09
2013-04-08,0.07,0.10,0.07,0.09,153500,0.09
2013-04-05,0.09,0.09,0.09,0.09,162800,0.09
2013-04-04,0.10,0.12,0.10,0.11,70200,0.11
2013-04-03,0.12,0.12,0.10,0.12,71300,0.12
2013-04-02,0.12,0.12,0.12,0.12,500,0.12
2013-04-01,0.12,0.12,0.12,0.12,000,0.12
2013-03-29,0.12,0.12,0.12,0.12,000,0.12
2013-03-28,0.11,0.12,0.11,0.12,36200,0.12
2013-03-27,0.12,0.12,0.11,0.12,80100,0.12
2013-03-26,0.10,0.12,0.10,0.12,26600,0.12
2013-03-25,0.12,0.12,0.12,0.12,000,0.12
2013-03-22,0.12,0.12,0.12,0.12,102900,0.12
2013-03-21,0.12,0.13,0.12,0.12,76100,0.12
2013-03-20,0.13,0.13,0.12,0.12,26200,0.12
2013-03-19,0.12,0.13,0.12,0.12,76400,0.12
2013-03-18,0.13,0.13,0.13,0.13,000,0.13
2013-03-15,0.13,0.14,0.13,0.13,34100,0.13
2013-03-14,0.14,0.14,0.13,0.13,37700,0.13
2013-03-13,0.13,0.14,0.13,0.14,129700,0.14
2013-03-12,0.13,0.14,0.12,0.13,116700,0.13
2013-03-11,0.13,0.13,0.12,0.12,43300,0.12
2013-03-08,0.13,0.14,0.13,0.13,69000,0.13
2013-03-07,0.14,0.14,0.13,0.13,33200,0.13
2013-03-06,0.14,0.15,0.14,0.14,121900,0.14
2013-03-05,0.15,0.16,0.14,0.14,89700,0.14
2013-03-04,0.15,0.15,0.14,0.14,71700,0.14
2013-03-01,0.15,0.15,0.14,0.15,72800,0.15
2013-02-28,0.13,0.15,0.13,0.14,295600,0.14
2013-02-27,0.17,0.17,0.12,0.12,264400,0.12
2013-02-26,0.16,0.17,0.16,0.16,51000,0.16
2013-02-25,0.17,0.17,0.16,0.17,104900,0.17
2013-02-22,0.17,0.17,0.16,0.17,97000,0.17
2013-02-21,0.17,0.18,0.17,0.17,115600,0.17
2013-02-20,0.18,0.18,0.17,0.18,118500,0.18
2013-02-19,0.19,0.19,0.17,0.17,102700,0.17
2013-02-18,0.17,0.19,0.17,0.19,58400,0.19
2013-02-15,0.18,0.18,0.18,0.18,14500,0.18
2013-02-14,0.19,0.19,0.18,0.19,13900,0.19
2013-02-13,0.17,0.19,0.17,0.18,69700,0.18
2013-02-12,0.18,0.18,0.17,0.18,66500,0.18
2013-02-11,0.18,0.18,0.17,0.17,73000,0.17
2013-02-08,0.18,0.19,0.18,0.19,55000,0.19
2013-02-07,0.20,0.20,0.19,0.19,79800,0.19
2013-02-06,0.19,0.20,0.19,0.19,166000,0.19
2013-02-05,0.18,0.19,0.17,0.19,130100,0.19
2013-02-04,0.17,0.18,0.17,0.17,123000,0.17
2013-02-01,0.19,0.20,0.18,0.18,141200,0.18
2013-01-31,0.19,0.19,0.18,0.19,182300,0.19
2013-01-30,0.20,0.21,0.20,0.20,212800,0.20
2013-01-29,0.22,0.22,0.20,0.21,140400,0.21
2013-01-28,0.22,0.23,0.21,0.22,266000,0.22
2013-01-25,0.20,0.23,0.20,0.22,508500,0.22
2013-01-24,0.20,0.22,0.19,0.20,399000,0.20
2013-01-23,0.20,0.20,0.19,0.20,357700,0.20
2013-01-22,0.20,0.21,0.19,0.20,407900,0.20
2013-01-21,0.22,0.22,0.19,0.20,637600,0.20
2013-01-18,0.23,0.23,0.21,0.21,370500,0.21
2013-01-17,0.22,0.23,0.21,0.23,274300,0.23
2013-01-16,0.21,0.23,0.21,0.22,411300,0.22
2013-01-15,0.22,0.22,0.20,0.22,341000,0.22
2013-01-14,0.21,0.25,0.21,0.22,493700,0.22
2013-01-11,0.24,0.27,0.22,0.23,1547200,0.23
2013-01-10,0.18,0.23,0.18,0.23,1307600,0.23
2013-01-09,0.18,0.19,0.17,0.18,171900,0.18
2013-01-08,0.18,0.18,0.17,0.17,63100,0.17
2013-01-07,0.18,0.18,0.17,0.17,109300,0.17
2013-01-04,0.19,0.19,0.17,0.18,140500,0.18
2013-01-03,0.18,0.19,0.17,0.18,298700,0.18
2013-01-02,0.18,0.19,0.18,0.19,224700,0.19
2013-01-01,0.17,0.17,0.17,0.17,000,0.17
2012-12-31,0.17,0.17,0.17,0.17,000,0.17
2012-12-28,0.16,0.17,0.15,0.17,302600,0.17
2012-12-27,0.13,0.16,0.13,0.16,457400,0.16
2012-12-26,0.12,0.12,0.12,0.12,000,0.12
2012-12-25,0.12,0.12,0.12,0.12,000,0.12
2012-12-24,0.12,0.12,0.12,0.12,000,0.12
2012-12-21,0.12,0.13,0.12,0.12,29000,0.12
2012-12-20,0.13,0.13,0.12,0.12,34900,0.12
2012-12-19,0.12,0.13,0.12,0.13,119600,0.13
2012-12-18,0.11,0.12,0.11,0.12,17900,0.12
2012-12-17,0.13,0.13,0.11,0.12,112800,0.12
2012-12-14,0.12,0.13,0.12,0.12,18400,0.12
2012-12-13,0.12,0.14,0.12,0.13,9900,0.13
2012-12-12,0.13,0.13,0.12,0.12,79600,0.12
2012-12-11,0.13,0.13,0.12,0.13,63900,0.13
2012-12-10,0.11,0.13,0.11,0.12,60300,0.12
2012-12-07,0.11,0.12,0.11,0.11,28600,0.11
2012-12-06,0.12,0.12,0.12,0.12,25700,0.12
2012-12-05,0.12,0.12,0.12,0.12,9700,0.12
2012-12-04,0.12,0.12,0.12,0.12,2500,0.12
2012-12-03,0.12,0.13,0.12,0.12,17700,0.12
2012-11-30,0.12,0.12,0.12,0.12,4600,0.12
2012-11-29,0.12,0.13,0.12,0.13,2000,0.13
2012-11-28,0.12,0.13,0.12,0.12,19500,0.12
2012-11-27,0.13,0.13,0.13,0.13,32100,0.13
2012-11-26,0.12,0.13,0.12,0.13,33700,0.13
2012-11-23,0.12,0.13,0.12,0.12,6100,0.12
2012-11-22,0.12,0.13,0.12,0.13,165700,0.13
2012-11-21,0.12,0.12,0.11,0.12,55800,0.12
2012-11-20,0.13,0.13,0.12,0.12,55900,0.12
2012-11-19,0.12,0.12,0.12,0.12,20400,0.12
2012-11-16,0.12,0.13,0.12,0.12,42600,0.12
2012-11-15,0.13,0.13,0.12,0.13,39900,0.13
2012-11-14,0.12,0.14,0.12,0.12,62700,0.12
2012-11-13,0.14,0.14,0.12,0.12,27600,0.12
2012-11-12,0.13,0.13,0.12,0.12,13700,0.12
2012-11-09,0.13,0.13,0.12,0.12,6100,0.12
2012-11-08,0.13,0.14,0.13,0.13,39200,0.13
2012-11-07,0.13,0.14,0.13,0.13,65800,0.13
2012-11-06,0.13,0.14,0.12,0.12,17500,0.12
2012-11-05,0.12,0.12,0.12,0.12,35100,0.12
2012-11-02,0.12,0.13,0.12,0.12,23100,0.12
2012-11-01,0.12,0.13,0.12,0.12,102100,0.12
2012-10-31,0.13,0.13,0.12,0.13,16400,0.13
2012-10-30,0.12,0.14,0.12,0.13,152000,0.13
2012-10-29,0.15,0.15,0.12,0.12,120600,0.12
2012-10-26,0.15,0.16,0.15,0.15,32500,0.15
2012-10-25,0.17,0.17,0.16,0.16,116500,0.16
2012-10-24,0.18,0.18,0.17,0.17,197000,0.17
2012-10-23,0.16,0.19,0.16,0.18,548200,0.18
2012-10-22,0.12,0.15,0.12,0.15,333200,0.15
2012-10-19,0.12,0.13,0.11,0.12,116000,0.12
2012-10-18,0.08,0.10,0.08,0.10,195400,0.10
2012-10-17,0.08,0.08,0.08,0.08,8000,0.08
2012-10-16,0.08,0.09,0.08,0.08,26500,0.08
2012-10-15,0.07,0.08,0.07,0.08,700,0.08
2012-10-12,0.08,0.08,0.08,0.08,24500,0.08
2012-10-11,0.07,0.08,0.07,0.08,4000,0.08
2012-10-10,0.05,0.08,0.05,0.08,24500,0.08
2012-10-09,0.08,0.08,0.08,0.08,40900,0.08
2012-10-08,0.07,0.08,0.07,0.08,16100,0.08
2012-10-05,0.08,0.08,0.08,0.08,48500,0.08
2012-10-04,0.08,0.08,0.07,0.08,30800,0.08
2012-10-03,0.07,0.08,0.07,0.08,92300,0.08
2012-10-02,0.08,0.08,0.07,0.08,35500,0.08
2012-10-01,0.08,0.08,0.08,0.08,1400,0.08
2012-09-28,0.08,0.08,0.08,0.08,8600,0.08
2012-09-27,0.08,0.08,0.08,0.08,11500,0.08
2012-09-26,0.08,0.08,0.08,0.08,1500,0.08
2012-09-25,0.08,0.08,0.08,0.08,29800,0.08
2012-09-24,0.07,0.08,0.07,0.08,5900,0.08
2012-09-21,0.07,0.08,0.07,0.08,72400,0.08
2012-09-20,0.07,0.08,0.07,0.08,38000,0.08
2012-09-19,0.08,0.08,0.07,0.08,7600,0.08
2012-09-18,0.07,0.08,0.07,0.08,19700,0.08
2012-09-17,0.08,0.08,0.08,0.08,11000,0.08
2012-09-14,0.08,0.08,0.08,0.08,25800,0.08
2012-09-13,0.07,0.09,0.07,0.09,10600,0.09
2012-09-12,0.08,0.09,0.08,0.08,8900,0.08
2012-09-11,0.08,0.08,0.08,0.08,9600,0.08
2012-09-10,0.08,0.09,0.08,0.09,28600,0.09
2012-09-07,0.08,0.08,0.08,0.08,41100,0.08
2012-09-06,0.08,0.08,0.08,0.08,25100,0.08
2012-09-05,0.07,0.08,0.07,0.07,142100,0.07
2012-09-04,0.08,0.08,0.07,0.07,56700,0.07
2012-09-03,0.07,0.08,0.07,0.08,65800,0.08
2012-08-31,0.07,0.08,0.07,0.08,1200,0.08
2012-08-30,0.08,0.08,0.07,0.08,29000,0.08
2012-08-29,0.08,0.08,0.08,0.08,2700,0.08
2012-08-28,0.07,0.08,0.07,0.08,7600,0.08
2012-08-27,0.08,0.08,0.08,0.08,9000,0.08
2012-08-24,0.08,0.08,0.08,0.08,000,0.08
2012-08-23,0.09,0.09,0.08,0.08,4000,0.08
2012-08-22,0.09,0.09,0.08,0.08,20100,0.08
2012-08-21,0.09,0.09,0.08,0.09,16000,0.09
2012-08-20,0.08,0.08,0.08,0.08,1000,0.08
2012-08-17,0.09,0.09,0.09,0.09,000,0.09
2012-08-16,0.09,0.09,0.08,0.09,8700,0.09
2012-08-15,0.09,0.09,0.09,0.09,000,0.09
2012-08-14,0.08,0.09,0.08,0.09,600,0.09
2012-08-13,0.08,0.09,0.08,0.09,1400,0.09
2012-08-10,0.08,0.09,0.08,0.09,12500,0.09
2012-08-09,0.09,0.09,0.09,0.09,1000,0.09
2012-08-08,0.08,0.09,0.08,0.09,6500,0.09
2012-08-07,0.08,0.09,0.08,0.09,1200,0.09
2012-08-06,0.09,0.09,0.09,0.09,6000,0.09
2012-08-03,0.08,0.08,0.08,0.08,500,0.08
2012-08-02,0.09,0.09,0.08,0.09,74500,0.09
2012-08-01,0.08,0.09,0.08,0.09,16000,0.09
