Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,5.80,5.80,5.80,5.80,10400,5.80
2013-05-22,5.80,5.80,5.80,5.80,15100,5.80
2013-05-21,5.80,5.83,5.80,5.81,4300,5.81
2013-05-20,5.80,5.94,5.80,5.83,8100,5.83
2013-05-17,5.80,5.80,5.80,5.80,14200,5.80
2013-05-16,5.80,5.82,5.80,5.80,64000,5.80
2013-05-15,5.80,5.88,5.80,5.80,62900,5.80
2013-05-14,5.80,5.80,5.80,5.80,80400,5.80
2013-05-13,5.80,5.80,5.80,5.80,25200,5.80
2013-05-10,5.80,5.80,5.80,5.80,19400,5.80
2013-05-09,5.80,5.80,5.80,5.80,32900,5.80
2013-05-08,5.80,5.84,5.80,5.80,127900,5.80
2013-05-07,5.80,5.80,5.80,5.80,000,5.80
2013-05-06,5.80,5.80,5.80,5.80,000,5.80
2013-05-03,5.80,5.80,5.80,5.80,000,5.80
2013-05-02,5.80,5.80,5.80,5.80,98100,5.80
2013-05-01,5.80,5.80,5.80,5.80,000,5.80
2013-04-30,5.80,5.80,5.80,5.80,198900,5.80
2013-04-29,5.80,5.82,5.80,5.81,62600,5.81
2013-04-26,5.80,5.81,5.80,5.81,14300,5.81
2013-04-25,5.80,5.88,5.80,5.87,254000,5.87
2013-04-24,5.80,5.80,5.80,5.80,1047700,5.80
2013-04-23,5.80,5.81,5.80,5.80,267300,5.80
2013-04-22,5.80,5.80,5.80,5.80,650200,5.80
2013-04-19,5.80,5.81,5.80,5.80,243400,5.80
2013-04-18,5.80,5.80,5.80,5.80,1549900,5.80
2013-04-17,5.71,5.72,5.71,5.72,5000,5.72
2013-04-16,5.72,5.72,5.71,5.72,29100,5.72
2013-04-15,5.70,5.72,5.70,5.71,9300,5.71
2013-04-12,5.70,5.71,5.69,5.71,7900,5.71
2013-04-11,5.70,5.71,5.69,5.70,7100,5.70
2013-04-10,5.69,5.72,5.69,5.71,31600,5.71
2013-04-09,5.63,5.70,5.63,5.65,32400,5.65
2013-04-08,5.62,5.63,5.61,5.61,16800,5.61
2013-04-05,5.64,5.65,5.63,5.64,14900,5.64
2013-04-04,5.62,5.62,5.55,5.61,16600,5.61
2013-04-03,5.60,5.61,5.52,5.60,4400,5.60
2013-04-02,5.60,5.63,5.57,5.62,13100,5.62
2013-04-01,5.50,5.50,5.50,5.50,000,5.50
2013-03-29,5.50,5.50,5.50,5.50,000,5.50
2013-03-28,5.54,5.60,5.50,5.50,70800,5.50
2013-03-27,5.60,5.60,5.52,5.60,66600,5.60
2013-03-26,5.60,5.63,5.54,5.63,14000,5.63
2013-03-25,5.65,5.65,5.65,5.65,000,5.65
2013-03-22,5.62,5.65,5.62,5.65,1500,5.65
2013-03-21,5.60,5.64,5.60,5.62,8400,5.62
2013-03-20,5.61,5.66,5.60,5.63,6300,5.63
2013-03-19,5.60,5.62,5.59,5.60,8500,5.60
2013-03-18,5.62,5.62,5.62,5.62,000,5.62
2013-03-15,5.60,5.63,5.60,5.62,6000,5.62
2013-03-14,5.62,5.62,5.62,5.62,400,5.62
2013-03-13,5.60,5.61,5.58,5.60,54500,5.60
2013-03-12,5.59,5.61,5.59,5.60,6500,5.60
2013-03-11,5.57,5.62,5.54,5.59,18300,5.59
2013-03-08,5.58,5.60,5.58,5.60,16500,5.60
2013-03-07,5.60,5.60,5.57,5.60,37000,5.60
2013-03-06,5.60,5.62,5.60,5.60,5500,5.60
2013-03-05,5.60,5.61,5.57,5.60,27300,5.60
2013-03-04,5.60,5.61,5.59,5.59,13800,5.59
2013-03-01,5.61,5.63,5.58,5.60,7500,5.60
2013-02-28,5.66,5.66,5.57,5.59,6500,5.59
2013-02-27,5.53,5.60,5.52,5.60,3300,5.60
2013-02-26,5.56,5.59,5.53,5.59,15800,5.59
2013-02-25,5.60,5.60,5.60,5.60,12500,5.60
2013-02-22,5.60,5.60,5.57,5.60,37700,5.60
2013-02-21,5.63,5.63,5.61,5.62,23400,5.62
2013-02-20,5.63,5.65,5.60,5.63,2800,5.63
2013-02-19,5.63,5.63,5.60,5.60,2400,5.60
2013-02-18,5.61,5.73,5.60,5.63,1700,5.63
