Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.37,0.37,0.36,0.37,15000,0.37
2013-05-22,0.39,0.39,0.36,0.36,3000,0.36
2013-05-21,0.36,0.36,0.36,0.36,3700,0.36
2013-05-20,0.38,0.38,0.38,0.38,000,0.38
2013-05-17,0.37,0.38,0.37,0.38,4000,0.38
2013-05-16,0.37,0.37,0.37,0.37,3300,0.37
2013-05-15,0.38,0.38,0.38,0.38,700,0.38
2013-05-14,0.38,0.38,0.38,0.38,5100,0.38
2013-05-13,0.37,0.38,0.36,0.38,5900,0.38
2013-05-10,0.38,0.39,0.38,0.38,7500,0.38
2013-05-09,0.42,0.42,0.38,0.40,10200,0.40
2013-05-08,0.40,0.40,0.40,0.40,000,0.40
2013-05-07,0.40,0.40,0.40,0.40,000,0.40
2013-05-06,0.40,0.40,0.40,0.40,000,0.40
2013-05-03,0.40,0.40,0.40,0.40,000,0.40
2013-05-02,0.40,0.40,0.40,0.40,000,0.40
2013-05-01,0.40,0.40,0.40,0.40,000,0.40
2013-04-30,0.29,0.40,0.29,0.40,1200,0.40
2013-04-29,0.39,0.39,0.39,0.39,000,0.39
2013-04-26,0.39,0.39,0.39,0.39,000,0.39
2013-04-25,0.42,0.42,0.38,0.39,4000,0.39
2013-04-24,0.40,0.40,0.40,0.40,000,0.40
2013-04-23,0.34,0.36,0.34,0.35,200,0.35
2013-04-22,0.37,0.44,0.35,0.37,3200,0.37
2013-04-19,0.37,0.38,0.35,0.35,3300,0.35
2013-04-18,0.37,0.37,0.37,0.37,300,0.37
2013-04-17,0.35,0.35,0.35,0.35,2000,0.35
2013-04-16,0.36,0.36,0.36,0.36,000,0.36
2013-04-15,0.36,0.37,0.35,0.36,4500,0.36
2013-04-12,0.37,0.38,0.37,0.38,3000,0.38
2013-04-11,0.39,0.39,0.39,0.39,000,0.39
2013-04-10,0.34,0.36,0.34,0.36,9000,0.36
2013-04-09,0.32,0.36,0.32,0.33,8400,0.33
2013-04-08,0.33,0.33,0.33,0.33,1000,0.33
2013-04-05,0.34,0.40,0.32,0.33,32200,0.33
2013-04-04,0.37,0.38,0.35,0.36,19000,0.36
2013-04-03,0.34,0.34,0.34,0.34,000,0.34
2013-04-02,0.38,0.38,0.34,0.34,10000,0.34
2013-04-01,0.36,0.36,0.36,0.36,000,0.36
2013-03-29,0.36,0.36,0.36,0.36,000,0.36
2013-03-28,0.35,0.37,0.35,0.36,19900,0.36
2013-03-27,0.34,0.36,0.34,0.35,8500,0.35
2013-03-26,0.38,0.38,0.38,0.38,000,0.38
2013-03-25,0.38,0.38,0.38,0.38,000,0.38
2013-03-22,0.38,0.38,0.38,0.38,000,0.38
2013-03-21,0.38,0.38,0.38,0.38,200,0.38
2013-03-20,0.36,0.39,0.36,0.38,1100,0.38
2013-03-19,0.39,0.39,0.39,0.39,300,0.39
2013-03-18,0.41,0.41,0.41,0.41,000,0.41
2013-03-15,0.41,0.41,0.41,0.41,000,0.41
2013-03-14,0.41,0.41,0.41,0.41,000,0.41
2013-03-13,0.41,0.41,0.41,0.41,000,0.41
2013-03-12,0.41,0.41,0.41,0.41,000,0.41
2013-03-11,0.41,0.41,0.41,0.41,200,0.41
2013-03-08,0.36,0.40,0.36,0.40,6700,0.40
2013-03-07,0.38,0.38,0.38,0.38,10900,0.38
2013-03-06,0.38,0.40,0.38,0.40,200,0.40
2013-03-05,0.39,0.39,0.39,0.39,14400,0.39
2013-03-04,0.38,0.39,0.38,0.39,500,0.39
2013-03-01,0.40,0.40,0.39,0.39,40200,0.39
2013-02-28,0.40,0.41,0.40,0.40,1700,0.40
2013-02-27,0.40,0.42,0.40,0.42,6400,0.42
2013-02-26,0.43,0.43,0.43,0.43,000,0.43
2013-02-25,0.43,0.43,0.43,0.43,2200,0.43
2013-02-22,0.40,0.41,0.40,0.41,10200,0.41
2013-02-21,0.43,0.43,0.43,0.43,000,0.43
2013-02-20,0.42,0.43,0.42,0.43,13000,0.43
2013-02-19,0.42,0.42,0.40,0.42,1700,0.42
2013-02-18,0.45,0.45,0.41,0.42,9900,0.42
2013-02-15,0.44,0.44,0.40,0.43,27400,0.43
2013-02-14,0.40,0.42,0.40,0.42,13400,0.42
2013-02-13,0.40,0.42,0.40,0.40,4000,0.40
2013-02-12,0.39,0.40,0.39,0.40,600,0.40
2013-02-11,0.40,0.41,0.40,0.41,19000,0.41
2013-02-08,0.42,0.43,0.41,0.41,6600,0.41
2013-02-07,0.42,0.42,0.42,0.42,9100,0.42
2013-02-06,0.42,0.43,0.41,0.42,32400,0.42
2013-02-05,0.41,0.42,0.41,0.42,6400,0.42
2013-02-04,0.41,0.42,0.39,0.41,11100,0.41
2013-02-01,0.43,0.43,0.42,0.42,6600,0.42
