Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,3.98,3.98,3.89,3.95,3200,3.95
2013-05-22,3.85,3.99,3.85,3.91,3000,3.91
2013-05-21,3.91,3.91,3.85,3.86,12600,3.86
2013-05-20,3.94,3.94,3.88,3.91,13200,3.91
2013-05-17,4.00,4.00,4.00,4.00,7400,4.00
2013-05-16,4.05,4.05,4.01,4.03,13700,4.03
2013-05-15,4.10,4.13,4.10,4.11,15600,4.11
2013-05-14,4.06,4.07,4.05,4.06,11700,4.06
2013-05-13,4.00,4.00,3.99,4.00,13700,4.00
2013-05-10,4.11,4.11,4.00,4.05,7900,4.05
2013-05-09,4.19,4.19,4.06,4.11,8100,4.11
2013-05-08,4.01,4.17,4.01,4.10,16500,4.10
2013-05-07,3.96,3.96,3.96,3.96,000,3.96
2013-05-06,3.96,3.96,3.96,3.96,000,3.96
2013-05-03,3.96,3.96,3.96,3.96,000,3.96
2013-05-02,3.85,4.00,3.85,3.96,8200,3.96
2013-05-01,3.88,3.88,3.88,3.88,000,3.88
2013-04-30,3.88,3.88,3.88,3.88,7600,3.88
2013-04-29,3.90,3.90,3.76,3.79,9700,3.79
2013-04-26,3.89,3.89,3.89,3.89,2900,3.89
2013-04-25,3.81,3.93,3.80,3.89,1800,3.89
2013-04-24,3.85,3.85,3.79,3.81,15300,3.81
2013-04-23,3.89,3.89,3.86,3.88,7100,3.88
2013-04-22,3.98,3.98,3.91,3.93,5400,3.93
2013-04-19,4.00,4.00,3.92,3.98,2300,3.98
2013-04-18,3.90,3.96,3.90,3.92,2700,3.92
2013-04-17,3.89,3.93,3.89,3.90,4900,3.90
2013-04-16,3.92,3.92,3.87,3.89,13800,3.89
2013-04-15,3.98,3.98,3.93,3.95,3800,3.95
2013-04-12,3.96,3.96,3.95,3.96,3200,3.96
2013-04-11,4.00,4.00,3.97,3.98,6500,3.98
2013-04-10,4.00,4.00,3.97,3.99,4300,3.99
2013-04-09,4.00,4.04,3.99,4.02,3800,4.02
2013-04-08,4.05,4.05,3.98,4.02,6300,4.02
2013-04-05,4.12,4.12,4.08,4.10,2700,4.10
2013-04-04,4.20,4.20,4.10,4.14,800,4.14
2013-04-03,4.14,4.14,4.11,4.12,2800,4.12
2013-04-02,4.18,4.18,4.13,4.16,5300,4.16
2013-04-01,4.09,4.09,4.09,4.09,000,4.09
2013-03-29,4.09,4.09,4.09,4.09,000,4.09
2013-03-28,4.10,4.14,4.01,4.09,3100,4.09
2013-03-27,4.19,4.19,4.10,4.13,9000,4.13
2013-03-26,4.22,4.22,4.20,4.21,7400,4.21
2013-03-25,4.24,4.24,4.24,4.24,000,4.24
2013-03-22,4.21,4.26,4.21,4.24,6200,4.24
2013-03-21,4.24,4.27,4.24,4.24,1700,4.24
2013-03-20,4.25,4.25,4.22,4.24,3100,4.24
2013-03-19,4.26,4.26,4.19,4.22,5800,4.22
2013-03-18,4.27,4.27,4.27,4.27,000,4.27
2013-03-15,4.28,4.28,4.26,4.27,2200,4.27
2013-03-14,4.30,4.30,4.29,4.29,3200,4.29
2013-03-13,4.30,4.30,4.29,4.30,7000,4.30
2013-03-12,4.30,4.30,4.28,4.29,7600,4.29
2013-03-11,4.20,4.39,4.19,4.32,5800,4.32
2013-03-08,4.40,4.40,3.63,3.78,9100,3.78
2013-03-07,4.44,4.44,4.39,4.40,5100,4.40
2013-03-06,4.45,4.45,4.41,4.43,3100,4.43
2013-03-05,4.45,4.46,4.45,4.45,1400,4.45
2013-03-04,4.47,4.47,4.43,4.45,2000,4.45
2013-03-01,4.47,4.47,4.46,4.47,4100,4.47
2013-02-28,4.44,4.49,4.44,4.48,3200,4.48
2013-02-27,4.45,4.45,4.40,4.42,4500,4.42
2013-02-26,4.45,4.50,4.45,4.46,1800,4.46
2013-02-25,4.55,4.55,4.52,4.53,8600,4.53
2013-02-22,4.46,4.62,4.46,4.57,13800,4.57
2013-02-21,4.47,4.47,4.45,4.46,2900,4.46
2013-02-20,4.48,4.49,4.47,4.48,1300,4.48
2013-02-19,4.49,4.49,4.48,4.48,700,4.48
2013-02-18,4.63,4.63,4.43,4.49,6600,4.49
2013-02-15,4.48,4.50,4.47,4.47,2300,4.47
2013-02-14,4.48,4.50,4.48,4.49,5300,4.49
2013-02-13,4.49,4.49,4.46,4.48,3100,4.48
2013-02-12,4.52,4.52,4.50,4.51,4700,4.51
2013-02-11,4.57,4.59,4.50,4.54,9000,4.54
2013-02-08,4.58,4.66,4.56,4.61,2300,4.61
