Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.80,0.80,0.80,0.80,000,0.80
2013-05-22,0.80,0.80,0.80,0.80,000,0.80
2013-05-21,0.80,0.80,0.80,0.80,000,0.80
2013-05-20,0.80,0.80,0.80,0.80,000,0.80
2013-05-17,0.80,0.80,0.80,0.80,1100,0.80
2013-05-16,0.80,0.80,0.80,0.80,000,0.80
2013-05-15,0.80,0.80,0.80,0.80,000,0.80
2013-05-14,0.80,0.80,0.80,0.80,000,0.80
2013-05-13,0.80,0.80,0.80,0.80,000,0.80
2013-05-10,0.80,0.80,0.80,0.80,400,0.80
2013-05-09,0.80,0.80,0.80,0.80,000,0.80
2013-05-08,0.80,0.80,0.80,0.80,000,0.80
2013-05-07,0.80,0.80,0.80,0.80,000,0.80
2013-05-06,0.80,0.80,0.80,0.80,000,0.80
2013-05-03,0.80,0.80,0.80,0.80,000,0.80
2013-05-02,0.80,0.80,0.80,0.80,000,0.80
2013-05-01,0.80,0.80,0.80,0.80,000,0.80
2013-04-30,0.80,0.80,0.80,0.80,000,0.80
2013-04-29,0.80,0.80,0.80,0.80,000,0.80
2013-04-26,0.80,0.80,0.80,0.80,000,0.80
2013-04-25,0.80,0.80,0.80,0.80,000,0.80
2013-04-24,0.80,0.80,0.80,0.80,000,0.80
2013-04-23,0.80,0.80,0.80,0.80,000,0.80
2013-04-22,0.80,0.80,0.80,0.80,000,0.80
2013-04-19,0.80,0.80,0.80,0.80,000,0.80
2013-04-18,0.80,0.80,0.80,0.80,000,0.80
2013-04-17,0.80,0.80,0.80,0.80,000,0.80
2013-04-16,0.80,0.80,0.80,0.80,000,0.80
2013-04-15,0.80,0.80,0.80,0.80,000,0.80
2013-04-12,0.80,0.80,0.80,0.80,000,0.80
2013-04-11,0.80,0.80,0.80,0.80,000,0.80
2013-04-10,0.80,0.80,0.80,0.80,000,0.80
2013-04-09,0.80,0.80,0.80,0.80,100,0.80
2013-04-08,0.80,0.80,0.80,0.80,000,0.80
2013-04-05,0.80,0.80,0.80,0.80,800,0.80
2013-04-04,0.80,0.80,0.80,0.80,000,0.80
2013-04-03,0.80,0.80,0.80,0.80,000,0.80
2013-04-02,0.80,0.80,0.80,0.80,000,0.80
2013-04-01,0.80,0.80,0.80,0.80,000,0.80
2013-03-29,0.80,0.80,0.80,0.80,000,0.80
2013-03-28,0.80,0.80,0.80,0.80,000,0.80
2013-03-27,0.80,0.80,0.80,0.80,000,0.80
2013-03-26,0.80,0.80,0.80,0.80,000,0.80
2013-03-25,0.80,0.80,0.80,0.80,000,0.80
2013-03-22,0.80,0.80,0.80,0.80,000,0.80
2013-03-21,0.80,0.80,0.80,0.80,000,0.80
2013-03-20,0.80,0.80,0.80,0.80,000,0.80
2013-03-19,0.80,0.80,0.80,0.80,000,0.80
2013-03-18,0.80,0.80,0.80,0.80,000,0.80
2013-03-15,0.80,0.80,0.80,0.80,000,0.80
2013-03-14,0.80,0.80,0.80,0.80,000,0.80
2013-03-13,0.80,0.80,0.80,0.80,000,0.80
2013-03-12,0.80,0.80,0.80,0.80,000,0.80
2013-03-11,0.80,0.80,0.80,0.80,000,0.80
2013-03-08,0.80,0.80,0.80,0.80,000,0.80
2013-03-07,0.80,0.80,0.80,0.80,600,0.80
2013-03-06,0.92,0.92,0.92,0.92,000,0.92
2013-03-05,0.92,0.92,0.92,0.92,000,0.92
2013-03-04,0.92,0.92,0.92,0.92,000,0.92
2013-03-01,0.92,0.92,0.92,0.92,10400,0.92
2013-02-28,1.10,1.10,1.10,1.10,000,1.10
2013-02-27,1.10,1.10,1.10,1.10,000,1.10
2013-02-26,1.10,1.10,1.10,1.10,000,1.10
2013-02-25,1.10,1.10,1.10,1.10,000,1.10
2013-02-22,1.10,1.10,1.10,1.10,000,1.10
2013-02-21,1.10,1.10,1.10,1.10,000,1.10
2013-02-20,1.10,1.10,1.10,1.10,100,1.10
2013-02-19,1.14,1.14,1.14,1.14,000,1.14
2013-02-18,1.14,1.14,1.14,1.14,000,1.14
2013-02-15,1.14,1.14,1.14,1.14,000,1.14
2013-02-14,1.14,1.14,1.14,1.14,000,1.14
2013-02-13,1.14,1.14,1.14,1.14,000,1.14
2013-02-12,1.14,1.14,1.14,1.14,000,1.14
2013-02-11,1.14,1.14,1.14,1.14,000,1.14
2013-02-08,1.12,1.20,1.12,1.14,2300,1.14
2013-02-07,1.40,1.40,1.40,1.40,000,1.40
2013-02-06,1.35,1.45,1.35,1.40,100,1.40
2013-02-05,1.15,1.35,1.15,1.28,100,1.28
2013-02-04,1.15,1.15,1.15,1.15,000,1.15
2013-02-01,1.15,1.15,1.15,1.15,000,1.15
2013-01-31,1.10,1.20,1.10,1.15,000,1.15
2013-01-30,1.26,1.26,1.26,1.26,000,1.26
2013-01-29,1.26,1.26,1.26,1.26,000,1.26
2013-01-28,1.26,1.26,1.26,1.26,200,1.26
