Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.25,0.25,0.25,0.25,100,0.25
2013-05-22,0.25,0.27,0.25,0.25,13900,0.25
2013-05-21,0.25,0.25,0.25,0.25,3000,0.25
2013-05-20,0.24,0.24,0.24,0.24,000,0.24
2013-05-17,0.24,0.24,0.24,0.24,000,0.24
2013-05-16,0.24,0.24,0.21,0.22,700,0.22
2013-05-15,0.20,0.21,0.20,0.20,3000,0.20
2013-05-14,0.20,0.20,0.20,0.20,000,0.20
2013-05-13,0.20,0.20,0.20,0.20,1900,0.20
2013-05-10,0.20,0.20,0.20,0.20,000,0.20
2013-05-09,0.15,0.18,0.15,0.17,1400,0.17
2013-05-08,0.18,0.18,0.18,0.18,800,0.18
2013-05-07,0.18,0.18,0.18,0.18,000,0.18
2013-05-06,0.18,0.18,0.18,0.18,000,0.18
2013-05-03,0.18,0.18,0.18,0.18,000,0.18
2013-05-02,0.18,0.18,0.18,0.18,000,0.18
2013-05-01,0.18,0.18,0.18,0.18,000,0.18
2013-04-30,0.18,0.18,0.18,0.18,000,0.18
2013-04-29,0.18,0.18,0.18,0.18,100,0.18
2013-04-26,0.23,0.23,0.20,0.22,12000,0.22
2013-04-25,0.26,0.26,0.26,0.26,000,0.26
2013-04-24,0.23,0.23,0.23,0.23,000,0.23
2013-04-23,0.23,0.23,0.23,0.23,000,0.23
2013-04-22,0.19,0.19,0.19,0.19,4900,0.19
2013-04-19,0.16,0.16,0.16,0.16,000,0.16
2013-04-18,0.12,0.16,0.12,0.14,900,0.14
2013-04-17,0.13,0.13,0.13,0.13,000,0.13
2013-04-16,0.13,0.13,0.13,0.13,6600,0.13
2013-04-15,0.13,0.13,0.13,0.13,000,0.13
2013-04-12,0.13,0.13,0.13,0.13,000,0.13
2013-04-11,0.11,0.11,0.11,0.11,000,0.11
2013-04-10,0.09,0.12,0.09,0.11,200,0.11
2013-04-09,0.11,0.11,0.11,0.11,23000,0.11
2013-04-08,0.10,0.10,0.10,0.10,000,0.10
2013-04-05,0.10,0.10,0.10,0.10,000,0.10
2013-04-04,0.10,0.10,0.10,0.10,14000,0.10
2013-04-03,0.11,0.11,0.11,0.11,000,0.11
2013-04-02,0.11,0.11,0.11,0.11,200,0.11
2013-04-01,0.11,0.11,0.11,0.11,000,0.11
2013-03-29,0.11,0.11,0.11,0.11,000,0.11
2013-03-28,0.11,0.11,0.11,0.11,200,0.11
2013-03-27,0.12,0.12,0.12,0.12,500,0.12
2013-03-26,0.13,0.13,0.13,0.13,500,0.13
2013-03-25,0.16,0.16,0.16,0.16,000,0.16
2013-03-22,0.16,0.16,0.16,0.16,000,0.16
2013-03-21,0.16,0.16,0.16,0.16,000,0.16
2013-03-20,0.16,0.16,0.16,0.16,000,0.16
2013-03-19,0.16,0.16,0.16,0.16,000,0.16
2013-03-18,0.16,0.16,0.16,0.16,000,0.16
2013-03-15,0.16,0.16,0.16,0.16,000,0.16
2013-03-14,0.16,0.16,0.16,0.16,800,0.16
2013-03-13,0.15,0.15,0.15,0.15,000,0.15
2013-03-12,0.13,0.17,0.13,0.15,1500,0.15
2013-03-11,0.16,0.16,0.16,0.16,100,0.16
2013-03-08,0.16,0.16,0.16,0.16,000,0.16
2013-03-07,0.16,0.16,0.16,0.16,000,0.16
2013-03-06,0.16,0.16,0.16,0.16,000,0.16
2013-03-05,0.16,0.16,0.16,0.16,000,0.16
2013-03-04,0.16,0.16,0.16,0.16,000,0.16
2013-03-01,0.16,0.16,0.16,0.16,000,0.16
2013-02-28,0.16,0.16,0.16,0.16,1000,0.16
2013-02-27,0.15,0.22,0.15,0.16,400,0.16
2013-02-26,0.18,0.18,0.18,0.18,3500,0.18
2013-02-25,0.17,0.17,0.17,0.17,2100,0.17
2013-02-22,0.17,0.17,0.17,0.17,100,0.17
2013-02-21,0.21,0.21,0.21,0.21,000,0.21
2013-02-20,0.21,0.21,0.21,0.21,000,0.21
2013-02-19,0.21,0.21,0.21,0.21,000,0.21
2013-02-18,0.21,0.21,0.21,0.21,000,0.21
2013-02-15,0.21,0.21,0.21,0.21,000,0.21
2013-02-14,0.21,0.21,0.21,0.21,200,0.21
2013-02-13,0.23,0.24,0.19,0.22,2700,0.22
2013-02-12,0.23,0.23,0.23,0.23,000,0.23
