Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.04,0.05,0.04,0.05,10000,0.05
2013-05-22,0.05,0.05,0.04,0.05,98700,0.05
2013-05-21,0.05,0.05,0.05,0.05,9200,0.05
2013-05-20,0.05,0.05,0.05,0.05,82300,0.05
2013-05-17,0.05,0.05,0.05,0.05,56600,0.05
2013-05-16,0.04,0.04,0.04,0.04,427900,0.04
2013-05-15,0.04,0.04,0.03,0.04,42300,0.04
2013-05-14,0.04,0.04,0.04,0.04,511200,0.04
2013-05-13,0.04,0.04,0.04,0.04,5500,0.04
2013-05-10,0.05,0.05,0.04,0.04,29600,0.04
2013-05-09,0.05,0.05,0.04,0.04,30400,0.04
2013-05-08,0.05,0.05,0.05,0.05,300,0.05
2013-05-07,0.05,0.05,0.05,0.05,000,0.05
2013-05-06,0.05,0.05,0.05,0.05,000,0.05
2013-05-03,0.05,0.05,0.05,0.05,000,0.05
2013-05-02,0.04,0.05,0.04,0.05,10200,0.05
2013-05-01,0.05,0.05,0.05,0.05,000,0.05
2013-04-30,0.05,0.05,0.05,0.05,000,0.05
2013-04-29,0.05,0.05,0.05,0.05,8500,0.05
2013-04-26,0.05,0.05,0.05,0.05,3200,0.05
2013-04-25,0.05,0.05,0.04,0.04,12400,0.04
2013-04-24,0.05,0.05,0.04,0.05,31000,0.05
2013-04-23,0.05,0.05,0.05,0.05,4200,0.05
2013-04-22,0.05,0.05,0.04,0.04,35400,0.04
2013-04-19,0.05,0.05,0.04,0.04,18000,0.04
2013-04-18,0.05,0.05,0.05,0.05,3500,0.05
2013-04-17,0.05,0.05,0.05,0.05,8700,0.05
2013-04-16,0.05,0.05,0.05,0.05,2700,0.05
2013-04-15,0.05,0.05,0.04,0.04,44400,0.04
2013-04-12,0.04,0.04,0.04,0.04,18800,0.04
2013-04-11,0.04,0.04,0.04,0.04,35100,0.04
2013-04-10,0.04,0.04,0.03,0.03,20500,0.03
2013-04-09,0.04,0.04,0.04,0.04,83700,0.04
2013-04-08,0.04,0.04,0.04,0.04,3300,0.04
2013-04-05,0.04,0.04,0.03,0.04,13900,0.04
2013-04-04,0.05,0.05,0.04,0.04,31000,0.04
2013-04-03,0.05,0.05,0.04,0.04,20500,0.04
2013-04-02,0.05,0.05,0.05,0.05,17300,0.05
2013-04-01,0.05,0.05,0.05,0.05,000,0.05
2013-03-29,0.05,0.05,0.05,0.05,000,0.05
2013-03-28,0.05,0.05,0.05,0.05,12300,0.05
2013-03-27,0.04,0.04,0.04,0.04,31300,0.04
2013-03-26,0.06,0.06,0.05,0.05,12800,0.05
2013-03-25,0.06,0.06,0.06,0.06,000,0.06
2013-03-22,0.06,0.06,0.06,0.06,12700,0.06
2013-03-21,0.07,0.07,0.05,0.06,54900,0.06
2013-03-20,0.06,0.06,0.06,0.06,13000,0.06
2013-03-19,0.07,0.07,0.07,0.07,000,0.07
2013-03-18,0.07,0.07,0.07,0.07,000,0.07
2013-03-15,0.07,0.07,0.07,0.07,49000,0.07
2013-03-14,0.07,0.07,0.07,0.07,4000,0.07
2013-03-13,0.07,0.07,0.07,0.07,12000,0.07
2013-03-12,0.06,0.07,0.06,0.07,84700,0.07
2013-03-11,0.07,0.07,0.07,0.07,10800,0.07
2013-03-08,0.07,0.07,0.07,0.07,19700,0.07
2013-03-07,0.07,0.07,0.07,0.07,295900,0.07
2013-03-06,0.07,0.07,0.07,0.07,6000,0.07
2013-03-05,0.07,0.07,0.07,0.07,9500,0.07
2013-03-04,0.07,0.07,0.07,0.07,2300,0.07
2013-03-01,0.08,0.08,0.06,0.06,130700,0.06
2013-02-28,0.09,0.09,0.07,0.08,45100,0.08
2013-02-27,0.09,0.09,0.09,0.09,2300,0.09
2013-02-26,0.09,0.09,0.06,0.09,15100,0.09
2013-02-25,0.07,0.07,0.07,0.07,15200,0.07
2013-02-22,0.07,0.07,0.07,0.07,10300,0.07
2013-02-21,0.07,0.07,0.07,0.07,36200,0.07
2013-02-20,0.07,0.07,0.07,0.07,13100,0.07
2013-02-19,0.07,0.07,0.07,0.07,11400,0.07
2013-02-18,0.07,0.07,0.07,0.07,24200,0.07
2013-02-15,0.07,0.07,0.06,0.06,131500,0.06
2013-02-14,0.07,0.07,0.07,0.07,35000,0.07
2013-02-13,0.07,0.07,0.07,0.07,19200,0.07
2013-02-12,0.07,0.07,0.07,0.07,45900,0.07
2013-02-11,0.07,0.07,0.07,0.07,85000,0.07
2013-02-08,0.07,0.07,0.07,0.07,19000,0.07
2013-02-07,0.07,0.07,0.07,0.07,12600,0.07
2013-02-06,0.07,0.07,0.06,0.07,26000,0.07
2013-02-05,0.07,0.07,0.06,0.07,8200,0.07
2013-02-04,0.07,0.07,0.06,0.07,29000,0.07
2013-02-01,0.08,0.08,0.06,0.07,81600,0.07
2013-01-31,0.08,0.08,0.07,0.08,158800,0.08
2013-01-30,0.07,0.07,0.07,0.07,38100,0.07
2013-01-29,0.07,0.07,0.07,0.07,122300,0.07
2013-01-28,0.06,0.06,0.06,0.06,16200,0.06
2013-01-25,0.06,0.06,0.06,0.06,127200,0.06
2013-01-24,0.05,0.05,0.05,0.05,190000,0.05
2013-01-23,0.05,0.06,0.05,0.05,130600,0.05
2013-01-22,0.06,0.06,0.05,0.05,174300,0.05
2013-01-21,0.06,0.06,0.06,0.06,197600,0.06
2013-01-18,0.06,0.06,0.06,0.06,178500,0.06
2013-01-17,0.05,0.06,0.05,0.05,337100,0.05
2013-01-16,0.06,0.06,0.06,0.06,125200,0.06
2013-01-15,0.08,0.08,0.07,0.08,209500,0.08
2013-01-14,0.09,0.09,0.09,0.09,248500,0.09
2013-01-11,0.07,0.07,0.07,0.07,260500,0.07
2013-01-10,0.06,0.06,0.06,0.06,101900,0.06
2013-01-09,0.05,0.05,0.05,0.05,536300,0.05
2013-01-08,0.04,0.04,0.04,0.04,173600,0.04
2013-01-07,0.04,0.04,0.04,0.04,130900,0.04
2013-01-04,0.03,0.03,0.03,0.03,177800,0.03
2013-01-03,0.03,0.03,0.03,0.03,333200,0.03
2013-01-02,0.02,0.02,0.02,0.02,345100,0.02
2013-01-01,0.02,0.02,0.02,0.02,000,0.02
2012-12-31,0.02,0.02,0.02,0.02,000,0.02
2012-12-28,0.02,0.02,0.02,0.02,84800,0.02
2012-12-27,0.02,0.02,0.02,0.02,52000,0.02
2012-12-26,0.02,0.02,0.02,0.02,000,0.02
2012-12-25,0.02,0.02,0.02,0.02,000,0.02
2012-12-24,0.02,0.02,0.02,0.02,000,0.02
2012-12-21,0.02,0.02,0.02,0.02,23000,0.02
2012-12-20,0.02,0.02,0.02,0.02,2000,0.02
2012-12-19,0.02,0.02,0.02,0.02,54600,0.02
2012-12-18,0.02,0.02,0.02,0.02,10000,0.02
2012-12-17,0.02,0.02,0.02,0.02,65300,0.02
2012-12-14,0.02,0.02,0.02,0.02,2800,0.02
2012-12-13,0.02,0.02,0.02,0.02,21000,0.02
2012-12-12,0.02,0.02,0.02,0.02,20000,0.02
2012-12-11,0.02,0.02,0.02,0.02,53400,0.02
2012-12-10,0.02,0.02,0.02,0.02,33200,0.02
2012-12-07,0.02,0.02,0.02,0.02,3100,0.02
2012-12-06,0.02,0.02,0.02,0.02,6100,0.02
2012-12-05,0.02,0.02,0.02,0.02,000,0.02
2012-12-04,0.02,0.02,0.02,0.02,1000,0.02
2012-12-03,0.02,0.02,0.02,0.02,000,0.02
2012-11-30,0.02,0.02,0.02,0.02,12000,0.02
2012-11-29,0.02,0.02,0.02,0.02,2300,0.02
2012-11-28,0.02,0.02,0.02,0.02,98100,0.02
2012-11-27,0.02,0.02,0.02,0.02,5600,0.02
2012-11-26,0.02,0.02,0.02,0.02,100,0.02
2012-11-23,0.02,0.02,0.02,0.02,5100,0.02
2012-11-22,0.02,0.02,0.02,0.02,5100,0.02
2012-11-21,0.02,0.02,0.02,0.02,2500,0.02
2012-11-20,0.02,0.02,0.02,0.02,500,0.02
2012-11-19,0.02,0.02,0.02,0.02,7700,0.02
2012-11-16,0.02,0.02,0.02,0.02,11500,0.02
2012-11-15,0.02,0.02,0.02,0.02,000,0.02
2012-11-14,0.02,0.02,0.02,0.02,000,0.02
2012-11-13,0.02,0.02,0.02,0.02,1600,0.02
2012-11-12,0.02,0.02,0.02,0.02,000,0.02
2012-11-09,0.02,0.02,0.02,0.02,10000,0.02
2012-11-08,0.02,0.02,0.02,0.02,7600,0.02
2012-11-07,0.02,0.02,0.02,0.02,5000,0.02
2012-11-06,0.02,0.02,0.02,0.02,800,0.02
2012-11-05,0.02,0.02,0.02,0.02,000,0.02
2012-11-02,0.02,0.02,0.02,0.02,1000,0.02
2012-11-01,0.02,0.02,0.02,0.02,10000,0.02
2012-10-31,0.02,0.02,0.02,0.02,23900,0.02
2012-10-30,0.02,0.02,0.02,0.02,1700,0.02
2012-10-29,0.02,0.02,0.02,0.02,000,0.02
2012-10-26,0.02,0.02,0.02,0.02,4500,0.02
2012-10-25,0.02,0.02,0.02,0.02,35000,0.02
2012-10-24,0.02,0.02,0.02,0.02,200,0.02
2012-10-23,0.02,0.02,0.02,0.02,1300,0.02
2012-10-22,0.02,0.02,0.02,0.02,158900,0.02
2012-10-19,0.02,0.02,0.02,0.02,2200,0.02
2012-10-18,0.02,0.02,0.02,0.02,5800,0.02
2012-10-17,0.02,0.02,0.02,0.02,52800,0.02
2012-10-16,0.02,0.02,0.02,0.02,000,0.02
2012-10-15,0.02,0.02,0.02,0.02,23300,0.02
2012-10-12,0.02,0.02,0.02,0.02,6800,0.02
2012-10-11,0.02,0.02,0.02,0.02,12000,0.02
2012-10-10,0.02,0.02,0.02,0.02,36700,0.02
