Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.28,0.32,0.28,0.31,8300,0.31
2013-05-22,0.26,0.30,0.25,0.29,18500,0.29
2013-05-21,0.30,0.30,0.26,0.26,12900,0.26
2013-05-20,0.33,0.34,0.27,0.27,25500,0.27
2013-05-17,0.32,0.34,0.32,0.32,21000,0.32
2013-05-16,0.34,0.34,0.32,0.34,13500,0.34
2013-05-15,0.32,0.34,0.31,0.34,28500,0.34
2013-05-14,0.34,0.34,0.31,0.34,20700,0.34
2013-05-13,0.37,0.37,0.32,0.34,8300,0.34
2013-05-10,0.37,0.38,0.35,0.37,5700,0.37
2013-05-09,0.33,0.40,0.32,0.37,29500,0.37
2013-05-08,0.35,0.36,0.33,0.35,2500,0.35
2013-05-07,0.35,0.35,0.35,0.35,000,0.35
2013-05-06,0.35,0.35,0.35,0.35,000,0.35
2013-05-03,0.35,0.35,0.35,0.35,000,0.35
2013-05-02,0.34,0.36,0.33,0.35,5300,0.35
2013-05-01,0.34,0.34,0.34,0.34,000,0.34
2013-04-30,0.31,0.34,0.30,0.34,9600,0.34
2013-04-29,0.32,0.34,0.30,0.31,18600,0.31
2013-04-26,0.39,0.39,0.33,0.35,22600,0.35
2013-04-25,0.40,0.40,0.35,0.37,82400,0.37
2013-04-24,0.41,0.41,0.35,0.40,87800,0.40
2013-04-23,0.42,0.42,0.35,0.39,11100,0.39
2013-04-22,0.44,0.44,0.38,0.42,16000,0.42
2013-04-19,0.45,0.45,0.41,0.45,123800,0.45
2013-04-18,0.48,0.48,0.45,0.46,11500,0.46
2013-04-17,0.46,0.48,0.45,0.48,203500,0.48
2013-04-16,0.39,0.47,0.39,0.46,190300,0.46
2013-04-15,0.31,0.40,0.30,0.40,197700,0.40
2013-04-12,0.28,0.33,0.28,0.31,142400,0.31
2013-04-11,0.30,0.31,0.28,0.28,108000,0.28
2013-04-10,0.28,0.34,0.28,0.30,225000,0.30
2013-04-09,0.22,0.28,0.19,0.28,135100,0.28
2013-04-08,0.25,0.25,0.15,0.22,17200,0.22
2013-04-05,0.26,0.26,0.20,0.20,34200,0.20
2013-04-04,0.30,0.30,0.27,0.28,77400,0.28
2013-04-03,0.32,0.32,0.30,0.30,11100,0.30
2013-04-02,0.32,0.32,0.32,0.32,200,0.32
2013-04-01,0.32,0.32,0.32,0.32,000,0.32
2013-03-29,0.32,0.32,0.32,0.32,000,0.32
2013-03-28,0.33,0.34,0.28,0.32,14700,0.32
2013-03-27,0.38,0.39,0.28,0.33,17100,0.33
2013-03-26,0.38,0.38,0.34,0.37,1500,0.37
2013-03-25,0.38,0.38,0.38,0.38,000,0.38
2013-03-22,0.34,0.38,0.34,0.38,100,0.38
2013-03-21,0.36,0.38,0.34,0.38,18800,0.38
2013-03-20,0.39,0.40,0.35,0.38,30300,0.38
2013-03-19,0.38,0.41,0.37,0.40,49800,0.40
2013-03-18,0.40,0.40,0.40,0.40,000,0.40
2013-03-15,0.40,0.41,0.38,0.40,25100,0.40
2013-03-14,0.40,0.41,0.39,0.40,13200,0.40
2013-03-13,0.38,0.41,0.38,0.41,75200,0.41
2013-03-12,0.39,0.39,0.33,0.39,34000,0.39
2013-03-11,0.39,0.39,0.36,0.37,5000,0.37
2013-03-08,0.39,0.40,0.35,0.39,59600,0.39
