Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.21,0.22,0.20,0.22,2300,0.22
2013-05-22,0.22,0.22,0.22,0.22,200,0.22
2013-05-21,0.24,0.24,0.24,0.24,000,0.24
2013-05-20,0.24,0.24,0.24,0.24,2000,0.24
2013-05-17,0.27,0.27,0.27,0.27,200,0.27
2013-05-16,0.29,0.29,0.27,0.28,4600,0.28
2013-05-15,0.24,0.27,0.24,0.27,2300,0.27
2013-05-14,0.22,0.24,0.22,0.24,600,0.24
2013-05-13,0.21,0.22,0.21,0.22,800,0.22
2013-05-10,0.20,0.20,0.20,0.20,200,0.20
2013-05-09,0.20,0.22,0.20,0.22,1000,0.22
2013-05-08,0.21,0.21,0.21,0.21,500,0.21
2013-05-07,0.22,0.22,0.22,0.22,000,0.22
2013-05-06,0.22,0.22,0.22,0.22,000,0.22
2013-05-03,0.22,0.22,0.22,0.22,000,0.22
2013-05-02,0.22,0.23,0.22,0.22,1300,0.22
2013-05-01,0.23,0.23,0.23,0.23,000,0.23
2013-04-30,0.22,0.23,0.22,0.23,400,0.23
2013-04-29,0.22,0.22,0.22,0.22,000,0.22
2013-04-26,0.22,0.22,0.22,0.22,5400,0.22
2013-04-25,0.22,0.22,0.22,0.22,200,0.22
2013-04-24,0.22,0.22,0.22,0.22,100,0.22
2013-04-23,0.23,0.23,0.22,0.23,7000,0.23
2013-04-22,0.22,0.22,0.22,0.22,000,0.22
2013-04-19,0.24,0.24,0.24,0.24,000,0.24
2013-04-18,0.24,0.24,0.24,0.24,000,0.24
2013-04-17,0.23,0.25,0.23,0.24,10200,0.24
2013-04-16,0.25,0.25,0.22,0.22,800,0.22
2013-04-15,0.25,0.25,0.25,0.25,500,0.25
2013-04-12,0.25,0.25,0.21,0.25,1700,0.25
2013-04-11,0.27,0.27,0.22,0.22,1300,0.22
2013-04-10,0.27,0.27,0.25,0.25,1000,0.25
2013-04-09,0.29,0.29,0.26,0.26,1600,0.26
2013-04-08,0.25,0.29,0.25,0.29,2100,0.29
2013-04-05,0.23,0.27,0.23,0.27,500,0.27
2013-04-04,0.25,0.25,0.25,0.25,100,0.25
2013-04-03,0.28,0.28,0.28,0.28,100,0.28
2013-04-02,0.27,0.27,0.27,0.27,000,0.27
2013-04-01,0.27,0.27,0.27,0.27,000,0.27
2013-03-29,0.27,0.27,0.27,0.27,000,0.27
2013-03-28,0.27,0.27,0.27,0.27,000,0.27
2013-03-27,0.27,0.27,0.27,0.27,1000,0.27
2013-03-26,0.28,0.28,0.28,0.28,000,0.28
2013-03-25,0.28,0.28,0.28,0.28,000,0.28
2013-03-22,0.28,0.28,0.28,0.28,000,0.28
2013-03-21,0.28,0.28,0.28,0.28,000,0.28
2013-03-20,0.28,0.28,0.28,0.28,000,0.28
2013-03-19,0.28,0.28,0.28,0.28,000,0.28
2013-03-18,0.24,0.24,0.24,0.24,000,0.24
2013-03-15,0.24,0.24,0.24,0.24,000,0.24
2013-03-14,0.28,0.28,0.23,0.23,5500,0.23
2013-03-13,0.26,0.31,0.26,0.31,200,0.31
2013-03-12,0.21,0.30,0.21,0.30,7500,0.30
2013-03-11,0.23,0.30,0.23,0.30,1100,0.30
2013-03-08,0.29,0.29,0.29,0.29,000,0.29
2013-03-07,0.31,0.31,0.27,0.29,6700,0.29
2013-03-06,0.31,0.31,0.29,0.30,1600,0.30
2013-03-05,0.28,0.30,0.28,0.30,2000,0.30
2013-03-04,0.30,0.30,0.30,0.30,000,0.30
2013-03-01,0.31,0.31,0.30,0.30,1600,0.30
2013-02-28,0.31,0.31,0.31,0.31,000,0.31
2013-02-27,0.31,0.31,0.31,0.31,000,0.31
2013-02-26,0.31,0.31,0.31,0.31,000,0.31
2013-02-25,0.31,0.32,0.31,0.31,3700,0.31
2013-02-22,0.31,0.35,0.31,0.32,9000,0.32
2013-02-21,0.33,0.33,0.33,0.33,3000,0.33
2013-02-20,0.33,0.34,0.32,0.33,14500,0.33
2013-02-19,0.33,0.33,0.30,0.33,6400,0.33
2013-02-18,0.34,0.34,0.31,0.31,3500,0.31
2013-02-15,0.33,0.33,0.32,0.33,2500,0.33
2013-02-14,0.32,0.33,0.32,0.33,2100,0.33
2013-02-13,0.31,0.32,0.31,0.32,2600,0.32
2013-02-12,0.33,0.33,0.30,0.32,14900,0.32
2013-02-11,0.30,0.31,0.30,0.31,7000,0.31
2013-02-08,0.31,0.32,0.31,0.31,2200,0.31
2013-02-07,0.31,0.33,0.31,0.32,3100,0.32
2013-02-06,0.33,0.34,0.32,0.32,18800,0.32
2013-02-05,0.35,0.35,0.35,0.35,2000,0.35
2013-02-04,0.39,0.39,0.38,0.38,4200,0.38
2013-02-01,0.40,0.40,0.33,0.38,3000,0.38
2013-01-31,0.33,0.40,0.33,0.40,1500,0.40
2013-01-30,0.34,0.37,0.34,0.36,1700,0.36
2013-01-29,0.33,0.37,0.33,0.33,600,0.33
2013-01-28,0.36,0.36,0.36,0.36,600,0.36
2013-01-25,0.36,0.36,0.34,0.36,1500,0.36
2013-01-24,0.36,0.36,0.36,0.36,000,0.36
2013-01-23,0.33,0.36,0.33,0.36,3800,0.36
2013-01-22,0.35,0.35,0.35,0.35,2900,0.35
2013-01-21,0.36,0.37,0.35,0.36,5100,0.36
2013-01-18,0.40,0.40,0.35,0.35,6600,0.35
2013-01-17,0.39,0.39,0.35,0.39,2100,0.39
2013-01-16,0.38,0.38,0.38,0.38,2000,0.38
2013-01-15,0.36,0.37,0.36,0.37,4000,0.37
2013-01-14,0.36,0.39,0.36,0.36,4000,0.36
2013-01-11,0.39,0.39,0.39,0.39,100,0.39
2013-01-10,0.41,0.41,0.40,0.40,4000,0.40
2013-01-09,0.44,0.44,0.40,0.40,400,0.40
2013-01-08,0.37,0.41,0.37,0.41,13100,0.41
2013-01-07,0.37,0.37,0.37,0.37,1000,0.37
2013-01-04,0.38,0.38,0.37,0.37,3000,0.37
2013-01-03,0.37,0.37,0.37,0.37,1900,0.37
2013-01-02,0.37,0.37,0.37,0.37,2800,0.37
2013-01-01,0.34,0.34,0.34,0.34,000,0.34
2012-12-31,0.34,0.34,0.34,0.34,000,0.34
2012-12-28,0.34,0.34,0.33,0.34,5200,0.34
2012-12-27,0.31,0.34,0.31,0.34,2900,0.34
2012-12-26,0.31,0.31,0.31,0.31,000,0.31
2012-12-25,0.31,0.31,0.31,0.31,000,0.31
2012-12-24,0.31,0.31,0.31,0.31,000,0.31
2012-12-21,0.30,0.31,0.30,0.31,1300,0.31
2012-12-20,0.29,0.29,0.29,0.29,1500,0.29
2012-12-19,0.28,0.29,0.28,0.29,200,0.29
2012-12-18,0.30,0.30,0.30,0.30,000,0.30
2012-12-17,0.33,0.34,0.26,0.30,6300,0.30
2012-12-14,0.32,0.32,0.32,0.32,3200,0.32
2012-12-13,0.34,0.34,0.34,0.34,700,0.34
2012-12-12,0.33,0.34,0.33,0.34,900,0.34
2012-12-11,0.32,0.32,0.32,0.32,2500,0.32
2012-12-10,0.32,0.32,0.32,0.32,4700,0.32
2012-12-07,0.35,0.35,0.35,0.35,700,0.35
2012-12-06,0.33,0.33,0.33,0.33,000,0.33
2012-12-05,0.33,0.33,0.33,0.33,000,0.33
2012-12-04,0.33,0.33,0.33,0.33,000,0.33
2012-12-03,0.33,0.33,0.33,0.33,000,0.33
2012-11-30,0.34,0.34,0.34,0.34,000,0.34
2012-11-29,0.34,0.34,0.34,0.34,300,0.34
2012-11-28,0.34,0.34,0.31,0.32,2000,0.32
2012-11-27,0.33,0.33,0.33,0.33,2100,0.33
2012-11-26,0.32,0.33,0.32,0.32,1200,0.32
2012-11-23,0.32,0.32,0.32,0.32,1000,0.32
2012-11-22,0.31,0.32,0.31,0.32,7000,0.32
2012-11-21,0.32,0.32,0.32,0.32,700,0.32
2012-11-20,0.30,0.32,0.30,0.32,3800,0.32
2012-11-19,0.33,0.33,0.29,0.32,18000,0.32
2012-11-16,0.30,0.31,0.30,0.31,2000,0.31
2012-11-15,0.31,0.33,0.30,0.30,5400,0.30
2012-11-14,0.34,0.34,0.33,0.33,1000,0.33
2012-11-13,0.31,0.32,0.30,0.32,2700,0.32
2012-11-12,0.33,0.33,0.33,0.33,000,0.33
2012-11-09,0.33,0.33,0.31,0.31,1800,0.31
2012-11-08,0.31,0.35,0.31,0.35,1600,0.35
2012-11-07,0.35,0.35,0.33,0.34,400,0.34
2012-11-06,0.35,0.35,0.35,0.35,100,0.35
2012-11-05,0.31,0.31,0.31,0.31,1000,0.31
2012-11-02,0.32,0.32,0.32,0.32,3000,0.32
2012-11-01,0.31,0.32,0.31,0.32,5400,0.32
2012-10-31,0.31,0.31,0.31,0.31,2000,0.31
2012-10-30,0.34,0.34,0.26,0.27,1900,0.27
2012-10-29,0.34,0.34,0.34,0.34,1000,0.34
2012-10-26,0.35,0.35,0.35,0.35,000,0.35
2012-10-25,0.34,0.35,0.34,0.35,1500,0.35
2012-10-24,0.34,0.34,0.34,0.34,2000,0.34
2012-10-23,0.36,0.36,0.34,0.36,17800,0.36
2012-10-22,0.33,0.35,0.33,0.33,2100,0.33
2012-10-19,0.38,0.38,0.38,0.38,000,0.38
2012-10-18,0.38,0.38,0.28,0.38,1000,0.38
2012-10-17,0.40,0.40,0.29,0.39,2000,0.39
2012-10-16,0.40,0.40,0.40,0.40,000,0.40
2012-10-15,0.26,0.35,0.26,0.35,000,0.35
2012-10-12,0.37,0.37,0.37,0.37,000,0.37
2012-10-11,0.37,0.37,0.37,0.37,000,0.37
2012-10-10,0.36,0.36,0.36,0.36,400,0.36
2012-10-09,0.27,0.37,0.27,0.37,2000,0.37
2012-10-08,0.38,0.38,0.38,0.38,000,0.38
2012-10-05,0.35,0.35,0.33,0.35,1900,0.35
2012-10-04,0.30,0.35,0.30,0.35,100,0.35
2012-10-03,0.33,0.33,0.33,0.33,800,0.33
2012-10-02,0.30,0.30,0.30,0.30,2000,0.30
2012-10-01,0.30,0.30,0.30,0.30,2000,0.30
2012-09-28,0.30,0.30,0.30,0.30,1000,0.30
2012-09-27,0.24,0.28,0.24,0.28,6800,0.28
2012-09-26,0.25,0.27,0.25,0.26,14400,0.26
2012-09-25,0.28,0.31,0.28,0.28,16900,0.28
2012-09-24,0.31,0.31,0.31,0.31,4000,0.31
2012-09-21,0.34,0.34,0.34,0.34,000,0.34
2012-09-20,0.34,0.34,0.34,0.34,000,0.34
2012-09-19,0.34,0.34,0.34,0.34,000,0.34
2012-09-18,0.34,0.34,0.34,0.34,000,0.34
2012-09-17,0.34,0.34,0.34,0.34,000,0.34
2012-09-14,0.34,0.34,0.34,0.34,000,0.34
2012-09-13,0.34,0.34,0.34,0.34,000,0.34
2012-09-12,0.34,0.34,0.34,0.34,000,0.34
2012-09-11,0.34,0.34,0.34,0.34,000,0.34
2012-09-10,0.34,0.34,0.34,0.34,000,0.34
2012-09-07,0.34,0.34,0.34,0.34,000,0.34
2012-09-06,0.34,0.34,0.34,0.34,000,0.34
2012-09-05,0.34,0.34,0.34,0.34,000,0.34
2012-09-04,0.34,0.34,0.34,0.34,000,0.34
2012-09-03,0.34,0.34,0.34,0.34,000,0.34
2012-08-31,0.34,0.34,0.34,0.34,1000,0.34
2012-08-30,0.30,0.35,0.30,0.34,4000,0.34
2012-08-29,0.36,0.36,0.36,0.36,3500,0.36
2012-08-28,0.38,0.38,0.29,0.36,4600,0.36
2012-08-27,0.39,0.39,0.39,0.39,000,0.39
2012-08-24,0.39,0.39,0.39,0.39,1100,0.39
2012-08-23,0.40,0.40,0.40,0.40,000,0.40
2012-08-22,0.40,0.40,0.40,0.40,000,0.40
2012-08-21,0.40,0.40,0.40,0.40,000,0.40
2012-08-20,0.40,0.40,0.40,0.40,000,0.40
2012-08-17,0.29,0.40,0.29,0.40,1000,0.40
2012-08-16,0.40,0.40,0.40,0.40,000,0.40
2012-08-15,0.40,0.40,0.40,0.40,000,0.40
2012-08-14,0.40,0.40,0.40,0.40,000,0.40
2012-08-13,0.40,0.40,0.40,0.40,000,0.40
2012-08-10,0.40,0.40,0.40,0.40,000,0.40
2012-08-09,0.40,0.40,0.40,0.40,000,0.40
2012-08-08,0.40,0.40,0.40,0.40,000,0.40
2012-08-07,0.40,0.40,0.40,0.40,000,0.40
2012-08-06,0.40,0.40,0.40,0.40,000,0.40
2012-08-03,0.29,0.41,0.29,0.40,1000,0.40
2012-08-02,0.41,0.41,0.41,0.41,000,0.41
2012-08-01,0.41,0.41,0.41,0.41,100,0.41
2012-07-31,0.38,0.38,0.38,0.38,000,0.38
2012-07-30,0.35,0.38,0.35,0.35,3900,0.35
2012-07-27,0.35,0.35,0.35,0.35,2000,0.35
2012-07-26,0.35,0.39,0.35,0.39,5400,0.39
2012-07-25,0.35,0.38,0.35,0.35,4300,0.35
2012-07-24,0.39,0.39,0.39,0.39,000,0.39
2012-07-23,0.43,0.43,0.29,0.39,9200,0.39
2012-07-20,0.39,0.40,0.39,0.40,12000,0.40
2012-07-19,0.33,0.33,0.33,0.33,2000,0.33
2012-07-18,0.33,0.35,0.33,0.33,2100,0.33
2012-07-17,0.29,0.32,0.29,0.32,2700,0.32
2012-07-16,0.29,0.29,0.22,0.29,8100,0.29
2012-07-13,0.25,0.29,0.25,0.28,5000,0.28
2012-07-12,0.23,0.25,0.23,0.25,2900,0.25
2012-07-11,0.21,0.25,0.21,0.22,2400,0.22
2012-07-10,0.25,0.25,0.25,0.25,000,0.25
2012-07-09,0.25,0.25,0.25,0.25,000,0.25
2012-07-06,0.25,0.25,0.25,0.25,000,0.25
2012-07-05,0.24,0.25,0.24,0.25,700,0.25
2012-07-04,0.25,0.25,0.25,0.25,000,0.25
2012-07-03,0.24,0.24,0.24,0.24,000,0.24
2012-07-02,0.24,0.24,0.24,0.24,000,0.24
2012-06-29,0.22,0.24,0.22,0.24,1000,0.24
2012-06-28,0.25,0.25,0.25,0.25,000,0.25
2012-06-27,0.25,0.25,0.25,0.25,000,0.25
2012-06-26,0.25,0.25,0.25,0.25,000,0.25
2012-06-25,0.25,0.25,0.25,0.25,000,0.25
2012-06-22,0.25,0.25,0.25,0.25,2000,0.25
2012-06-21,0.23,0.25,0.23,0.25,6100,0.25
2012-06-20,0.25,0.25,0.23,0.24,6500,0.24
2012-06-19,0.25,0.28,0.25,0.25,5000,0.25
2012-06-18,0.27,0.27,0.25,0.25,12100,0.25
2012-06-15,0.25,0.26,0.25,0.26,3100,0.26
2012-06-14,0.20,0.25,0.20,0.25,1700,0.25
2012-06-13,0.16,0.20,0.16,0.20,1100,0.20
2012-06-12,0.15,0.19,0.15,0.17,2100,0.17
2012-06-11,0.17,0.17,0.15,0.15,12100,0.15
2012-06-08,0.14,0.14,0.14,0.14,5000,0.14
2012-06-07,0.14,0.14,0.14,0.14,000,0.14
2012-06-06,0.13,0.14,0.13,0.14,2500,0.14
2012-06-05,0.13,0.13,0.13,0.13,1200,0.13
2012-06-04,0.19,0.19,0.19,0.19,000,0.19
2012-06-01,0.19,0.19,0.19,0.19,1800,0.19
2012-05-31,0.18,0.18,0.18,0.18,3000,0.18
2012-05-30,0.14,0.18,0.14,0.18,7800,0.18
2012-05-29,0.20,0.20,0.14,0.14,3000,0.14
2012-05-28,0.20,0.20,0.20,0.20,000,0.20
2012-05-25,0.20,0.20,0.20,0.20,1000,0.20
2012-05-24,0.20,0.20,0.20,0.20,4700,0.20
2012-05-23,0.23,0.23,0.23,0.23,000,0.23
2012-05-22,0.20,0.23,0.20,0.23,000,0.23
2012-05-21,0.20,0.24,0.20,0.24,200,0.24
2012-05-18,0.20,0.24,0.20,0.24,300,0.24
2012-05-17,0.24,0.24,0.24,0.24,000,0.24
2012-05-16,0.24,0.24,0.24,0.24,000,0.24
2012-05-15,0.24,0.24,0.20,0.24,7000,0.24
2012-05-14,0.25,0.25,0.22,0.24,4000,0.24
2012-05-11,0.25,0.25,0.25,0.25,1200,0.25
2012-05-10,0.24,0.24,0.24,0.24,2000,0.24
2012-05-09,0.23,0.24,0.23,0.24,3500,0.24
2012-05-08,0.22,0.24,0.22,0.24,6300,0.24
2012-05-07,0.25,0.25,0.25,0.25,000,0.25
2012-05-04,0.25,0.25,0.25,0.25,2800,0.25
