Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,7.60,7.73,7.37,7.50,278100,7.50
2013-05-22,7.85,7.98,7.66,7.89,170900,7.89
2013-05-21,7.74,8.00,7.70,8.00,137900,8.00
2013-05-20,8.20,8.27,7.78,7.95,71500,7.95
2013-05-17,7.94,8.70,7.70,8.20,170200,8.20
2013-05-16,7.90,7.94,7.60,7.90,101000,7.90
2013-05-15,7.99,8.05,7.72,7.90,52800,7.90
2013-05-14,8.04,8.08,7.81,7.81,54900,7.81
2013-05-13,7.53,8.03,7.50,8.03,108900,8.03
2013-05-10,7.38,7.81,7.28,7.65,628300,7.65
2013-05-09,7.29,7.35,7.16,7.25,435400,7.25
2013-05-08,7.10,7.45,7.06,7.11,380900,7.11
2013-05-07,7.05,7.05,7.05,7.05,000,7.05
2013-05-06,7.05,7.05,7.05,7.05,000,7.05
2013-05-03,7.05,7.05,7.05,7.05,000,7.05
2013-05-02,7.16,7.29,6.99,7.05,36700,7.05
2013-05-01,7.15,7.15,7.15,7.15,000,7.15
2013-04-30,6.88,7.30,6.73,7.15,53100,7.15
2013-04-29,7.10,7.40,6.98,6.99,265700,6.99
2013-04-26,7.20,7.20,6.98,7.10,98800,7.10
2013-04-25,7.18,7.20,7.02,7.18,74900,7.18
2013-04-24,7.12,7.19,6.96,7.18,124400,7.18
2013-04-23,6.83,7.10,6.83,7.10,47400,7.10
2013-04-22,6.99,7.03,6.94,7.00,321000,7.00
2013-04-19,7.10,7.10,6.98,7.00,1261900,7.00
2013-04-18,7.20,7.20,7.00,7.10,289700,7.10
2013-04-17,6.95,7.20,6.95,7.20,155800,7.20
2013-04-16,7.07,7.14,6.74,6.90,375700,6.90
2013-04-15,6.42,7.07,6.42,7.07,81100,7.07
2013-04-12,6.90,6.90,6.54,6.82,96400,6.82
2013-04-11,6.70,6.70,6.49,6.70,116900,6.70
2013-04-10,6.38,6.70,6.12,6.70,105400,6.70
2013-04-09,5.90,6.10,5.78,6.10,73900,6.10
2013-04-08,5.60,5.85,5.59,5.70,137900,5.70
2013-04-05,5.90,6.00,5.82,5.82,36900,5.82
2013-04-04,5.92,6.00,5.75,6.00,240000,6.00
2013-04-03,5.59,5.90,5.59,5.89,127000,5.89
2013-04-02,5.56,5.60,5.43,5.59,330800,5.59
2013-04-01,5.56,5.56,5.56,5.56,000,5.56
2013-03-29,5.56,5.56,5.56,5.56,000,5.56
2013-03-28,5.30,5.69,4.95,5.56,472400,5.56
2013-03-27,5.73,5.73,4.85,5.30,371900,5.30
2013-03-26,6.46,6.47,5.66,5.78,446300,5.78
2013-03-25,6.47,6.47,6.47,6.47,000,6.47
2013-03-22,6.36,6.74,6.36,6.47,1065000,6.47
2013-03-21,6.35,6.66,6.20,6.66,286000,6.66
2013-03-20,6.36,6.54,6.28,6.35,191300,6.35
2013-03-19,6.75,6.95,6.55,6.55,187000,6.55
2013-03-18,7.12,7.12,7.12,7.12,000,7.12
2013-03-15,7.20,7.26,7.07,7.12,142300,7.12
2013-03-14,7.03,7.20,7.03,7.20,64700,7.20
2013-03-13,6.81,7.19,6.78,7.07,90200,7.07
2013-03-12,6.90,7.06,6.70,6.99,72500,6.99
2013-03-11,7.22,7.22,6.90,6.90,48300,6.90
2013-03-08,7.14,7.25,7.01,7.18,72300,7.18
2013-03-07,7.18,7.20,6.97,7.14,99000,7.14
2013-03-06,6.95,7.23,6.95,7.04,99200,7.04
2013-03-05,7.00,7.17,6.99,7.00,80200,7.00
2013-03-04,7.24,7.25,6.83,6.94,151800,6.94
2013-03-01,7.30,7.40,7.03,7.27,65500,7.27
