Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.68,0.68,0.68,0.68,000,0.68
2013-05-22,0.61,0.68,0.61,0.68,000,0.68
2013-05-21,0.68,0.68,0.68,0.68,000,0.68
2013-05-20,0.56,0.68,0.56,0.68,1700,0.68
2013-05-17,0.63,0.63,0.62,0.62,2900,0.62
2013-05-16,0.68,0.68,0.61,0.63,3100,0.63
2013-05-15,0.61,0.68,0.61,0.68,19900,0.68
2013-05-14,0.68,0.68,0.68,0.68,000,0.68
2013-05-13,0.68,0.68,0.68,0.68,000,0.68
2013-05-10,0.68,0.68,0.68,0.68,000,0.68
2013-05-09,0.65,0.69,0.58,0.68,3300,0.68
2013-05-08,0.65,0.65,0.65,0.65,1400,0.65
2013-05-07,0.72,0.72,0.72,0.72,000,0.72
2013-05-06,0.72,0.72,0.72,0.72,000,0.72
2013-05-03,0.72,0.72,0.72,0.72,000,0.72
2013-05-02,0.72,0.72,0.72,0.72,000,0.72
2013-05-01,0.72,0.72,0.72,0.72,000,0.72
2013-04-30,0.72,0.72,0.72,0.72,000,0.72
2013-04-29,0.72,0.72,0.72,0.72,000,0.72
2013-04-26,0.72,0.72,0.72,0.72,000,0.72
2013-04-25,0.72,0.72,0.72,0.72,000,0.72
2013-04-24,0.72,0.72,0.72,0.72,000,0.72
2013-04-23,0.72,0.72,0.72,0.72,000,0.72
2013-04-22,0.72,0.72,0.72,0.72,1300,0.72
2013-04-19,0.72,0.72,0.72,0.72,000,0.72
2013-04-18,0.72,0.72,0.72,0.72,000,0.72
2013-04-17,0.69,0.69,0.69,0.69,000,0.69
2013-04-16,0.67,0.69,0.67,0.69,1300,0.69
2013-04-15,0.74,0.74,0.74,0.74,000,0.74
2013-04-12,0.74,0.74,0.74,0.74,000,0.74
2013-04-11,0.74,0.74,0.74,0.74,000,0.74
2013-04-10,0.74,0.74,0.74,0.74,000,0.74
2013-04-09,0.74,0.74,0.74,0.74,000,0.74
2013-04-08,0.74,0.74,0.74,0.74,000,0.74
2013-04-05,0.74,0.74,0.74,0.74,000,0.74
2013-04-04,0.74,0.74,0.74,0.74,000,0.74
2013-04-03,0.74,0.74,0.74,0.74,000,0.74
2013-04-02,0.74,0.74,0.74,0.74,000,0.74
2013-04-01,0.69,0.69,0.69,0.69,000,0.69
2013-03-29,0.69,0.69,0.69,0.69,000,0.69
2013-03-28,0.57,0.69,0.57,0.69,2500,0.69
2013-03-27,0.70,0.70,0.65,0.65,600,0.65
2013-03-26,0.75,0.75,0.75,0.75,300,0.75
2013-03-25,0.75,0.75,0.75,0.75,000,0.75
2013-03-22,0.75,0.75,0.75,0.75,700,0.75
2013-03-21,0.75,0.75,0.75,0.75,700,0.75
2013-03-20,0.72,0.72,0.72,0.72,000,0.72
2013-03-19,0.57,0.72,0.57,0.72,2000,0.72
2013-03-18,0.82,0.82,0.82,0.82,000,0.82
2013-03-15,0.82,0.82,0.82,0.82,000,0.82
2013-03-14,0.82,0.82,0.82,0.82,000,0.82
2013-03-13,0.82,0.82,0.82,0.82,000,0.82
2013-03-12,0.82,0.82,0.82,0.82,000,0.82
2013-03-11,0.82,0.82,0.82,0.82,000,0.82
2013-03-08,0.70,0.82,0.70,0.82,000,0.82
2013-03-07,0.72,0.72,0.69,0.69,000,0.69
2013-03-06,0.72,0.72,0.72,0.72,000,0.72
2013-03-05,0.74,0.74,0.61,0.72,6000,0.72
2013-03-04,0.60,0.73,0.60,0.71,3200,0.71
2013-03-01,0.80,0.80,0.80,0.80,200,0.80
2013-02-28,0.80,0.80,0.80,0.80,400,0.80
2013-02-27,0.70,0.80,0.70,0.80,2600,0.80
2013-02-26,0.82,0.82,0.82,0.82,000,0.82
2013-02-25,0.82,0.82,0.82,0.82,000,0.82
2013-02-22,0.82,0.82,0.82,0.82,000,0.82
2013-02-21,0.82,0.82,0.82,0.82,000,0.82
2013-02-20,0.70,0.85,0.70,0.80,22200,0.80
2013-02-19,0.75,0.75,0.73,0.75,6500,0.75
2013-02-18,0.69,0.74,0.67,0.73,7000,0.73
2013-02-15,0.68,0.68,0.68,0.68,000,0.68
2013-02-14,0.55,0.68,0.55,0.68,4400,0.68
2013-02-13,0.69,0.69,0.69,0.69,000,0.69
2013-02-12,0.65,0.70,0.65,0.69,4500,0.69
2013-02-11,0.66,0.66,0.66,0.66,000,0.66
2013-02-08,0.60,0.68,0.60,0.66,7200,0.66
2013-02-07,0.62,0.67,0.62,0.63,2200,0.63
2013-02-06,0.68,0.68,0.68,0.68,1000,0.68
2013-02-05,0.73,0.73,0.73,0.73,000,0.73
2013-02-04,0.69,0.73,0.69,0.73,4100,0.73
2013-02-01,0.75,0.75,0.75,0.75,000,0.75
2013-01-31,0.75,0.75,0.75,0.75,000,0.75
2013-01-30,0.68,0.75,0.68,0.75,1800,0.75
2013-01-29,0.70,0.70,0.70,0.70,000,0.70
2013-01-28,0.70,0.70,0.70,0.70,000,0.70
2013-01-25,0.70,0.70,0.60,0.70,2900,0.70
2013-01-24,0.72,0.72,0.72,0.72,000,0.72
2013-01-23,0.72,0.72,0.71,0.72,1700,0.72
2013-01-22,0.61,0.73,0.61,0.73,200,0.73
2013-01-21,0.64,0.70,0.64,0.70,4300,0.70
2013-01-18,0.60,0.66,0.60,0.64,5600,0.64
2013-01-17,0.78,0.78,0.78,0.78,000,0.78
2013-01-16,0.74,0.74,0.69,0.71,1000,0.71
2013-01-15,0.79,0.79,0.76,0.76,1100,0.76
2013-01-14,0.77,0.77,0.77,0.77,200,0.77
2013-01-11,0.72,0.74,0.64,0.72,8300,0.72
2013-01-10,0.70,0.70,0.67,0.68,4000,0.68
2013-01-09,0.63,0.70,0.63,0.67,9500,0.67
2013-01-08,0.75,0.75,0.56,0.64,18300,0.64
2013-01-07,0.58,0.58,0.58,0.58,100,0.58
2013-01-04,0.55,0.59,0.55,0.59,9800,0.59
2013-01-03,0.55,0.55,0.55,0.55,600,0.55
2013-01-02,0.52,0.53,0.52,0.53,5700,0.53
2013-01-01,0.49,0.49,0.49,0.49,000,0.49
