Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.25,0.26,0.25,0.26,42900,0.26
2013-05-22,0.26,0.27,0.25,0.26,15500,0.26
2013-05-21,0.27,0.28,0.26,0.26,31200,0.26
2013-05-20,0.28,0.28,0.28,0.28,25500,0.28
2013-05-17,0.28,0.28,0.27,0.28,98900,0.28
2013-05-16,0.28,0.28,0.27,0.28,38700,0.28
2013-05-15,0.27,0.29,0.26,0.28,180900,0.28
2013-05-14,0.24,0.27,0.24,0.26,147000,0.26
2013-05-13,0.23,0.25,0.23,0.24,121000,0.24
2013-05-10,0.23,0.24,0.22,0.24,158900,0.24
2013-05-09,0.23,0.23,0.22,0.23,174200,0.23
2013-05-08,0.23,0.23,0.20,0.23,134700,0.23
2013-05-07,0.22,0.22,0.22,0.22,000,0.22
2013-05-06,0.22,0.22,0.22,0.22,000,0.22
2013-05-03,0.22,0.22,0.22,0.22,000,0.22
2013-05-02,0.22,0.23,0.21,0.22,112500,0.22
2013-05-01,0.22,0.22,0.22,0.22,000,0.22
2013-04-30,0.24,0.24,0.20,0.22,163500,0.22
2013-04-29,0.23,0.23,0.23,0.23,000,0.23
2013-04-26,0.26,0.26,0.23,0.23,1100,0.23
2013-04-25,0.23,0.25,0.23,0.25,12100,0.25
2013-04-24,0.26,0.26,0.26,0.26,000,0.26
2013-04-23,0.23,0.25,0.23,0.25,5500,0.25
2013-04-22,0.23,0.26,0.23,0.25,38600,0.25
2013-04-19,0.25,0.26,0.25,0.25,13000,0.25
2013-04-18,0.25,0.26,0.24,0.25,82900,0.25
2013-04-17,0.18,0.26,0.18,0.26,27300,0.26
2013-04-16,0.27,0.27,0.23,0.26,60100,0.26
2013-04-15,0.23,0.25,0.22,0.25,164100,0.25
2013-04-12,0.23,0.23,0.23,0.23,6000,0.23
2013-04-11,0.22,0.24,0.22,0.23,8800,0.23
2013-04-10,0.20,0.22,0.20,0.22,13100,0.22
2013-04-09,0.16,0.23,0.16,0.22,22600,0.22
2013-04-08,0.15,0.19,0.15,0.19,2400,0.19
2013-04-05,0.18,0.19,0.17,0.19,32300,0.19
2013-04-04,0.21,0.21,0.18,0.20,1500,0.20
2013-04-03,0.18,0.20,0.18,0.20,4800,0.20
2013-04-02,0.21,0.21,0.21,0.21,1500,0.21
2013-04-01,0.24,0.24,0.24,0.24,000,0.24
2013-03-29,0.24,0.24,0.24,0.24,000,0.24
2013-03-28,0.25,0.25,0.24,0.24,1500,0.24
2013-03-27,0.25,0.25,0.25,0.25,1000,0.25
2013-03-26,0.25,0.25,0.25,0.25,3000,0.25
2013-03-25,0.25,0.25,0.25,0.25,000,0.25
2013-03-22,0.24,0.25,0.24,0.25,5300,0.25
2013-03-21,0.24,0.24,0.24,0.24,5000,0.24
2013-03-20,0.25,0.25,0.21,0.25,15100,0.25
2013-03-19,0.26,0.26,0.25,0.25,1500,0.25
2013-03-18,0.25,0.25,0.25,0.25,000,0.25
2013-03-15,0.25,0.26,0.24,0.25,2000,0.25
2013-03-14,0.27,0.27,0.25,0.25,16900,0.25
2013-03-13,0.24,0.27,0.21,0.27,102000,0.27
2013-03-12,0.25,0.25,0.21,0.25,1000,0.25
2013-03-11,0.25,0.25,0.25,0.25,2100,0.25
2013-03-08,0.26,0.26,0.24,0.25,10600,0.25
2013-03-07,0.25,0.25,0.25,0.25,100,0.25
2013-03-06,0.24,0.25,0.24,0.25,10000,0.25
2013-03-05,0.25,0.26,0.22,0.26,75600,0.26
2013-03-04,0.19,0.25,0.19,0.25,74100,0.25
2013-03-01,0.18,0.20,0.17,0.19,13700,0.19
2013-02-28,0.21,0.23,0.20,0.20,1600,0.20
2013-02-27,0.23,0.23,0.23,0.23,000,0.23
2013-02-26,0.23,0.23,0.23,0.23,000,0.23
2013-02-25,0.23,0.23,0.19,0.23,700,0.23
2013-02-22,0.19,0.23,0.19,0.23,7100,0.23
2013-02-21,0.18,0.28,0.18,0.21,7100,0.21
2013-02-20,0.26,0.26,0.19,0.24,2300,0.24
2013-02-19,0.25,0.25,0.18,0.24,600,0.24
2013-02-18,0.21,0.22,0.21,0.22,500,0.22
2013-02-15,0.19,0.22,0.19,0.22,4300,0.22
2013-02-14,0.26,0.26,0.20,0.22,12500,0.22
2013-02-13,0.23,0.25,0.23,0.24,8600,0.24
2013-02-12,0.23,0.26,0.22,0.23,5800,0.23
2013-02-11,0.26,0.26,0.23,0.23,3100,0.23
2013-02-08,0.25,0.25,0.25,0.25,500,0.25
2013-02-07,0.27,0.27,0.23,0.27,5100,0.27
2013-02-06,0.26,0.27,0.23,0.27,1900,0.27
2013-02-05,0.23,0.28,0.23,0.27,700,0.27
2013-02-04,0.32,0.32,0.23,0.23,2800,0.23
2013-02-01,0.32,0.32,0.32,0.32,100,0.32
2013-01-31,0.32,0.35,0.28,0.30,24400,0.30
2013-01-30,0.26,0.33,0.26,0.30,40800,0.30
2013-01-29,0.26,0.26,0.26,0.26,11200,0.26
2013-01-28,0.25,0.26,0.24,0.24,5900,0.24
2013-01-25,0.25,0.25,0.23,0.23,23700,0.23
2013-01-24,0.26,0.27,0.25,0.25,5200,0.25
2013-01-23,0.27,0.28,0.26,0.27,20100,0.27
2013-01-22,0.30,0.30,0.28,0.29,2100,0.29
2013-01-21,0.30,0.30,0.26,0.29,5600,0.29
2013-01-18,0.26,0.30,0.26,0.27,9300,0.27
2013-01-17,0.30,0.30,0.28,0.29,1000,0.29
2013-01-16,0.35,0.35,0.29,0.31,22100,0.31
2013-01-15,0.37,0.37,0.32,0.35,9700,0.35
2013-01-14,0.37,0.41,0.32,0.35,123600,0.35
2013-01-11,0.27,0.35,0.27,0.35,131600,0.35
2013-01-10,0.21,0.27,0.21,0.27,300900,0.27
2013-01-09,0.20,0.23,0.20,0.21,11200,0.21
2013-01-08,0.20,0.23,0.20,0.23,31800,0.23
2013-01-07,0.23,0.25,0.20,0.22,40500,0.22
2013-01-04,0.23,0.25,0.22,0.23,24100,0.23
2013-01-03,0.21,0.23,0.19,0.23,53700,0.23
2013-01-02,0.17,0.22,0.17,0.22,26300,0.22
2013-01-01,0.19,0.19,0.19,0.19,000,0.19
2012-12-31,0.19,0.19,0.19,0.19,000,0.19
2012-12-28,0.19,0.19,0.19,0.19,000,0.19
2012-12-27,0.19,0.19,0.19,0.19,500,0.19
2012-12-26,0.18,0.18,0.18,0.18,000,0.18
2012-12-25,0.18,0.18,0.18,0.18,000,0.18
2012-12-24,0.18,0.18,0.18,0.18,000,0.18
2012-12-21,0.18,0.18,0.18,0.18,4300,0.18
2012-12-20,0.19,0.19,0.17,0.17,700,0.17
2012-12-19,0.18,0.19,0.17,0.18,21300,0.18
2012-12-18,0.17,0.19,0.17,0.19,3300,0.19
2012-12-17,0.19,0.19,0.18,0.18,6200,0.18
2012-12-14,0.22,0.22,0.19,0.19,7700,0.19
2012-12-13,0.22,0.22,0.19,0.22,2300,0.22
2012-12-12,0.22,0.22,0.22,0.22,4000,0.22
2012-12-11,0.20,0.24,0.20,0.22,19700,0.22
2012-12-10,0.16,0.20,0.16,0.19,39900,0.19
2012-12-07,0.16,0.16,0.16,0.16,7900,0.16
2012-12-06,0.15,0.16,0.15,0.16,200,0.16
2012-12-05,0.13,0.16,0.13,0.15,2100,0.15
2012-12-04,0.15,0.16,0.14,0.16,3100,0.16
2012-12-03,0.15,0.16,0.15,0.16,14900,0.16
2012-11-30,0.14,0.14,0.13,0.13,21200,0.13
2012-11-29,0.15,0.15,0.15,0.15,16600,0.15
2012-11-28,0.13,0.14,0.13,0.14,14500,0.14
2012-11-27,0.14,0.14,0.14,0.14,5500,0.14
2012-11-26,0.14,0.14,0.14,0.14,1400,0.14
2012-11-23,0.14,0.14,0.14,0.14,12100,0.14
2012-11-22,0.14,0.14,0.14,0.14,12600,0.14
2012-11-21,0.14,0.14,0.12,0.14,13100,0.14
2012-11-20,0.14,0.14,0.14,0.14,10400,0.14
2012-11-19,0.15,0.16,0.13,0.14,22000,0.14
2012-11-16,0.15,0.15,0.15,0.15,1000,0.15
2012-11-15,0.15,0.15,0.13,0.14,15400,0.14
2012-11-14,0.13,0.14,0.13,0.13,700,0.13
2012-11-13,0.12,0.13,0.12,0.13,2600,0.13
2012-11-12,0.13,0.13,0.13,0.13,4800,0.13
2012-11-09,0.12,0.12,0.12,0.12,300,0.12
2012-11-08,0.13,0.13,0.13,0.13,400,0.13
2012-11-07,0.14,0.14,0.13,0.13,4000,0.13
2012-11-06,0.13,0.13,0.13,0.13,000,0.13
2012-11-05,0.14,0.14,0.14,0.14,200,0.14
2012-11-02,0.14,0.14,0.13,0.13,4200,0.13
2012-11-01,0.13,0.13,0.13,0.13,2000,0.13
2012-10-31,0.13,0.13,0.13,0.13,2500,0.13
2012-10-30,0.14,0.14,0.13,0.13,6900,0.13
2012-10-29,0.14,0.14,0.14,0.14,000,0.14
2012-10-26,0.14,0.14,0.14,0.14,6200,0.14
2012-10-25,0.14,0.14,0.14,0.14,17000,0.14
2012-10-24,0.13,0.14,0.13,0.14,10700,0.14
2012-10-23,0.13,0.15,0.13,0.14,17200,0.14
2012-10-22,0.13,0.16,0.13,0.15,6300,0.15
2012-10-19,0.13,0.13,0.12,0.13,8300,0.13
2012-10-18,0.13,0.13,0.13,0.13,000,0.13
2012-10-17,0.12,0.13,0.12,0.13,17200,0.13
2012-10-16,0.14,0.14,0.13,0.14,20000,0.14
2012-10-15,0.13,0.14,0.13,0.14,20000,0.14
2012-10-12,0.15,0.15,0.15,0.15,16000,0.15
2012-10-11,0.15,0.16,0.15,0.15,14400,0.15
2012-10-10,0.14,0.15,0.14,0.15,3300,0.15
2012-10-09,0.15,0.15,0.13,0.13,200,0.13
2012-10-08,0.15,0.15,0.14,0.15,13000,0.15
2012-10-05,0.15,0.15,0.15,0.15,45600,0.15
2012-10-04,0.16,0.16,0.13,0.15,12500,0.15
2012-10-03,0.17,0.17,0.16,0.16,3200,0.16
2012-10-02,0.17,0.17,0.17,0.17,100,0.17
2012-10-01,0.15,0.15,0.14,0.14,5400,0.14
2012-09-28,0.16,0.16,0.15,0.15,6000,0.15
2012-09-27,0.15,0.16,0.15,0.15,8800,0.15
2012-09-26,0.16,0.16,0.14,0.15,23700,0.15
2012-09-25,0.14,0.15,0.14,0.15,10700,0.15
2012-09-24,0.14,0.16,0.14,0.15,400,0.15
2012-09-21,0.16,0.16,0.14,0.15,54700,0.15
2012-09-20,0.16,0.17,0.16,0.16,20600,0.16
2012-09-19,0.18,0.18,0.16,0.16,1300,0.16
2012-09-18,0.17,0.21,0.17,0.17,1500,0.17
2012-09-17,0.20,0.20,0.17,0.17,3700,0.17
2012-09-14,0.20,0.20,0.20,0.20,10500,0.20
2012-09-13,0.16,0.28,0.16,0.25,2800,0.25
2012-09-12,0.18,0.23,0.18,0.23,6100,0.23
2012-09-11,0.19,0.19,0.19,0.19,1300,0.19
2012-09-10,0.19,0.20,0.17,0.18,7000,0.18
2012-09-07,0.20,0.20,0.18,0.18,3500,0.18
2012-09-06,0.19,0.20,0.19,0.20,19800,0.20
2012-09-05,0.17,0.19,0.17,0.19,4600,0.19
2012-09-04,0.16,0.16,0.16,0.16,11900,0.16
2012-09-03,0.19,0.19,0.19,0.19,2100,0.19
2012-08-31,0.17,0.18,0.16,0.18,13500,0.18
2012-08-30,0.16,0.18,0.16,0.18,1000,0.18
2012-08-29,0.17,0.18,0.17,0.18,8000,0.18
2012-08-28,0.14,0.14,0.14,0.14,700,0.14
2012-08-27,0.16,0.16,0.15,0.15,16600,0.15
2012-08-24,0.15,0.15,0.15,0.15,3200,0.15
2012-08-23,0.14,0.14,0.14,0.14,10000,0.14
2012-08-22,0.16,0.17,0.16,0.16,5200,0.16
2012-08-21,0.16,0.17,0.16,0.17,4800,0.17
2012-08-20,0.19,0.19,0.19,0.19,000,0.19
2012-08-17,0.19,0.19,0.19,0.19,000,0.19
2012-08-16,0.12,0.19,0.12,0.19,2100,0.19
2012-08-15,0.17,0.17,0.17,0.17,000,0.17
2012-08-14,0.17,0.17,0.17,0.17,700,0.17
2012-08-13,0.18,0.20,0.17,0.17,7500,0.17
2012-08-10,0.19,0.20,0.18,0.20,13500,0.20
2012-08-09,0.02,0.02,0.02,0.02,000,0.02
2012-08-08,0.02,0.02,0.02,0.02,000,0.02
2012-08-07,0.02,0.02,0.02,0.02,000,0.02
2012-08-06,0.02,0.02,0.02,0.02,000,0.02
2012-08-03,0.02,0.02,0.02,0.02,000,0.02
2012-08-02,0.20,0.22,0.19,0.20,5800,2.00
2012-08-01,0.22,0.23,0.22,0.22,4000,2.20
2012-07-31,0.20,0.20,0.20,0.20,100,2.00
2012-07-30,0.22,0.22,0.22,0.22,400,2.20
2012-07-27,0.21,0.21,0.21,0.21,1400,2.10
2012-07-26,0.21,0.21,0.20,0.20,1500,2.00
2012-07-25,0.22,0.23,0.21,0.23,3900,2.30
