Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,5.62,5.62,5.30,5.36,130400,5.36
2013-05-22,5.60,5.70,5.50,5.70,97500,5.70
2013-05-21,5.36,5.63,5.36,5.63,76600,5.63
2013-05-20,5.55,5.62,5.32,5.62,89800,5.62
2013-05-17,5.35,5.60,5.22,5.60,214800,5.60
2013-05-16,5.35,5.49,5.11,5.35,133800,5.35
2013-05-15,5.29,5.42,5.29,5.39,155000,5.39
2013-05-14,5.19,5.29,5.08,5.24,139500,5.24
2013-05-13,5.05,5.20,4.99,5.19,126100,5.19
2013-05-10,5.19,5.19,4.82,5.05,89900,5.05
2013-05-09,5.02,5.20,5.02,5.19,75600,5.19
2013-05-08,4.76,5.14,4.76,5.07,145400,5.07
2013-05-07,4.67,4.67,4.67,4.67,000,4.67
2013-05-06,4.67,4.67,4.67,4.67,000,4.67
2013-05-03,4.67,4.67,4.67,4.67,000,4.67
2013-05-02,4.67,4.84,4.55,4.67,88500,4.67
2013-05-01,4.67,4.67,4.67,4.67,000,4.67
2013-04-30,4.35,4.67,4.20,4.67,110000,4.67
2013-04-29,4.45,4.50,4.25,4.35,107100,4.35
2013-04-26,4.56,4.64,4.42,4.45,111400,4.45
2013-04-25,4.50,4.75,4.50,4.60,111700,4.60
2013-04-24,4.59,4.61,4.45,4.48,113900,4.48
2013-04-23,4.35,4.61,4.35,4.58,114900,4.58
2013-04-22,4.29,4.53,4.29,4.38,132200,4.38
2013-04-19,4.23,4.44,4.20,4.25,116300,4.25
2013-04-18,4.09,4.33,4.09,4.32,91200,4.32
2013-04-17,4.07,4.24,4.07,4.09,107600,4.09
2013-04-16,3.97,4.15,3.97,4.07,146400,4.07
2013-04-15,3.81,4.02,3.74,4.02,181200,4.02
2013-04-12,3.87,3.92,3.65,3.81,108200,3.81
2013-04-11,3.76,3.87,3.65,3.81,134000,3.81
2013-04-10,3.58,3.76,3.53,3.73,129700,3.73
2013-04-09,3.32,3.59,3.32,3.55,153500,3.55
2013-04-08,3.15,3.45,3.14,3.35,81600,3.35
2013-04-05,3.39,3.41,3.26,3.34,147300,3.34
2013-04-04,3.39,3.48,3.28,3.28,154500,3.28
2013-04-03,3.14,3.35,3.12,3.30,213800,3.30
2013-04-02,3.24,3.34,3.08,3.14,162300,3.14
2013-04-01,3.31,3.31,3.31,3.31,000,3.31
2013-03-29,3.31,3.31,3.31,3.31,000,3.31
2013-03-28,3.20,3.38,3.20,3.31,71200,3.31
2013-03-27,3.49,3.50,3.06,3.21,202600,3.21
2013-03-26,3.54,3.56,3.33,3.49,101600,3.49
2013-03-25,3.54,3.54,3.54,3.54,000,3.54
2013-03-22,3.35,3.54,3.28,3.54,83200,3.54
2013-03-21,3.53,3.57,3.31,3.32,106100,3.32
2013-03-20,3.49,3.65,3.29,3.50,125300,3.50
2013-03-19,3.78,3.79,3.42,3.42,96000,3.42
2013-03-18,3.94,3.94,3.94,3.94,000,3.94
2013-03-15,3.90,3.95,3.85,3.94,140200,3.94
2013-03-14,3.90,3.93,3.76,3.90,104500,3.90
2013-03-13,3.72,3.95,3.72,3.90,179000,3.90
2013-03-12,3.61,3.97,3.60,3.76,217100,3.76
2013-03-11,3.83,3.90,3.61,3.61,135300,3.61
2013-03-08,3.76,3.87,3.62,3.86,106000,3.86
2013-03-07,3.88,4.00,3.74,3.74,122700,3.74
2013-03-06,4.00,4.10,3.91,3.91,89200,3.91
2013-03-05,4.02,4.19,4.01,4.01,164100,4.01
2013-03-04,4.24,4.32,4.01,4.01,116300,4.01
2013-03-01,4.55,4.58,4.24,4.32,125600,4.32
2013-02-28,4.56,4.68,4.51,4.55,55500,4.55
2013-02-27,4.59,4.71,4.53,4.53,74700,4.53
2013-02-26,4.40,4.77,4.38,4.53,125500,4.53
2013-02-25,4.74,4.89,4.66,4.69,68000,4.69
2013-02-22,4.79,4.84,4.52,4.74,124900,4.74
2013-02-21,5.19,5.27,4.79,4.79,169500,4.79
2013-02-20,5.45,5.49,5.31,5.31,24700,5.31
2013-02-19,5.34,5.40,5.28,5.40,90400,5.40
2013-02-18,5.53,5.63,5.40,5.40,81200,5.40
2013-02-15,5.37,5.68,5.33,5.64,56600,5.64
2013-02-14,5.39,5.49,5.35,5.42,86900,5.42
2013-02-13,5.32,5.44,5.26,5.39,48900,5.39
2013-02-12,5.19,5.50,5.09,5.32,85400,5.32
2013-02-11,5.23,5.27,5.12,5.19,26700,5.19
2013-02-08,5.34,5.35,5.18,5.27,25600,5.27
2013-02-07,5.08,5.40,5.06,5.35,137300,5.35
2013-02-06,5.00,5.21,4.99,5.08,86500,5.08
2013-02-05,4.84,5.05,4.79,5.00,72200,5.00
2013-02-04,4.83,4.84,4.63,4.84,82500,4.84
2013-02-01,4.67,4.88,4.65,4.74,62500,4.74
2013-01-31,4.90,4.90,4.71,4.79,91400,4.79
2013-01-30,5.19,5.19,4.86,4.96,54700,4.96
2013-01-29,5.11,5.14,4.91,5.14,128000,5.14
2013-01-28,5.13,5.13,4.92,5.03,111300,5.03
2013-01-25,4.91,5.03,4.76,5.03,89800,5.03
2013-01-24,4.85,5.07,4.75,4.92,146400,4.92
2013-01-23,4.85,4.90,4.75,4.90,137500,4.90
2013-01-22,4.78,4.86,4.73,4.86,115200,4.86
2013-01-21,4.70,4.90,4.65,4.78,44000,4.78
2013-01-18,4.44,4.85,4.41,4.80,103500,4.80
2013-01-17,4.53,4.53,4.26,4.36,93200,4.36
2013-01-16,4.67,4.72,4.46,4.46,57200,4.46
2013-01-15,4.52,4.78,4.52,4.70,96500,4.70
2013-01-14,4.76,4.94,4.76,4.85,74100,4.85
2013-01-11,4.95,4.96,4.75,4.82,64500,4.82
2013-01-10,4.97,5.00,4.84,4.95,116100,4.95
2013-01-09,4.73,4.97,4.61,4.97,154600,4.97
2013-01-08,4.53,4.89,4.41,4.77,105700,4.77
2013-01-07,4.53,4.53,4.38,4.53,90100,4.53
2013-01-04,4.37,4.50,4.28,4.45,94000,4.45
2013-01-03,4.20,4.36,4.12,4.36,113900,4.36
2013-01-02,3.98,4.24,3.98,4.20,111100,4.20
2013-01-01,3.99,3.99,3.99,3.99,000,3.99
2012-12-31,3.99,3.99,3.99,3.99,000,3.99
2012-12-28,4.00,4.10,3.93,3.99,77700,3.99
2012-12-27,3.87,4.01,3.87,3.98,63300,3.98
2012-12-26,3.81,3.81,3.81,3.81,000,3.81
2012-12-25,3.81,3.81,3.81,3.81,000,3.81
2012-12-24,3.81,3.81,3.81,3.81,000,3.81
2012-12-21,3.85,4.10,3.72,3.81,358100,3.81
2012-12-20,3.52,3.93,3.52,3.85,186600,3.85
2012-12-19,3.47,3.65,3.43,3.62,214800,3.62
2012-12-18,3.32,3.50,3.25,3.47,103400,3.47
2012-12-17,3.30,3.37,3.21,3.35,104800,3.35
2012-12-14,3.22,3.30,3.20,3.27,64200,3.27
