Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.21,0.21,0.21,0.21,000,0.21
2013-05-22,0.21,0.21,0.21,0.21,000,0.21
2013-05-21,0.21,0.21,0.21,0.21,000,0.21
2013-05-20,0.21,0.21,0.21,0.21,000,0.21
2013-05-17,0.21,0.21,0.21,0.21,000,0.21
2013-05-16,0.21,0.21,0.21,0.21,000,0.21
2013-05-15,0.21,0.21,0.21,0.21,000,0.21
2013-05-14,0.21,0.21,0.21,0.21,000,0.21
2013-05-13,0.21,0.21,0.21,0.21,000,0.21
2013-05-10,0.21,0.21,0.21,0.21,000,0.21
2013-05-09,0.21,0.21,0.21,0.21,000,0.21
2013-05-08,0.21,0.21,0.21,0.21,000,0.21
2013-05-07,0.21,0.21,0.21,0.21,000,0.21
2013-05-06,0.21,0.21,0.21,0.21,000,0.21
2013-05-03,0.21,0.21,0.21,0.21,000,0.21
2013-05-02,0.21,0.21,0.21,0.21,000,0.21
2013-05-01,0.21,0.21,0.21,0.21,000,0.21
2013-04-30,0.21,0.21,0.21,0.21,000,0.21
2013-04-29,0.21,0.21,0.21,0.21,000,0.21
2013-04-26,0.21,0.21,0.21,0.21,000,0.21
2013-04-25,0.21,0.21,0.21,0.21,000,0.21
2013-04-24,0.21,0.21,0.21,0.21,000,0.21
2013-04-23,0.21,0.21,0.21,0.21,000,0.21
2013-04-22,0.21,0.21,0.21,0.21,000,0.21
2013-04-19,0.21,0.21,0.21,0.21,000,0.21
2013-04-18,0.21,0.21,0.21,0.21,000,0.21
2013-04-17,0.21,0.21,0.21,0.21,000,0.21
2013-04-16,0.21,0.21,0.21,0.21,000,0.21
2013-04-15,0.21,0.21,0.21,0.21,000,0.21
2013-04-12,0.21,0.21,0.21,0.21,000,0.21
2013-04-11,0.21,0.21,0.21,0.21,000,0.21
2013-04-10,0.21,0.21,0.21,0.21,000,0.21
2013-04-09,0.21,0.21,0.21,0.21,000,0.21
2013-04-08,0.21,0.21,0.21,0.21,000,0.21
2013-04-05,0.21,0.21,0.21,0.21,000,0.21
2013-04-04,0.21,0.21,0.21,0.21,000,0.21
2013-04-03,0.21,0.21,0.21,0.21,000,0.21
2013-04-02,0.21,0.21,0.21,0.21,000,0.21
2013-04-01,0.21,0.21,0.21,0.21,000,0.21
2013-03-29,0.21,0.21,0.21,0.21,000,0.21
2013-03-28,0.21,0.21,0.21,0.21,000,0.21
2013-03-27,0.21,0.21,0.21,0.21,000,0.21
2013-03-26,0.21,0.21,0.21,0.21,000,0.21
2013-03-25,0.21,0.21,0.21,0.21,000,0.21
2013-03-22,0.21,0.21,0.21,0.21,000,0.21
2013-03-21,0.21,0.21,0.21,0.21,000,0.21
2013-03-20,0.21,0.21,0.21,0.21,000,0.21
2013-03-19,0.21,0.21,0.21,0.21,000,0.21
2013-03-18,0.21,0.21,0.21,0.21,000,0.21
2013-03-15,0.21,0.21,0.20,0.21,9269200,0.21
2013-03-14,0.21,0.21,0.20,0.20,3949700,0.20
2013-03-13,0.20,0.21,0.20,0.21,6705200,0.21
2013-03-12,0.19,0.20,0.19,0.20,3534400,0.20
2013-03-11,0.21,0.21,0.19,0.19,6966000,0.19
2013-03-08,0.19,0.21,0.19,0.20,8832500,0.20
2013-03-07,0.20,0.20,0.18,0.18,7730100,0.18
2013-03-06,0.21,0.21,0.20,0.20,4952500,0.20
2013-03-05,0.22,0.22,0.20,0.21,4621400,0.21
2013-03-04,0.22,0.22,0.21,0.22,5889900,0.22
2013-03-01,0.23,0.23,0.22,0.22,3569800,0.22
2013-02-28,0.23,0.24,0.23,0.23,3779900,0.23
2013-02-27,0.23,0.24,0.23,0.23,4268200,0.23
2013-02-26,0.23,0.24,0.22,0.23,7770500,0.23
2013-02-25,0.27,0.27,0.24,0.24,6443300,0.24
2013-02-22,0.25,0.26,0.25,0.26,4824900,0.26
2013-02-21,0.26,0.27,0.25,0.25,6085800,0.25
2013-02-20,0.27,0.28,0.26,0.26,3807700,0.26
2013-02-19,0.25,0.27,0.25,0.27,7737400,0.27
2013-02-18,0.25,0.25,0.24,0.25,4221200,0.25
2013-02-15,0.23,0.25,0.23,0.24,5552000,0.24
2013-02-14,0.23,0.23,0.22,0.23,3157400,0.23
2013-02-13,0.23,0.24,0.23,0.23,3382300,0.23
2013-02-12,0.23,0.24,0.23,0.23,3080600,0.23
2013-02-11,0.24,0.24,0.23,0.23,2235900,0.23
2013-02-08,0.24,0.24,0.23,0.24,1471600,0.24
2013-02-07,0.24,0.24,0.23,0.24,2665200,0.24
2013-02-06,0.24,0.24,0.24,0.24,2961200,0.24
2013-02-05,0.23,0.24,0.23,0.24,1992700,0.24
2013-02-04,0.24,0.24,0.23,0.23,2098500,0.23
2013-02-01,0.25,0.25,0.24,0.24,2022100,0.24
2013-01-31,0.24,0.25,0.24,0.25,3924300,0.25
2013-01-30,0.24,0.25,0.24,0.24,4255200,0.24
2013-01-29,0.24,0.25,0.24,0.24,2998400,0.24
2013-01-28,0.25,0.25,0.24,0.24,2361400,0.24
2013-01-25,0.25,0.25,0.24,0.24,1609500,0.24
2013-01-24,0.25,0.26,0.24,0.24,6314500,0.24
2013-01-23,0.24,0.25,0.23,0.25,5740800,0.25
2013-01-22,0.23,0.24,0.23,0.24,4424500,0.24
2013-01-21,0.24,0.24,0.23,0.23,5268900,0.23
2013-01-18,0.25,0.26,0.24,0.24,4664400,0.24
2013-01-17,0.25,0.25,0.24,0.25,3595700,0.25
2013-01-16,0.24,0.25,0.24,0.24,2476600,0.24
2013-01-15,0.24,0.24,0.23,0.24,5199000,0.24
2013-01-14,0.25,0.26,0.24,0.24,4566300,0.24
2013-01-11,0.26,0.26,0.25,0.25,5489800,0.25
2013-01-10,0.26,0.27,0.26,0.27,2858000,0.27
2013-01-09,0.27,0.27,0.26,0.27,2683600,0.27
2013-01-08,0.27,0.28,0.26,0.27,4958800,0.27
2013-01-07,0.28,0.28,0.27,0.27,4865900,0.27
2013-01-04,0.28,0.28,0.27,0.28,7869800,0.28
2013-01-03,0.26,0.28,0.26,0.28,7289200,0.28
2013-01-02,0.26,0.27,0.26,0.26,2759300,0.26
2013-01-01,0.25,0.25,0.25,0.25,000,0.25
2012-12-31,0.25,0.25,0.25,0.25,000,0.25
2012-12-28,0.26,0.27,0.25,0.25,2689000,0.25
2012-12-27,0.26,0.27,0.26,0.26,3740000,0.26
2012-12-26,0.26,0.26,0.26,0.26,000,0.26
2012-12-25,0.26,0.26,0.26,0.26,000,0.26
2012-12-24,0.26,0.26,0.26,0.26,000,0.26
2012-12-21,0.24,0.26,0.23,0.26,8699400,0.26
2012-12-20,0.25,0.26,0.24,0.24,3682200,0.24
2012-12-19,0.25,0.26,0.24,0.26,5041500,0.26
2012-12-18,0.24,0.25,0.23,0.24,4433400,0.24
2012-12-17,0.27,0.27,0.23,0.24,9049000,0.24
2012-12-14,0.28,0.28,0.26,0.27,2444700,0.27
2012-12-13,0.27,0.28,0.27,0.27,5563800,0.27
2012-12-12,0.28,0.28,0.26,0.27,5810900,0.27
