Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.42,0.43,0.42,0.43,200,0.43
2013-05-22,0.42,0.42,0.42,0.42,600,0.42
2013-05-21,0.44,0.44,0.42,0.42,800,0.42
2013-05-20,0.44,0.44,0.44,0.44,500,0.44
2013-05-17,0.43,0.45,0.43,0.45,1200,0.45
2013-05-16,0.43,0.43,0.43,0.43,1600,0.43
2013-05-15,0.43,0.44,0.42,0.43,3900,0.43
2013-05-14,0.42,0.44,0.42,0.42,1200,0.42
2013-05-13,0.42,0.42,0.42,0.42,000,0.42
2013-05-10,0.41,0.42,0.41,0.41,7500,0.41
2013-05-09,0.41,0.41,0.41,0.41,2900,0.41
2013-05-08,0.41,0.41,0.40,0.41,4100,0.41
2013-05-07,0.40,0.40,0.40,0.40,000,0.40
2013-05-06,0.40,0.40,0.40,0.40,000,0.40
2013-05-03,0.40,0.40,0.40,0.40,000,0.40
2013-05-02,0.40,0.41,0.40,0.40,300,0.40
2013-05-01,0.40,0.40,0.40,0.40,000,0.40
2013-04-30,0.40,0.40,0.40,0.40,300,0.40
2013-04-29,0.40,0.40,0.40,0.40,000,0.40
2013-04-26,0.40,0.41,0.40,0.40,300,0.40
2013-04-25,0.41,0.41,0.40,0.41,900,0.41
2013-04-24,0.41,0.41,0.41,0.41,100,0.41
2013-04-23,0.41,0.41,0.39,0.39,700,0.39
2013-04-22,0.41,0.41,0.41,0.41,200,0.41
2013-04-19,0.41,0.41,0.40,0.40,200,0.40
2013-04-18,0.41,0.41,0.40,0.40,2400,0.40
2013-04-17,0.41,0.41,0.41,0.41,800,0.41
2013-04-16,0.41,0.41,0.41,0.41,200,0.41
2013-04-15,0.41,0.41,0.41,0.41,200,0.41
2013-04-12,0.42,0.42,0.41,0.41,9800,0.41
2013-04-11,0.43,0.43,0.40,0.42,10300,0.42
2013-04-10,0.42,0.42,0.42,0.42,200,0.42
2013-04-09,0.40,0.40,0.40,0.40,100,0.40
2013-04-08,0.39,0.39,0.39,0.39,000,0.39
2013-04-05,0.39,0.39,0.39,0.39,000,0.39
2013-04-04,0.38,0.39,0.38,0.39,400,0.39
2013-04-03,0.38,0.38,0.38,0.38,000,0.38
2013-04-02,0.38,0.38,0.38,0.38,000,0.38
2013-04-01,0.38,0.38,0.38,0.38,000,0.38
2013-03-29,0.38,0.38,0.38,0.38,000,0.38
2013-03-28,0.40,0.40,0.35,0.38,5900,0.38
2013-03-27,0.41,0.41,0.38,0.38,3400,0.38
2013-03-26,0.41,0.41,0.41,0.41,000,0.41
2013-03-25,0.41,0.41,0.41,0.41,000,0.41
2013-03-22,0.41,0.41,0.41,0.41,1100,0.41
2013-03-21,0.46,0.46,0.41,0.42,1100,0.42
2013-03-20,0.46,0.46,0.46,0.46,000,0.46
2013-03-19,0.46,0.46,0.46,0.46,000,0.46
2013-03-18,0.46,0.46,0.46,0.46,000,0.46
2013-03-15,0.47,0.47,0.46,0.46,200,0.46
2013-03-14,0.48,0.48,0.47,0.47,100,0.47
2013-03-13,0.49,0.49,0.48,0.48,400,0.48
2013-03-12,0.50,0.50,0.50,0.50,000,0.50
2013-03-11,0.49,0.50,0.49,0.50,400,0.50
2013-03-08,0.48,0.49,0.48,0.49,100,0.49
2013-03-07,0.48,0.48,0.48,0.48,000,0.48
2013-03-06,0.50,0.50,0.48,0.48,1100,0.48
2013-03-05,0.51,0.51,0.50,0.51,300,0.51
2013-03-04,0.50,0.50,0.50,0.50,000,0.50
2013-03-01,0.50,0.50,0.50,0.50,000,0.50
2013-02-28,0.50,0.50,0.50,0.50,300,0.50
2013-02-27,0.48,0.49,0.47,0.49,1800,0.49
2013-02-26,0.49,0.49,0.49,0.49,300,0.49
2013-02-25,0.52,0.52,0.49,0.49,1600,0.49
2013-02-22,0.51,0.51,0.51,0.51,000,0.51
2013-02-21,0.54,0.54,0.51,0.51,1000,0.51
2013-02-20,0.55,0.56,0.54,0.55,2000,0.55
