Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.74,0.75,0.69,0.73,32900,0.73
2013-05-22,0.75,0.76,0.70,0.74,32700,0.74
2013-05-21,0.70,0.75,0.69,0.73,47300,0.73
2013-05-20,0.72,0.77,0.69,0.72,47900,0.72
2013-05-17,0.70,0.73,0.69,0.73,25000,0.73
2013-05-16,0.70,0.72,0.69,0.71,28700,0.71
2013-05-15,0.69,0.72,0.69,0.71,61500,0.71
2013-05-14,0.68,0.69,0.64,0.69,19200,0.69
2013-05-13,0.66,0.68,0.66,0.67,24800,0.67
2013-05-10,0.67,0.69,0.63,0.63,24600,0.63
2013-05-09,0.70,0.70,0.67,0.68,32900,0.68
2013-05-08,0.65,0.70,0.64,0.69,71600,0.69
2013-05-07,0.64,0.64,0.64,0.64,000,0.64
2013-05-06,0.64,0.64,0.64,0.64,000,0.64
2013-05-03,0.64,0.64,0.64,0.64,000,0.64
2013-05-02,0.60,0.65,0.54,0.64,56600,0.64
2013-05-01,0.54,0.54,0.54,0.54,000,0.54
2013-04-30,0.54,0.55,0.52,0.54,46600,0.54
2013-04-29,0.55,0.55,0.52,0.53,22000,0.53
2013-04-26,0.51,0.54,0.51,0.52,47600,0.52
2013-04-25,0.48,0.52,0.48,0.52,24000,0.52
2013-04-24,0.50,0.50,0.44,0.48,21900,0.48
2013-04-23,0.50,0.51,0.48,0.50,8100,0.50
2013-04-22,0.50,0.50,0.48,0.49,7600,0.49
2013-04-19,0.52,0.53,0.50,0.50,8400,0.50
2013-04-18,0.46,0.51,0.46,0.51,3100,0.51
2013-04-17,0.47,0.50,0.47,0.50,5800,0.50
2013-04-16,0.44,0.46,0.43,0.46,2700,0.46
2013-04-15,0.41,0.46,0.41,0.44,15900,0.44
2013-04-12,0.37,0.41,0.37,0.41,8800,0.41
2013-04-11,0.38,0.40,0.37,0.39,16200,0.39
2013-04-10,0.36,0.38,0.36,0.38,16000,0.38
2013-04-09,0.34,0.37,0.34,0.37,5900,0.37
2013-04-08,0.31,0.36,0.31,0.34,5600,0.34
2013-04-05,0.38,0.38,0.34,0.35,2900,0.35
2013-04-04,0.36,0.38,0.36,0.37,1400,0.37
2013-04-03,0.37,0.37,0.35,0.35,7300,0.35
2013-04-02,0.38,0.38,0.37,0.37,6200,0.37
2013-04-01,0.37,0.37,0.37,0.37,000,0.37
2013-03-29,0.37,0.37,0.37,0.37,000,0.37
2013-03-28,0.37,0.40,0.37,0.37,10100,0.37
2013-03-27,0.37,0.37,0.37,0.37,6400,0.37
2013-03-26,0.40,0.41,0.36,0.40,15200,0.40
2013-03-25,0.42,0.42,0.42,0.42,000,0.42
2013-03-22,0.42,0.42,0.39,0.42,17500,0.42
2013-03-21,0.48,0.48,0.41,0.42,10900,0.42
2013-03-20,0.50,0.50,0.46,0.47,6200,0.47
2013-03-19,0.44,0.50,0.44,0.48,3700,0.48
2013-03-18,0.53,0.53,0.53,0.53,000,0.53
2013-03-15,0.54,0.55,0.50,0.53,1200,0.53
2013-03-14,0.51,0.54,0.51,0.52,500,0.52
2013-03-13,0.46,0.51,0.46,0.51,11100,0.51
2013-03-12,0.51,0.52,0.50,0.50,5100,0.50
2013-03-11,0.52,0.52,0.49,0.50,1200,0.50
2013-03-08,0.52,0.52,0.47,0.52,3100,0.52
2013-03-07,0.55,0.55,0.50,0.52,6300,0.52
2013-03-06,0.54,0.54,0.50,0.54,7500,0.54
2013-03-05,0.54,0.55,0.52,0.53,2200,0.53
2013-03-04,0.53,0.54,0.49,0.53,12300,0.53
2013-03-01,0.56,0.56,0.51,0.55,1300,0.55
2013-02-28,0.54,0.56,0.52,0.55,11600,0.55
2013-02-27,0.52,0.55,0.52,0.54,6700,0.54
2013-02-26,0.50,0.53,0.50,0.52,16100,0.52
2013-02-25,0.57,0.57,0.53,0.54,18000,0.54
2013-02-22,0.58,0.58,0.52,0.57,12600,0.57
2013-02-21,0.54,0.60,0.54,0.56,8500,0.56
2013-02-20,0.59,0.61,0.59,0.60,10100,0.60
2013-02-19,0.60,0.61,0.55,0.59,14600,0.59
