Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.52,0.55,0.51,0.54,47000,0.54
2013-05-22,0.56,0.56,0.56,0.56,100,0.56
2013-05-21,0.56,0.56,0.56,0.56,000,0.56
2013-05-20,0.55,0.55,0.52,0.54,29900,0.54
2013-05-17,0.56,0.56,0.52,0.52,9600,0.52
2013-05-16,0.56,0.57,0.52,0.52,17100,0.52
2013-05-15,0.54,0.57,0.52,0.56,22800,0.56
2013-05-14,0.47,0.52,0.47,0.51,18300,0.51
2013-05-13,0.53,0.53,0.52,0.52,3200,0.52
2013-05-10,0.53,0.58,0.53,0.57,7900,0.57
2013-05-09,0.55,0.60,0.53,0.56,17900,0.56
2013-05-08,0.52,0.56,0.52,0.55,6800,0.55
2013-05-07,0.52,0.52,0.52,0.52,000,0.52
2013-05-06,0.52,0.52,0.52,0.52,000,0.52
2013-05-03,0.52,0.52,0.52,0.52,000,0.52
2013-05-02,0.38,0.52,0.38,0.52,200,0.52
2013-05-01,0.51,0.51,0.51,0.51,000,0.51
2013-04-30,0.46,0.51,0.46,0.51,1600,0.51
2013-04-29,0.51,0.51,0.51,0.51,1300,0.51
2013-04-26,0.50,0.52,0.50,0.50,12300,0.50
2013-04-25,0.52,0.55,0.50,0.52,4600,0.52
2013-04-24,0.49,0.53,0.49,0.52,4800,0.52
2013-04-23,0.45,0.50,0.45,0.48,124400,0.48
2013-04-22,0.47,0.47,0.45,0.45,2000,0.45
2013-04-19,0.50,0.50,0.49,0.49,3200,0.49
2013-04-18,0.48,0.54,0.48,0.50,7600,0.50
2013-04-17,0.45,0.55,0.45,0.50,4900,0.50
2013-04-16,0.50,0.50,0.44,0.50,3800,0.50
2013-04-15,0.51,0.51,0.44,0.48,400,0.48
2013-04-12,0.43,0.47,0.43,0.46,21700,0.46
2013-04-11,0.40,0.44,0.40,0.43,28800,0.43
2013-04-10,0.41,0.41,0.40,0.40,6100,0.40
2013-04-09,0.39,0.42,0.39,0.41,29500,0.41
2013-04-08,0.40,0.43,0.40,0.43,23900,0.43
2013-04-05,0.41,0.44,0.41,0.44,6300,0.44
2013-04-04,0.44,0.44,0.44,0.44,000,0.44
2013-04-03,0.44,0.44,0.44,0.44,2000,0.44
2013-04-02,0.41,0.45,0.41,0.45,1400,0.45
2013-04-01,0.45,0.45,0.45,0.45,000,0.45
2013-03-29,0.45,0.45,0.45,0.45,000,0.45
2013-03-28,0.45,0.45,0.45,0.45,1000,0.45
2013-03-27,0.47,0.47,0.43,0.43,4800,0.43
2013-03-26,0.43,0.47,0.43,0.47,2700,0.47
2013-03-25,0.47,0.47,0.47,0.47,000,0.47
2013-03-22,0.48,0.48,0.47,0.47,2100,0.47
2013-03-21,0.48,0.48,0.48,0.48,2000,0.48
2013-03-20,0.48,0.48,0.48,0.48,400,0.48
2013-03-19,0.47,0.47,0.47,0.47,1300,0.47
2013-03-18,0.53,0.53,0.53,0.53,000,0.53
2013-03-15,0.53,0.53,0.53,0.53,000,0.53
2013-03-14,0.53,0.53,0.53,0.53,000,0.53
2013-03-13,0.53,0.53,0.53,0.53,6000,0.53
2013-03-12,0.52,0.53,0.52,0.53,700,0.53
2013-03-11,0.51,0.51,0.49,0.50,4100,0.50
2013-03-08,0.49,0.51,0.49,0.51,7300,0.51
2013-03-07,0.51,0.51,0.51,0.51,300,0.51
2013-03-06,0.49,0.51,0.49,0.51,2600,0.51
2013-03-05,0.51,0.51,0.50,0.50,3800,0.50
2013-03-04,0.51,0.51,0.50,0.51,3200,0.51
2013-03-01,0.52,0.54,0.52,0.54,3500,0.54
2013-02-28,0.58,0.58,0.52,0.54,3100,0.54
2013-02-27,0.54,0.54,0.54,0.54,000,0.54
2013-02-26,0.56,0.56,0.54,0.54,2500,0.54
2013-02-25,0.56,0.56,0.56,0.56,1000,0.56
2013-02-22,0.56,0.56,0.56,0.56,9700,0.56
2013-02-21,0.56,0.56,0.54,0.55,20400,0.55
2013-02-20,0.59,0.59,0.58,0.58,5600,0.58
2013-02-19,0.57,0.62,0.57,0.62,4300,0.62
2013-02-18,0.63,0.63,0.63,0.63,000,0.63
2013-02-15,0.60,0.60,0.60,0.60,6100,0.60
2013-02-14,0.60,0.62,0.60,0.60,7300,0.60
2013-02-13,0.60,0.60,0.58,0.60,30600,0.60
2013-02-12,0.64,0.64,0.60,0.60,8300,0.60
2013-02-11,0.61,0.64,0.61,0.63,7000,0.63
2013-02-08,0.61,0.63,0.60,0.63,9300,0.63
2013-02-07,0.60,0.64,0.60,0.63,40800,0.63
2013-02-06,0.60,0.62,0.58,0.60,27200,0.60
2013-02-05,0.53,0.59,0.53,0.59,4000,0.59
2013-02-04,0.53,0.54,0.53,0.54,500,0.54
2013-02-01,0.56,0.57,0.54,0.57,3000,0.57
2013-01-31,0.54,0.57,0.54,0.56,7800,0.56
2013-01-30,0.58,0.59,0.57,0.57,4300,0.57
2013-01-29,0.61,0.61,0.57,0.57,1400,0.57
2013-01-28,0.61,0.62,0.60,0.60,11300,0.60
2013-01-25,0.62,0.62,0.61,0.61,1700,0.61
2013-01-24,0.62,0.62,0.62,0.62,100,0.62
2013-01-23,0.64,0.64,0.60,0.61,13800,0.61
2013-01-22,0.55,0.60,0.55,0.60,7700,0.60
2013-01-21,0.62,0.65,0.57,0.60,13300,0.60
2013-01-18,0.61,0.61,0.58,0.58,23100,0.58
2013-01-17,0.52,0.58,0.52,0.58,8300,0.58
2013-01-16,0.59,0.59,0.59,0.59,4400,0.59
2013-01-15,0.62,0.62,0.52,0.59,8900,0.59
2013-01-14,0.61,0.65,0.56,0.60,2600,0.60
2013-01-11,0.65,0.65,0.61,0.61,7800,0.61
2013-01-10,0.66,0.66,0.62,0.62,19700,0.62
2013-01-09,0.67,0.68,0.64,0.66,16900,0.66
2013-01-08,0.61,0.70,0.61,0.68,54000,0.68
2013-01-07,0.65,0.67,0.64,0.64,14000,0.64
2013-01-04,0.63,0.68,0.60,0.64,45000,0.64
2013-01-03,0.55,0.64,0.53,0.64,108200,0.64
2013-01-02,0.52,0.59,0.52,0.59,9500,0.59
2013-01-01,0.57,0.57,0.57,0.57,000,0.57
2012-12-31,0.57,0.57,0.57,0.57,000,0.57
2012-12-28,0.57,0.57,0.57,0.57,200,0.57
2012-12-27,0.60,0.60,0.59,0.59,15400,0.59
2012-12-26,0.59,0.59,0.59,0.59,000,0.59
2012-12-25,0.59,0.59,0.59,0.59,000,0.59
2012-12-24,0.59,0.59,0.59,0.59,000,0.59
2012-12-21,0.57,0.59,0.55,0.59,16300,0.59
2012-12-20,0.57,0.57,0.55,0.55,7300,0.55
2012-12-19,0.58,0.58,0.54,0.57,34500,0.57
2012-12-18,0.56,0.59,0.55,0.58,84900,0.58
2012-12-17,0.63,0.64,0.59,0.60,7500,0.60
2012-12-14,0.53,0.65,0.53,0.59,51700,0.59
2012-12-13,0.67,0.67,0.54,0.55,51400,0.55
2012-12-12,0.54,0.68,0.54,0.66,268600,0.66
2012-12-11,0.50,0.54,0.50,0.53,93400,0.53
2012-12-10,0.42,0.50,0.42,0.50,166100,0.50
2012-12-07,0.36,0.42,0.35,0.40,113800,0.40
2012-12-06,0.33,0.33,0.33,0.33,000,0.33
2012-12-05,0.32,0.36,0.32,0.36,100,0.36
2012-12-04,0.32,0.37,0.32,0.36,10100,0.36
2012-12-03,0.33,0.37,0.33,0.37,1000,0.37
2012-11-30,0.37,0.37,0.37,0.37,000,0.37
2012-11-29,0.37,0.37,0.37,0.37,000,0.37
2012-11-28,0.34,0.36,0.33,0.34,18300,0.34
2012-11-27,0.34,0.38,0.34,0.38,3400,0.38
2012-11-26,0.36,0.38,0.36,0.38,4800,0.38
2012-11-23,0.38,0.38,0.35,0.38,5300,0.38
2012-11-22,0.36,0.36,0.36,0.36,4600,0.36
2012-11-21,0.32,0.37,0.32,0.35,4000,0.35
2012-11-20,0.37,0.37,0.36,0.36,000,0.36
2012-11-19,0.37,0.37,0.35,0.35,1700,0.35
2012-11-16,0.30,0.36,0.30,0.36,2100,0.36
2012-11-15,0.36,0.36,0.36,0.36,000,0.36
2012-11-14,0.35,0.35,0.35,0.35,000,0.35
2012-11-13,0.35,0.35,0.35,0.35,000,0.35
2012-11-12,0.35,0.35,0.35,0.35,000,0.35
2012-11-09,0.32,0.35,0.32,0.35,300,0.35
2012-11-08,0.30,0.32,0.30,0.32,4200,0.32
2012-11-07,0.38,0.38,0.38,0.38,000,0.38
2012-11-06,0.38,0.38,0.38,0.38,000,0.38
2012-11-05,0.32,0.38,0.32,0.38,14500,0.38
2012-11-02,0.29,0.32,0.29,0.32,4600,0.32
2012-11-01,0.33,0.33,0.29,0.29,87300,0.29
2012-10-31,0.36,0.36,0.36,0.36,000,0.36
2012-10-30,0.37,0.37,0.36,0.36,000,0.36
2012-10-29,0.39,0.40,0.36,0.36,13700,0.36
2012-10-26,0.39,0.39,0.39,0.39,100,0.39
2012-10-25,0.40,0.40,0.38,0.39,30800,0.39
2012-10-24,0.40,0.40,0.40,0.40,000,0.40
2012-10-23,0.38,0.40,0.38,0.40,9100,0.40
2012-10-22,0.36,0.38,0.35,0.38,32800,0.38
2012-10-19,0.35,0.35,0.33,0.34,5000,0.34
2012-10-18,0.34,0.36,0.34,0.35,6500,0.35
2012-10-17,0.34,0.35,0.32,0.34,18100,0.34
2012-10-16,0.33,0.34,0.32,0.34,38700,0.34
2012-10-15,0.36,0.36,0.33,0.33,8400,0.33
2012-10-12,0.34,0.35,0.33,0.34,1100,0.34
2012-10-11,0.34,0.34,0.34,0.34,000,0.34
2012-10-10,0.34,0.35,0.32,0.34,7400,0.34
2012-10-09,0.35,0.36,0.35,0.35,22000,0.35
2012-10-08,0.34,0.34,0.32,0.34,21600,0.34
2012-10-05,0.32,0.37,0.32,0.33,117900,0.33
2012-10-04,0.30,0.34,0.30,0.34,9300,0.34
2012-10-03,0.34,0.34,0.31,0.32,10300,0.32
2012-10-02,0.31,0.34,0.31,0.33,9200,0.33
2012-10-01,0.30,0.32,0.30,0.32,1500,0.32
2012-09-28,0.32,0.33,0.31,0.33,2600,0.33
2012-09-27,0.33,0.33,0.33,0.33,4800,0.33
2012-09-26,0.31,0.33,0.30,0.33,1500,0.33
2012-09-25,0.32,0.33,0.31,0.33,20600,0.33
2012-09-24,0.34,0.35,0.32,0.34,58600,0.34
2012-09-21,0.32,0.34,0.32,0.34,10900,0.34
2012-09-20,0.33,0.34,0.31,0.31,30400,0.31
2012-09-19,0.34,0.34,0.32,0.33,2000,0.33
2012-09-18,0.34,0.34,0.34,0.34,000,0.34
2012-09-17,0.32,0.32,0.32,0.32,1300,0.32
2012-09-14,0.36,0.36,0.32,0.35,900,0.35
2012-09-13,0.35,0.36,0.34,0.34,10000,0.34
2012-09-12,0.39,0.39,0.34,0.34,90500,0.34
2012-09-11,0.38,0.38,0.38,0.38,100,0.38
2012-09-10,0.36,0.36,0.36,0.36,1100,0.36
2012-09-07,0.32,0.35,0.32,0.35,5600,0.35
2012-09-06,0.34,0.35,0.34,0.34,2300,0.34
2012-09-05,0.33,0.34,0.33,0.34,7200,0.34
2012-09-04,0.31,0.34,0.31,0.34,6700,0.34
2012-09-03,0.35,0.35,0.34,0.34,1000,0.34
2012-08-31,0.35,0.35,0.35,0.35,000,0.35
2012-08-30,0.35,0.35,0.35,0.35,000,0.35
2012-08-29,0.32,0.35,0.31,0.35,1200,0.35
2012-08-28,0.35,0.35,0.35,0.35,700,0.35
2012-08-27,0.35,0.35,0.35,0.35,000,0.35
2012-08-24,0.35,0.35,0.35,0.35,700,0.35
2012-08-23,0.35,0.38,0.35,0.38,1400,0.38
2012-08-22,0.35,0.39,0.35,0.39,1300,0.39
2012-08-21,0.39,0.39,0.39,0.39,1800,0.39
2012-08-20,0.35,0.39,0.35,0.38,6800,0.38
2012-08-17,0.39,0.39,0.39,0.39,000,0.39
2012-08-16,0.37,0.40,0.37,0.40,1400,0.40
2012-08-15,0.41,0.41,0.41,0.41,000,0.41
2012-08-14,0.41,0.41,0.41,0.41,1000,0.41
2012-08-13,0.41,0.41,0.41,0.41,400,0.41
2012-08-10,0.40,0.40,0.40,0.40,500,0.40
2012-08-09,0.36,0.40,0.36,0.40,7700,0.40
2012-08-08,0.39,0.40,0.39,0.40,1700,0.40
2012-08-07,0.37,0.37,0.37,0.37,000,0.37
