Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.15,0.16,0.14,0.14,101700,0.14
2013-05-22,0.15,0.15,0.14,0.14,99500,0.14
2013-05-21,0.15,0.16,0.14,0.15,173600,0.15
2013-05-20,0.17,0.17,0.16,0.16,317500,0.16
2013-05-17,0.18,0.18,0.17,0.17,254300,0.17
2013-05-16,0.18,0.19,0.18,0.18,198300,0.18
2013-05-15,0.17,0.19,0.17,0.19,503900,0.19
2013-05-14,0.17,0.17,0.16,0.17,187100,0.17
2013-05-13,0.17,0.18,0.16,0.17,122000,0.17
2013-05-10,0.15,0.17,0.15,0.17,355800,0.17
2013-05-09,0.14,0.15,0.14,0.15,182700,0.15
2013-05-08,0.14,0.14,0.14,0.14,154800,0.14
2013-05-07,0.13,0.13,0.13,0.13,000,0.13
2013-05-06,0.13,0.13,0.13,0.13,000,0.13
2013-05-03,0.13,0.13,0.13,0.13,000,0.13
2013-05-02,0.14,0.14,0.13,0.13,73000,0.13
2013-05-01,0.14,0.14,0.14,0.14,000,0.14
2013-04-30,0.14,0.14,0.13,0.14,38300,0.14
2013-04-29,0.14,0.15,0.13,0.14,161000,0.14
2013-04-26,0.14,0.15,0.14,0.15,74200,0.15
2013-04-25,0.14,0.15,0.14,0.14,353200,0.14
2013-04-24,0.14,0.14,0.14,0.14,64600,0.14
2013-04-23,0.14,0.15,0.14,0.14,122500,0.14
2013-04-22,0.14,0.15,0.14,0.14,96400,0.14
2013-04-19,0.15,0.15,0.14,0.14,158400,0.14
2013-04-18,0.15,0.16,0.14,0.15,240300,0.15
2013-04-17,0.14,0.15,0.14,0.15,251800,0.15
2013-04-16,0.14,0.14,0.13,0.14,92900,0.14
2013-04-15,0.15,0.15,0.13,0.14,335900,0.14
2013-04-12,0.14,0.16,0.14,0.15,596900,0.15
2013-04-11,0.11,0.14,0.11,0.14,460200,0.14
2013-04-10,0.10,0.11,0.10,0.11,221600,0.11
2013-04-09,0.09,0.10,0.09,0.10,146000,0.10
2013-04-08,0.08,0.09,0.08,0.09,79200,0.09
2013-04-05,0.10,0.10,0.09,0.09,162700,0.09
2013-04-04,0.09,0.10,0.09,0.10,228000,0.10
2013-04-03,0.10,0.10,0.09,0.10,38600,0.10
2013-04-02,0.09,0.10,0.09,0.09,124000,0.09
2013-04-01,0.10,0.10,0.10,0.10,000,0.10
2013-03-29,0.10,0.10,0.10,0.10,000,0.10
