Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.61,0.62,0.61,0.62,2500,0.62
2013-05-22,0.61,0.62,0.61,0.62,3600,0.62
2013-05-21,0.61,0.61,0.61,0.61,3000,0.61
2013-05-20,0.62,0.62,0.62,0.62,11300,0.62
2013-05-17,0.62,0.62,0.62,0.62,3400,0.62
2013-05-16,0.62,0.63,0.62,0.62,2500,0.62
2013-05-15,0.62,0.62,0.62,0.62,3500,0.62
2013-05-14,0.62,0.62,0.62,0.62,2400,0.62
2013-05-13,0.61,0.63,0.61,0.62,900,0.62
2013-05-10,0.61,0.62,0.61,0.61,600,0.61
2013-05-09,0.60,0.63,0.60,0.61,300,0.61
2013-05-08,0.62,0.64,0.62,0.63,700,0.63
2013-05-07,0.62,0.62,0.62,0.62,000,0.62
2013-05-06,0.62,0.62,0.62,0.62,000,0.62
2013-05-03,0.62,0.62,0.62,0.62,000,0.62
2013-05-02,0.62,0.62,0.62,0.62,000,0.62
2013-05-01,0.62,0.62,0.62,0.62,000,0.62
2013-04-30,0.62,0.62,0.61,0.62,13000,0.62
2013-04-29,0.61,0.61,0.60,0.61,5900,0.61
2013-04-26,0.61,0.62,0.61,0.61,11700,0.61
2013-04-25,0.62,0.62,0.60,0.62,8700,0.62
2013-04-24,0.62,0.62,0.62,0.62,2500,0.62
2013-04-23,0.62,0.62,0.62,0.62,19100,0.62
2013-04-22,0.62,0.62,0.60,0.60,11000,0.60
2013-04-19,0.60,0.60,0.60,0.60,3300,0.60
2013-04-18,0.60,0.60,0.60,0.60,10400,0.60
2013-04-17,0.60,0.60,0.59,0.59,14900,0.59
2013-04-16,0.60,0.60,0.59,0.60,8700,0.60
2013-04-15,0.59,0.60,0.59,0.59,9000,0.59
2013-04-12,0.59,0.60,0.59,0.59,9100,0.59
2013-04-11,0.60,0.60,0.58,0.59,14400,0.59
2013-04-10,0.61,0.61,0.59,0.60,6700,0.60
2013-04-09,0.62,0.62,0.60,0.61,17100,0.61
2013-04-08,0.25,0.28,0.24,0.25,4300,0.25
2013-04-05,0.28,0.28,0.28,0.28,000,0.28
2013-04-04,0.28,0.28,0.28,0.28,1200,0.28
2013-04-03,0.25,0.28,0.25,0.28,3100,0.28
2013-04-02,0.33,0.33,0.27,0.28,100,0.28
2013-04-01,0.28,0.28,0.28,0.28,000,0.28
2013-03-29,0.28,0.28,0.28,0.28,000,0.28
2013-03-28,0.33,0.33,0.25,0.28,200,0.28
2013-03-27,0.25,0.29,0.25,0.28,400,0.28
2013-03-26,0.27,0.28,0.27,0.27,1300,0.27
2013-03-25,0.33,0.33,0.33,0.33,000,0.33
2013-03-22,0.33,0.33,0.33,0.33,1000,0.33
2013-03-21,0.26,0.32,0.26,0.32,600,0.32
2013-03-20,0.28,0.34,0.28,0.33,000,0.33
2013-03-19,0.28,0.28,0.28,0.28,200,0.28
2013-03-18,0.28,0.28,0.28,0.28,000,0.28
2013-03-15,0.28,0.28,0.28,0.28,600,0.28
2013-03-14,0.35,0.35,0.35,0.35,100,0.35
2013-03-13,0.28,0.30,0.28,0.29,1000,0.29
2013-03-12,0.28,0.28,0.28,0.28,200,0.28
2013-03-11,0.30,0.30,0.28,0.29,800,0.29
2013-03-08,0.33,0.33,0.33,0.33,000,0.33
2013-03-07,0.33,0.33,0.31,0.33,1100,0.33
2013-03-06,0.30,0.34,0.30,0.33,300,0.33
2013-03-05,0.31,0.37,0.31,0.34,4000,0.34
2013-03-04,0.30,0.35,0.30,0.31,5700,0.31
2013-03-01,0.35,0.35,0.35,0.35,600,0.35
2013-02-28,0.38,0.38,0.38,0.38,12900,0.38
2013-02-27,0.38,0.38,0.38,0.38,10600,0.38
2013-02-26,0.45,0.45,0.45,0.45,1300,0.45
2013-02-25,0.59,0.59,0.50,0.56,900,0.56
2013-02-22,0.58,0.58,0.58,0.58,000,0.58
2013-02-21,0.58,0.58,0.58,0.58,000,0.58
2013-02-20,0.58,0.58,0.58,0.58,200,0.58
2013-02-19,0.58,0.58,0.58,0.58,000,0.58
2013-02-18,0.50,0.60,0.50,0.58,400,0.58
2013-02-15,0.50,0.50,0.50,0.50,000,0.50
2013-02-14,0.50,0.50,0.50,0.50,100,0.50
2013-02-13,0.54,0.54,0.54,0.54,000,0.54
2013-02-12,0.63,0.63,0.51,0.54,000,0.54
2013-02-11,0.51,0.63,0.51,0.55,100,0.55
2013-02-08,0.63,0.63,0.63,0.63,100,0.63
2013-02-07,0.63,0.63,0.63,0.63,4000,0.63
2013-02-06,0.63,0.63,0.63,0.63,2300,0.63
2013-02-05,0.64,0.64,0.64,0.64,2400,0.64
2013-02-04,0.63,0.64,0.63,0.64,3900,0.64
2013-02-01,0.63,0.63,0.63,0.63,4200,0.63
2013-01-31,0.63,0.63,0.63,0.63,3000,0.63
2013-01-30,0.63,0.63,0.63,0.63,6800,0.63
2013-01-29,0.63,0.63,0.63,0.63,4300,0.63
2013-01-28,0.63,0.63,0.63,0.63,3200,0.63
2013-01-25,0.63,0.63,0.63,0.63,1200,0.63
2013-01-24,0.63,0.63,0.63,0.63,200,0.63
2013-01-23,0.63,0.63,0.63,0.63,300,0.63
2013-01-22,0.63,0.63,0.63,0.63,200,0.63
2013-01-21,0.63,0.63,0.63,0.63,100,0.63
2013-01-18,0.64,0.64,0.64,0.64,300,0.64
2013-01-17,0.64,0.64,0.64,0.64,600,0.64
2013-01-16,0.64,0.64,0.64,0.64,1300,0.64
2013-01-15,0.64,0.64,0.64,0.64,200,0.64
2013-01-14,1.41,1.41,1.41,1.41,000,1.41
2013-01-11,1.39,1.66,1.39,1.41,200,1.41
2013-01-10,1.66,1.66,1.66,1.66,100,1.66
2013-01-09,1.39,1.39,1.39,1.39,1300,1.39
2013-01-08,1.39,1.39,1.39,1.39,000,1.39
2013-01-07,1.39,1.39,1.39,1.39,000,1.39
2013-01-04,1.39,1.39,1.39,1.39,200,1.39
2013-01-03,1.39,1.39,1.39,1.39,2300,1.39
2013-01-02,1.39,1.39,1.39,1.39,000,1.39
2013-01-01,1.39,1.39,1.39,1.39,000,1.39
2012-12-31,1.39,1.39,1.39,1.39,000,1.39
2012-12-28,1.39,1.39,1.39,1.39,100,1.39
2012-12-27,1.39,1.39,1.39,1.39,2200,1.39
2012-12-26,1.39,1.39,1.39,1.39,000,1.39
2012-12-25,1.39,1.39,1.39,1.39,000,1.39
2012-12-24,1.39,1.39,1.39,1.39,000,1.39
2012-12-21,1.39,1.39,1.39,1.39,000,1.39
2012-12-20,1.39,1.39,1.39,1.39,000,1.39
2012-12-19,1.39,1.39,1.39,1.39,800,1.39
2012-12-18,1.39,1.39,1.39,1.39,300,1.39
2012-12-17,1.39,1.39,1.39,1.39,900,1.39
2012-12-14,1.39,1.39,1.39,1.39,000,1.39
2012-12-13,1.39,1.39,1.39,1.39,100,1.39
2012-12-12,1.39,1.39,1.39,1.39,400,1.39
2012-12-11,1.39,1.39,1.39,1.39,1100,1.39
2012-12-10,1.39,1.39,1.39,1.39,900,1.39
2012-12-07,1.39,1.39,1.39,1.39,000,1.39
2012-12-06,1.39,1.39,1.39,1.39,700,1.39
2012-12-05,1.39,1.39,1.39,1.39,1500,1.39
2012-12-04,1.39,1.39,1.39,1.39,4000,1.39
2012-12-03,1.39,1.39,1.39,1.39,700,1.39
2012-11-30,1.39,1.39,1.39,1.39,000,1.39
2012-11-29,1.39,1.39,1.39,1.39,000,1.39
2012-11-28,1.39,1.39,1.39,1.39,10700,1.39
2012-11-27,1.39,1.39,1.39,1.39,700,1.39
2012-11-26,1.39,1.39,1.39,1.39,1500,1.39
2012-11-23,1.39,1.39,1.39,1.39,000,1.39
2012-11-22,1.39,1.39,1.39,1.39,300,1.39
2012-11-21,1.39,1.39,1.39,1.39,100,1.39
2012-11-20,1.39,1.39,1.39,1.39,100,1.39
2012-11-19,1.39,1.39,1.39,1.39,000,1.39
2012-11-16,1.39,1.39,1.39,1.39,000,1.39
2012-11-15,1.39,1.39,1.39,1.39,000,1.39
2012-11-14,1.39,1.39,1.39,1.39,100,1.39
2012-11-13,1.39,1.39,1.39,1.39,200,1.39
2012-11-12,1.39,1.39,1.39,1.39,000,1.39
2012-11-09,1.39,1.39,1.39,1.39,6000,1.39
2012-11-08,1.39,1.39,1.39,1.39,000,1.39
2012-11-07,1.39,1.39,1.39,1.39,000,1.39
2012-11-06,1.39,1.39,1.39,1.39,100,1.39
2012-11-05,1.39,1.39,1.39,1.39,8700,1.39
2012-11-02,1.39,1.39,1.39,1.39,100,1.39
2012-11-01,1.39,1.39,1.39,1.39,2900,1.39
2012-10-31,1.39,1.39,1.39,1.39,1200,1.39
2012-10-30,1.39,1.39,1.39,1.39,400,1.39
2012-10-29,1.39,1.39,1.39,1.39,6600,1.39
2012-10-26,1.39,1.39,1.39,1.39,000,1.39
2012-10-25,1.39,1.39,1.39,1.39,800,1.39
2012-10-24,1.39,1.39,1.39,1.39,100,1.39
2012-10-23,1.39,1.39,1.39,1.39,2000,1.39
2012-10-22,1.39,1.39,1.39,1.39,4400,1.39
2012-10-19,1.39,1.39,1.39,1.39,000,1.39
2012-10-18,1.39,1.39,1.39,1.39,100,1.39
2012-10-17,1.39,1.39,1.39,1.39,800,1.39
2012-10-16,1.39,1.39,1.39,1.39,400,1.39
2012-10-15,1.39,1.62,1.39,1.52,100,1.52
2012-10-12,1.63,1.63,1.63,1.63,000,1.63
2012-10-11,1.39,1.66,1.39,1.63,100,1.63
2012-10-10,1.39,1.39,1.39,1.39,300,1.39
2012-10-09,1.39,1.39,1.39,1.39,1100,1.39
2012-10-08,1.39,1.39,1.39,1.39,1300,1.39
2012-10-05,1.39,1.39,1.39,1.39,100,1.39
2012-10-04,1.39,1.39,1.39,1.39,200,1.39
2012-10-03,1.39,1.39,1.39,1.39,2200,1.39
2012-10-02,1.39,1.39,1.39,1.39,200,1.39
2012-10-01,1.39,1.39,1.39,1.39,500,1.39
2012-09-28,1.39,1.39,1.39,1.39,1100,1.39
2012-09-27,1.39,1.39,1.39,1.39,000,1.39
2012-09-26,1.39,1.39,1.39,1.39,000,1.39
2012-09-25,1.39,1.39,1.39,1.39,000,1.39
2012-09-24,1.39,1.39,1.39,1.39,300,1.39
2012-09-21,1.39,1.39,1.39,1.39,4600,1.39
2012-09-20,1.39,1.39,1.39,1.39,000,1.39
