Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.41,0.41,0.41,0.41,000,0.41
2013-05-22,0.41,0.41,0.41,0.41,000,0.41
2013-05-21,0.41,0.41,0.41,0.41,100,0.41
2013-05-20,0.41,0.41,0.41,0.41,000,0.41
2013-05-17,0.41,0.41,0.41,0.41,000,0.41
2013-05-16,0.41,0.41,0.41,0.41,3000,0.41
2013-05-15,0.40,0.40,0.40,0.40,200,0.40
2013-05-14,0.40,0.40,0.39,0.40,4300,0.40
2013-05-13,0.49,0.49,0.49,0.49,000,0.49
2013-05-10,0.49,0.49,0.49,0.49,000,0.49
2013-05-09,0.49,0.49,0.49,0.49,300,0.49
2013-05-08,0.48,0.48,0.48,0.48,200,0.48
2013-05-07,0.40,0.40,0.40,0.40,000,0.40
2013-05-06,0.40,0.40,0.40,0.40,000,0.40
2013-05-03,0.40,0.40,0.40,0.40,000,0.40
2013-05-02,0.40,0.40,0.40,0.40,000,0.40
2013-05-01,0.40,0.40,0.40,0.40,000,0.40
2013-04-30,0.40,0.40,0.40,0.40,300,0.40
2013-04-29,0.31,0.37,0.31,0.34,1500,0.34
2013-04-26,0.31,0.34,0.31,0.31,11000,0.31
2013-04-25,0.31,0.40,0.31,0.34,3500,0.34
2013-04-24,0.40,0.40,0.38,0.39,600,0.39
2013-04-23,0.41,0.41,0.41,0.41,000,0.41
2013-04-22,0.41,0.41,0.41,0.41,000,0.41
2013-04-19,0.41,0.41,0.41,0.41,000,0.41
2013-04-18,0.41,0.41,0.41,0.41,000,0.41
2013-04-17,0.41,0.41,0.41,0.41,000,0.41
2013-04-16,0.40,0.40,0.40,0.40,000,0.40
2013-04-15,0.40,0.40,0.40,0.40,200,0.40
2013-04-12,0.40,0.40,0.40,0.40,000,0.40
2013-04-11,0.40,0.40,0.40,0.40,000,0.40
2013-04-10,0.40,0.40,0.40,0.40,100,0.40
2013-04-09,0.38,0.38,0.38,0.38,3100,0.38
2013-04-08,0.40,0.40,0.40,0.40,3000,0.40
2013-04-05,0.40,0.48,0.40,0.40,1900,0.40
2013-04-04,0.50,0.50,0.50,0.50,000,0.50
2013-04-03,0.64,0.64,0.44,0.50,2100,0.50
2013-04-02,0.52,0.63,0.52,0.63,500,0.63
2013-04-01,0.52,0.52,0.52,0.52,000,0.52
2013-03-29,0.52,0.52,0.52,0.52,000,0.52
2013-03-28,0.55,0.55,0.50,0.52,7300,0.52
2013-03-27,0.48,0.54,0.48,0.54,1000,0.54
2013-03-26,0.49,0.55,0.48,0.53,4000,0.53
2013-03-25,0.53,0.53,0.53,0.53,000,0.53
2013-03-22,0.49,0.53,0.49,0.53,1600,0.53
2013-03-21,0.53,0.53,0.53,0.53,000,0.53
2013-03-20,0.53,0.54,0.50,0.53,4200,0.53
2013-03-19,0.52,0.53,0.50,0.53,1000,0.53
2013-03-18,0.56,0.56,0.56,0.56,000,0.56
2013-03-15,0.51,0.56,0.50,0.56,300,0.56
2013-03-14,0.54,0.57,0.53,0.54,18200,0.54
2013-03-13,0.64,0.64,0.64,0.64,000,0.64
2013-03-12,0.64,0.65,0.64,0.64,100,0.64
2013-03-11,0.55,0.63,0.55,0.63,800,0.63
2013-03-08,0.63,0.63,0.63,0.63,000,0.63
2013-03-07,0.62,0.63,0.62,0.63,000,0.63
2013-03-06,0.62,0.62,0.62,0.62,000,0.62
2013-03-05,0.60,0.60,0.60,0.60,000,0.60
2013-03-04,0.57,0.59,0.56,0.58,2800,0.58
2013-03-01,0.65,0.65,0.65,0.65,000,0.65
2013-02-28,0.64,0.64,0.62,0.62,200,0.62
2013-02-27,0.65,0.65,0.65,0.65,000,0.65
2013-02-26,0.56,0.62,0.56,0.61,1100,0.61
2013-02-25,0.63,0.63,0.60,0.62,1300,0.62
2013-02-22,0.62,0.63,0.62,0.63,1600,0.63
2013-02-21,0.62,0.66,0.62,0.64,1300,0.64
2013-02-20,0.70,0.70,0.65,0.65,3100,0.65
2013-02-19,0.69,0.69,0.69,0.69,100,0.69
2013-02-18,0.68,0.68,0.68,0.68,000,0.68
2013-02-15,0.70,0.70,0.68,0.68,000,0.68
2013-02-14,0.68,0.70,0.68,0.68,900,0.68
2013-02-13,0.67,0.69,0.67,0.68,1400,0.68
2013-02-12,0.69,0.69,0.63,0.67,9200,0.67
2013-02-11,0.65,0.69,0.65,0.69,2100,0.69
2013-02-08,0.70,0.70,0.64,0.69,35500,0.69
2013-02-07,0.74,0.74,0.70,0.70,300,0.70
2013-02-06,0.70,0.74,0.70,0.73,2300,0.73
2013-02-05,0.74,0.74,0.70,0.72,1100,0.72
2013-02-04,0.74,0.74,0.72,0.72,400,0.72
2013-02-01,0.66,0.73,0.66,0.71,4500,0.71
2013-01-31,0.70,0.74,0.66,0.71,7900,0.71
2013-01-30,0.75,0.75,0.75,0.75,100,0.75
2013-01-29,0.78,0.78,0.74,0.75,3900,0.75
2013-01-28,0.78,0.79,0.78,0.78,6100,0.78
2013-01-25,0.76,0.80,0.76,0.80,1900,0.80
2013-01-24,0.79,0.79,0.77,0.78,25000,0.78
2013-01-23,0.77,0.79,0.76,0.79,10300,0.79
2013-01-22,0.73,0.77,0.71,0.77,14400,0.77
2013-01-21,0.68,0.74,0.68,0.73,42200,0.73
2013-01-18,0.64,0.69,0.59,0.69,29900,0.69
2013-01-17,0.57,0.60,0.57,0.60,15600,0.60
2013-01-16,0.56,0.60,0.56,0.57,64800,0.57
2013-01-15,0.57,0.62,0.57,0.59,20600,0.59
2013-01-14,0.65,0.68,0.60,0.63,7300,0.63
2013-01-11,0.63,0.65,0.63,0.65,4900,0.65
2013-01-10,0.66,0.68,0.65,0.65,13500,0.65
2013-01-09,0.68,0.69,0.64,0.68,12600,0.68
2013-01-08,0.65,0.69,0.64,0.67,56700,0.67
2013-01-07,0.66,0.67,0.62,0.65,12200,0.65
2013-01-04,0.62,0.67,0.61,0.66,93800,0.66
2013-01-03,0.65,0.66,0.60,0.62,44100,0.62
2013-01-02,0.57,0.63,0.57,0.62,53900,0.62
2013-01-01,0.55,0.55,0.55,0.55,000,0.55
2012-12-31,0.55,0.55,0.55,0.55,000,0.55
2012-12-28,0.56,0.56,0.53,0.55,6200,0.55
2012-12-27,0.57,0.57,0.55,0.56,7300,0.56
2012-12-26,0.57,0.57,0.57,0.57,000,0.57
2012-12-25,0.57,0.57,0.57,0.57,000,0.57
2012-12-24,0.57,0.57,0.57,0.57,000,0.57
2012-12-21,0.55,0.57,0.52,0.57,19900,0.57
2012-12-20,0.55,0.57,0.55,0.57,5000,0.57
2012-12-19,0.59,0.59,0.59,0.59,000,0.59
2012-12-18,0.59,0.59,0.59,0.59,000,0.59
2012-12-17,0.57,0.59,0.57,0.59,600,0.59
2012-12-14,0.63,0.63,0.60,0.60,2700,0.60
2012-12-13,0.60,0.63,0.60,0.62,22900,0.62
2012-12-12,0.58,0.60,0.57,0.60,10200,0.60
2012-12-11,0.59,0.59,0.54,0.57,2900,0.57
2012-12-10,0.50,0.57,0.50,0.57,1200,0.57
2012-12-07,0.61,0.61,0.61,0.61,000,0.61
2012-12-06,0.61,0.61,0.61,0.61,000,0.61
2012-12-05,0.61,0.61,0.61,0.61,000,0.61
2012-12-04,0.61,0.61,0.61,0.61,000,0.61
2012-12-03,0.61,0.61,0.61,0.61,8000,0.61
