Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.35,0.35,0.35,0.35,000,0.35
2013-05-22,0.33,0.35,0.32,0.35,3800,0.35
2013-05-21,0.34,0.35,0.33,0.35,29900,0.35
2013-05-20,0.37,0.37,0.34,0.36,3100,0.36
2013-05-17,0.37,0.37,0.35,0.37,41100,0.37
2013-05-16,0.36,0.37,0.36,0.37,29000,0.37
2013-05-15,0.35,0.36,0.34,0.36,46400,0.36
2013-05-14,0.35,0.35,0.35,0.35,7800,0.35
2013-05-13,0.32,0.35,0.32,0.35,33600,0.35
2013-05-10,0.36,0.36,0.34,0.36,19700,0.36
2013-05-09,0.34,0.36,0.32,0.36,142500,0.36
2013-05-08,0.30,0.33,0.29,0.33,22900,0.33
2013-05-07,0.29,0.29,0.29,0.29,000,0.29
2013-05-06,0.29,0.29,0.29,0.29,000,0.29
2013-05-03,0.29,0.29,0.29,0.29,000,0.29
2013-05-02,0.29,0.29,0.29,0.29,1000,0.29
2013-05-01,0.29,0.29,0.29,0.29,000,0.29
2013-04-30,0.27,0.29,0.25,0.29,18300,0.29
2013-04-29,0.30,0.30,0.29,0.29,4000,0.29
2013-04-26,0.28,0.29,0.28,0.29,2400,0.29
2013-04-25,0.27,0.30,0.26,0.30,69100,0.30
2013-04-24,0.31,0.31,0.28,0.29,15700,0.29
2013-04-23,0.29,0.31,0.28,0.31,18600,0.31
2013-04-22,0.30,0.30,0.28,0.30,18900,0.30
2013-04-19,0.26,0.32,0.26,0.29,30700,0.29
2013-04-18,0.27,0.27,0.27,0.27,3500,0.27
2013-04-17,0.28,0.28,0.27,0.27,21000,0.27
2013-04-16,0.26,0.26,0.26,0.26,000,0.26
2013-04-15,0.24,0.27,0.22,0.26,16000,0.26
2013-04-12,0.24,0.24,0.24,0.24,200,0.24
2013-04-11,0.25,0.25,0.22,0.22,19900,0.22
2013-04-10,0.26,0.26,0.25,0.25,24600,0.25
2013-04-09,0.25,0.26,0.23,0.25,5300,0.25
2013-04-08,0.22,0.25,0.22,0.25,2900,0.25
2013-04-05,0.22,0.25,0.22,0.25,2000,0.25
2013-04-04,0.23,0.25,0.23,0.25,3000,0.25
2013-04-03,0.26,0.27,0.24,0.25,9600,0.25
2013-04-02,0.29,0.31,0.27,0.27,6400,0.27
2013-04-01,0.33,0.33,0.33,0.33,000,0.33
2013-03-29,0.33,0.33,0.33,0.33,000,0.33
2013-03-28,0.33,0.33,0.33,0.33,000,0.33
2013-03-27,0.30,0.33,0.30,0.33,2700,0.33
2013-03-26,0.33,0.33,0.33,0.33,000,0.33
2013-03-25,0.33,0.33,0.33,0.33,000,0.33
2013-03-22,0.31,0.33,0.31,0.33,1200,0.33
2013-03-21,0.28,0.35,0.28,0.34,137400,0.34
2013-03-20,0.30,0.31,0.30,0.31,7200,0.31
2013-03-19,0.30,0.33,0.29,0.33,25900,0.33
2013-03-18,0.33,0.33,0.33,0.33,000,0.33
2013-03-15,0.31,0.33,0.31,0.33,12500,0.33
2013-03-14,0.34,0.34,0.32,0.33,6500,0.33
2013-03-13,0.32,0.33,0.32,0.33,2700,0.33
2013-03-12,0.34,0.34,0.32,0.33,2700,0.33
2013-03-11,0.35,0.35,0.33,0.34,33900,0.34
2013-03-08,0.35,0.38,0.33,0.35,86600,0.35
2013-03-07,0.32,0.35,0.31,0.35,11400,0.35
2013-03-06,0.31,0.34,0.31,0.34,34300,0.34
2013-03-05,0.35,0.35,0.32,0.33,4100,0.33
2013-03-04,0.32,0.33,0.31,0.33,6000,0.33
2013-03-01,0.34,0.34,0.34,0.34,17600,0.34
2013-02-28,0.36,0.36,0.34,0.35,18200,0.35
2013-02-27,0.36,0.37,0.34,0.36,28300,0.36
2013-02-26,0.34,0.35,0.33,0.34,10700,0.34
2013-02-25,0.35,0.37,0.35,0.37,2200,0.37
2013-02-22,0.32,0.38,0.32,0.38,5300,0.38
2013-02-21,0.40,0.40,0.36,0.38,46400,0.38
2013-02-20,0.38,0.38,0.38,0.38,1500,0.38
