Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.53,1.53,1.53,1.53,4500,1.53
2013-05-22,1.53,1.53,1.53,1.53,4700,1.53
2013-05-21,1.53,1.53,1.53,1.53,2400,1.53
2013-05-20,1.53,1.53,1.53,1.53,3100,1.53
2013-05-17,1.53,1.53,1.53,1.53,2900,1.53
2013-05-16,1.53,1.59,1.53,1.53,10000,1.53
2013-05-15,1.53,1.53,1.53,1.53,3300,1.53
2013-05-14,1.53,1.53,1.53,1.53,4600,1.53
2013-05-13,1.53,1.53,1.53,1.53,5000,1.53
2013-05-10,1.53,1.53,1.53,1.53,49800,1.53
2013-05-09,1.53,1.53,1.53,1.53,58400,1.53
2013-05-08,1.53,1.53,1.53,1.53,8600,1.53
2013-05-07,1.53,1.53,1.53,1.53,000,1.53
2013-05-06,1.53,1.53,1.53,1.53,000,1.53
2013-05-03,1.53,1.53,1.53,1.53,000,1.53
2013-05-02,1.53,1.53,1.53,1.53,9000,1.53
2013-05-01,1.53,1.53,1.53,1.53,000,1.53
2013-04-30,1.53,1.53,1.53,1.53,9400,1.53
2013-04-29,1.53,1.53,1.53,1.53,12600,1.53
2013-04-26,1.53,1.53,1.53,1.53,25000,1.53
2013-04-25,1.53,1.53,1.53,1.53,41600,1.53
2013-04-24,1.53,1.53,1.53,1.53,13200,1.53
2013-04-23,1.53,1.53,1.53,1.53,29300,1.53
2013-04-22,1.53,1.53,1.53,1.53,5400,1.53
2013-04-19,1.53,1.53,1.53,1.53,13200,1.53
2013-04-18,1.53,1.53,1.53,1.53,13900,1.53
2013-04-17,1.53,1.53,1.53,1.53,14300,1.53
2013-04-16,1.53,1.53,1.53,1.53,332200,1.53
2013-04-15,1.53,1.53,1.53,1.53,33300,1.53
2013-04-12,1.53,1.53,1.53,1.53,6600,1.53
2013-04-11,1.53,1.53,1.53,1.53,33200,1.53
2013-04-10,1.53,1.53,1.53,1.53,8700,1.53
2013-04-09,1.53,1.53,1.53,1.53,5600,1.53
2013-04-08,1.53,1.53,1.53,1.53,6000,1.53
2013-04-05,1.53,1.53,1.53,1.53,73100,1.53
2013-04-04,1.53,1.53,1.53,1.53,7400,1.53
2013-04-03,1.53,1.53,1.53,1.53,5000,1.53
2013-04-02,1.53,1.53,1.53,1.53,200,1.53
2013-04-01,1.53,1.53,1.53,1.53,000,1.53
2013-03-29,1.53,1.53,1.53,1.53,000,1.53
2013-03-28,1.53,1.53,1.53,1.53,7700,1.53
2013-03-27,1.53,1.53,1.53,1.53,14000,1.53
2013-03-26,1.53,1.53,1.53,1.53,1700,1.53
2013-03-25,1.53,1.53,1.53,1.53,000,1.53
2013-03-22,1.53,1.53,1.53,1.53,5200,1.53
2013-03-21,1.53,1.53,1.53,1.53,9400,1.53
2013-03-20,1.53,1.53,1.53,1.53,1500,1.53
2013-03-19,1.53,1.53,1.53,1.53,38800,1.53
2013-03-18,1.53,1.53,1.53,1.53,000,1.53
2013-03-15,1.53,1.53,1.53,1.53,14700,1.53
2013-03-14,1.53,1.53,1.53,1.53,17400,1.53
2013-03-13,1.53,1.53,1.53,1.53,12100,1.53
2013-03-12,1.53,1.53,1.53,1.53,1000,1.53
2013-03-11,1.53,1.53,1.53,1.53,78900,1.53
2013-03-08,1.53,1.53,1.53,1.53,20000,1.53
2013-03-07,1.53,1.53,1.53,1.53,13800,1.53
2013-03-06,1.53,1.53,1.53,1.53,6900,1.53
2013-03-05,1.53,1.53,1.53,1.53,4700,1.53
2013-03-04,1.53,1.53,1.53,1.53,22700,1.53
2013-03-01,1.53,1.53,1.53,1.53,6800,1.53
2013-02-28,1.53,1.53,1.53,1.53,8300,1.53
2013-02-27,1.53,1.53,1.53,1.53,9900,1.53
2013-02-26,1.53,1.53,1.53,1.53,53100,1.53
2013-02-25,1.53,1.53,1.53,1.53,324900,1.53
2013-02-22,1.53,1.54,1.53,1.53,307600,1.53
2013-02-21,1.53,1.54,1.53,1.53,247000,1.53
2013-02-20,1.53,1.53,1.53,1.53,298900,1.53
2013-02-19,1.53,1.54,1.53,1.53,7027200,1.53
2013-02-18,1.48,1.48,1.47,1.47,65300,1.47
2013-02-15,1.48,1.48,1.47,1.48,44000,1.48
2013-02-14,1.48,1.48,1.47,1.48,14000,1.48
2013-02-13,1.47,1.48,1.47,1.48,200,1.48
2013-02-12,1.48,1.48,1.47,1.47,40800,1.47
2013-02-11,1.49,1.49,1.47,1.47,76800,1.47
2013-02-08,1.47,1.49,1.47,1.49,300,1.49
2013-02-07,1.48,1.49,1.48,1.49,2200,1.49
2013-02-06,1.48,1.49,1.47,1.49,16500,1.49
2013-02-05,1.48,1.48,1.47,1.47,30300,1.47
2013-02-04,1.50,1.50,1.48,1.48,268700,1.48
2013-02-01,1.48,1.48,1.47,1.47,24100,1.47
2013-01-31,1.47,1.48,1.47,1.47,8000,1.47
2013-01-30,1.48,1.48,1.47,1.48,56200,1.48
2013-01-29,1.44,1.51,1.44,1.47,33434100,1.47
2013-01-28,1.46,1.47,1.44,1.46,81000,1.46
2013-01-25,1.46,1.46,1.45,1.46,12700,1.46
2013-01-24,1.45,1.48,1.45,1.47,39200,1.47
2013-01-23,1.47,1.47,1.45,1.47,45600,1.47
2013-01-22,1.47,1.48,1.46,1.47,5800,1.47
2013-01-21,1.49,1.49,1.47,1.47,25500,1.47
2013-01-18,1.47,1.47,1.47,1.47,27600,1.47
2013-01-17,1.47,1.48,1.46,1.46,36100,1.46
2013-01-16,1.47,1.48,1.47,1.47,17800,1.47
2013-01-15,1.47,1.47,1.47,1.47,13000,1.47
2013-01-14,1.46,1.47,1.46,1.47,2500,1.47
2013-01-11,1.48,1.48,1.48,1.48,9500,1.48
2013-01-10,1.43,1.47,1.43,1.46,79200,1.46
2013-01-09,1.44,1.46,1.44,1.45,68000,1.45
2013-01-08,1.44,1.44,1.43,1.44,23500,1.44
