Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,18.40,18.40,18.40,18.40,000,18.40
2013-04-25,18.40,18.40,18.40,18.40,000,18.40
2013-04-24,18.40,18.40,18.40,18.40,000,18.40
2013-04-23,18.40,18.40,18.40,18.40,000,18.40
2013-04-22,18.40,18.40,18.40,18.40,000,18.40
2013-04-19,17.80,18.89,17.70,18.40,461100,18.40
2013-04-18,18.31,18.40,16.84,17.00,325300,17.00
2013-04-17,18.60,18.85,17.81,18.60,288900,18.60
2013-04-16,19.52,19.52,18.50,18.80,460100,18.80
2013-04-15,19.80,19.89,19.50,19.85,330600,19.85
2013-04-12,20.00,20.10,19.80,20.05,329500,20.05
2013-04-11,19.92,20.10,19.61,19.91,250900,19.91
2013-04-10,20.06,20.22,19.45,20.05,329300,20.05
2013-04-09,19.50,20.25,19.50,20.25,535300,20.25
2013-04-08,19.80,19.90,18.90,19.50,198100,19.50
2013-04-05,20.39,20.39,19.00,19.30,217300,19.30
2013-04-04,20.27,20.59,20.00,20.10,523900,20.10
2013-04-03,21.10,21.32,20.40,20.50,298100,20.50
2013-04-02,20.96,21.78,20.80,21.10,375000,21.10
2013-04-01,20.90,20.90,20.90,20.90,000,20.90
2013-03-29,20.90,20.90,20.90,20.90,000,20.90
2013-03-28,20.81,21.00,20.30,20.90,188300,20.90
2013-03-27,20.78,20.83,19.91,20.35,390200,20.35
2013-03-26,21.20,21.22,20.34,20.60,627900,20.60
2013-03-25,21.68,21.68,21.68,21.68,000,21.68
2013-03-22,21.90,21.90,21.55,21.68,326900,21.68
2013-03-21,22.55,22.97,21.45,21.90,433800,21.90
2013-03-20,22.00,22.83,21.89,22.75,362300,22.75
2013-03-19,21.20,22.50,21.00,22.40,335900,22.40
2013-03-18,21.60,21.60,21.60,21.60,000,21.60
2013-03-15,21.64,22.36,21.28,21.60,1326000,21.60
2013-03-14,21.50,21.93,21.41,21.64,1154500,21.64
2013-03-13,20.80,21.50,20.74,21.50,536100,21.50
2013-03-12,20.16,20.99,20.05,20.80,854300,20.80
2013-03-11,20.51,20.60,20.00,20.02,190700,20.02
2013-03-08,20.15,20.85,19.91,20.51,267400,20.51
2013-03-07,20.60,20.60,20.00,20.15,231300,20.15
2013-03-06,20.50,20.90,20.10,20.40,241700,20.40
2013-03-05,20.33,20.96,20.32,20.48,309000,20.48
2013-03-04,20.90,21.12,20.55,20.84,219000,20.84
2013-03-01,20.90,21.00,20.70,20.90,219900,20.90
2013-02-28,20.54,20.99,20.18,20.90,495000,20.90
2013-02-27,19.99,20.44,19.66,20.44,550500,20.44
2013-02-26,19.60,20.00,19.21,19.96,173300,19.96
2013-02-25,19.60,19.97,19.50,19.60,164500,19.60
2013-02-22,19.42,19.64,18.88,19.60,265600,19.60
2013-02-21,20.05,20.05,19.33,19.70,242700,19.70
2013-02-20,20.10,20.14,19.65,20.05,155300,20.05
2013-02-19,19.50,20.12,19.40,20.10,153100,20.10
2013-02-18,19.99,19.99,19.30,19.33,89600,19.33
2013-02-15,19.61,20.00,19.61,19.91,232200,19.91
2013-02-14,19.11,19.99,19.00,19.80,121900,19.80
2013-02-13,19.35,19.88,18.85,19.36,187600,19.36
2013-02-12,19.27,20.00,19.27,19.35,185900,19.35
2013-02-11,19.55,19.72,19.31,19.52,48600,19.52
2013-02-08,20.57,21.00,19.55,19.55,222900,19.55
2013-02-07,20.10,20.50,19.62,20.25,223800,20.25
2013-02-06,19.80,20.01,19.66,20.01,288200,20.01
2013-02-05,19.00,20.10,19.00,19.50,172700,19.50
2013-02-04,19.30,19.90,19.30,19.42,177100,19.42
2013-02-01,19.03,19.79,19.03,19.30,182100,19.30
2013-01-31,18.00,19.50,18.00,19.15,298200,19.15
2013-01-30,17.81,18.60,17.81,18.25,184600,18.25
2013-01-29,18.00,18.24,17.69,18.13,271000,18.13
2013-01-28,18.20,18.30,18.03,18.04,158500,18.04
2013-01-25,18.04,18.04,17.73,17.97,109800,17.97
2013-01-24,17.90,18.14,17.63,17.90,166300,17.90
2013-01-23,17.65,17.90,17.33,17.90,135300,17.90
2013-01-22,17.60,17.85,17.36,17.85,91300,17.85
2013-01-21,17.69,17.88,17.47,17.60,117900,17.60
2013-01-18,17.25,17.73,17.24,17.36,107800,17.36
2013-01-17,17.68,17.77,17.16,17.50,197700,17.50
2013-01-16,17.58,17.61,17.23,17.30,117500,17.30
2013-01-15,17.80,17.88,17.08,17.28,203900,17.28
2013-01-14,17.39,17.99,17.35,17.70,271600,17.70
2013-01-11,17.29,17.43,17.10,17.39,161100,17.39
2013-01-10,17.51,17.60,17.25,17.50,197700,17.50
2013-01-09,18.22,18.22,17.40,17.60,182800,17.60
2013-01-08,18.06,18.22,17.58,17.93,195200,17.93
2013-01-07,18.06,18.24,17.67,17.98,63900,17.98
2013-01-04,17.99,18.20,17.82,18.00,175800,18.00
2013-01-03,17.55,17.99,17.40,17.99,66300,17.99
2013-01-02,17.76,18.00,17.33,17.88,68700,17.88
2013-01-01,16.90,16.90,16.90,16.90,000,16.90
2012-12-31,16.90,16.90,16.90,16.90,000,16.90
2012-12-28,17.05,17.36,16.80,16.90,79700,16.90
2012-12-27,17.20,17.64,17.00,17.05,100400,17.05
2012-12-26,17.55,17.55,17.55,17.55,000,17.55
2012-12-25,17.55,17.55,17.55,17.55,000,17.55
2012-12-24,17.55,17.55,17.55,17.55,000,17.55
2012-12-21,17.30,17.60,17.00,17.55,360000,17.55
2012-12-20,16.72,17.33,16.72,17.30,202100,17.30
2012-12-19,16.20,16.85,16.13,16.85,147300,16.85
2012-12-18,16.60,16.68,16.09,16.16,229000,16.16
2012-12-17,16.30,16.58,16.14,16.50,199700,16.50
2012-12-14,16.50,16.65,16.30,16.30,154400,16.30
2012-12-13,16.75,17.05,16.49,16.65,317800,16.65
2012-12-12,17.00,17.10,16.71,16.95,179400,16.95
2012-12-11,16.85,17.11,16.55,17.00,127300,17.00
2012-12-10,16.81,16.81,16.45,16.60,200100,16.60
2012-12-07,16.89,17.10,16.72,16.98,168600,16.98
2012-12-06,17.10,17.30,16.89,16.89,248900,16.89
2012-12-05,17.48,17.48,17.10,17.10,123100,17.10
2012-12-04,17.22,17.50,17.11,17.48,114900,17.48
2012-12-03,17.99,18.09,17.39,17.55,118500,17.55
2012-11-30,17.40,17.88,17.02,17.88,366700,17.88
2012-11-29,18.00,18.10,17.55,17.55,116800,17.55
2012-11-28,17.59,18.10,17.59,17.71,102700,17.71
2012-11-27,17.30,18.17,17.17,18.00,235000,18.00
2012-11-26,17.20,17.40,17.04,17.40,69400,17.40
2012-11-23,17.08,17.45,17.08,17.22,155000,17.22
2012-11-22,17.46,17.58,17.27,17.40,205800,17.40
2012-11-21,16.95,17.59,16.95,17.50,98400,17.50
2012-11-20,17.39,17.50,17.14,17.49,130300,17.49
2012-11-19,16.82,17.72,16.82,17.25,86200,17.25
2012-11-16,16.73,17.35,16.73,17.00,150100,17.00
2012-11-15,17.00,17.25,16.57,16.95,52700,16.95
2012-11-14,17.10,17.20,16.84,17.00,209900,17.00
2012-11-13,16.90,17.34,16.90,17.20,120100,17.20
2012-11-12,17.02,17.30,16.73,17.00,93400,17.00
2012-11-09,17.00,17.50,17.00,17.10,131700,17.10
2012-11-08,17.26,17.38,16.75,17.20,136300,17.20
2012-11-07,17.40,17.67,16.97,17.19,142500,17.19
2012-11-06,17.67,17.67,17.17,17.37,126100,17.37
2012-11-05,16.67,17.63,16.37,17.50,179000,17.50
2012-11-02,16.50,17.15,16.38,16.67,121700,16.67
2012-11-01,16.12,16.95,15.90,16.54,261800,16.54
2012-10-31,16.10,16.50,15.85,16.50,183500,16.50
2012-10-30,16.47,16.50,16.00,16.10,163100,16.10
2012-10-29,16.50,16.76,16.25,16.27,144600,16.27
2012-10-26,16.50,16.66,16.27,16.50,81800,16.50
2012-10-25,17.00,17.00,16.46,16.70,155300,16.70
2012-10-24,16.75,17.24,16.75,17.00,191400,17.00
2012-10-23,17.10,17.23,16.80,16.85,290500,16.85
2012-10-22,17.02,17.42,16.90,17.16,225900,17.16
2012-10-19,17.36,17.40,16.69,17.02,275800,17.02
2012-10-18,17.79,17.90,17.20,17.20,140600,17.20
2012-10-17,17.91,18.24,17.50,17.60,322200,17.60
2012-10-16,17.39,18.07,16.98,17.91,316600,17.91
2012-10-15,17.00,17.34,16.59,17.00,345600,17.00
2012-10-12,15.60,16.84,15.50,16.75,336200,16.75
2012-10-11,16.46,17.36,14.75,15.66,1042800,15.66
2012-10-10,16.70,16.84,16.30,16.46,67600,16.46
2012-10-09,16.10,16.85,15.88,16.70,219800,16.70
2012-10-08,16.21,16.57,15.70,16.00,259000,16.00
2012-10-05,15.56,16.67,15.56,16.21,151000,16.21
2012-10-04,15.65,15.80,15.24,15.80,68500,15.80
2012-10-03,15.50,15.50,15.03,15.50,125200,15.50
2012-10-02,14.91,15.55,14.68,15.50,122000,15.50
2012-10-01,15.05,15.05,14.74,14.83,81900,14.83
2012-09-28,15.13,15.13,14.52,14.52,108200,14.52
2012-09-27,15.28,15.28,14.71,14.71,60000,14.71
2012-09-26,14.50,14.99,14.27,14.99,120700,14.99
2012-09-25,14.72,14.90,14.51,14.66,184400,14.66
2012-09-24,14.95,15.09,14.50,15.00,141500,15.00
2012-09-21,15.00,15.36,14.78,14.95,194600,14.95
2012-09-20,14.07,15.00,14.07,15.00,179300,15.00
2012-09-19,14.30,14.99,14.30,14.31,260400,14.31
2012-09-18,14.80,14.80,14.38,14.38,130500,14.38
2012-09-17,14.90,15.34,14.68,14.80,174400,14.80
2012-09-14,14.14,14.99,14.07,14.74,106900,14.74
2012-09-13,14.55,14.69,13.93,14.02,181400,14.02
2012-09-12,14.25,14.78,14.25,14.70,137500,14.70
2012-09-11,14.68,14.68,14.20,14.30,99100,14.30
2012-09-10,14.20,14.72,14.20,14.50,208700,14.50
2012-09-07,14.58,14.75,14.20,14.20,187200,14.20
2012-09-06,14.50,14.80,14.49,14.70,110800,14.70
2012-09-05,14.64,14.75,14.42,14.48,80700,14.48
2012-09-04,14.75,14.84,14.48,14.65,28100,14.65
2012-09-03,14.84,14.84,14.48,14.48,21500,14.48
2012-08-31,14.00,14.86,14.00,14.86,308100,14.86
2012-08-30,14.40,14.68,14.00,14.00,115900,14.00
2012-08-29,14.50,14.73,14.20,14.73,88100,14.73
2012-08-28,14.75,14.75,14.26,14.40,90500,14.40
2012-08-27,14.75,14.89,14.54,14.75,75300,14.75
2012-08-24,14.62,14.76,14.31,14.75,52200,14.75
2012-08-23,14.57,14.68,14.20,14.40,118400,14.40
2012-08-22,14.47,14.90,14.34,14.34,101600,14.34
2012-08-21,14.99,14.99,14.55,14.66,94100,14.66
2012-08-20,14.91,15.15,14.62,14.65,88000,14.65
2012-08-17,14.60,15.50,14.60,15.49,208200,15.49
2012-08-16,15.00,15.00,14.50,14.79,118500,14.79
2012-08-15,14.62,14.62,14.62,14.62,000,14.62
2012-08-14,14.60,14.80,14.40,14.62,69500,14.62
2012-08-13,14.25,14.60,14.00,14.47,71600,14.47
2012-08-10,13.88,14.64,13.83,14.11,94800,14.11
2012-08-09,13.90,13.99,13.85,13.90,126300,13.90
2012-08-08,13.90,14.09,13.78,13.98,96600,13.98
2012-08-07,14.04,14.05,13.84,13.90,162100,13.90
2012-08-06,14.00,14.33,13.91,14.01,93700,14.01
2012-08-03,13.96,14.04,13.71,14.04,63700,14.04
2012-08-02,13.96,14.03,13.62,13.80,164700,13.80
2012-08-01,14.20,14.20,13.91,13.91,69600,13.91
2012-07-31,14.15,14.40,13.67,14.25,179000,14.25
2012-07-30,13.93,14.00,13.85,14.00,46000,14.00
2012-07-27,14.00,14.00,13.75,13.93,50900,13.93
2012-07-26,14.00,14.20,13.86,13.90,96700,13.90
2012-07-25,13.85,14.00,13.79,14.00,43400,14.00
2012-07-24,14.06,14.18,13.86,13.86,102100,13.86
2012-07-23,14.28,14.42,13.66,14.19,127800,14.19
2012-07-20,14.10,14.75,13.88,14.75,102400,14.75
2012-07-19,13.99,14.02,13.80,14.00,127200,14.00
2012-07-18,13.65,14.19,13.65,13.80,70800,13.80
2012-07-17,14.32,14.35,13.63,13.65,242700,13.65
2012-07-16,14.30,14.40,14.06,14.32,65700,14.32
2012-07-13,14.10,14.65,14.10,14.26,111700,14.26
2012-07-12,14.70,14.80,14.06,14.10,96500,14.10
2012-07-11,15.10,15.17,14.30,14.70,118500,14.70
2012-07-10,15.00,15.42,14.80,15.03,127800,15.03
2012-07-09,15.00,15.20,14.74,15.00,93100,15.00
2012-07-06,14.85,15.00,14.21,15.00,85200,15.00
2012-07-05,15.65,15.79,14.60,14.83,283500,14.83
2012-07-04,14.75,15.68,14.72,15.68,279700,15.68
2012-07-03,14.00,14.80,13.84,14.80,154800,14.80
