Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.52,0.56,0.52,0.56,100,0.56
2013-05-22,0.53,0.56,0.53,0.56,5400,0.56
2013-05-21,0.57,0.57,0.56,0.56,6500,0.56
2013-05-20,0.59,0.59,0.59,0.59,000,0.59
2013-05-17,0.59,0.60,0.59,0.59,11000,0.59
2013-05-16,0.61,0.61,0.57,0.57,600,0.57
2013-05-15,0.58,0.61,0.58,0.60,28900,0.60
2013-05-14,0.53,0.58,0.53,0.58,15100,0.58
2013-05-13,0.58,0.59,0.58,0.59,100,0.59
2013-05-10,0.56,0.60,0.54,0.57,16100,0.57
2013-05-09,0.51,0.56,0.51,0.54,12400,0.54
2013-05-08,0.54,0.55,0.51,0.55,9100,0.55
2013-05-07,0.54,0.54,0.54,0.54,000,0.54
2013-05-06,0.54,0.54,0.54,0.54,000,0.54
2013-05-03,0.54,0.54,0.54,0.54,000,0.54
2013-05-02,0.54,0.54,0.54,0.54,000,0.54
2013-05-01,0.54,0.54,0.54,0.54,000,0.54
2013-04-30,0.54,0.54,0.54,0.54,000,0.54
2013-04-29,0.54,0.54,0.54,0.54,000,0.54
2013-04-26,0.54,0.54,0.54,0.54,000,0.54
2013-04-25,0.51,0.54,0.50,0.54,600,0.54
2013-04-24,0.52,0.54,0.52,0.54,500,0.54
2013-04-23,0.49,0.55,0.49,0.55,900,0.55
2013-04-22,0.55,0.55,0.55,0.55,000,0.55
2013-04-19,0.55,0.55,0.55,0.55,000,0.55
2013-04-18,0.55,0.55,0.55,0.55,000,0.55
2013-04-17,0.54,0.54,0.54,0.54,000,0.54
2013-04-16,0.54,0.54,0.54,0.54,000,0.54
2013-04-15,0.53,0.54,0.50,0.54,1400,0.54
2013-04-12,0.52,0.52,0.50,0.52,2100,0.52
2013-04-11,0.49,0.52,0.49,0.52,2000,0.52
2013-04-10,0.48,0.52,0.48,0.50,7700,0.50
2013-04-09,0.48,0.51,0.48,0.51,1100,0.51
2013-04-08,0.48,0.51,0.47,0.51,4200,0.51
2013-04-05,0.50,0.51,0.50,0.51,600,0.51
2013-04-04,0.50,0.54,0.50,0.50,7300,0.50
2013-04-03,0.56,0.56,0.56,0.56,000,0.56
2013-04-02,0.56,0.56,0.56,0.56,000,0.56
2013-04-01,0.56,0.56,0.56,0.56,000,0.56
2013-03-29,0.56,0.56,0.56,0.56,000,0.56
2013-03-28,0.56,0.56,0.56,0.56,000,0.56
2013-03-27,0.56,0.56,0.56,0.56,000,0.56
2013-03-26,0.51,0.56,0.51,0.56,100,0.56
2013-03-25,0.55,0.55,0.55,0.55,000,0.55
2013-03-22,0.54,0.55,0.51,0.55,500,0.55
2013-03-21,0.54,0.54,0.54,0.54,000,0.54
2013-03-20,0.53,0.54,0.53,0.54,1700,0.54
2013-03-19,0.54,0.54,0.54,0.54,1000,0.54
2013-03-18,0.54,0.54,0.54,0.54,000,0.54
2013-03-15,0.56,0.56,0.54,0.54,11200,0.54
2013-03-14,0.58,0.58,0.54,0.56,1500,0.56
2013-03-13,0.58,0.58,0.58,0.58,000,0.58
2013-03-12,0.58,0.58,0.58,0.58,000,0.58
2013-03-11,0.58,0.58,0.58,0.58,500,0.58
2013-03-08,0.60,0.60,0.57,0.57,6600,0.57
2013-03-07,0.56,0.57,0.55,0.56,1500,0.56
2013-03-06,0.53,0.56,0.53,0.56,2500,0.56
2013-03-05,0.53,0.58,0.53,0.58,300,0.58
2013-03-04,0.57,0.57,0.57,0.57,300,0.57
2013-03-01,0.53,0.57,0.53,0.57,6200,0.57
2013-02-28,0.54,0.57,0.52,0.57,1200,0.57
2013-02-27,0.54,0.54,0.51,0.51,2900,0.51
2013-02-26,0.54,0.54,0.52,0.52,11400,0.52
2013-02-25,0.56,0.56,0.55,0.55,6600,0.55
2013-02-22,0.56,0.59,0.56,0.56,2800,0.56
2013-02-21,0.59,0.60,0.58,0.60,4300,0.60
2013-02-20,0.59,0.61,0.59,0.61,500,0.61
2013-02-19,0.58,0.61,0.58,0.59,6500,0.59
2013-02-18,0.62,0.62,0.58,0.58,700,0.58
2013-02-15,0.59,0.61,0.59,0.60,4000,0.60
2013-02-14,0.61,0.62,0.58,0.59,15200,0.59
2013-02-13,0.63,0.63,0.61,0.61,4000,0.61
2013-02-12,0.60,0.62,0.60,0.62,28300,0.62
2013-02-11,0.64,0.64,0.64,0.64,100,0.64
2013-02-08,0.63,0.64,0.62,0.62,1200,0.62
2013-02-07,0.60,0.63,0.60,0.62,4700,0.62
2013-02-06,0.63,0.64,0.63,0.64,1500,0.64
2013-02-05,0.56,0.60,0.56,0.60,3400,0.60
2013-02-04,0.55,0.58,0.55,0.56,5300,0.56
2013-02-01,0.57,0.60,0.57,0.57,2100,0.57
2013-01-31,0.56,0.56,0.56,0.56,7400,0.56
2013-01-30,0.60,0.62,0.60,0.62,1500,0.62
2013-01-29,0.61,0.65,0.60,0.60,10200,0.60
2013-01-28,0.64,0.64,0.62,0.63,2700,0.63
2013-01-25,0.62,0.66,0.62,0.62,7700,0.62
2013-01-24,0.65,0.65,0.61,0.64,9500,0.64
