Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.06,0.08,0.06,0.08,14500,0.08
2013-05-22,0.08,0.08,0.08,0.08,7600,0.08
2013-05-21,0.08,0.08,0.08,0.08,1200,0.08
2013-05-20,0.10,0.10,0.10,0.10,000,0.10
2013-05-17,0.10,0.10,0.10,0.10,200,0.10
2013-05-16,0.09,0.09,0.09,0.09,400,0.09
2013-05-15,0.07,0.10,0.07,0.09,600,0.09
2013-05-14,0.08,0.08,0.08,0.08,3500,0.08
2013-05-13,0.10,0.10,0.10,0.10,500,0.10
2013-05-10,0.08,0.08,0.08,0.08,000,0.08
2013-05-09,0.08,0.08,0.08,0.08,1000,0.08
2013-05-08,0.06,0.08,0.06,0.07,6700,0.07
2013-05-07,0.08,0.08,0.08,0.08,000,0.08
2013-05-06,0.08,0.08,0.08,0.08,000,0.08
2013-05-03,0.08,0.08,0.08,0.08,000,0.08
2013-05-02,0.08,0.08,0.08,0.08,500,0.08
2013-05-01,0.10,0.10,0.10,0.10,000,0.10
2013-04-30,0.10,0.10,0.10,0.10,000,0.10
2013-04-29,0.10,0.10,0.10,0.10,000,0.10
2013-04-26,0.10,0.10,0.10,0.10,300,0.10
2013-04-25,0.10,0.10,0.10,0.10,700,0.10
2013-04-24,0.10,0.10,0.10,0.10,2400,0.10
2013-04-23,0.09,0.09,0.09,0.09,3000,0.09
2013-04-22,0.07,0.07,0.07,0.07,100,0.07
2013-04-19,0.06,0.06,0.06,0.06,100,0.06
2013-04-18,0.05,0.05,0.05,0.05,200,0.05
2013-04-17,0.05,0.05,0.05,0.05,400,0.05
2013-04-16,0.05,0.05,0.05,0.05,2200,0.05
2013-04-15,0.04,0.04,0.04,0.04,200,0.04
2013-04-12,0.04,0.04,0.04,0.04,100,0.04
2013-04-11,0.04,0.04,0.04,0.04,1100,0.04
2013-04-10,0.04,0.04,0.04,0.04,000,0.04
2013-04-09,0.04,0.04,0.04,0.04,43100,0.04
2013-04-08,0.04,0.04,0.04,0.04,100,0.04
2013-04-05,0.05,0.05,0.05,0.05,700,0.05
2013-04-04,0.06,0.06,0.06,0.06,000,0.06
2013-04-03,0.06,0.06,0.06,0.06,000,0.06
2013-04-02,0.06,0.06,0.06,0.06,3800,0.06
2013-04-01,0.06,0.06,0.06,0.06,000,0.06
2013-03-29,0.06,0.06,0.06,0.06,000,0.06
2013-03-28,0.08,0.08,0.06,0.06,9100,0.06
2013-03-27,0.08,0.08,0.08,0.08,1100,0.08
2013-03-26,0.08,0.08,0.08,0.08,000,0.08
2013-03-25,0.08,0.08,0.08,0.08,000,0.08
2013-03-22,0.09,0.09,0.08,0.08,4000,0.08
2013-03-21,0.08,0.10,0.08,0.09,1300,0.09
2013-03-20,0.08,0.10,0.08,0.08,1100,0.08
2013-03-19,0.09,0.09,0.09,0.09,000,0.09
2013-03-18,0.09,0.09,0.09,0.09,000,0.09
2013-03-15,0.09,0.09,0.09,0.09,1800,0.09
2013-03-14,0.10,0.10,0.07,0.07,4600,0.07
2013-03-13,0.09,0.09,0.09,0.09,500,0.09
2013-03-12,0.07,0.07,0.07,0.07,2000,0.07
2013-03-11,0.08,0.08,0.06,0.07,1900,0.07
2013-03-08,0.06,0.08,0.06,0.06,3000,0.06
2013-03-07,0.06,0.06,0.06,0.06,100,0.06
2013-03-06,0.06,0.06,0.06,0.06,000,0.06
2013-03-05,0.06,0.06,0.06,0.06,1000,0.06
2013-03-04,0.06,0.06,0.06,0.06,300,0.06
2013-03-01,0.08,0.08,0.08,0.08,1800,0.08
2013-02-28,0.08,0.08,0.08,0.08,600,0.08
2013-02-27,0.08,0.08,0.08,0.08,2000,0.08
2013-02-26,0.08,0.10,0.08,0.08,4100,0.08
2013-02-25,0.06,0.09,0.06,0.08,2300,0.08
2013-02-22,0.08,0.08,0.08,0.08,600,0.08
2013-02-21,0.08,0.08,0.08,0.08,100,0.08
2013-02-20,0.10,0.10,0.10,0.10,1000,0.10
2013-02-19,0.09,0.10,0.09,0.09,200,0.09
2013-02-18,0.10,0.10,0.10,0.10,1300,0.10
2013-02-15,0.09,0.10,0.09,0.09,15100,0.09
2013-02-14,0.09,0.11,0.09,0.11,4300,0.11
2013-02-13,0.10,0.10,0.10,0.10,100,0.10
2013-02-12,0.09,0.10,0.09,0.10,5100,0.10
2013-02-11,0.09,0.10,0.09,0.09,12700,0.09
2013-02-08,0.09,0.11,0.09,0.11,9600,0.11
2013-02-07,0.11,0.11,0.11,0.11,3800,0.11
2013-02-06,0.10,0.12,0.10,0.12,13300,0.12
2013-02-05,0.12,0.12,0.12,0.12,6200,0.12
2013-02-04,0.12,0.12,0.11,0.12,6400,0.12
2013-02-01,0.10,0.13,0.10,0.10,2800,0.10
2013-01-31,0.11,0.11,0.11,0.11,000,0.11
2013-01-30,0.11,0.11,0.11,0.11,25300,0.11
2013-01-29,0.10,0.14,0.10,0.13,2600,0.13
2013-01-28,0.13,0.13,0.11,0.13,22700,0.13
2013-01-25,0.13,0.13,0.13,0.13,4900,0.13
2013-01-24,0.11,0.12,0.11,0.12,9800,0.12
2013-01-23,0.10,0.10,0.10,0.10,4800,0.10
2013-01-22,0.11,0.11,0.10,0.10,9700,0.10
2013-01-21,0.10,0.10,0.10,0.10,5400,0.10
2013-01-18,0.10,0.10,0.10,0.10,1500,0.10
2013-01-17,0.12,0.12,0.12,0.12,2900,0.12
2013-01-16,0.10,0.10,0.10,0.10,57600,0.10
2013-01-15,0.09,0.09,0.09,0.09,000,0.09
2013-01-14,0.09,0.09,0.09,0.09,8600,0.09
2013-01-11,0.09,0.09,0.09,0.09,11000,0.09
2013-01-10,0.09,0.09,0.09,0.09,2400,0.09
2013-01-09,0.09,0.09,0.08,0.09,10700,0.09
2013-01-08,0.09,0.09,0.09,0.09,3500,0.09
2013-01-07,0.09,0.09,0.09,0.09,4700,0.09
2013-01-04,0.08,0.10,0.08,0.09,42700,0.09
2013-01-03,0.08,0.08,0.08,0.08,13200,0.08
2013-01-02,0.08,0.09,0.08,0.09,14400,0.09
2013-01-01,0.08,0.08,0.08,0.08,000,0.08
2012-12-31,0.08,0.08,0.08,0.08,000,0.08
2012-12-28,0.08,0.08,0.08,0.08,000,0.08
2012-12-27,0.08,0.08,0.08,0.08,4900,0.08
2012-12-26,0.08,0.08,0.08,0.08,000,0.08
2012-12-25,0.08,0.08,0.08,0.08,000,0.08
2012-12-24,0.08,0.08,0.08,0.08,000,0.08
2012-12-21,0.08,0.08,0.08,0.08,000,0.08
2012-12-20,0.08,0.08,0.08,0.08,000,0.08
2012-12-19,0.08,0.08,0.08,0.08,600,0.08
2012-12-18,0.09,0.09,0.09,0.09,000,0.09
2012-12-17,0.09,0.09,0.09,0.09,000,0.09
2012-12-14,0.09,0.09,0.09,0.09,500,0.09
2012-12-13,0.09,0.09,0.09,0.09,000,0.09
2012-12-12,0.09,0.09,0.09,0.09,000,0.09
2012-12-11,0.09,0.09,0.09,0.09,000,0.09
2012-12-10,0.09,0.09,0.09,0.09,000,0.09
2012-12-07,0.09,0.09,0.09,0.09,000,0.09
2012-12-06,0.09,0.09,0.09,0.09,200,0.09
2012-12-05,0.09,0.09,0.09,0.09,000,0.09
2012-12-04,0.09,0.09,0.09,0.09,000,0.09
2012-12-03,0.09,0.09,0.09,0.09,000,0.09
2012-11-30,0.09,0.09,0.09,0.09,000,0.09
2012-11-29,0.09,0.09,0.09,0.09,000,0.09
2012-11-28,0.09,0.09,0.09,0.09,000,0.09
2012-11-27,0.09,0.09,0.09,0.09,000,0.09
2012-11-26,0.09,0.09,0.09,0.09,000,0.09
2012-11-23,0.09,0.09,0.09,0.09,000,0.09
2012-11-22,0.09,0.09,0.09,0.09,000,0.09
2012-11-21,0.09,0.09,0.09,0.09,000,0.09
2012-11-20,0.09,0.09,0.09,0.09,200,0.09
2012-11-19,0.08,0.08,0.08,0.08,300,0.08
2012-11-16,0.08,0.08,0.08,0.08,000,0.08
2012-11-15,0.08,0.08,0.08,0.08,100,0.08
2012-11-14,0.08,0.08,0.08,0.08,100,0.08
2012-11-13,0.06,0.06,0.06,0.06,000,0.06
2012-11-12,0.06,0.06,0.06,0.06,2600,0.06
2012-11-09,0.08,0.08,0.08,0.08,100,0.08
2012-11-08,0.07,0.07,0.07,0.07,100,0.07
2012-11-07,0.06,0.06,0.06,0.06,2500,0.06
2012-11-06,0.05,0.05,0.05,0.05,000,0.05
2012-11-05,0.05,0.05,0.05,0.05,10100,0.05
2012-11-02,0.05,0.05,0.05,0.05,000,0.05
2012-11-01,0.05,0.05,0.05,0.05,1500,0.05
2012-10-31,0.05,0.05,0.05,0.05,000,0.05
2012-10-30,0.05,0.05,0.05,0.05,5200,0.05
2012-10-29,0.05,0.05,0.05,0.05,000,0.05
2012-10-26,0.06,0.06,0.06,0.06,000,0.06
2012-10-25,0.06,0.06,0.06,0.06,000,0.06
2012-10-24,0.07,0.07,0.07,0.07,1000,0.07
2012-10-23,0.08,0.08,0.08,0.08,300,0.08
2012-10-22,0.08,0.08,0.08,0.08,20700,0.08
2012-10-19,0.09,0.09,0.09,0.09,000,0.09
2012-10-18,0.09,0.09,0.09,0.09,000,0.09
2012-10-17,0.09,0.09,0.09,0.09,000,0.09
2012-10-16,0.09,0.09,0.09,0.09,000,0.09
2012-10-15,0.09,0.09,0.09,0.09,1500,0.09
2012-10-12,0.09,0.09,0.09,0.09,000,0.09
2012-10-11,0.09,0.09,0.09,0.09,000,0.09
2012-10-10,0.09,0.09,0.09,0.09,000,0.09
2012-10-09,0.09,0.09,0.09,0.09,000,0.09
2012-10-08,0.09,0.09,0.09,0.09,2000,0.09
2012-10-05,0.09,0.09,0.09,0.09,000,0.09
2012-10-04,0.09,0.09,0.09,0.09,500,0.09
2012-10-03,0.08,0.08,0.08,0.08,3000,0.08
2012-10-02,0.08,0.08,0.08,0.08,800,0.08
2012-10-01,0.08,0.08,0.08,0.08,000,0.08
2012-09-28,0.09,0.09,0.09,0.09,000,0.09
2012-09-27,0.12,0.12,0.12,0.12,000,0.12
2012-09-26,0.12,0.12,0.12,0.12,000,0.12
2012-09-25,0.12,0.12,0.12,0.12,000,0.12
2012-09-24,0.12,0.12,0.12,0.12,000,0.12
2012-09-21,0.12,0.12,0.12,0.12,000,0.12
2012-09-20,0.12,0.12,0.12,0.12,000,0.12
2012-09-19,0.12,0.12,0.12,0.12,100,0.12
