Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.23,1.23,1.23,1.23,400,1.23
2013-05-22,1.35,1.35,1.35,1.35,000,1.35
2013-05-21,1.35,1.35,1.35,1.35,000,1.35
2013-05-20,1.44,1.44,1.35,1.35,1500,1.35
2013-05-17,1.49,1.49,1.49,1.49,000,1.49
2013-05-16,1.49,1.49,1.49,1.49,000,1.49
2013-05-15,1.25,1.49,1.25,1.49,300,1.49
2013-05-14,1.38,1.38,1.38,1.38,000,1.38
2013-05-13,1.40,1.44,1.26,1.26,1700,1.26
2013-05-10,1.37,1.37,1.37,1.37,000,1.37
2013-05-09,1.37,1.37,1.37,1.37,000,1.37
2013-05-08,1.34,1.47,1.34,1.37,23200,1.37
2013-05-07,1.34,1.34,1.34,1.34,000,1.34
2013-05-06,1.34,1.34,1.34,1.34,000,1.34
2013-05-03,1.34,1.34,1.34,1.34,000,1.34
2013-05-02,1.34,1.34,1.34,1.34,100,1.34
2013-05-01,1.48,1.48,1.48,1.48,000,1.48
2013-04-30,1.48,1.48,1.48,1.48,000,1.48
2013-04-29,1.48,1.48,1.48,1.48,000,1.48
2013-04-26,1.48,1.48,1.48,1.48,000,1.48
2013-04-25,1.48,1.48,1.48,1.48,000,1.48
2013-04-24,1.48,1.48,1.48,1.48,500,1.48
2013-04-23,1.50,1.54,1.50,1.54,1000,1.54
2013-04-22,1.50,1.50,1.50,1.50,000,1.50
2013-04-19,1.50,1.50,1.50,1.50,000,1.50
2013-04-18,1.50,1.50,1.50,1.50,000,1.50
2013-04-17,1.50,1.50,1.50,1.50,000,1.50
2013-04-16,1.50,1.50,1.50,1.50,000,1.50
2013-04-15,1.50,1.50,1.50,1.50,000,1.50
2013-04-12,1.50,1.50,1.50,1.50,000,1.50
2013-04-11,1.50,1.50,1.50,1.50,000,1.50
2013-04-10,1.50,1.50,1.50,1.50,000,1.50
2013-04-09,1.50,1.50,1.50,1.50,000,1.50
2013-04-08,1.50,1.50,1.50,1.50,000,1.50
2013-04-05,1.50,1.50,1.50,1.50,000,1.50
2013-04-04,1.50,1.50,1.50,1.50,300,1.50
2013-04-03,1.58,1.58,1.58,1.58,000,1.58
2013-04-02,1.58,1.58,1.58,1.58,000,1.58
2013-04-01,1.58,1.58,1.58,1.58,000,1.58
2013-03-29,1.58,1.58,1.58,1.58,000,1.58
2013-03-28,1.58,1.58,1.58,1.58,000,1.58
2013-03-27,1.58,1.58,1.58,1.58,000,1.58
2013-03-26,1.58,1.58,1.58,1.58,000,1.58
2013-03-25,1.58,1.58,1.58,1.58,000,1.58
2013-03-22,1.58,1.58,1.58,1.58,1000,1.58
2013-03-21,1.60,1.60,1.60,1.60,000,1.60
2013-03-20,1.60,1.63,1.60,1.60,3500,1.60
2013-03-19,1.65,1.65,1.65,1.65,000,1.65
2013-03-18,1.65,1.65,1.65,1.65,000,1.65
2013-03-15,1.65,1.65,1.65,1.65,700,1.65
2013-03-14,1.74,1.74,1.74,1.74,000,1.74
2013-03-13,1.74,1.74,1.74,1.74,000,1.74
2013-03-12,1.74,1.74,1.74,1.74,000,1.74
2013-03-11,1.74,1.74,1.74,1.74,000,1.74
2013-03-08,1.74,1.74,1.74,1.74,000,1.74
2013-03-07,1.74,1.74,1.74,1.74,000,1.74
2013-03-06,1.74,1.74,1.74,1.74,000,1.74
2013-03-05,1.74,1.74,1.74,1.74,000,1.74
2013-03-04,1.74,1.74,1.74,1.74,000,1.74
2013-03-01,1.74,1.74,1.74,1.74,000,1.74
2013-02-28,1.74,1.74,1.74,1.74,000,1.74
2013-02-27,1.74,1.74,1.74,1.74,000,1.74
2013-02-26,1.74,1.74,1.74,1.74,000,1.74
2013-02-25,1.74,1.74,1.74,1.74,000,1.74
2013-02-22,1.74,1.74,1.74,1.74,000,1.74
2013-02-21,1.74,1.74,1.74,1.74,000,1.74
2013-02-20,1.74,1.74,1.74,1.74,000,1.74
2013-02-19,1.74,1.74,1.74,1.74,000,1.74
2013-02-18,1.69,1.74,1.69,1.74,500,1.74
2013-02-15,1.67,1.68,1.67,1.68,200,1.68
2013-02-14,1.67,1.69,1.67,1.68,3600,1.68
2013-02-13,1.70,1.70,1.70,1.70,500,1.70
2013-02-12,1.70,1.70,1.70,1.70,000,1.70
2013-02-11,1.70,1.70,1.70,1.70,000,1.70
2013-02-08,1.70,1.70,1.70,1.70,000,1.70
