Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.72,1.78,1.71,1.78,700,1.78
2013-05-22,1.70,1.80,1.69,1.77,5600,1.77
2013-05-21,1.72,1.79,1.68,1.69,15000,1.69
2013-05-20,1.72,1.87,1.72,1.75,7700,1.75
2013-05-17,1.89,1.95,1.83,1.85,9100,1.85
2013-05-16,1.90,1.90,1.84,1.89,7500,1.89
2013-05-15,1.85,1.94,1.85,1.90,22900,1.90
2013-05-14,1.85,1.90,1.81,1.85,13800,1.85
2013-05-13,1.80,1.84,1.75,1.83,14900,1.83
2013-05-10,1.82,1.84,1.79,1.80,11700,1.80
2013-05-09,1.89,1.89,1.78,1.85,21700,1.85
2013-05-08,1.77,1.88,1.75,1.85,34700,1.85
2013-05-07,1.72,1.72,1.72,1.72,000,1.72
2013-05-06,1.72,1.72,1.72,1.72,000,1.72
2013-05-03,1.72,1.72,1.72,1.72,000,1.72
2013-05-02,1.69,1.75,1.69,1.72,3600,1.72
2013-05-01,1.69,1.69,1.69,1.69,000,1.69
2013-04-30,1.66,1.74,1.63,1.69,13900,1.69
2013-04-29,1.80,1.82,1.69,1.71,17000,1.71
2013-04-26,1.80,1.85,1.70,1.80,22000,1.80
2013-04-25,1.67,1.78,1.66,1.78,36900,1.78
2013-04-24,1.66,1.70,1.65,1.67,9900,1.67
2013-04-23,1.68,1.73,1.63,1.64,7000,1.64
2013-04-22,1.59,1.69,1.59,1.65,3200,1.65
2013-04-19,1.70,1.73,1.60,1.64,22900,1.64
2013-04-18,1.63,1.73,1.63,1.70,13300,1.70
2013-04-17,1.55,1.63,1.55,1.60,18200,1.60
2013-04-16,1.47,1.57,1.47,1.54,18100,1.54
2013-04-15,1.50,1.56,1.45,1.49,17500,1.49
2013-04-12,1.45,1.54,1.45,1.51,9600,1.51
2013-04-11,1.46,1.52,1.45,1.49,16800,1.49
2013-04-10,1.43,1.45,1.41,1.45,26800,1.45
2013-04-09,1.32,1.40,1.31,1.38,18800,1.38
2013-04-08,1.26,1.31,1.16,1.31,25200,1.31
2013-04-05,1.29,1.31,1.28,1.30,11900,1.30
2013-04-04,1.31,1.34,1.30,1.34,2000,1.34
2013-04-03,1.26,1.34,1.26,1.27,7300,1.27
2013-04-02,1.31,1.40,1.27,1.30,24300,1.30
2013-04-01,1.36,1.36,1.36,1.36,000,1.36
2013-03-29,1.36,1.36,1.36,1.36,000,1.36
2013-03-28,1.40,1.42,1.36,1.36,12700,1.36
2013-03-27,1.43,1.47,1.29,1.33,27400,1.33
2013-03-26,1.43,1.45,1.39,1.41,8500,1.41
2013-03-25,1.48,1.48,1.48,1.48,000,1.48
2013-03-22,1.46,1.50,1.42,1.48,10400,1.48
2013-03-21,1.49,1.58,1.42,1.45,17400,1.45
2013-03-20,1.39,1.50,1.39,1.48,13000,1.48
2013-03-19,1.51,1.55,1.46,1.46,22900,1.46
2013-03-18,1.60,1.60,1.60,1.60,000,1.60
2013-03-15,1.58,1.60,1.58,1.60,8800,1.60
2013-03-14,1.64,1.64,1.58,1.58,7600,1.58
2013-03-13,1.51,1.62,1.50,1.62,13100,1.62
2013-03-12,1.52,1.58,1.52,1.53,15800,1.53
2013-03-11,1.60,1.60,1.50,1.52,11800,1.52
2013-03-08,1.60,1.63,1.54,1.60,8800,1.60
2013-03-07,1.71,1.74,1.59,1.59,12000,1.59
2013-03-06,1.70,1.71,1.66,1.71,4000,1.71
2013-03-05,1.72,1.76,1.65,1.70,16800,1.70
2013-03-04,1.80,1.80,1.70,1.72,17400,1.72
2013-03-01,1.84,1.85,1.74,1.80,7800,1.80
2013-02-28,1.78,1.86,1.77,1.85,7700,1.85
2013-02-27,1.86,1.87,1.80,1.83,4600,1.83
2013-02-26,1.74,1.85,1.74,1.79,8800,1.79
2013-02-25,1.82,1.88,1.80,1.81,11900,1.81
2013-02-22,1.77,1.83,1.73,1.82,21500,1.82
2013-02-21,1.93,1.97,1.81,1.81,16500,1.81
2013-02-20,1.98,2.02,1.98,1.98,19500,1.98
2013-02-19,2.02,2.04,1.98,2.01,3300,2.01
2013-02-18,2.02,2.04,1.99,2.01,14100,2.01
2013-02-15,2.04,2.04,1.98,2.02,11100,2.02
2013-02-14,1.99,2.03,1.98,1.99,15000,1.99
2013-02-13,1.96,2.02,1.92,1.96,13900,1.96
2013-02-12,1.92,2.00,1.86,1.98,12800,1.98
2013-02-11,1.90,1.95,1.88,1.95,8300,1.95
2013-02-08,1.99,1.99,1.91,1.92,7800,1.92
2013-02-07,1.97,2.00,1.94,1.99,9800,1.99
2013-02-06,1.95,2.05,1.95,1.98,33000,1.98
2013-02-05,1.90,1.93,1.87,1.91,30100,1.91
2013-02-04,1.81,1.89,1.78,1.86,49400,1.86
2013-02-01,1.95,1.95,1.80,1.81,15700,1.81
2013-01-31,1.91,1.93,1.85,1.89,18500,1.89
2013-01-30,1.93,1.96,1.93,1.94,22200,1.94
2013-01-29,2.02,2.04,1.95,1.95,16000,1.95
2013-01-28,2.15,2.15,2.02,2.02,18900,2.02
2013-01-25,1.99,2.08,1.99,2.08,10700,2.08
2013-01-24,2.10,2.10,2.01,2.03,74400,2.03
2013-01-23,2.14,2.15,2.04,2.08,33600,2.08
2013-01-22,2.04,2.12,2.03,2.10,40600,2.10
2013-01-21,2.11,2.16,2.04,2.08,37000,2.08
2013-01-18,2.04,2.08,1.98,2.08,62300,2.08
2013-01-17,2.00,2.00,1.93,1.97,32300,1.97
