Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,2.30,2.34,2.25,2.27,270400,2.27
2013-05-22,2.39,2.45,2.31,2.39,270000,2.39
2013-05-21,2.32,2.37,2.30,2.37,295200,2.37
2013-05-20,2.49,2.49,2.34,2.38,316500,2.38
2013-05-17,2.46,2.47,2.38,2.43,347300,2.43
2013-05-16,2.46,2.50,2.38,2.44,348600,2.44
2013-05-15,2.41,2.50,2.40,2.50,819600,2.50
2013-05-14,2.36,2.42,2.31,2.36,242500,2.36
2013-05-13,2.25,2.38,2.23,2.38,503400,2.38
2013-05-10,2.34,2.38,2.24,2.24,379200,2.24
2013-05-09,2.41,2.42,2.27,2.30,556200,2.30
2013-05-08,2.26,2.38,2.23,2.38,1038500,2.38
2013-05-07,2.22,2.22,2.22,2.22,000,2.22
2013-05-06,2.22,2.22,2.22,2.22,000,2.22
2013-05-03,2.22,2.22,2.22,2.22,000,2.22
2013-05-02,2.08,2.22,2.07,2.22,313800,2.22
2013-05-01,2.07,2.07,2.07,2.07,000,2.07
2013-04-30,2.08,2.10,2.01,2.07,271700,2.07
2013-04-29,2.22,2.23,2.10,2.11,147100,2.11
2013-04-26,2.24,2.26,2.13,2.19,341400,2.19
2013-04-25,2.22,2.26,2.21,2.21,590600,2.21
2013-04-24,2.15,2.20,2.15,2.20,434600,2.20
2013-04-23,2.11,2.19,2.10,2.12,225700,2.12
2013-04-22,2.08,2.17,2.08,2.11,231500,2.11
2013-04-19,2.18,2.18,2.07,2.08,226000,2.08
2013-04-18,2.14,2.18,2.12,2.16,316900,2.16
2013-04-17,2.09,2.15,2.07,2.15,342900,2.15
2013-04-16,2.11,2.20,2.07,2.11,516300,2.11
2013-04-15,2.02,2.15,2.01,2.15,790300,2.15
2013-04-12,1.82,2.00,1.75,1.98,544200,1.98
2013-04-11,1.74,1.85,1.71,1.83,473300,1.83
2013-04-10,1.70,1.80,1.67,1.75,443200,1.75
2013-04-09,1.53,1.73,1.52,1.71,657900,1.71
2013-04-08,1.48,1.51,1.36,1.51,828800,1.51
2013-04-05,1.57,1.60,1.48,1.48,300800,1.48
2013-04-04,1.55,1.61,1.53,1.57,362700,1.57
2013-04-03,1.52,1.58,1.51,1.53,312600,1.53
2013-04-02,1.53,1.59,1.48,1.52,292600,1.52
2013-04-01,1.55,1.55,1.55,1.55,000,1.55
2013-03-29,1.55,1.55,1.55,1.55,000,1.55
2013-03-28,1.45,1.55,1.44,1.55,393500,1.55
2013-03-27,1.62,1.65,1.36,1.46,1074900,1.46
2013-03-26,1.72,1.72,1.62,1.63,212800,1.63
2013-03-25,1.75,1.75,1.75,1.75,000,1.75
2013-03-22,1.70,1.75,1.68,1.75,406300,1.75
2013-03-21,1.72,1.78,1.68,1.73,278500,1.73
2013-03-20,1.70,1.75,1.65,1.72,661900,1.72
2013-03-19,1.75,1.80,1.69,1.69,458900,1.69
2013-03-18,1.85,1.85,1.85,1.85,000,1.85
2013-03-15,1.74,1.85,1.74,1.85,426400,1.85
2013-03-14,1.78,1.80,1.73,1.74,252300,1.74
2013-03-13,1.66,1.80,1.65,1.78,463800,1.78
2013-03-12,1.63,1.71,1.58,1.69,462200,1.69
2013-03-11,1.74,1.75,1.60,1.62,454700,1.62
2013-03-08,1.72,1.77,1.69,1.74,378800,1.74
2013-03-07,1.84,1.84,1.71,1.71,364300,1.71
2013-03-06,1.83,1.87,1.75,1.82,369000,1.82
2013-03-05,1.88,1.90,1.78,1.80,410400,1.80
2013-03-04,1.97,1.97,1.83,1.86,577800,1.86
2013-03-01,2.03,2.03,1.93,1.98,255300,1.98
2013-02-28,2.05,2.07,2.03,2.03,255300,2.03
2013-02-27,1.98,2.04,1.98,2.02,181200,2.02
2013-02-26,1.95,2.04,1.92,1.97,376400,1.97
2013-02-25,2.06,2.08,1.98,2.01,388200,2.01
2013-02-22,1.99,2.05,1.94,2.05,361500,2.05
2013-02-21,2.12,2.14,1.98,1.98,471200,1.98
2013-02-20,2.13,2.13,2.13,2.13,000,2.13
2013-02-19,2.10,2.13,2.08,2.13,100100,2.13
2013-02-18,2.15,2.18,2.08,2.10,192800,2.10
2013-02-15,2.13,2.19,2.10,2.15,308400,2.15
2013-02-14,2.11,2.15,2.10,2.13,189400,2.13
2013-02-13,2.09,2.11,2.04,2.11,216700,2.11
2013-02-12,2.08,2.15,2.08,2.11,285800,2.11
2013-02-11,2.14,2.16,2.08,2.09,123300,2.09
2013-02-08,2.20,2.22,2.14,2.14,239700,2.14
2013-02-07,2.20,2.22,2.13,2.20,300200,2.20
2013-02-06,2.14,2.24,2.14,2.18,674200,2.18
2013-02-05,2.07,2.15,2.06,2.12,371700,2.12
2013-02-04,2.01,2.09,1.97,2.09,369400,2.09
2013-02-01,2.06,2.13,1.96,1.99,569400,1.99
2013-01-31,2.12,2.12,2.00,2.04,495900,2.04
2013-01-30,2.17,2.22,2.11,2.11,349600,2.11
2013-01-29,2.22,2.23,2.13,2.15,527900,2.15
2013-01-28,2.27,2.29,2.18,2.22,328900,2.22
2013-01-25,2.12,2.24,2.08,2.24,452500,2.24
2013-01-24,2.30,2.37,2.07,2.13,1231900,2.13
2013-01-23,2.29,2.35,2.26,2.30,719300,2.30
2013-01-22,2.22,2.28,2.17,2.26,541000,2.26
2013-01-21,2.23,2.28,2.18,2.20,537000,2.20
2013-01-18,2.18,2.25,2.16,2.19,613800,2.19
2013-01-17,2.09,2.13,2.02,2.13,269200,2.13
2013-01-16,2.11,2.17,2.06,2.07,250400,2.07
2013-01-15,2.07,2.12,2.01,2.08,596200,2.08
2013-01-14,2.25,2.27,2.07,2.07,777000,2.07
2013-01-11,2.24,2.30,2.18,2.25,437800,2.25
2013-01-10,2.30,2.39,2.22,2.24,1041200,2.24
2013-01-09,2.17,2.33,2.10,2.28,861600,2.28
2013-01-08,2.14,2.25,2.12,2.16,939500,2.16
2013-01-07,2.10,2.16,2.07,2.14,554700,2.14
2013-01-04,2.10,2.14,2.05,2.09,881400,2.09
2013-01-03,2.08,2.11,2.03,2.09,771200,2.09
2013-01-02,1.95,2.07,1.94,2.06,1110400,2.06
2013-01-01,1.97,1.97,1.97,1.97,000,1.97
2012-12-31,1.97,1.97,1.97,1.97,000,1.97
2012-12-28,1.98,2.01,1.96,1.97,444500,1.97
2012-12-27,1.92,1.98,1.92,1.97,591700,1.97
2012-12-26,1.89,1.89,1.89,1.89,000,1.89
2012-12-25,1.89,1.89,1.89,1.89,000,1.89
2012-12-24,1.89,1.89,1.89,1.89,000,1.89
2012-12-21,1.90,1.91,1.84,1.89,659800,1.89
2012-12-20,1.91,1.97,1.88,1.90,488600,1.90
2012-12-19,1.83,1.92,1.80,1.91,640400,1.91
2012-12-18,1.81,1.85,1.77,1.77,357700,1.77
2012-12-17,1.89,1.94,1.79,1.80,513700,1.80
