Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,8.71,8.89,8.61,8.74,67800,8.74
2013-05-22,8.96,9.29,8.91,9.00,193700,9.00
2013-05-21,9.03,9.30,8.92,9.30,95500,9.30
2013-05-20,9.02,9.20,8.96,9.20,128100,9.20
2013-05-17,8.99,9.20,8.70,9.15,133900,9.15
2013-05-16,8.93,9.00,8.83,8.99,173400,8.99
2013-05-15,8.80,9.17,8.80,9.03,405300,9.03
2013-05-14,8.58,8.79,8.57,8.75,166400,8.75
2013-05-13,8.30,8.58,8.30,8.58,263600,8.58
2013-05-10,8.74,8.80,8.30,8.30,67100,8.30
2013-05-09,8.74,8.80,8.68,8.78,122300,8.78
2013-05-08,8.55,8.80,8.54,8.74,247000,8.74
2013-05-07,8.40,8.40,8.40,8.40,000,8.40
2013-05-06,8.40,8.40,8.40,8.40,000,8.40
2013-05-03,8.40,8.40,8.40,8.40,000,8.40
2013-05-02,8.40,8.47,8.31,8.40,47700,8.40
2013-05-01,8.40,8.40,8.40,8.40,000,8.40
2013-04-30,8.06,8.40,8.04,8.40,89600,8.40
2013-04-29,8.01,8.13,8.01,8.12,22900,8.12
2013-04-26,8.30,8.37,8.03,8.03,39900,8.03
2013-04-25,8.25,8.40,8.25,8.37,90400,8.37
2013-04-24,8.20,8.39,8.20,8.28,85800,8.28
2013-04-23,8.30,8.40,8.09,8.29,56600,8.29
2013-04-22,8.34,8.50,8.25,8.36,67600,8.36
2013-04-19,8.39,8.40,8.30,8.34,35800,8.34
2013-04-18,8.30,8.45,8.30,8.30,78800,8.30
2013-04-17,8.05,8.30,8.05,8.30,81700,8.30
2013-04-16,8.12,8.30,7.92,8.13,122300,8.13
2013-04-15,8.00,8.21,7.91,8.00,67300,8.00
2013-04-12,8.00,8.20,7.78,8.08,65300,8.08
2013-04-11,7.63,8.10,7.63,8.00,84200,8.00
2013-04-10,7.39,8.02,7.36,7.63,112200,7.63
2013-04-09,7.23,7.68,7.02,7.41,84400,7.41
2013-04-08,6.97,7.33,6.87,7.23,76200,7.23
2013-04-05,7.06,7.34,7.06,7.16,64700,7.16
2013-04-04,7.07,7.35,7.00,7.08,68000,7.08
2013-04-03,7.34,7.39,6.93,6.93,50000,6.93
2013-04-02,7.30,7.49,7.07,7.47,93800,7.47
2013-04-01,7.49,7.49,7.49,7.49,000,7.49
2013-03-29,7.49,7.49,7.49,7.49,000,7.49
2013-03-28,7.25,7.54,7.20,7.49,49900,7.49
2013-03-27,7.53,7.67,6.66,7.40,182500,7.40
2013-03-26,8.10,8.10,7.53,7.75,72900,7.75
2013-03-25,8.10,8.10,8.10,8.10,000,8.10
2013-03-22,7.90,8.13,7.75,8.10,95500,8.10
2013-03-21,8.09,8.12,7.72,8.06,90600,8.06
2013-03-20,7.63,8.00,7.63,7.95,64100,7.95
2013-03-19,7.91,8.10,7.75,7.75,151400,7.75
2013-03-18,8.14,8.14,8.14,8.14,000,8.14
2013-03-15,8.30,8.33,8.06,8.14,211700,8.14
2013-03-14,8.37,8.45,8.07,8.30,215500,8.30
2013-03-13,7.96,8.39,7.96,8.37,311600,8.37
2013-03-12,7.73,8.14,7.72,8.14,160200,8.14
2013-03-11,8.05,8.10,7.81,7.81,87300,7.81
2013-03-08,7.78,8.30,7.78,8.18,124500,8.18
2013-03-07,8.18,8.19,7.80,7.91,128900,7.91
2013-03-06,8.24,8.42,8.04,8.04,86300,8.04
2013-03-05,8.24,8.30,8.06,8.23,90300,8.23
2013-03-04,8.25,8.34,7.90,8.15,79800,8.15
2013-03-01,8.48,8.67,8.29,8.38,98000,8.38
2013-02-28,8.60,8.78,8.48,8.48,86900,8.48
2013-02-27,8.61,8.80,8.61,8.62,55900,8.62
2013-02-26,8.88,8.88,8.58,8.77,166900,8.77
2013-02-25,8.80,8.88,8.55,8.88,95200,8.88
2013-02-22,8.60,8.82,8.30,8.80,210800,8.80
2013-02-21,8.67,8.69,8.36,8.60,230000,8.60
2013-02-20,8.74,8.89,8.70,8.75,55100,8.75
2013-02-19,8.70,8.83,8.70,8.74,71300,8.74
2013-02-18,9.07,9.07,8.77,8.79,78200,8.79
2013-02-15,8.98,9.10,8.88,9.07,166900,9.07
2013-02-14,8.92,9.05,8.86,8.98,78200,8.98
2013-02-13,8.88,9.05,8.79,8.98,75600,8.98
2013-02-12,8.73,9.13,8.72,8.98,144000,8.98
2013-02-11,8.70,8.88,8.65,8.86,54500,8.86
2013-02-08,8.90,8.94,8.78,8.78,47400,8.78
2013-02-07,8.80,8.92,8.72,8.92,80400,8.92
2013-02-06,8.75,8.97,8.69,8.90,132700,8.90
2013-02-05,8.37,8.82,8.37,8.79,58400,8.79
2013-02-04,8.25,8.61,8.25,8.61,68700,8.61
2013-02-01,8.24,8.52,8.22,8.33,56000,8.33
2013-01-31,8.55,8.64,8.26,8.26,104300,8.26
2013-01-30,8.74,8.77,8.50,8.67,76100,8.67
2013-01-29,8.72,8.89,8.41,8.74,98700,8.74
2013-01-28,8.80,8.95,8.66,8.81,39800,8.81
2013-01-25,8.60,8.82,8.47,8.80,82800,8.80
2013-01-24,8.82,9.04,8.50,8.59,216400,8.59
2013-01-23,8.50,8.83,8.44,8.83,120400,8.83
2013-01-22,8.26,8.53,8.26,8.53,153300,8.53
2013-01-21,8.20,8.47,8.03,8.35,96400,8.35
2013-01-18,7.85,8.44,7.85,8.20,193600,8.20
2013-01-17,7.91,8.00,7.82,7.90,161300,7.90
2013-01-16,8.14,8.20,7.96,7.99,64600,7.99
2013-01-15,8.23,8.32,8.06,8.16,137500,8.16
2013-01-14,8.10,8.42,8.08,8.33,171600,8.33
2013-01-11,8.35,8.35,8.11,8.16,61900,8.16
2013-01-10,8.25,8.30,8.05,8.30,87200,8.30
2013-01-09,8.09,8.29,7.81,8.29,293500,8.29
2013-01-08,7.91,8.14,7.91,8.09,216500,8.09
2013-01-07,7.95,8.07,7.89,8.02,110800,8.02
2013-01-04,7.82,8.10,7.80,8.00,238200,8.00
2013-01-03,7.70,7.90,7.70,7.85,255800,7.85
2013-01-02,7.40,7.74,7.40,7.73,303500,7.73
2013-01-01,7.36,7.36,7.36,7.36,000,7.36
2012-12-31,7.36,7.36,7.36,7.36,000,7.36
2012-12-28,7.31,7.43,7.29,7.36,193000,7.36
2012-12-27,7.20,7.46,7.20,7.33,149900,7.33
2012-12-26,7.12,7.12,7.12,7.12,000,7.12
2012-12-25,7.12,7.12,7.12,7.12,000,7.12
2012-12-24,7.12,7.12,7.12,7.12,000,7.12
2012-12-21,6.75,7.31,6.72,7.12,450300,7.12
2012-12-20,6.78,6.87,6.74,6.75,94900,6.75
2012-12-19,6.63,6.86,6.63,6.86,212600,6.86
2012-12-18,6.70,6.79,6.60,6.63,87700,6.63
2012-12-17,6.79,6.93,6.72,6.73,102000,6.73
2012-12-14,6.93,6.93,6.77,6.89,46800,6.89
2012-12-13,6.82,6.94,6.78,6.93,111100,6.93
2012-12-12,6.93,6.98,6.80,6.90,143800,6.90
2012-12-11,6.89,7.03,6.88,6.93,229500,6.93
2012-12-10,6.72,6.91,6.68,6.89,227300,6.89
2012-12-07,6.48,6.71,6.48,6.71,181200,6.71
2012-12-06,6.30,6.51,6.29,6.40,122500,6.40
2012-12-05,6.28,6.35,6.23,6.32,98300,6.32
2012-12-04,6.39,6.46,6.28,6.28,24900,6.28
2012-12-03,6.40,6.52,6.35,6.36,79100,6.36
2012-11-30,6.54,6.64,6.40,6.40,97100,6.40
2012-11-29,6.58,6.72,6.48,6.50,66900,6.50
2012-11-28,6.71,6.77,6.50,6.58,52200,6.58
2012-11-27,6.80,6.83,6.61,6.78,93400,6.78
2012-11-26,6.73,6.73,6.60,6.70,39900,6.70
2012-11-23,6.58,6.80,6.50,6.73,151100,6.73
2012-11-22,6.34,6.53,6.32,6.50,119700,6.50
2012-11-21,6.16,6.41,6.16,6.34,54900,6.34
2012-11-20,6.35,6.37,6.26,6.27,54400,6.27
2012-11-19,6.25,6.32,6.21,6.27,52700,6.27
2012-11-16,6.15,6.26,6.14,6.18,32800,6.18
2012-11-15,6.15,6.26,6.15,6.20,19400,6.20
2012-11-14,6.36,6.37,6.15,6.26,81100,6.26
2012-11-13,6.09,6.42,6.09,6.33,62100,6.33
2012-11-12,6.32,6.47,6.21,6.21,59900,6.21
2012-11-09,6.31,6.47,6.30,6.32,34700,6.32
2012-11-08,6.56,6.60,6.28,6.40,58700,6.40
2012-11-07,6.41,6.56,6.36,6.56,61100,6.56
2012-11-06,6.18,6.46,6.11,6.45,85300,6.45
2012-11-05,6.08,6.22,5.91,6.10,107300,6.10
2012-11-02,5.99,6.18,5.81,6.08,85000,6.08
2012-11-01,6.02,6.05,5.80,5.91,305700,5.91
2012-10-31,6.50,6.62,5.96,6.04,175700,6.04
2012-10-30,6.50,6.69,6.36,6.52,100400,6.52
2012-10-29,6.61,6.67,6.49,6.50,45700,6.50
2012-10-26,6.65,6.78,6.56,6.68,47400,6.68
2012-10-25,6.78,6.90,6.63,6.69,103100,6.69
2012-10-24,6.57,6.83,6.53,6.83,131800,6.83
2012-10-23,6.97,7.00,6.60,6.60,134200,6.60
2012-10-22,6.67,7.10,6.67,6.86,141500,6.86
2012-10-19,6.56,6.78,6.55,6.78,83600,6.78
2012-10-18,6.79,6.79,6.55,6.56,209100,6.56
2012-10-17,6.83,6.85,6.69,6.71,164700,6.71
2012-10-16,6.96,6.97,6.71,6.71,95600,6.71
2012-10-15,6.80,6.98,6.68,6.96,94900,6.96
2012-10-12,6.66,6.95,6.66,6.80,127400,6.80
2012-10-11,6.61,6.76,6.56,6.71,57600,6.71
2012-10-10,6.77,6.86,6.49,6.61,93700,6.61
2012-10-09,6.85,6.94,6.77,6.86,79000,6.86
2012-10-08,6.85,6.92,6.40,6.91,106900,6.91
2012-10-05,6.60,6.77,6.58,6.74,103800,6.74
2012-10-04,6.43,6.59,6.43,6.56,41100,6.56
2012-10-03,6.52,6.72,6.40,6.43,101000,6.43
2012-10-02,6.36,6.60,6.33,6.55,386000,6.55
2012-10-01,6.50,6.60,6.35,6.40,65100,6.40
2012-09-28,6.80,6.80,6.43,6.50,92700,6.50
2012-09-27,6.88,6.94,6.68,6.74,62800,6.74
2012-09-26,6.91,6.97,6.71,6.88,62500,6.88
2012-09-25,6.91,6.98,6.79,6.82,34600,6.82
2012-09-24,6.90,7.09,6.81,6.98,97000,6.98
2012-09-21,7.15,7.46,6.90,6.90,302300,6.90
2012-09-20,7.25,7.50,7.15,7.25,67500,7.25
2012-09-19,7.04,7.50,6.85,7.40,189800,7.40
2012-09-18,6.72,7.09,6.58,7.04,64700,7.04
2012-09-17,6.60,6.79,6.54,6.79,27000,6.79
2012-09-14,6.73,6.76,6.60,6.70,82000,6.70
2012-09-13,6.87,6.94,6.42,6.57,82600,6.57
2012-09-12,6.65,7.11,6.65,7.00,136000,7.00
2012-09-11,6.52,6.70,6.49,6.70,67300,6.70
2012-09-10,6.03,6.70,6.03,6.56,153400,6.56
2012-09-07,6.18,6.20,6.03,6.15,37900,6.15
2012-09-06,5.89,6.15,5.85,6.08,40200,6.08
2012-09-05,5.62,5.99,5.62,5.99,62800,5.99
2012-09-04,5.62,5.72,5.62,5.65,5500,5.65
2012-09-03,5.75,5.75,5.61,5.62,21300,5.62
2012-08-31,5.52,5.74,5.50,5.70,52800,5.70
2012-08-30,5.80,5.80,5.57,5.57,21800,5.57
2012-08-29,5.62,5.82,5.62,5.63,32100,5.63
2012-08-28,5.66,5.77,5.55,5.71,32200,5.71
2012-08-27,5.69,5.75,5.63,5.68,24400,5.68
2012-08-24,5.47,5.77,5.39,5.69,70500,5.69
2012-08-23,5.52,5.55,5.39,5.39,61600,5.39
2012-08-22,5.60,5.60,5.42,5.45,40800,5.45
2012-08-21,5.48,5.63,5.48,5.50,61600,5.50
2012-08-20,5.53,5.53,5.46,5.52,27700,5.52
2012-08-17,5.72,5.72,5.51,5.58,53300,5.58
2012-08-16,5.90,5.96,5.82,5.85,38500,5.51
2012-08-15,5.90,5.90,5.90,5.90,000,5.56
2012-08-14,5.92,5.92,5.79,5.90,19200,5.56
2012-08-13,5.85,5.97,5.82,5.91,35500,5.57
2012-08-10,5.70,5.90,5.65,5.90,25600,5.56
2012-08-09,5.53,5.80,5.53,5.78,22600,5.45
2012-08-08,5.70,5.72,5.51,5.60,21800,5.28
2012-08-07,5.78,5.84,5.65,5.75,36400,5.42
2012-08-06,5.36,5.55,5.36,5.55,18600,5.23
2012-08-03,5.50,5.52,5.35,5.41,25600,5.10
2012-08-02,5.36,5.49,5.25,5.48,15700,5.16
2012-08-01,5.17,5.45,5.17,5.36,24400,5.05
2012-07-31,5.32,5.44,5.24,5.32,26500,5.01
2012-07-30,5.27,5.35,5.27,5.30,20000,4.99
2012-07-27,5.19,5.29,5.16,5.23,22800,4.93
2012-07-26,5.18,5.25,5.18,5.22,21600,4.60
2012-07-25,5.17,5.29,5.17,5.28,30100,4.65
2012-07-24,5.19,5.32,5.17,5.17,22100,4.56
2012-07-23,5.36,5.55,5.19,5.19,53600,4.57
2012-07-20,5.50,5.58,5.48,5.51,31000,4.86
2012-07-19,5.48,5.60,5.48,5.53,17000,4.87
2012-07-18,5.46,5.56,5.42,5.49,18700,4.84
2012-07-17,5.44,5.57,5.44,5.46,20600,4.81
2012-07-16,5.48,5.54,5.40,5.48,22500,4.83
2012-07-13,5.17,5.48,5.17,5.48,59800,4.83
2012-07-12,5.15,5.35,5.15,5.17,32000,4.56
2012-07-11,5.11,5.25,5.11,5.17,35500,4.56
2012-07-10,5.40,5.40,5.18,5.18,47900,4.57
2012-07-09,5.28,5.44,5.21,5.32,38500,4.69
2012-07-06,5.24,5.34,5.20,5.34,100700,4.71
2012-07-05,5.20,5.35,5.18,5.26,117900,4.64
2012-07-04,4.85,5.25,4.85,5.25,80600,4.63
2012-07-03,4.88,4.96,4.87,4.89,29100,4.31
2012-07-02,4.70,4.90,4.70,4.88,74500,4.30
2012-06-29,4.59,4.75,4.59,4.72,56200,4.16
2012-06-28,4.53,4.65,4.43,4.52,61200,3.98
2012-06-27,4.45,4.61,4.42,4.53,77700,3.99
2012-06-26,4.24,4.43,4.20,4.43,93700,3.90
2012-06-25,4.60,4.60,4.24,4.24,82100,3.74
2012-06-22,4.64,4.76,4.56,4.59,63900,4.05
2012-06-21,4.65,4.66,4.51,4.64,65300,4.09
2012-06-20,4.48,4.70,4.48,4.56,198400,4.02
2012-06-19,4.34,4.44,4.29,4.41,243700,3.89
2012-06-18,4.30,4.43,4.28,4.34,196700,3.83
2012-06-15,4.16,4.19,4.14,4.16,341300,3.67
2012-06-14,4.09,4.20,4.09,4.16,262000,3.67
2012-06-13,4.15,4.15,4.06,4.09,78100,3.60
2012-06-12,4.19,4.19,4.06,4.12,86100,3.63
2012-06-11,4.19,4.24,4.09,4.16,90000,3.67
2012-06-08,4.20,4.20,4.05,4.12,149900,3.63
2012-06-07,4.28,4.35,4.20,4.20,130700,3.70
2012-06-06,4.07,4.29,4.05,4.28,109700,3.77
2012-06-05,4.42,4.42,4.05,4.18,74400,3.68
2012-06-04,4.42,4.42,4.42,4.42,000,3.90
2012-06-01,4.76,4.76,4.32,4.42,67200,3.90
2012-05-31,4.55,4.91,4.45,4.76,73400,4.20
2012-05-30,4.68,4.69,4.28,4.60,105300,4.05
2012-05-29,4.57,4.71,4.35,4.68,82000,4.12
2012-05-28,4.05,4.48,4.05,4.48,78500,3.95
2012-05-25,4.24,4.26,3.94,4.05,167500,3.57
2012-05-24,4.85,4.85,4.30,4.34,111700,3.83
2012-05-23,4.95,4.95,4.73,4.85,42900,4.27
2012-05-22,4.94,5.02,4.88,4.89,66000,4.31
2012-05-21,5.05,5.08,4.92,5.02,35400,4.42
2012-05-18,4.93,5.13,4.93,5.05,46900,4.45
2012-05-17,4.97,5.06,4.93,5.06,74600,4.46
2012-05-16,5.02,5.15,4.85,5.06,66700,4.46
2012-05-15,5.25,5.25,4.89,5.02,148400,4.42
2012-05-14,5.18,5.25,5.10,5.19,51200,4.57
2012-05-11,5.28,5.32,5.20,5.25,31100,4.63
2012-05-10,5.25,5.35,5.12,5.35,57300,4.72
2012-05-09,5.20,5.30,5.10,5.16,52200,4.55
2012-05-08,5.08,5.18,5.04,5.17,56700,4.56
2012-05-07,4.96,5.32,4.86,5.22,52900,4.60
2012-05-04,5.45,5.48,5.38,5.45,66800,4.80
2012-05-03,5.45,5.50,5.42,5.50,44200,4.85
2012-05-02,5.47,5.56,5.35,5.49,59000,4.84
2012-05-01,5.55,5.55,5.55,5.55,000,4.89
2012-04-30,5.48,5.56,5.48,5.55,22000,4.89
2012-04-27,5.47,5.58,5.41,5.56,33300,4.90
2012-04-26,5.50,5.54,5.46,5.54,29000,4.88
2012-04-25,5.42,5.53,5.39,5.45,12900,4.80
2012-04-24,5.60,5.60,5.45,5.46,22900,4.81
2012-04-23,5.60,5.65,5.58,5.58,32500,4.92
2012-04-20,5.61,5.70,5.52,5.65,42200,4.98
2012-04-19,5.70,5.79,5.61,5.61,32600,4.94
2012-04-18,5.78,5.83,5.71,5.71,24300,5.03
2012-04-17,5.95,5.98,5.78,5.78,63800,5.09
2012-04-16,5.86,5.86,5.86,5.86,000,5.16
2012-04-13,5.86,5.86,5.86,5.86,000,5.16
2012-04-12,6.00,6.11,5.86,5.86,44500,5.16
2012-04-11,6.00,6.10,5.83,6.10,119200,5.38
2012-04-10,5.71,6.00,5.71,6.00,44600,5.29
2012-04-09,5.82,5.82,5.82,5.82,000,5.13
2012-04-06,5.82,5.82,5.82,5.82,000,5.13
2012-04-05,5.73,5.83,5.73,5.82,48700,5.13
2012-04-04,5.73,5.82,5.69,5.82,23900,5.13
2012-04-03,5.70,5.84,5.70,5.80,53800,5.11
2012-04-02,5.72,5.80,5.65,5.70,43800,5.02
2012-03-30,5.74,5.82,5.66,5.80,83500,5.11
2012-03-29,5.80,5.84,5.73,5.74,94100,5.06
2012-03-28,5.75,5.90,5.63,5.84,92100,5.15
2012-03-27,5.75,5.93,5.73,5.75,116600,5.07
2012-03-26,5.76,5.82,5.69,5.80,53200,5.11
2012-03-23,5.60,5.80,5.60,5.76,80700,5.08
2012-03-22,5.47,5.69,5.47,5.69,70600,5.02
2012-03-21,5.46,5.55,5.37,5.52,71300,4.87
2012-03-20,5.39,5.50,5.39,5.46,78900,4.81
2012-03-19,5.30,5.40,5.28,5.35,94600,4.72
2012-03-16,5.21,5.35,5.21,5.31,167600,4.68
2012-03-15,5.25,5.45,5.21,5.22,150900,4.60
2012-03-14,5.24,5.35,5.20,5.34,91800,4.71
2012-03-13,5.10,5.30,5.10,5.24,57900,4.62
2012-03-12,5.35,5.44,5.10,5.10,87800,4.50
2012-03-09,5.50,5.56,5.35,5.35,79800,4.72
2012-03-08,5.44,5.61,5.44,5.50,70000,4.85
2012-03-07,5.47,5.58,5.44,5.44,46400,4.79
2012-03-06,5.40,5.60,5.34,5.47,83000,4.82
2012-03-05,5.50,5.56,5.42,5.44,106300,4.79
2012-03-02,5.61,5.64,5.49,5.50,20600,4.85
2012-03-01,5.50,5.61,5.45,5.61,22500,4.94
2012-02-29,5.48,5.64,5.38,5.50,64900,4.85
2012-02-28,5.70,5.71,5.48,5.48,55600,4.83
2012-02-27,5.70,5.70,5.70,5.70,000,5.02
2012-02-24,5.69,5.80,5.62,5.70,49100,5.02
2012-02-23,5.75,5.88,5.67,5.69,55700,5.02
2012-02-22,6.03,6.03,5.75,5.75,55100,5.07
2012-02-21,6.24,6.24,5.89,6.03,49200,5.31
2012-02-20,6.00,6.24,6.00,6.24,69500,5.50
2012-02-17,5.98,6.13,5.89,6.00,59600,5.29
2012-02-16,5.88,6.08,5.71,5.90,72200,5.20
2012-02-15,6.04,6.15,5.96,5.96,155500,5.25
2012-02-14,5.85,6.04,5.85,6.04,54000,5.32
2012-02-13,5.85,6.09,5.85,5.88,102500,5.18
2012-02-10,5.72,5.88,5.70,5.87,71200,5.17
