Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.77,0.77,0.75,0.75,700,0.75
2013-05-22,0.78,0.80,0.77,0.79,800,0.79
2013-05-21,0.79,0.80,0.72,0.77,4100,0.77
2013-05-20,0.79,0.80,0.74,0.78,6100,0.78
2013-05-17,0.74,0.80,0.74,0.79,900,0.79
2013-05-16,0.79,0.83,0.75,0.80,4200,0.80
2013-05-15,0.75,0.79,0.75,0.78,4200,0.78
2013-05-14,0.79,0.82,0.76,0.78,9000,0.78
2013-05-13,0.77,0.80,0.77,0.78,5500,0.78
2013-05-10,0.81,0.81,0.76,0.77,1300,0.77
2013-05-09,0.76,0.81,0.75,0.78,23600,0.78
2013-05-08,0.75,0.76,0.72,0.75,23700,0.75
2013-05-07,0.75,0.75,0.75,0.75,000,0.75
2013-05-06,0.75,0.75,0.75,0.75,000,0.75
2013-05-03,0.75,0.75,0.75,0.75,000,0.75
2013-05-02,0.71,0.75,0.71,0.75,400,0.75
2013-05-01,0.71,0.71,0.71,0.71,000,0.71
2013-04-30,0.73,0.75,0.68,0.71,5700,0.71
2013-04-29,0.71,0.71,0.71,0.71,1400,0.71
2013-04-26,0.71,0.71,0.71,0.71,000,0.71
2013-04-25,0.71,0.74,0.70,0.71,13400,0.71
2013-04-24,0.75,0.75,0.71,0.71,3100,0.71
2013-04-23,0.69,0.76,0.69,0.76,2200,0.76
2013-04-22,0.71,0.76,0.71,0.75,5400,0.75
2013-04-19,0.68,0.72,0.68,0.72,1400,0.72
2013-04-18,0.66,0.70,0.64,0.69,7500,0.69
2013-04-17,0.63,0.65,0.62,0.64,1600,0.64
2013-04-16,0.59,0.63,0.59,0.63,1300,0.63
2013-04-15,0.58,0.61,0.58,0.61,5400,0.61
2013-04-12,0.63,0.63,0.54,0.58,9500,0.58
2013-04-11,0.61,0.63,0.61,0.63,2300,0.63
2013-04-10,0.59,0.60,0.59,0.60,1700,0.60
2013-04-09,0.59,0.60,0.55,0.59,2600,0.59
2013-04-08,0.52,0.59,0.52,0.59,2900,0.59
2013-04-05,0.59,0.59,0.53,0.59,8900,0.59
2013-04-04,0.57,0.60,0.55,0.60,10500,0.60
2013-04-03,0.55,0.55,0.55,0.55,2000,0.55
2013-04-02,0.56,0.58,0.52,0.56,13800,0.56
2013-04-01,0.56,0.56,0.56,0.56,000,0.56
2013-03-29,0.56,0.56,0.56,0.56,000,0.56
2013-03-28,0.60,0.60,0.56,0.56,3100,0.56
2013-03-27,0.56,0.56,0.53,0.56,5200,0.56
2013-03-26,0.57,0.57,0.56,0.56,3700,0.56
2013-03-25,0.59,0.59,0.59,0.59,000,0.59
2013-03-22,0.59,0.59,0.59,0.59,1400,0.59
2013-03-21,0.56,0.58,0.56,0.58,1300,0.58
2013-03-20,0.57,0.57,0.56,0.56,1300,0.56
2013-03-19,0.60,0.60,0.55,0.55,3500,0.55
2013-03-18,0.63,0.63,0.63,0.63,000,0.63
2013-03-15,0.63,0.63,0.58,0.63,300,0.63
2013-03-14,0.59,0.63,0.59,0.63,4500,0.63
2013-03-13,0.62,0.64,0.59,0.63,4600,0.63
2013-03-12,0.63,0.63,0.58,0.63,6500,0.63
2013-03-11,0.67,0.67,0.62,0.62,5900,0.62
2013-03-08,0.69,0.70,0.66,0.67,6700,0.67
2013-03-07,0.63,0.72,0.63,0.69,1700,0.69
2013-03-06,0.74,0.75,0.72,0.72,100,0.72
2013-03-05,0.72,0.72,0.72,0.72,000,0.72
2013-03-04,0.65,0.71,0.65,0.71,300,0.71
2013-03-01,0.72,0.72,0.72,0.72,000,0.72
2013-02-28,0.68,0.68,0.68,0.68,000,0.68
2013-02-27,0.65,0.69,0.65,0.68,2100,0.68
2013-02-26,0.67,0.70,0.65,0.70,4000,0.70
2013-02-25,0.72,0.73,0.69,0.70,8100,0.70
2013-02-22,0.73,0.73,0.73,0.73,2300,0.73
2013-02-21,0.77,0.77,0.73,0.73,3200,0.73
2013-02-20,0.77,0.78,0.76,0.78,2600,0.78
2013-02-19,0.77,0.77,0.75,0.77,2800,0.77
2013-02-18,0.84,0.84,0.75,0.77,4300,0.77
2013-02-15,0.80,0.80,0.79,0.79,1000,0.79
2013-02-14,0.84,0.85,0.79,0.80,600,0.80
2013-02-13,0.79,0.79,0.79,0.79,000,0.79
2013-02-12,0.75,0.80,0.75,0.79,2400,0.79
2013-02-11,0.80,0.80,0.79,0.79,600,0.79
2013-02-08,0.79,0.80,0.76,0.80,12600,0.80
2013-02-07,0.80,0.81,0.76,0.78,2700,0.78
2013-02-06,0.78,0.80,0.78,0.78,6100,0.78
2013-02-05,0.77,0.79,0.74,0.76,12300,0.76
2013-02-04,0.78,0.78,0.75,0.77,7400,0.77
2013-02-01,0.82,0.82,0.79,0.80,1600,0.80
2013-01-31,0.82,0.83,0.79,0.82,4000,0.82
2013-01-30,0.86,0.86,0.83,0.83,10700,0.83
2013-01-29,0.86,0.88,0.86,0.88,1000,0.88
2013-01-28,0.87,0.89,0.86,0.88,9300,0.88
2013-01-25,0.90,0.90,0.87,0.87,6100,0.87
2013-01-24,0.84,0.89,0.84,0.86,2600,0.86
2013-01-23,0.90,0.90,0.86,0.89,6600,0.89
2013-01-22,0.85,0.91,0.85,0.90,900,0.90
2013-01-21,0.91,0.91,0.88,0.91,1600,0.91
2013-01-18,0.86,0.89,0.86,0.89,3400,0.89
2013-01-17,0.87,0.89,0.85,0.88,3700,0.88
2013-01-16,0.86,0.89,0.86,0.87,1400,0.87
2013-01-15,0.92,0.92,0.85,0.87,10900,0.87
2013-01-14,0.92,0.93,0.89,0.92,23700,0.92
2013-01-11,0.89,0.93,0.89,0.93,4300,0.93
2013-01-10,0.95,0.97,0.93,0.93,9200,0.93
2013-01-09,0.91,0.95,0.89,0.94,28900,0.94
2013-01-08,0.83,0.94,0.83,0.93,30700,0.93
2013-01-07,0.85,0.88,0.84,0.88,6400,0.88
2013-01-04,0.90,0.90,0.86,0.88,25100,0.88
2013-01-03,0.86,0.91,0.85,0.91,33600,0.91
2013-01-02,0.83,0.86,0.83,0.86,9200,0.86
2013-01-01,0.84,0.84,0.84,0.84,000,0.84
2012-12-31,0.84,0.84,0.84,0.84,000,0.84
2012-12-28,0.74,0.85,0.74,0.84,35200,0.84
2012-12-27,0.72,0.75,0.72,0.74,7600,0.74
2012-12-26,0.73,0.73,0.73,0.73,000,0.73
2012-12-25,0.73,0.73,0.73,0.73,000,0.73
2012-12-24,0.73,0.73,0.73,0.73,000,0.73
2012-12-21,0.71,0.73,0.70,0.73,15700,0.73
2012-12-20,0.72,0.72,0.71,0.71,100,0.71
2012-12-19,0.73,0.73,0.70,0.72,4700,0.72
2012-12-18,0.72,0.72,0.68,0.70,9100,0.70
2012-12-17,0.71,0.72,0.67,0.69,5200,0.69
2012-12-14,0.69,0.70,0.69,0.70,5500,0.70
2012-12-13,0.70,0.70,0.66,0.70,7700,0.70
2012-12-12,0.64,0.68,0.64,0.67,16900,0.67
2012-12-11,0.62,0.65,0.61,0.65,12800,0.65
2012-12-10,0.63,0.64,0.61,0.63,10300,0.63
2012-12-07,0.61,0.61,0.61,0.61,1800,0.61
2012-12-06,0.58,0.62,0.58,0.61,3800,0.61
2012-12-05,0.58,0.61,0.58,0.59,11400,0.59
2012-12-04,0.60,0.60,0.60,0.60,4400,0.60
2012-12-03,0.60,0.60,0.58,0.60,1700,0.60
