Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.68,1.68,1.63,1.64,3300,1.64
2013-05-22,1.64,1.65,1.61,1.61,2100,1.61
2013-05-21,1.63,1.64,1.63,1.63,2400,1.63
2013-05-20,1.64,1.65,1.60,1.60,4700,1.60
2013-05-17,1.65,1.65,1.64,1.65,2900,1.65
2013-05-16,1.64,1.66,1.57,1.65,5200,1.65
2013-05-15,1.66,1.70,1.60,1.64,168500,1.64
2013-05-14,1.55,1.55,1.55,1.55,1300,1.55
2013-05-13,1.58,1.58,1.57,1.57,300,1.57
2013-05-10,1.54,1.62,1.41,1.58,1800,1.58
2013-05-09,1.54,1.54,1.54,1.54,300,1.54
2013-05-08,1.50,1.58,1.50,1.52,1400,1.52
2013-05-07,1.50,1.50,1.50,1.50,000,1.50
2013-05-06,1.50,1.50,1.50,1.50,000,1.50
2013-05-03,1.50,1.50,1.50,1.50,000,1.50
2013-05-02,1.50,1.50,1.50,1.50,200,1.50
2013-05-01,1.40,1.40,1.40,1.40,000,1.40
2013-04-30,1.40,1.40,1.40,1.40,100,1.40
2013-04-29,1.40,1.40,1.40,1.40,1900,1.40
2013-04-26,1.32,1.41,1.32,1.35,1200,1.35
2013-04-25,1.32,1.32,1.31,1.32,600,1.32
2013-04-24,1.30,1.30,1.30,1.30,400,1.30
2013-04-23,1.28,1.28,1.28,1.28,000,1.28
2013-04-22,1.37,1.37,1.27,1.28,200,1.28
2013-04-19,1.41,1.41,1.41,1.41,100,1.41
2013-04-18,1.56,1.56,1.41,1.41,900,1.41
2013-04-17,1.38,1.45,1.37,1.42,1000,1.42
2013-04-16,1.32,1.35,1.32,1.32,1900,1.32
2013-04-15,1.26,1.26,1.26,1.26,100,1.26
2013-04-12,1.26,1.26,1.26,1.26,000,1.26
2013-04-11,1.26,1.26,1.26,1.26,000,1.26
2013-04-10,1.21,1.26,1.21,1.26,1000,1.26
2013-04-09,1.20,1.22,1.12,1.21,800,1.21
2013-04-08,1.20,1.20,1.08,1.20,600,1.20
