Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.36,0.36,0.34,0.34,7900,0.34
2013-05-22,0.36,0.36,0.35,0.36,7600,0.36
2013-05-21,0.36,0.38,0.35,0.36,54500,0.36
2013-05-20,0.37,0.38,0.36,0.37,46400,0.37
2013-05-17,0.38,0.39,0.36,0.39,41500,0.39
2013-05-16,0.40,0.40,0.38,0.38,63200,0.38
2013-05-15,0.40,0.40,0.39,0.40,56000,0.40
2013-05-14,0.36,0.40,0.35,0.39,74900,0.39
2013-05-13,0.35,0.37,0.35,0.37,15000,0.37
2013-05-10,0.36,0.36,0.36,0.36,6200,0.36
2013-05-09,0.36,0.37,0.35,0.36,62800,0.36
2013-05-08,0.36,0.37,0.35,0.36,27600,0.36
2013-05-07,0.34,0.34,0.34,0.34,000,0.34
2013-05-06,0.34,0.34,0.34,0.34,000,0.34
2013-05-03,0.34,0.34,0.34,0.34,000,0.34
2013-05-02,0.34,0.35,0.34,0.34,10500,0.34
2013-05-01,0.34,0.34,0.34,0.34,000,0.34
2013-04-30,0.34,0.34,0.31,0.34,20100,0.34
2013-04-29,0.34,0.34,0.32,0.34,15300,0.34
2013-04-26,0.36,0.37,0.33,0.34,43800,0.34
2013-04-25,0.35,0.36,0.34,0.36,11400,0.36
2013-04-24,0.34,0.36,0.34,0.34,22000,0.34
2013-04-23,0.35,0.36,0.35,0.36,7700,0.36
2013-04-22,0.35,0.36,0.34,0.36,18800,0.36
2013-04-19,0.35,0.35,0.34,0.35,30000,0.35
2013-04-18,0.35,0.36,0.34,0.35,17400,0.35
2013-04-17,0.32,0.35,0.32,0.34,16100,0.34
2013-04-16,0.31,0.33,0.31,0.33,13300,0.33
2013-04-15,0.32,0.33,0.32,0.33,21300,0.33
2013-04-12,0.32,0.33,0.31,0.32,22700,0.32
2013-04-11,0.32,0.33,0.31,0.33,53000,0.33
2013-04-10,0.31,0.33,0.31,0.32,34200,0.32
2013-04-09,0.30,0.32,0.30,0.32,24300,0.32
2013-04-08,0.28,0.30,0.28,0.30,32300,0.30
2013-04-05,0.29,0.31,0.29,0.30,16900,0.30
2013-04-04,0.29,0.31,0.29,0.30,34500,0.30
2013-04-03,0.29,0.30,0.28,0.30,31800,0.30
2013-04-02,0.31,0.31,0.29,0.30,22400,0.30
2013-04-01,0.30,0.30,0.30,0.30,000,0.30
2013-03-29,0.30,0.30,0.30,0.30,000,0.30
2013-03-28,0.29,0.31,0.29,0.30,31600,0.30
2013-03-27,0.30,0.31,0.29,0.29,51500,0.29
2013-03-26,0.31,0.31,0.30,0.31,16100,0.31
2013-03-25,0.33,0.33,0.33,0.33,000,0.33
2013-03-22,0.33,0.33,0.31,0.33,18200,0.33
2013-03-21,0.34,0.34,0.32,0.32,4300,0.32
2013-03-20,0.34,0.34,0.32,0.33,29500,0.33
2013-03-19,0.36,0.37,0.33,0.33,39300,0.33
2013-03-18,0.38,0.38,0.38,0.38,000,0.38
