Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.00,1.00,0.90,0.90,27635400,0.90
2013-05-22,1.12,1.18,0.95,1.04,25611800,1.04
2013-05-21,1.25,1.32,1.10,1.15,34928000,1.15
2013-05-20,1.83,1.96,1.53,1.57,29881900,1.57
2013-05-17,1.59,1.91,1.54,1.83,34281000,1.83
2013-05-16,1.29,1.50,1.24,1.50,28887500,1.50
2013-05-15,1.24,1.26,1.18,1.26,15990500,1.26
2013-05-14,1.17,1.21,1.02,1.16,20130800,1.16
2013-05-13,0.97,1.18,0.97,1.13,18216900,1.13
2013-05-10,0.99,1.05,0.93,1.00,19112800,1.00
2013-05-09,0.89,1.01,0.87,0.96,17671100,0.96
2013-05-08,0.80,0.87,0.75,0.86,15422400,0.86
2013-05-07,0.67,0.67,0.67,0.67,000,0.67
2013-05-06,0.67,0.67,0.67,0.67,000,0.67
2013-05-03,0.67,0.67,0.67,0.67,000,0.67
2013-05-02,0.61,0.69,0.55,0.67,11418800,0.67
2013-05-01,0.63,0.63,0.63,0.63,000,0.63
2013-04-30,0.75,0.75,0.63,0.63,11614000,0.63
2013-04-29,0.82,0.82,0.73,0.79,16035100,0.79
2013-04-26,0.77,0.85,0.72,0.77,19605800,0.77
2013-04-25,0.63,0.72,0.63,0.71,14119100,0.71
2013-04-24,0.60,0.62,0.59,0.61,5751500,0.61
2013-04-23,0.59,0.61,0.55,0.59,9462500,0.59
2013-04-22,0.52,0.62,0.52,0.60,10509100,0.60
2013-04-19,0.50,0.53,0.49,0.50,6572600,0.50
2013-04-18,0.55,0.56,0.50,0.51,6598400,0.51
2013-04-17,0.51,0.55,0.50,0.55,8453200,0.55
2013-04-16,0.52,0.53,0.47,0.49,10982100,0.49
2013-04-15,0.63,0.67,0.53,0.54,11934900,0.54
2013-04-12,0.71,0.71,0.58,0.64,16386300,0.64
2013-04-11,0.65,0.72,0.63,0.69,16818200,0.69
2013-04-10,0.47,0.61,0.46,0.60,15486200,0.60
2013-04-09,0.46,0.50,0.42,0.47,15460900,0.47
2013-04-08,0.36,0.48,0.36,0.47,27796700,0.47
2013-04-05,0.58,0.59,0.52,0.52,6674000,0.52
2013-04-04,0.59,0.60,0.58,0.58,2488900,0.58
2013-04-03,0.62,0.63,0.58,0.59,4615800,0.59
2013-04-02,0.67,0.67,0.57,0.63,7101700,0.63
2013-04-01,0.66,0.66,0.66,0.66,000,0.66
2013-03-29,0.66,0.66,0.66,0.66,000,0.66
2013-03-28,0.69,0.69,0.65,0.66,4623400,0.66
2013-03-27,0.69,0.71,0.67,0.68,4086100,0.68
2013-03-26,0.72,0.72,0.66,0.70,4191200,0.70
2013-03-25,0.70,0.70,0.70,0.70,000,0.70
2013-03-22,0.71,0.74,0.69,0.70,4211600,0.70
2013-03-21,0.69,0.71,0.67,0.70,3763300,0.70
2013-03-20,0.65,0.70,0.64,0.68,4938100,0.68
2013-03-19,0.70,0.72,0.65,0.65,6813600,0.65
2013-03-18,0.76,0.76,0.76,0.76,000,0.76
2013-03-15,0.76,0.78,0.74,0.76,17148900,0.76
2013-03-14,0.79,0.79,0.72,0.77,12317600,0.77
2013-03-13,0.80,0.81,0.76,0.78,6726900,0.78
2013-03-12,0.82,0.82,0.80,0.80,3799000,0.80
2013-03-11,0.84,0.84,0.77,0.83,5165700,0.83
2013-03-08,0.80,0.81,0.77,0.80,4935300,0.80
2013-03-07,0.83,0.84,0.79,0.79,7704100,0.79
2013-03-06,0.88,0.88,0.82,0.83,7850200,0.83
2013-03-05,0.90,0.92,0.86,0.88,3779900,0.88
2013-03-04,0.92,0.92,0.86,0.90,6096700,0.90
