Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.50,0.51,0.48,0.51,5500,0.51
2013-05-22,0.49,0.51,0.49,0.51,23100,0.51
2013-05-21,0.51,0.52,0.50,0.51,2800,0.51
2013-05-20,0.53,0.54,0.52,0.53,8500,0.53
2013-05-17,0.53,0.55,0.53,0.54,13300,0.54
2013-05-16,0.55,0.56,0.54,0.55,12200,0.55
2013-05-15,0.55,0.57,0.53,0.55,42700,0.55
2013-05-14,0.51,0.54,0.51,0.53,20900,0.53
2013-05-13,0.53,0.54,0.51,0.51,26000,0.51
2013-05-10,0.55,0.55,0.52,0.54,15300,0.54
2013-05-09,0.52,0.53,0.50,0.52,43100,0.52
2013-05-08,0.48,0.52,0.48,0.50,32400,0.50
2013-05-07,0.48,0.48,0.48,0.48,000,0.48
2013-05-06,0.48,0.48,0.48,0.48,000,0.48
2013-05-03,0.48,0.48,0.48,0.48,000,0.48
2013-05-02,0.44,0.49,0.44,0.48,8300,0.48
2013-05-01,0.49,0.49,0.49,0.49,000,0.49
2013-04-30,0.43,0.49,0.43,0.49,1300,0.49
2013-04-29,0.47,0.47,0.47,0.47,1000,0.47
2013-04-26,0.47,0.50,0.47,0.49,8400,0.49
2013-04-25,0.50,0.50,0.49,0.50,3900,0.50
2013-04-24,0.46,0.50,0.46,0.50,15900,0.50
2013-04-23,0.43,0.49,0.43,0.46,8100,0.46
2013-04-22,0.44,0.46,0.44,0.46,7000,0.46
2013-04-19,0.49,0.49,0.46,0.46,1900,0.46
2013-04-18,0.47,0.49,0.45,0.47,20700,0.47
2013-04-17,0.45,0.46,0.44,0.45,15800,0.45
2013-04-16,0.41,0.44,0.41,0.43,15400,0.43
2013-04-15,0.41,0.42,0.39,0.42,15700,0.42
2013-04-12,0.38,0.41,0.38,0.41,17200,0.41
2013-04-11,0.39,0.41,0.37,0.41,26900,0.41
2013-04-10,0.34,0.37,0.34,0.37,19100,0.37
2013-04-09,0.35,0.37,0.33,0.34,21200,0.34
2013-04-08,0.34,0.37,0.33,0.35,17200,0.35
2013-04-05,0.39,0.39,0.37,0.37,1100,0.37
2013-04-04,0.39,0.39,0.39,0.39,1500,0.39
2013-04-03,0.38,0.38,0.37,0.37,3800,0.37
2013-04-02,0.36,0.36,0.36,0.36,100,0.36
2013-04-01,0.36,0.36,0.36,0.36,000,0.36
2013-03-29,0.36,0.36,0.36,0.36,000,0.36
2013-03-28,0.36,0.37,0.36,0.36,4200,0.36
2013-03-27,0.37,0.37,0.34,0.34,16200,0.34
2013-03-26,0.37,0.39,0.36,0.37,8000,0.37
2013-03-25,0.40,0.40,0.40,0.40,000,0.40
2013-03-22,0.38,0.40,0.38,0.40,7300,0.40
2013-03-21,0.41,0.43,0.39,0.39,8600,0.39
2013-03-20,0.38,0.42,0.38,0.41,16900,0.41
2013-03-19,0.46,0.46,0.43,0.43,8300,0.43
2013-03-18,0.47,0.47,0.47,0.47,000,0.47
2013-03-15,0.47,0.47,0.47,0.47,300,0.47
2013-03-14,0.48,0.48,0.44,0.44,700,0.44
2013-03-13,0.46,0.47,0.42,0.46,14400,0.46
2013-03-12,0.43,0.45,0.43,0.45,6900,0.45
2013-03-11,0.44,0.44,0.41,0.42,15900,0.42
2013-03-08,0.45,0.45,0.45,0.45,1600,0.45
2013-03-07,0.47,0.47,0.44,0.45,10800,0.45
2013-03-06,0.48,0.48,0.45,0.47,2000,0.47
2013-03-05,0.49,0.50,0.46,0.47,5300,0.47
2013-03-04,0.50,0.50,0.47,0.49,27900,0.49
2013-03-01,0.55,0.55,0.52,0.53,8300,0.53
2013-02-28,0.56,0.56,0.52,0.54,6400,0.54
2013-02-27,0.55,0.55,0.54,0.54,4100,0.54
2013-02-26,0.56,0.56,0.53,0.55,15600,0.55
2013-02-25,0.57,0.57,0.55,0.55,10000,0.55
2013-02-22,0.54,0.56,0.54,0.55,22000,0.55
2013-02-21,0.60,0.60,0.56,0.56,39500,0.56
2013-02-20,0.63,0.64,0.61,0.62,25200,0.62
2013-02-19,0.64,0.65,0.61,0.64,3700,0.64
2013-02-18,0.62,0.64,0.62,0.64,8000,0.64
2013-02-15,0.62,0.65,0.62,0.64,22300,0.64
2013-02-14,0.53,0.62,0.53,0.62,46500,0.62
2013-02-13,0.60,0.60,0.55,0.56,14100,0.56
2013-02-12,0.56,0.60,0.56,0.58,21800,0.58
2013-02-11,0.61,0.62,0.58,0.58,2000,0.58
2013-02-08,0.63,0.63,0.60,0.62,9100,0.62
2013-02-07,0.64,0.65,0.62,0.62,25100,0.62
2013-02-06,0.65,0.65,0.62,0.64,60500,0.64
2013-02-05,0.63,0.64,0.62,0.64,9800,0.64
2013-02-04,0.58,0.64,0.56,0.64,52800,0.64
2013-02-01,0.64,0.65,0.60,0.62,5900,0.62
2013-01-31,0.63,0.65,0.62,0.63,5000,0.63
2013-01-30,0.64,0.65,0.63,0.65,7000,0.65
2013-01-29,0.67,0.67,0.65,0.66,12300,0.66
2013-01-28,0.69,0.70,0.66,0.67,8100,0.67
2013-01-25,0.68,0.70,0.65,0.69,33100,0.69
2013-01-24,0.69,0.70,0.68,0.68,37200,0.68
2013-01-23,0.70,0.73,0.66,0.71,49700,0.71
2013-01-22,0.73,0.74,0.70,0.70,16300,0.70
2013-01-21,0.77,0.77,0.72,0.73,22300,0.73
