Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.10,0.10,0.10,0.10,000,0.10
2013-05-22,0.10,0.10,0.10,0.10,000,0.10
2013-05-21,0.10,0.10,0.10,0.10,000,0.10
2013-05-20,0.10,0.10,0.10,0.10,000,0.10
2013-05-17,0.10,0.10,0.10,0.10,000,0.10
2013-05-16,0.10,0.10,0.10,0.10,1500,0.10
2013-05-15,0.12,0.12,0.12,0.12,1000,0.12
2013-05-14,0.14,0.14,0.14,0.14,000,0.14
2013-05-13,0.14,0.14,0.14,0.14,000,0.14
2013-05-10,0.14,0.14,0.14,0.14,000,0.14
2013-05-09,0.14,0.14,0.14,0.14,000,0.14
2013-05-08,0.14,0.14,0.14,0.14,000,0.14
2013-05-07,0.14,0.14,0.14,0.14,000,0.14
2013-05-06,0.14,0.14,0.14,0.14,000,0.14
2013-05-03,0.14,0.14,0.14,0.14,000,0.14
2013-05-02,0.14,0.14,0.14,0.14,000,0.14
2013-05-01,0.14,0.14,0.14,0.14,000,0.14
2013-04-30,0.14,0.14,0.14,0.14,000,0.14
2013-04-29,0.18,0.18,0.18,0.18,000,0.18
2013-04-26,0.18,0.18,0.18,0.18,000,0.18
2013-04-25,0.18,0.18,0.18,0.18,000,0.18
2013-04-24,0.18,0.18,0.18,0.18,000,0.18
2013-04-23,0.18,0.18,0.18,0.18,100,0.18
2013-04-22,0.18,0.18,0.18,0.18,000,0.18
2013-04-19,0.18,0.18,0.18,0.18,000,0.18
2013-04-18,0.18,0.18,0.18,0.18,000,0.18
2013-04-17,0.18,0.18,0.18,0.18,000,0.18
2013-04-16,0.18,0.18,0.18,0.18,000,0.18
2013-04-15,0.18,0.18,0.18,0.18,000,0.18
2013-04-12,0.18,0.18,0.18,0.18,000,0.18
2013-04-11,0.18,0.18,0.18,0.18,000,0.18
2013-04-10,0.18,0.18,0.18,0.18,000,0.18
2013-04-09,0.18,0.18,0.18,0.18,000,0.18
2013-04-08,0.18,0.18,0.18,0.18,000,0.18
2013-04-05,0.18,0.18,0.18,0.18,000,0.18
2013-04-04,0.18,0.18,0.18,0.18,000,0.18
