Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,6.58,6.67,6.32,6.35,43600,6.35
2013-05-22,6.48,6.56,6.31,6.56,14400,6.56
2013-05-21,6.58,6.58,6.23,6.47,23200,6.47
2013-05-20,6.53,6.53,6.20,6.40,117100,6.40
2013-05-17,6.60,6.60,6.35,6.53,64000,6.53
2013-05-16,6.50,6.60,6.32,6.60,145200,6.60
2013-05-15,6.60,6.64,6.44,6.50,49600,6.50
2013-05-14,6.57,6.60,6.45,6.47,5300,6.47
2013-05-13,6.69,6.69,6.46,6.51,20200,6.51
2013-05-10,6.72,6.77,6.46,6.46,11100,6.46
2013-05-09,6.66,6.89,6.66,6.80,139600,6.80
2013-05-08,6.79,6.98,6.48,6.98,27200,6.98
2013-05-07,6.58,6.58,6.58,6.58,000,6.58
2013-05-06,6.58,6.58,6.58,6.58,000,6.58
2013-05-03,6.58,6.58,6.58,6.58,000,6.58
2013-05-02,6.28,6.58,6.28,6.58,10600,6.58
2013-05-01,6.28,6.28,6.28,6.28,000,6.28
2013-04-30,6.15,6.28,6.07,6.28,22800,6.28
2013-04-29,6.18,6.19,5.93,6.07,8700,6.07
2013-04-26,6.05,6.16,5.97,6.15,70000,6.15
2013-04-25,5.80,6.05,5.80,6.05,121900,6.05
2013-04-24,5.84,5.84,5.71,5.84,5300,5.84
2013-04-23,5.80,5.84,5.70,5.77,1700,5.77
2013-04-22,5.75,5.85,5.69,5.83,10200,5.83
2013-04-19,5.70,5.75,5.68,5.74,3000,5.74
2013-04-18,5.70,5.94,5.66,5.75,36900,5.75
2013-04-17,5.70,5.78,5.66,5.75,15800,5.75
2013-04-16,5.68,5.90,5.66,5.66,23300,5.66
2013-04-15,5.68,5.85,5.63,5.82,14200,5.82
2013-04-12,5.68,5.94,5.63,5.85,26500,5.85
2013-04-11,5.57,5.85,5.42,5.85,27300,5.85
2013-04-10,5.51,5.68,5.42,5.57,13400,5.57
2013-04-09,5.38,5.70,5.38,5.51,33300,5.51
2013-04-08,5.42,5.50,5.34,5.38,35100,5.38
2013-04-05,5.82,5.82,5.62,5.62,9700,5.62
2013-04-04,5.78,5.90,5.66,5.82,17100,5.82
2013-04-03,5.60,5.85,5.60,5.78,2600,5.78
2013-04-02,5.82,6.06,5.78,5.80,137900,5.80
2013-04-01,5.82,5.82,5.82,5.82,000,5.82
2013-03-29,5.82,5.82,5.82,5.82,000,5.82
2013-03-28,5.61,5.82,5.60,5.82,6800,5.82
2013-03-27,5.75,5.83,5.53,5.71,65200,5.71
2013-03-26,5.80,5.90,5.70,5.79,7900,5.79
2013-03-25,5.75,5.75,5.75,5.75,000,5.75
2013-03-22,5.82,5.92,5.72,5.75,3624500,5.75
2013-03-21,5.71,5.85,5.71,5.75,7000,5.75
2013-03-20,5.56,5.88,5.56,5.88,10000,5.88
2013-03-19,5.75,5.87,5.66,5.67,39500,5.67
2013-03-18,5.87,5.87,5.87,5.87,000,5.87
2013-03-15,6.00,6.04,5.80,5.87,110700,5.87
2013-03-14,5.76,6.04,5.75,5.99,25000,5.99
2013-03-13,5.79,5.87,5.61,5.87,17200,5.87
2013-03-12,5.85,5.87,5.60,5.74,65100,5.74
2013-03-11,5.98,5.98,5.64,5.85,31900,5.85
2013-03-08,5.95,5.98,5.81,5.98,15900,5.98
2013-03-07,5.85,5.95,5.81,5.95,14300,5.95
2013-03-06,5.90,5.90,5.81,5.85,10100,5.85
2013-03-05,5.83,5.93,5.81,5.90,10600,5.90
2013-03-04,5.93,5.97,5.75,5.92,36300,5.92
2013-03-01,5.80,5.87,5.80,5.82,38600,5.82
2013-02-28,5.81,5.90,5.80,5.80,12800,5.80
2013-02-27,5.82,5.91,5.81,5.81,7300,5.81
2013-02-26,5.80,5.93,5.75,5.82,26600,5.82
2013-02-25,5.86,6.22,5.79,5.85,27000,5.85
2013-02-22,5.75,5.86,5.73,5.86,51500,5.86
2013-02-21,5.80,5.90,5.72,5.75,38900,5.75
2013-02-20,5.85,6.13,5.80,5.90,34200,5.90
2013-02-19,5.73,5.90,5.73,5.85,24500,5.85
2013-02-18,5.88,6.02,5.73,5.73,39200,5.73
2013-02-15,6.10,6.17,5.86,5.86,37400,5.86
2013-02-14,6.20,6.24,6.01,6.09,27600,6.09
2013-02-13,6.32,6.35,6.13,6.18,12600,6.18
2013-02-12,6.22,6.37,6.19,6.33,10000,6.33
2013-02-11,6.15,6.25,6.15,6.23,17200,6.23
2013-02-08,6.09,6.18,6.09,6.17,11800,6.17
2013-02-07,6.10,6.25,6.04,6.09,32700,6.09
2013-02-06,6.12,6.40,6.08,6.10,49200,6.10
2013-02-05,6.00,6.24,5.96,6.12,56100,6.12
2013-02-04,5.88,6.10,5.80,6.00,50500,6.00
2013-02-01,5.40,5.89,5.40,5.88,76000,5.88
2013-01-31,5.30,5.41,5.30,5.41,26600,5.41
2013-01-30,5.24,5.41,5.24,5.41,18600,5.41
2013-01-29,5.31,5.36,5.27,5.35,22800,5.35
2013-01-28,5.35,5.38,5.25,5.36,21300,5.36
2013-01-25,5.26,5.38,5.14,5.31,16400,5.31
2013-01-24,5.31,5.40,5.17,5.19,22300,5.19
2013-01-23,5.22,5.35,5.22,5.31,24300,5.31
2013-01-22,5.20,5.35,5.18,5.35,12600,5.35
2013-01-21,5.20,5.25,5.17,5.20,13900,5.20
2013-01-18,5.25,5.25,5.15,5.19,18500,5.19
2013-01-17,5.21,5.25,5.17,5.20,12300,5.20
2013-01-16,5.16,5.35,5.16,5.21,15500,5.21
2013-01-15,5.25,5.25,5.16,5.20,15900,5.20
2013-01-14,5.35,5.38,5.20,5.25,46000,5.25
2013-01-11,5.20,5.60,5.20,5.26,131600,5.26
2013-01-10,5.02,5.35,5.00,5.20,108500,5.20
2013-01-09,5.00,5.14,4.92,4.95,32400,4.95
2013-01-08,4.93,5.14,4.92,5.08,61900,5.08
2013-01-07,5.00,5.00,4.87,4.97,12100,4.97
2013-01-04,4.95,5.03,4.95,5.00,24300,5.00
2013-01-03,5.01,5.01,4.90,5.00,11700,5.00
