Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.47,0.52,0.46,0.46,3984300,0.46
2013-05-22,0.36,0.47,0.36,0.44,4448900,0.44
2013-05-21,0.43,0.47,0.34,0.36,5467900,0.36
2013-05-20,0.71,0.72,0.49,0.49,5994400,0.49
2013-05-17,0.64,0.75,0.64,0.65,4835100,0.65
2013-05-16,0.55,0.64,0.50,0.59,6830400,0.59
2013-05-15,0.44,0.54,0.44,0.52,4847500,0.52
2013-05-14,0.36,0.43,0.35,0.41,6232400,0.41
2013-05-13,0.27,0.34,0.27,0.34,3647200,0.34
2013-05-10,0.28,0.30,0.26,0.26,1994300,0.26
2013-05-09,0.26,0.30,0.25,0.28,3170800,0.28
2013-05-08,0.24,0.26,0.23,0.26,2330900,0.26
2013-05-07,0.21,0.21,0.21,0.21,000,0.21
2013-05-06,0.21,0.21,0.21,0.21,000,0.21
2013-05-03,0.21,0.21,0.21,0.21,000,0.21
2013-05-02,0.20,0.22,0.18,0.21,1261400,0.21
2013-05-01,0.20,0.20,0.20,0.20,000,0.20
2013-04-30,0.23,0.23,0.20,0.20,1463800,0.20
2013-04-29,0.23,0.25,0.22,0.23,1722900,0.23
2013-04-26,0.24,0.26,0.22,0.23,3343800,0.23
2013-04-25,0.20,0.23,0.20,0.23,2605300,0.23
2013-04-24,0.20,0.20,0.19,0.19,1731200,0.19
2013-04-23,0.16,0.22,0.16,0.18,5444600,0.18
2013-04-22,0.24,0.25,0.21,0.23,5262000,0.23
2013-04-19,0.25,0.27,0.23,0.24,1699400,0.24
2013-04-18,0.26,0.27,0.25,0.25,1515500,0.25
2013-04-17,0.24,0.27,0.24,0.26,2870500,0.26
2013-04-16,0.28,0.28,0.23,0.23,3139300,0.23
2013-04-15,0.35,0.38,0.27,0.28,2989300,0.28
2013-04-12,0.45,0.45,0.30,0.35,7507500,0.35
2013-04-11,0.37,0.38,0.35,0.38,3352200,0.38
2013-04-10,0.27,0.30,0.26,0.29,3655900,0.29
2013-04-09,0.20,0.23,0.20,0.23,4239600,0.23
2013-04-08,0.10,0.19,0.10,0.18,5430400,0.18
2013-04-05,0.19,0.19,0.15,0.15,1526200,0.15
2013-04-04,0.18,0.20,0.18,0.19,715400,0.19
2013-04-03,0.21,0.21,0.18,0.19,1750200,0.19
2013-04-02,0.22,0.23,0.20,0.21,1079700,0.21
2013-04-01,0.25,0.25,0.25,0.25,000,0.25
2013-03-29,0.25,0.25,0.25,0.25,000,0.25
2013-03-28,0.25,0.25,0.23,0.25,690400,0.25
2013-03-27,0.26,0.26,0.23,0.25,634900,0.25
2013-03-26,0.26,0.26,0.24,0.26,354400,0.26
2013-03-25,0.26,0.26,0.26,0.26,000,0.26
2013-03-22,0.25,0.27,0.24,0.26,473800,0.26
2013-03-21,0.25,0.26,0.24,0.25,543600,0.25
2013-03-20,0.24,0.26,0.23,0.25,932300,0.25
2013-03-19,0.25,0.26,0.23,0.23,1015300,0.23
2013-03-18,0.27,0.27,0.27,0.27,000,0.27
2013-03-15,0.29,0.29,0.27,0.27,3247700,0.27
2013-03-14,0.31,0.31,0.28,0.29,1385400,0.29
2013-03-13,0.32,0.32,0.31,0.31,581100,0.31
2013-03-12,0.32,0.33,0.31,0.32,938200,0.32
2013-03-11,0.34,0.35,0.31,0.31,785100,0.31
2013-03-08,0.32,0.34,0.31,0.33,945300,0.33
2013-03-07,0.33,0.33,0.31,0.31,1314200,0.31
2013-03-06,0.37,0.38,0.32,0.32,2418400,0.32
2013-03-05,0.39,0.40,0.36,0.37,637500,0.37
2013-03-04,0.40,0.40,0.38,0.39,661800,0.39
2013-03-01,0.40,0.41,0.38,0.41,1835400,0.41
2013-02-28,0.42,0.45,0.38,0.38,3297000,0.38
2013-02-27,0.35,0.41,0.35,0.41,2528400,0.41
2013-02-26,0.38,0.39,0.34,0.34,4563900,0.34
2013-02-25,0.47,0.47,0.40,0.41,1476300,0.41
2013-02-22,0.47,0.48,0.46,0.47,636400,0.47
2013-02-21,0.48,0.50,0.47,0.47,1907700,0.47
2013-02-20,0.46,0.50,0.46,0.49,1522900,0.49
2013-02-19,0.46,0.47,0.45,0.46,930200,0.46
2013-02-18,0.48,0.48,0.43,0.45,2190500,0.45
2013-02-15,0.47,0.51,0.45,0.46,3452800,0.46
2013-02-14,0.54,0.54,0.47,0.47,4275300,0.47
2013-02-13,0.58,0.60,0.53,0.54,2784700,0.54
2013-02-12,0.59,0.60,0.58,0.58,1649700,0.58
2013-02-11,0.61,0.61,0.58,0.61,2047400,0.61
2013-02-08,0.62,0.63,0.61,0.61,2240100,0.61
2013-02-07,0.64,0.65,0.62,0.62,2484200,0.62
2013-02-06,0.62,0.64,0.62,0.64,2461500,0.64
2013-02-05,0.61,0.63,0.61,0.62,1606900,0.62
2013-02-04,0.61,0.62,0.60,0.61,1695400,0.61
2013-02-01,0.62,0.64,0.62,0.62,1549300,0.62
2013-01-31,0.63,0.63,0.60,0.61,1601100,0.61
2013-01-30,0.63,0.64,0.63,0.64,3433500,0.64
2013-01-29,0.62,0.63,0.62,0.63,2684900,0.63
2013-01-28,0.63,0.64,0.61,0.62,2328400,0.62
2013-01-25,0.63,0.64,0.61,0.62,1968500,0.62
2013-01-24,0.64,0.66,0.62,0.63,2813000,0.63
2013-01-23,0.62,0.64,0.62,0.63,1982800,0.63
2013-01-22,0.60,0.62,0.60,0.61,1966000,0.61
2013-01-21,0.64,0.65,0.57,0.60,2799200,0.60
2013-01-18,0.68,0.69,0.64,0.64,1240400,0.64
2013-01-17,0.71,0.71,0.67,0.67,803100,0.67
2013-01-16,0.67,0.71,0.67,0.71,1678200,0.71
2013-01-15,0.65,0.69,0.63,0.67,1622300,0.67
2013-01-14,0.73,0.74,0.66,0.67,2304300,0.67
2013-01-11,0.70,0.74,0.68,0.72,4803400,0.72
2013-01-10,0.70,0.71,0.68,0.70,1464200,0.70
2013-01-09,0.72,0.72,0.68,0.70,2162500,0.70
2013-01-08,0.70,0.73,0.70,0.71,3234700,0.71
2013-01-07,0.72,0.72,0.69,0.69,1024200,0.69
2013-01-04,0.68,0.71,0.66,0.70,1695700,0.70
2013-01-03,0.68,0.69,0.66,0.68,849600,0.68
2013-01-02,0.66,0.68,0.66,0.68,1018000,0.68
2013-01-01,0.66,0.66,0.66,0.66,000,0.66
2012-12-31,0.66,0.66,0.66,0.66,000,0.66
2012-12-28,0.70,0.71,0.66,0.66,1207300,0.66
2012-12-27,0.66,0.72,0.66,0.70,1525100,0.70
2012-12-26,0.65,0.65,0.65,0.65,000,0.65
2012-12-25,0.65,0.65,0.65,0.65,000,0.65
2012-12-24,0.65,0.65,0.65,0.65,000,0.65
2012-12-21,0.60,0.67,0.58,0.65,3946400,0.65
2012-12-20,0.66,0.69,0.60,0.60,1842000,0.60
2012-12-19,0.62,0.67,0.62,0.66,1937500,0.66
2012-12-18,0.58,0.60,0.53,0.59,2135500,0.59
2012-12-17,0.67,0.67,0.54,0.57,2442000,0.57
2012-12-14,0.67,0.67,0.65,0.66,858100,0.66
2012-12-13,0.69,0.71,0.65,0.65,1487500,0.65
2012-12-12,0.71,0.72,0.69,0.69,1628000,0.69
2012-12-11,0.69,0.71,0.68,0.70,1288600,0.70
2012-12-10,0.67,0.70,0.66,0.68,1037400,0.68
2012-12-07,0.72,0.72,0.67,0.68,1165600,0.68
2012-12-06,0.68,0.73,0.68,0.71,2168000,0.71
2012-12-05,0.68,0.70,0.66,0.68,1550600,0.68
2012-12-04,0.73,0.74,0.66,0.67,2096500,0.67
2012-12-03,0.69,0.75,0.69,0.72,2535800,0.72
2012-11-30,0.67,0.70,0.66,0.69,2353600,0.69
2012-11-29,0.71,0.75,0.69,0.69,2429500,0.69
2012-11-28,0.77,0.79,0.70,0.70,2861400,0.70
2012-11-27,0.93,0.93,0.79,0.79,4749900,0.79
2012-11-26,0.92,0.94,0.89,0.90,2107900,0.90
2012-11-23,0.90,0.93,0.87,0.92,3390000,0.92
2012-11-22,0.84,0.91,0.83,0.89,3552900,0.89
2012-11-21,0.72,0.82,0.71,0.81,3446300,0.81
2012-11-20,0.81,0.83,0.77,0.79,3395100,0.79
2012-11-19,0.71,0.82,0.70,0.79,5293500,0.79
2012-11-16,0.69,0.71,0.67,0.68,2999100,0.68
2012-11-15,0.72,0.75,0.68,0.69,2229100,0.69
2012-11-14,0.75,0.76,0.72,0.74,2422700,0.74
2012-11-13,0.73,0.75,0.65,0.69,5096700,0.69
2012-11-12,0.90,0.92,0.65,0.74,4750200,0.74
2012-11-09,0.87,0.91,0.84,0.90,1546700,0.90
2012-11-08,1.00,1.00,0.87,0.87,1492700,0.87
2012-11-07,1.03,1.04,0.98,1.00,1637600,1.00
2012-11-06,0.99,1.06,0.98,1.01,2638600,1.01
2012-11-05,0.93,1.01,0.88,0.98,2508300,0.98
2012-11-02,0.80,0.94,0.79,0.90,2654200,0.90
2012-11-01,0.91,0.93,0.78,0.81,3342500,0.81
2012-10-31,0.97,1.00,0.89,0.90,3204700,0.90
2012-10-30,1.05,1.08,0.93,0.96,6096100,0.96
