Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.41,0.41,0.41,0.41,200,0.41
2013-05-22,0.41,0.41,0.41,0.41,000,0.41
2013-05-21,0.41,0.41,0.41,0.41,100,0.41
2013-05-20,0.41,0.41,0.41,0.41,000,0.41
2013-05-17,0.42,0.42,0.41,0.42,1400,0.42
2013-05-16,0.42,0.42,0.42,0.42,2200,0.42
2013-05-15,0.42,0.42,0.42,0.42,200,0.42
2013-05-14,0.43,0.43,0.43,0.43,600,0.43
2013-05-13,0.43,0.43,0.43,0.43,000,0.43
2013-05-10,0.43,0.43,0.43,0.43,100,0.43
2013-05-09,0.43,0.43,0.42,0.43,600,0.43
2013-05-08,0.44,0.44,0.43,0.43,5600,0.43
2013-05-07,0.44,0.44,0.44,0.44,000,0.44
2013-05-06,0.44,0.44,0.44,0.44,000,0.44
2013-05-03,0.44,0.44,0.44,0.44,000,0.44
2013-05-02,0.44,0.44,0.44,0.44,000,0.44
2013-05-01,0.44,0.44,0.44,0.44,000,0.44
2013-04-30,0.44,0.44,0.44,0.44,000,0.44
2013-04-29,0.44,0.44,0.44,0.44,000,0.44
2013-04-26,0.45,0.45,0.45,0.45,000,0.45
2013-04-25,0.45,0.45,0.44,0.45,2600,0.45
2013-04-24,0.45,0.45,0.45,0.45,000,0.45
2013-04-23,0.45,0.45,0.45,0.45,1900,0.45
2013-04-22,0.45,0.45,0.45,0.45,1900,0.45
2013-04-19,0.46,0.46,0.46,0.46,1100,0.46
2013-04-18,0.47,0.47,0.38,0.46,2600,0.46
2013-04-17,0.48,0.48,0.47,0.47,100,0.47
2013-04-16,0.48,0.48,0.47,0.48,500,0.48
2013-04-15,0.48,0.48,0.48,0.48,200,0.48
2013-04-12,0.49,0.49,0.49,0.49,100,0.49
2013-04-11,0.49,0.49,0.49,0.49,000,0.49
2013-04-10,0.49,0.49,0.49,0.49,000,0.49
2013-04-09,0.49,0.49,0.49,0.49,000,0.49
2013-04-08,0.49,0.49,0.49,0.49,100,0.49
2013-04-05,0.50,0.50,0.49,0.49,200,0.49
2013-04-04,0.50,0.50,0.49,0.50,100,0.50
2013-04-03,0.50,0.50,0.49,0.50,300,0.50
2013-04-02,0.51,0.51,0.50,0.50,300,0.50
2013-04-01,0.51,0.51,0.51,0.51,000,0.51
2013-03-29,0.51,0.51,0.51,0.51,000,0.51
2013-03-28,0.51,0.51,0.51,0.51,000,0.51
2013-03-27,0.52,0.52,0.50,0.51,200,0.51
2013-03-26,0.53,0.53,0.52,0.53,200,0.53
2013-03-25,0.53,0.53,0.53,0.53,000,0.53
2013-03-22,0.54,0.54,0.53,0.53,300,0.53
2013-03-21,0.54,0.54,0.53,0.54,100,0.54
2013-03-20,0.55,0.55,0.54,0.54,200,0.54
2013-03-19,0.55,0.55,0.54,0.55,600,0.55
2013-03-18,0.55,0.55,0.55,0.55,000,0.55
2013-03-15,0.51,0.61,0.51,0.55,100,0.55
2013-03-14,0.51,0.51,0.51,0.51,100,0.51
2013-03-13,0.51,0.51,0.51,0.51,100,0.51
2013-03-12,0.51,0.51,0.51,0.51,100,0.51
2013-03-11,0.51,0.51,0.51,0.51,100,0.51
2013-03-08,0.52,0.52,0.51,0.51,100,0.51
2013-03-07,0.52,0.52,0.51,0.52,100,0.52
2013-03-06,0.52,0.52,0.52,0.52,100,0.52
2013-03-05,0.52,0.52,0.52,0.52,000,0.52
2013-03-04,0.52,0.52,0.52,0.52,100,0.52
2013-03-01,0.52,0.52,0.52,0.52,100,0.52
2013-02-28,0.52,0.52,0.52,0.52,200,0.52
2013-02-27,0.52,0.52,0.52,0.52,100,0.52
2013-02-26,0.52,0.52,0.52,0.52,000,0.52
2013-02-25,0.53,0.53,0.52,0.52,1300,0.52
2013-02-22,0.53,0.53,0.53,0.53,200,0.53
2013-02-21,0.54,0.54,0.54,0.54,400,0.54
2013-02-20,0.54,0.54,0.54,0.54,100,0.54
2013-02-19,0.46,0.46,0.46,0.46,1700,0.46
2013-02-18,0.55,0.55,0.44,0.46,2200,0.46
2013-02-15,0.57,0.57,0.55,0.55,600,0.55
2013-02-14,0.57,0.57,0.57,0.57,3200,0.57
2013-02-13,0.58,0.58,0.58,0.58,100,0.58
2013-02-12,0.58,0.58,0.57,0.58,100,0.58
2013-02-11,0.58,0.58,0.58,0.58,100,0.58
2013-02-08,0.58,0.58,0.58,0.58,1100,0.58
2013-02-07,0.59,0.59,0.59,0.59,200,0.59
2013-02-06,0.60,0.60,0.58,0.59,16000,0.59
2013-02-05,0.60,0.60,0.54,0.57,200,0.57
2013-02-04,0.54,0.54,0.54,0.54,900,0.54
2013-02-01,0.54,0.54,0.54,0.54,100,0.54
2013-01-31,0.54,0.54,0.54,0.54,900,0.54
