Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.34,0.34,0.34,0.34,3000,0.34
2013-05-22,0.37,0.37,0.37,0.37,000,0.37
2013-05-21,0.35,0.37,0.35,0.37,500,0.37
2013-05-20,0.36,0.39,0.36,0.39,000,0.39
2013-05-17,0.32,0.36,0.31,0.36,2100,0.36
2013-05-16,0.33,0.35,0.30,0.35,9000,0.35
2013-05-15,0.31,0.33,0.31,0.32,11700,0.32
2013-05-14,0.29,0.31,0.29,0.31,10900,0.31
2013-05-13,0.30,0.30,0.30,0.30,400,0.30
2013-05-10,0.30,0.32,0.28,0.29,17200,0.29
2013-05-09,0.30,0.30,0.30,0.30,10000,0.30
2013-05-08,0.29,0.31,0.29,0.31,6300,0.31
2013-05-07,0.30,0.30,0.30,0.30,000,0.30
2013-05-06,0.30,0.30,0.30,0.30,000,0.30
2013-05-03,0.30,0.30,0.30,0.30,000,0.30
2013-05-02,0.29,0.30,0.29,0.30,100,0.30
2013-05-01,0.29,0.29,0.29,0.29,000,0.29
2013-04-30,0.29,0.32,0.29,0.29,900,0.29
2013-04-29,0.30,0.32,0.28,0.32,800,0.32
2013-04-26,0.31,0.31,0.31,0.31,100,0.31
2013-04-25,0.30,0.32,0.30,0.32,1600,0.32
2013-04-24,0.30,0.33,0.30,0.33,4400,0.33
2013-04-23,0.37,0.37,0.34,0.34,900,0.34
2013-04-22,0.37,0.37,0.37,0.37,200,0.37
2013-04-19,0.41,0.41,0.41,0.41,000,0.41
2013-04-18,0.41,0.41,0.41,0.41,000,0.41
2013-04-17,0.41,0.41,0.41,0.41,000,0.41
2013-04-16,0.41,0.41,0.41,0.41,000,0.41
2013-04-15,0.41,0.41,0.41,0.41,000,0.41
2013-04-12,0.41,0.41,0.41,0.41,000,0.41
2013-04-11,0.41,0.41,0.41,0.41,000,0.41
2013-04-10,0.41,0.41,0.41,0.41,000,0.41
2013-04-09,0.41,0.41,0.41,0.41,000,0.41
2013-04-08,0.41,0.41,0.41,0.41,000,0.41
2013-04-05,0.41,0.41,0.41,0.41,000,0.41
2013-04-04,0.41,0.41,0.41,0.41,000,0.41
2013-04-03,0.41,0.41,0.41,0.41,000,0.41
2013-04-02,0.41,0.41,0.41,0.41,000,0.41
2013-04-01,0.41,0.41,0.41,0.41,000,0.41
2013-03-29,0.41,0.41,0.41,0.41,000,0.41
2013-03-28,0.41,0.41,0.41,0.41,000,0.41
2013-03-27,0.41,0.41,0.41,0.41,000,0.41
2013-03-26,0.41,0.41,0.41,0.41,000,0.41
2013-03-25,0.41,0.41,0.41,0.41,000,0.41
2013-03-22,0.41,0.41,0.41,0.41,000,0.41
2013-03-21,0.41,0.41,0.41,0.41,000,0.41
2013-03-20,0.41,0.41,0.41,0.41,000,0.41
2013-03-19,0.41,0.41,0.41,0.41,000,0.41
2013-03-18,0.41,0.41,0.41,0.41,000,0.41
2013-03-15,0.41,0.41,0.41,0.41,000,0.41
2013-03-14,0.41,0.41,0.41,0.41,000,0.41
2013-03-13,0.41,0.41,0.41,0.41,000,0.41
2013-03-12,0.38,0.38,0.38,0.38,000,0.38
2013-03-11,0.38,0.38,0.38,0.38,000,0.38
2013-03-08,0.38,0.38,0.38,0.38,000,0.38
2013-03-07,0.35,0.38,0.35,0.38,300,0.38
2013-03-06,0.36,0.39,0.36,0.39,100,0.39
2013-03-05,0.40,0.40,0.40,0.40,000,0.40
2013-03-04,0.40,0.40,0.40,0.40,000,0.40
2013-03-01,0.40,0.40,0.40,0.40,000,0.40
2013-02-28,0.30,0.40,0.30,0.40,400,0.40
2013-02-27,0.40,0.40,0.40,0.40,000,0.40
2013-02-26,0.29,0.40,0.29,0.40,1000,0.40
2013-02-25,0.41,0.41,0.41,0.41,000,0.41
2013-02-22,0.41,0.41,0.41,0.41,000,0.41
2013-02-21,0.41,0.41,0.41,0.41,1000,0.41
2013-02-20,0.36,0.41,0.36,0.41,3300,0.41
2013-02-19,0.31,0.33,0.31,0.33,4300,0.33
2013-02-18,0.31,0.31,0.31,0.31,000,0.31
2013-02-15,0.43,0.43,0.43,0.43,000,0.43
2013-02-14,0.29,0.44,0.29,0.43,100,0.43
2013-02-13,0.42,0.42,0.42,0.42,000,0.42
2013-02-12,0.40,0.43,0.30,0.42,300,0.42
2013-02-11,0.43,0.43,0.43,0.43,000,0.43
2013-02-08,0.43,0.43,0.43,0.43,000,0.43
2013-02-07,0.43,0.43,0.43,0.43,000,0.43
2013-02-06,0.43,0.43,0.43,0.43,000,0.43
2013-02-05,0.43,0.43,0.43,0.43,000,0.43
2013-02-04,0.43,0.43,0.43,0.43,000,0.43
2013-02-01,0.35,0.39,0.34,0.34,2400,0.34
2013-01-31,0.34,0.34,0.34,0.34,4600,0.34
2013-01-30,0.35,0.44,0.35,0.35,1600,0.35
2013-01-29,0.34,0.44,0.34,0.35,1200,0.35
2013-01-28,0.34,0.34,0.34,0.34,200,0.34
2013-01-25,0.28,0.43,0.28,0.43,2300,0.43
2013-01-24,0.48,0.48,0.38,0.38,100,0.38
2013-01-23,0.47,0.47,0.46,0.46,100,0.46
2013-01-22,0.37,0.45,0.37,0.45,900,0.45
2013-01-21,0.40,0.42,0.40,0.41,6000,0.41
2013-01-18,0.47,0.47,0.46,0.46,200,0.46
2013-01-17,0.49,0.49,0.39,0.39,700,0.39
2013-01-16,0.38,0.43,0.38,0.38,2700,0.38
2013-01-15,0.42,0.42,0.42,0.42,1000,0.42
2013-01-14,0.45,0.45,0.42,0.43,4200,0.43
2013-01-11,0.36,0.47,0.36,0.47,7800,0.47
2013-01-10,0.49,0.54,0.32,0.44,20900,0.44
2013-01-09,0.46,0.46,0.42,0.46,6500,0.46
2013-01-08,0.48,0.48,0.43,0.46,13200,0.46
2013-01-07,0.49,0.49,0.45,0.47,2400,0.47
2013-01-04,0.46,0.50,0.46,0.50,21600,0.50
2013-01-03,0.42,0.44,0.39,0.44,3600,0.44
2013-01-02,0.42,0.42,0.40,0.41,1600,0.41
2013-01-01,0.36,0.36,0.36,0.36,000,0.36
2012-12-31,0.36,0.36,0.36,0.36,000,0.36
2012-12-28,0.36,0.39,0.28,0.36,14200,0.36
2012-12-27,0.36,0.36,0.35,0.36,2000,0.36
2012-12-26,0.36,0.36,0.36,0.36,000,0.36
2012-12-25,0.36,0.36,0.36,0.36,000,0.36
2012-12-24,0.36,0.36,0.36,0.36,000,0.36
2012-12-21,0.33,0.36,0.33,0.36,6000,0.36
2012-12-20,0.31,0.31,0.31,0.31,000,0.31
2012-12-19,0.43,0.50,0.40,0.40,200,0.40
2012-12-18,0.40,0.40,0.40,0.40,000,0.40
2012-12-17,0.38,0.40,0.35,0.40,17000,0.40
2012-12-14,0.32,0.38,0.32,0.37,15000,0.37
2012-12-13,0.36,0.36,0.34,0.34,2700,0.34
2012-12-12,0.34,0.35,0.33,0.34,3800,0.34
2012-12-11,0.39,0.39,0.33,0.34,3800,0.34
2012-12-10,0.35,0.38,0.32,0.38,7000,0.38
2012-12-07,0.41,0.41,0.41,0.41,1000,0.41
2012-12-06,0.34,0.45,0.34,0.45,000,0.45
2012-12-05,0.37,0.37,0.37,0.37,1200,0.37
2012-12-04,0.32,0.39,0.32,0.39,2400,0.39
2012-12-03,0.46,0.46,0.46,0.46,000,0.46
2012-11-30,0.48,0.48,0.48,0.48,100,0.48
2012-11-29,0.49,0.49,0.49,0.49,000,0.49
2012-11-28,0.49,0.49,0.49,0.49,300,0.49
2012-11-27,0.46,0.46,0.46,0.46,000,0.46
2012-11-26,0.47,0.47,0.39,0.46,3500,0.46
2012-11-23,0.43,0.43,0.43,0.43,500,0.43
2012-11-22,0.37,0.41,0.36,0.40,11400,0.40
2012-11-21,0.37,0.37,0.37,0.37,9900,0.37
2012-11-20,0.36,0.37,0.36,0.37,10000,0.37
2012-11-19,0.31,0.36,0.31,0.36,700,0.36
2012-11-16,0.34,0.34,0.34,0.34,000,0.34
2012-11-15,0.33,0.34,0.33,0.34,2000,0.34
2012-11-14,0.37,0.37,0.37,0.37,000,0.37
2012-11-13,0.37,0.37,0.37,0.37,000,0.37
2012-11-12,0.34,0.37,0.34,0.37,000,0.37
2012-11-09,0.34,0.34,0.34,0.34,800,0.34
2012-11-08,0.37,0.37,0.37,0.37,000,0.37
2012-11-07,0.37,0.37,0.32,0.37,2100,0.37
2012-11-06,0.35,0.35,0.35,0.35,000,0.35
2012-11-05,0.35,0.35,0.35,0.35,000,0.35
2012-11-02,0.35,0.35,0.35,0.35,100,0.35
2012-11-01,0.34,0.34,0.34,0.34,600,0.34
2012-10-31,0.37,0.37,0.37,0.37,000,0.37
2012-10-30,0.35,0.35,0.35,0.35,000,0.35
2012-10-29,0.35,0.35,0.35,0.35,100,0.35
2012-10-26,0.35,0.35,0.35,0.35,000,0.35
2012-10-25,0.35,0.35,0.35,0.35,000,0.35
2012-10-24,0.33,0.35,0.33,0.35,500,0.35
2012-10-23,0.37,0.37,0.37,0.37,1400,0.37
2012-10-22,0.37,0.37,0.37,0.37,000,0.37
2012-10-19,0.37,0.37,0.37,0.37,000,0.37
2012-10-18,0.37,0.37,0.37,0.37,000,0.37
2012-10-17,0.37,0.37,0.37,0.37,000,0.37
2012-10-16,0.37,0.37,0.37,0.37,000,0.37
2012-10-15,0.37,0.37,0.37,0.37,000,0.37
2012-10-12,0.37,0.37,0.37,0.37,000,0.37
2012-10-11,0.37,0.37,0.37,0.37,000,0.37
2012-10-10,0.37,0.37,0.37,0.37,000,0.37
2012-10-09,0.37,0.37,0.37,0.37,100,0.37
2012-10-08,0.37,0.37,0.37,0.37,000,0.37
2012-10-05,0.33,0.37,0.33,0.37,1100,0.37
2012-10-04,0.34,0.34,0.34,0.34,000,0.34
2012-10-03,0.34,0.34,0.34,0.34,000,0.34
2012-10-02,0.34,0.34,0.34,0.34,000,0.34
2012-10-01,0.34,0.34,0.34,0.34,000,0.34
2012-09-28,0.34,0.34,0.34,0.34,000,0.34
2012-09-27,0.34,0.34,0.34,0.34,000,0.34
2012-09-26,0.34,0.34,0.34,0.34,000,0.34
2012-09-25,0.34,0.34,0.34,0.34,000,0.34
2012-09-24,0.34,0.34,0.34,0.34,000,0.34
2012-09-21,0.31,0.34,0.31,0.34,500,0.34
2012-09-20,0.34,0.34,0.34,0.34,1500,0.34
2012-09-19,0.34,0.34,0.34,0.34,000,0.34
2012-09-18,0.34,0.34,0.34,0.34,000,0.34
2012-09-17,0.34,0.34,0.34,0.34,000,0.34
2012-09-14,0.34,0.34,0.33,0.34,1900,0.34
2012-09-13,0.34,0.34,0.34,0.34,000,0.34
2012-09-12,0.34,0.34,0.34,0.34,000,0.34
2012-09-11,0.33,0.33,0.33,0.33,000,0.33
2012-09-10,0.33,0.33,0.33,0.33,1100,0.33
2012-09-07,0.33,0.33,0.33,0.33,000,0.33
2012-09-06,0.33,0.33,0.33,0.33,000,0.33
2012-09-05,0.32,0.32,0.32,0.32,000,0.32
2012-09-04,0.31,0.31,0.31,0.31,2300,0.31
2012-09-03,0.34,0.34,0.34,0.34,000,0.34
2012-08-31,0.34,0.34,0.34,0.34,000,0.34
2012-08-30,0.34,0.34,0.34,0.34,000,0.34
2012-08-29,0.34,0.34,0.34,0.34,000,0.34
2012-08-28,0.34,0.34,0.34,0.34,000,0.34
2012-08-27,0.34,0.34,0.34,0.34,000,0.34
2012-08-24,0.34,0.34,0.34,0.34,000,0.34
2012-08-23,0.34,0.34,0.34,0.34,000,0.34
2012-08-22,0.31,0.34,0.31,0.34,000,0.34
2012-08-21,0.34,0.34,0.34,0.34,000,0.34
2012-08-20,0.34,0.34,0.34,0.34,000,0.34
2012-08-17,0.34,0.34,0.34,0.34,000,0.34
2012-08-16,0.34,0.34,0.34,0.34,000,0.34
2012-08-15,0.34,0.34,0.34,0.34,000,0.34
2012-08-14,0.34,0.34,0.34,0.34,000,0.34
2012-08-13,0.34,0.34,0.34,0.34,500,0.34
2012-08-10,0.30,0.32,0.30,0.32,100,0.32
2012-08-09,0.34,0.34,0.31,0.33,2300,0.33
2012-08-08,0.34,0.34,0.34,0.34,000,0.34
2012-08-07,0.34,0.34,0.34,0.34,000,0.34
