Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,6.26,6.43,6.20,6.20,561100,6.20
2013-05-22,6.53,6.66,6.31,6.42,260600,6.42
2013-05-21,6.60,6.60,6.24,6.53,343500,6.53
2013-05-20,6.94,6.94,6.50,6.68,297700,6.68
2013-05-17,6.80,6.97,6.56,6.89,339500,6.89
2013-05-16,6.79,6.79,6.60,6.79,218100,6.79
2013-05-15,6.50,6.73,6.50,6.73,437500,6.73
2013-05-14,6.50,6.57,6.29,6.34,307600,6.34
2013-05-13,6.02,6.42,6.02,6.42,402200,6.42
2013-05-10,5.99,6.11,5.82,5.90,379000,5.90
2013-05-09,5.55,6.00,5.48,5.99,547800,5.99
2013-05-08,5.25,5.61,5.23,5.52,576100,5.52
2013-05-07,5.15,5.15,5.15,5.15,000,5.15
2013-05-06,5.15,5.15,5.15,5.15,000,5.15
2013-05-03,5.15,5.15,5.15,5.15,000,5.15
2013-05-02,5.09,5.25,4.99,5.15,292300,5.15
2013-05-01,5.09,5.09,5.09,5.09,000,5.09
2013-04-30,4.97,5.10,4.94,5.09,211000,5.09
2013-04-29,5.09,5.16,4.96,5.01,116000,5.01
2013-04-26,5.24,5.26,4.98,5.09,182200,5.09
2013-04-25,5.10,5.20,5.07,5.20,986300,5.20
2013-04-24,4.90,5.09,4.90,5.06,711400,5.06
2013-04-23,4.98,5.04,4.87,4.87,73000,4.87
2013-04-22,5.04,5.11,4.97,5.00,954600,5.00
2013-04-19,5.00,5.10,4.96,4.96,321200,4.96
2013-04-18,4.87,5.11,4.87,5.03,434600,5.03
2013-04-17,4.55,4.94,4.55,4.92,233600,4.92
2013-04-16,4.40,4.58,4.39,4.55,92500,4.55
2013-04-15,4.45,4.56,4.40,4.43,371100,4.43
2013-04-12,4.55,4.59,4.38,4.50,183700,4.50
2013-04-11,4.39,4.56,4.29,4.51,300100,4.51
2013-04-10,4.20,4.41,4.15,4.40,283700,4.40
2013-04-09,3.90,4.19,3.90,4.15,262000,4.15
2013-04-08,3.75,3.92,3.75,3.88,356900,3.88
2013-04-05,3.98,4.02,3.77,3.78,374900,3.78
2013-04-04,3.78,4.03,3.78,3.98,223000,3.98
2013-04-03,3.78,3.90,3.78,3.78,195800,3.78
2013-04-02,3.99,3.99,3.77,3.78,380600,3.78
2013-04-01,3.93,3.93,3.93,3.93,000,3.93
2013-03-29,3.93,3.93,3.93,3.93,000,3.93
2013-03-28,4.08,4.13,3.93,3.93,188700,3.93
