Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,5.82,5.84,5.77,5.84,1600,5.84
2013-05-22,5.81,5.81,5.77,5.78,6700,5.78
2013-05-21,5.95,5.95,5.73,5.73,11000,5.73
2013-05-20,6.00,6.15,5.86,5.92,9800,5.92
2013-05-17,6.00,6.15,5.97,6.07,4900,6.07
2013-05-16,6.00,6.00,5.98,5.99,4200,5.99
2013-05-15,5.94,6.07,5.94,6.07,16600,6.07
2013-05-14,5.87,5.93,5.83,5.90,10900,5.90
2013-05-13,5.75,5.97,5.73,5.86,16100,5.86
2013-05-10,6.12,6.15,5.75,5.75,39800,5.75
2013-05-09,6.09,6.10,6.01,6.01,14700,6.01
2013-05-08,5.97,6.10,5.90,6.10,27100,6.10
2013-05-07,5.89,5.89,5.89,5.89,000,5.89
2013-05-06,5.89,5.89,5.89,5.89,000,5.89
2013-05-03,5.89,5.89,5.89,5.89,000,5.89
2013-05-02,5.90,5.95,5.85,5.89,2400,5.89
2013-05-01,5.87,5.87,5.87,5.87,000,5.87
2013-04-30,5.90,5.97,5.76,5.87,5400,5.87
2013-04-29,5.95,5.96,5.85,5.85,500,5.85
2013-04-26,5.90,5.90,5.83,5.83,900,5.83
2013-04-25,5.92,6.01,5.85,5.99,23600,5.99
2013-04-24,5.80,5.97,5.76,5.97,10400,5.97
2013-04-23,5.97,5.97,5.75,5.76,44800,5.76
2013-04-22,5.95,5.97,5.90,5.97,5400,5.97
2013-04-19,5.89,5.93,5.80,5.89,10600,5.89
2013-04-18,5.87,5.91,5.70,5.75,13900,5.75
2013-04-17,5.85,5.85,5.75,5.85,10700,5.85
2013-04-16,5.56,5.80,5.56,5.80,2200,5.80
2013-04-15,5.70,5.81,5.48,5.81,5300,5.81
2013-04-12,5.43,5.64,5.43,5.64,500,5.64
2013-04-11,5.46,5.62,5.30,5.55,10800,5.55
2013-04-10,5.43,5.55,5.29,5.39,11900,5.39
2013-04-09,5.06,5.50,5.04,5.37,30500,5.37
2013-04-08,4.88,5.07,4.73,5.02,13900,5.02
2013-04-05,5.10,5.10,4.91,5.04,1500,5.04
2013-04-04,5.12,5.19,4.91,5.19,24600,5.19
2013-04-03,4.85,5.06,4.82,5.06,28400,5.06
2013-04-02,5.11,5.12,4.77,4.83,21800,4.83
2013-04-01,5.09,5.09,5.09,5.09,000,5.09
2013-03-29,5.09,5.09,5.09,5.09,000,5.09
2013-03-28,5.03,5.10,4.90,5.09,11100,5.09
2013-03-27,5.28,5.28,4.90,5.06,12000,5.06
2013-03-26,5.32,5.32,5.27,5.28,3300,5.28
2013-03-25,5.59,5.59,5.59,5.59,000,5.59
2013-03-22,5.34,5.65,5.31,5.59,1800,5.59
2013-03-21,5.55,5.55,5.36,5.49,1500,5.49
2013-03-20,5.41,5.64,5.40,5.56,5500,5.56
2013-03-19,5.78,6.02,5.43,5.64,11900,5.64
2013-03-18,5.94,5.94,5.94,5.94,000,5.94
2013-03-15,5.87,5.94,5.85,5.94,200,5.94
2013-03-14,5.91,6.01,5.87,5.95,6100,5.95
2013-03-13,5.85,6.05,5.82,6.04,7100,6.04
2013-03-12,6.08,6.08,5.87,5.87,3900,5.87
2013-03-11,5.99,6.10,5.90,6.02,9700,6.02
2013-03-08,5.95,6.05,5.90,6.04,8200,6.04
2013-03-07,6.16,6.16,5.90,5.95,14500,5.95
2013-03-06,5.89,6.14,5.87,6.06,8000,6.06
2013-03-05,5.92,6.00,5.92,6.00,8000,6.00
2013-03-04,6.00,6.06,5.87,5.90,15500,5.90
2013-03-01,6.14,6.15,5.90,6.09,14400,6.09
2013-02-28,6.03,6.13,6.00,6.11,16300,6.11
2013-02-27,6.09,6.15,5.95,5.99,5000,5.99
2013-02-26,5.92,6.14,5.92,6.07,19200,6.07
2013-02-25,6.19,6.19,6.05,6.14,19300,6.14
2013-02-22,6.25,6.25,6.10,6.13,9100,6.13
2013-02-21,6.00,6.31,6.00,6.26,96500,6.26
2013-02-20,6.10,6.22,6.09,6.22,25700,6.22
2013-02-19,6.01,6.09,5.99,6.09,13300,6.09
2013-02-18,6.20,6.20,6.03,6.04,11900,6.04
2013-02-15,6.26,6.26,6.07,6.20,14300,6.20
2013-02-14,6.02,6.30,6.00,6.19,62300,6.19
2013-02-13,5.90,6.02,5.85,6.01,9300,6.01
2013-02-12,5.93,6.01,5.85,5.95,13100,5.95
2013-02-11,6.02,6.02,5.89,5.93,9100,5.93
2013-02-08,5.99,6.08,5.98,6.00,2800,6.00
2013-02-07,6.12,6.16,6.00,6.09,10700,6.09
2013-02-06,6.05,6.19,6.02,6.17,15100,6.17
2013-02-05,5.99,6.13,5.90,6.05,2200,6.05
2013-02-04,6.03,6.04,5.86,6.00,2500,6.00
2013-02-01,6.09,6.09,5.90,6.00,2100,6.00
2013-01-31,6.10,6.10,5.82,6.09,18200,6.09
2013-01-30,6.50,6.50,6.20,6.20,9900,6.20
2013-01-29,6.50,6.50,6.25,6.42,21000,6.42
2013-01-28,6.59,6.63,6.46,6.50,13400,6.50
2013-01-25,6.75,6.82,6.59,6.64,20100,6.64
2013-01-24,6.80,6.80,6.42,6.75,65200,6.75
2013-01-23,6.47,6.75,6.37,6.73,96400,6.73
2013-01-22,6.00,6.39,6.00,6.29,43400,6.29
2013-01-21,6.07,6.16,6.00,6.00,28500,6.00
2013-01-18,5.77,6.03,5.75,6.01,5300,6.01
2013-01-17,5.86,5.88,5.79,5.84,6500,5.84
2013-01-16,5.97,6.00,5.86,5.86,14900,5.86
2013-01-15,5.98,6.00,5.82,6.00,17700,6.00
2013-01-14,6.09,6.12,5.98,5.98,22200,5.98
2013-01-11,6.15,6.15,5.97,6.12,19200,6.12
2013-01-10,6.15,6.15,6.04,6.11,5600,6.11
2013-01-09,6.16,6.16,6.00,6.15,29500,6.15
2013-01-08,6.11,6.21,6.01,6.19,43100,6.19
2013-01-07,6.01,6.17,6.00,6.15,23100,6.15
2013-01-04,6.17,6.17,6.00,6.07,24400,6.07
2013-01-03,6.01,6.12,6.01,6.11,2100,6.11
2013-01-02,6.05,6.13,5.99,6.13,9400,6.13
2013-01-01,6.15,6.15,6.15,6.15,000,6.15
2012-12-31,6.15,6.15,6.15,6.15,000,6.15
2012-12-28,6.00,6.15,5.85,6.15,18800,6.15
2012-12-27,5.90,6.15,5.90,6.15,22300,6.15
2012-12-26,5.90,5.90,5.90,5.90,000,5.90
2012-12-25,5.90,5.90,5.90,5.90,000,5.90
2012-12-24,5.90,5.90,5.90,5.90,000,5.90
2012-12-21,5.68,5.90,5.67,5.90,13800,5.90
2012-12-20,5.78,5.78,5.45,5.60,4300,5.60
2012-12-19,5.37,5.55,5.37,5.55,14900,5.55
2012-12-18,5.38,5.38,5.19,5.30,1800,5.30
2012-12-17,5.07,5.29,5.05,5.28,13200,5.28
2012-12-14,5.03,5.22,5.00,5.20,6000,5.20
2012-12-13,5.20,5.20,5.19,5.19,300,5.19
2012-12-12,5.20,5.20,5.10,5.20,9100,5.20
2012-12-11,4.97,5.14,4.97,5.14,8100,5.14
2012-12-10,4.91,4.97,4.82,4.97,3000,4.97
2012-12-07,4.91,4.92,4.87,4.92,1500,4.92
2012-12-06,4.92,4.94,4.83,4.91,5000,4.91
2012-12-05,4.81,4.92,4.80,4.90,4000,4.90
2012-12-04,4.92,4.96,4.86,4.91,2400,4.91
2012-12-03,4.85,4.91,4.85,4.91,2800,4.91
2012-11-30,4.89,4.89,4.89,4.89,000,4.89
2012-11-29,4.76,4.90,4.71,4.89,4900,4.89
2012-11-28,4.77,4.88,4.77,4.88,16300,4.88
2012-11-27,4.86,4.94,4.68,4.87,4900,4.87
2012-11-26,4.78,4.88,4.76,4.86,5200,4.86
2012-11-23,4.71,4.75,4.68,4.75,3100,4.75
2012-11-22,4.79,4.83,4.74,4.80,5600,4.80
2012-11-21,4.53,4.74,4.53,4.72,17300,4.72
2012-11-20,4.51,4.59,4.49,4.55,5300,4.55
2012-11-19,4.55,4.57,4.46,4.51,10800,4.51
2012-11-16,4.39,4.47,4.39,4.46,8100,4.46
2012-11-15,4.20,4.39,4.20,4.36,10500,4.36
2012-11-14,4.20,4.27,4.18,4.24,5000,4.24
2012-11-13,4.14,4.21,4.04,4.20,1900,4.20
2012-11-12,4.34,4.34,4.08,4.13,17300,4.13
2012-11-09,4.32,4.32,4.20,4.25,1000,4.25
2012-11-08,4.28,4.37,4.18,4.20,17600,4.20
2012-11-07,4.25,4.38,4.22,4.38,2600,4.38
2012-11-06,4.30,4.40,4.30,4.37,9500,4.37
2012-11-05,4.12,4.29,4.12,4.29,7000,4.29
2012-11-02,4.10,4.23,3.94,4.08,11700,4.08
2012-11-01,4.18,4.18,4.02,4.12,4200,4.12
2012-10-31,4.41,4.41,4.12,4.34,6200,4.34
2012-10-30,4.47,4.47,4.08,4.34,7700,4.34
2012-10-29,4.54,4.54,4.28,4.28,8600,4.28
2012-10-26,4.37,4.60,4.37,4.60,1100,4.60
2012-10-25,4.55,4.55,4.45,4.50,900,4.50
2012-10-24,4.39,4.50,4.39,4.50,9000,4.50
2012-10-23,4.59,4.59,4.45,4.50,18700,4.50
2012-10-22,4.41,4.57,4.35,4.55,23900,4.55
2012-10-19,4.40,4.52,4.40,4.50,17100,4.50
2012-10-18,4.44,4.55,4.44,4.50,9800,4.50
2012-10-17,4.40,4.49,4.34,4.48,7600,4.48
2012-10-16,4.31,4.46,4.30,4.46,10100,4.46
2012-10-15,4.46,4.46,4.46,4.46,000,4.46
2012-10-12,4.56,4.56,4.38,4.50,9600,4.50
2012-10-11,4.26,4.46,4.26,4.46,10800,4.46
2012-10-10,4.32,4.50,4.26,4.50,4900,4.50
2012-10-09,4.59,4.59,4.41,4.56,16900,4.56
2012-10-08,4.25,4.60,4.25,4.56,18900,4.56
2012-10-05,4.44,4.50,4.32,4.40,22500,4.40
2012-10-04,4.32,4.44,4.20,4.32,21000,4.32
2012-10-03,4.27,4.50,4.18,4.28,24600,4.28
2012-10-02,4.06,4.34,4.00,4.25,30200,4.25
2012-10-01,3.99,4.09,3.96,4.06,10800,4.06
2012-09-28,3.92,4.00,3.90,3.95,2100,3.95
2012-09-27,3.99,3.99,3.98,3.98,400,3.98
2012-09-26,4.00,4.08,4.00,4.03,8400,4.03
2012-09-25,4.10,4.10,3.97,4.04,5300,4.04
2012-09-24,4.15,4.18,4.01,4.05,12700,4.05
2012-09-21,4.19,4.22,4.13,4.20,8500,4.20
2012-09-20,4.03,4.28,4.01,4.18,10300,4.18
2012-09-19,4.07,4.08,4.00,4.03,11700,4.03
2012-09-18,3.90,4.06,3.90,4.05,8600,4.05
2012-09-17,4.02,4.05,3.98,4.05,1200,4.05
2012-09-14,4.10,4.18,3.99,4.01,5000,4.01
2012-09-13,4.30,4.30,4.02,4.14,4300,4.14
2012-09-12,4.32,4.32,4.15,4.19,9500,4.19
2012-09-11,4.20,4.29,4.07,4.29,8900,4.29
2012-09-10,4.09,4.23,4.09,4.23,26600,4.23
2012-09-07,4.05,4.15,4.00,4.06,20700,4.06
