Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,5.92,6.07,5.85,5.94,10000,5.94
2013-05-22,5.90,6.04,5.86,5.98,14200,5.98
2013-05-21,5.90,6.06,5.83,5.98,20800,5.98
2013-05-20,6.00,6.07,5.86,6.01,33500,6.01
2013-05-17,6.01,6.05,5.92,6.01,46400,6.01
2013-05-16,6.11,6.11,5.97,6.05,35900,6.05
2013-05-15,5.99,6.17,5.91,6.12,124800,6.12
2013-05-14,6.00,6.00,5.84,5.87,18500,5.87
2013-05-13,5.86,6.00,5.82,6.00,14500,6.00
2013-05-10,6.09,6.09,5.83,5.86,14800,5.86
2013-05-09,6.02,6.10,5.95,6.01,21500,6.01
2013-05-08,5.89,6.08,5.89,6.02,45500,6.02
2013-05-07,5.89,5.89,5.89,5.89,000,5.89
2013-05-06,5.89,5.89,5.89,5.89,000,5.89
2013-05-03,5.89,5.89,5.89,5.89,000,5.89
2013-05-02,5.68,5.90,5.68,5.89,35300,5.89
2013-05-01,5.69,5.69,5.69,5.69,000,5.69
2013-04-30,5.44,5.71,5.44,5.69,10200,5.69
2013-04-29,5.47,5.68,5.47,5.60,2500,5.60
2013-04-26,5.66,5.70,5.51,5.55,11400,5.55
2013-04-25,5.65,5.74,5.56,5.68,29300,5.68
2013-04-24,5.53,5.73,5.53,5.66,11800,5.66
2013-04-23,5.48,5.77,5.48,5.66,90200,5.66
2013-04-22,5.57,5.82,5.57,5.80,12100,5.80
2013-04-19,5.65,5.75,5.52,5.74,23600,5.74
2013-04-18,5.56,5.71,5.55,5.65,21200,5.65
2013-04-17,5.39,5.58,5.23,5.57,13600,5.57
2013-04-16,5.20,5.39,5.08,5.39,23800,5.39
2013-04-15,5.10,5.24,5.05,5.19,32600,5.19
2013-04-12,5.16,5.19,5.03,5.10,14100,5.10
2013-04-11,5.20,5.20,5.09,5.16,37200,5.16
2013-04-10,5.06,5.19,5.00,5.15,26200,5.15
2013-04-09,4.78,5.08,4.77,5.06,14300,5.06
2013-04-08,4.66,4.84,4.65,4.79,32900,4.79
2013-04-05,4.95,4.95,4.80,4.87,4400,4.87
2013-04-04,4.90,4.96,4.80,4.96,8100,4.96
2013-04-03,4.86,4.95,4.70,4.82,23600,4.82
2013-04-02,4.99,4.99,4.79,4.86,38100,4.86
2013-04-01,5.00,5.00,5.00,5.00,000,5.00
2013-03-29,5.00,5.00,5.00,5.00,000,5.00
2013-03-28,5.05,5.09,4.92,5.00,22100,5.00
2013-03-27,5.13,5.28,4.83,4.99,61000,4.99
2013-03-26,5.24,5.35,5.20,5.30,11700,5.30
2013-03-25,5.40,5.40,5.40,5.40,000,5.40
2013-03-22,5.30,5.48,5.20,5.40,28700,5.40
2013-03-21,5.48,5.55,5.22,5.40,24600,5.40
2013-03-20,5.50,5.55,5.40,5.50,23300,5.50
2013-03-19,5.66,5.84,5.30,5.58,49000,5.58
2013-03-18,5.80,5.80,5.80,5.80,000,5.80
2013-03-15,5.92,5.95,5.80,5.80,11900,5.80
2013-03-14,5.96,5.96,5.80,5.92,13800,5.92
2013-03-13,5.75,5.96,5.70,5.96,40600,5.96
2013-03-12,5.70,5.80,5.56,5.75,15700,5.75
2013-03-11,5.64,5.70,5.60,5.70,23900,5.70
2013-03-08,5.63,5.78,5.63,5.77,15900,5.77
2013-03-07,5.81,5.84,5.70,5.70,34700,5.70
2013-03-06,5.83,5.93,5.75,5.84,18200,5.84
2013-03-05,5.70,5.83,5.70,5.74,20900,5.74
2013-03-04,5.85,5.97,5.72,5.73,39500,5.73
2013-03-01,6.05,6.05,5.85,5.99,7100,5.99
2013-02-28,5.81,6.05,5.81,6.05,50100,6.05
2013-02-27,5.90,5.97,5.81,5.81,14700,5.81
2013-02-26,5.83,5.97,5.80,5.90,32700,5.90
2013-02-25,6.03,6.06,5.92,5.99,56400,5.99
