Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,16.30,16.40,15.83,16.06,26500,16.06
2013-05-22,16.50,16.60,16.10,16.50,33500,16.50
2013-05-21,16.00,16.55,15.98,16.50,85100,16.50
2013-05-20,16.00,16.00,15.53,16.00,25200,16.00
2013-05-17,16.00,16.00,15.60,16.00,117400,16.00
2013-05-16,16.30,16.30,15.53,16.00,65000,16.00
2013-05-15,15.88,16.50,15.80,16.45,75200,16.45
2013-05-14,15.75,16.00,15.58,15.88,35300,15.88
2013-05-13,15.76,15.76,15.50,15.75,25400,15.75
2013-05-10,15.90,15.95,15.50,15.85,129600,15.85
2013-05-09,15.90,15.99,15.72,15.90,27400,15.90
2013-05-08,16.00,16.00,15.68,15.90,62600,15.90
2013-05-07,16.00,16.00,16.00,16.00,000,16.00
2013-05-06,16.00,16.00,16.00,16.00,000,16.00
2013-05-03,16.00,16.00,16.00,16.00,000,16.00
2013-05-02,15.72,16.48,15.67,16.00,20400,16.00
2013-05-01,15.88,15.88,15.88,15.88,000,15.88
2013-04-30,16.00,16.20,15.50,15.88,27500,15.88
2013-04-29,16.20,16.20,15.51,15.80,30600,15.80
2013-04-26,16.50,16.52,15.90,16.20,60700,16.20
2013-04-25,15.95,16.49,15.56,16.48,228000,16.48
2013-04-24,15.40,15.80,15.30,15.80,55300,15.80
2013-04-23,14.75,15.05,14.75,15.05,536300,15.05
2013-04-22,13.80,14.50,13.80,14.50,57600,14.50
2013-04-19,13.70,14.18,13.70,13.85,38700,13.85
2013-04-18,13.75,14.19,13.59,13.70,201600,13.70
2013-04-17,13.85,13.92,13.42,13.65,28300,13.65
2013-04-16,13.92,14.24,13.36,13.50,35600,13.50
2013-04-15,13.90,14.24,13.51,13.69,43200,13.69
2013-04-12,13.90,14.20,13.60,13.90,22700,13.90
2013-04-11,13.30,14.00,13.13,13.90,27800,13.90
2013-04-10,13.00,13.48,12.90,13.40,42000,13.40
2013-04-09,12.29,12.94,12.21,12.73,24100,12.73
2013-04-08,12.30,12.30,11.51,12.20,68400,12.20
2013-04-05,12.61,12.92,12.30,12.30,35000,12.30
2013-04-04,13.09,13.09,12.30,12.61,29500,12.61
2013-04-03,13.60,13.78,12.90,12.90,31000,12.90
2013-04-02,13.24,13.65,12.90,13.65,61000,13.65
2013-04-01,13.24,13.24,13.24,13.24,000,13.24
