Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.59,0.61,0.57,0.60,1000,0.60
2013-05-22,0.58,0.64,0.58,0.62,3300,0.62
2013-05-21,0.58,0.65,0.58,0.65,200,0.65
2013-05-20,0.61,0.62,0.57,0.62,1000,0.62
2013-05-17,0.58,0.61,0.58,0.61,1500,0.61
2013-05-16,0.61,0.65,0.59,0.61,2700,0.61
2013-05-15,0.63,0.65,0.63,0.64,5200,0.64
2013-05-14,0.63,0.65,0.61,0.61,2100,0.61
2013-05-13,0.61,0.63,0.56,0.62,2200,0.62
2013-05-10,0.60,0.60,0.60,0.60,100,0.60
2013-05-09,0.60,0.60,0.60,0.60,1300,0.60
2013-05-08,0.60,0.62,0.60,0.60,7300,0.60
2013-05-07,0.60,0.60,0.60,0.60,000,0.60
2013-05-06,0.60,0.60,0.60,0.60,000,0.60
2013-05-03,0.60,0.60,0.60,0.60,000,0.60
2013-05-02,0.60,0.60,0.59,0.60,2500,0.60
2013-05-01,0.60,0.60,0.60,0.60,000,0.60
2013-04-30,0.58,0.60,0.58,0.60,800,0.60
2013-04-29,0.60,0.60,0.60,0.60,1200,0.60
2013-04-26,0.61,0.64,0.61,0.61,2700,0.61
2013-04-25,0.63,0.63,0.63,0.63,000,0.63
2013-04-24,0.60,0.63,0.60,0.63,3100,0.63
2013-04-23,0.63,0.63,0.60,0.60,200,0.60
2013-04-22,0.60,0.61,0.60,0.61,200,0.61
2013-04-19,0.62,0.62,0.62,0.62,2500,0.62
2013-04-18,0.60,0.62,0.58,0.60,5400,0.60
2013-04-17,0.60,0.60,0.58,0.60,4500,0.60
2013-04-16,0.60,0.60,0.60,0.60,000,0.60
2013-04-15,0.62,0.62,0.60,0.60,500,0.60
2013-04-12,0.60,0.63,0.60,0.63,600,0.63
2013-04-11,0.60,0.67,0.60,0.67,2500,0.67
2013-04-10,0.66,0.66,0.66,0.66,000,0.66
2013-04-09,0.64,0.66,0.64,0.66,1100,0.66
2013-04-08,0.67,0.67,0.67,0.67,000,0.67
2013-04-05,0.67,0.67,0.67,0.67,000,0.67
2013-04-04,0.67,0.67,0.67,0.67,000,0.67
2013-04-03,0.67,0.67,0.67,0.67,000,0.67
2013-04-02,0.67,0.67,0.67,0.67,000,0.67
2013-04-01,0.67,0.67,0.67,0.67,000,0.67
2013-03-29,0.67,0.67,0.67,0.67,000,0.67
2013-03-28,0.67,0.67,0.67,0.67,000,0.67
2013-03-27,0.61,0.67,0.61,0.67,100,0.67
2013-03-26,0.68,0.68,0.68,0.68,000,0.68
2013-03-25,0.68,0.68,0.68,0.68,000,0.68
2013-03-22,0.61,0.68,0.61,0.68,2400,0.68
2013-03-21,0.66,0.66,0.66,0.66,000,0.66
2013-03-20,0.62,0.66,0.62,0.66,1800,0.66
2013-03-19,0.68,0.68,0.68,0.68,000,0.68
2013-03-18,0.68,0.68,0.68,0.68,000,0.68
2013-03-15,0.58,0.68,0.58,0.68,12300,0.68
2013-03-14,0.58,0.64,0.58,0.64,100,0.64
2013-03-13,0.60,0.64,0.57,0.64,2700,0.64
2013-03-12,0.63,0.63,0.63,0.63,000,0.63
2013-03-11,0.60,0.63,0.60,0.63,8600,0.63
2013-03-08,0.66,0.66,0.66,0.66,1600,0.66
2013-03-07,0.67,0.67,0.67,0.67,1200,0.67
2013-03-06,0.67,0.67,0.67,0.67,000,0.67
2013-03-05,0.64,0.67,0.64,0.67,600,0.67
2013-03-04,0.64,0.67,0.64,0.67,700,0.67
