Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,4.16,4.16,4.16,4.16,000,4.16
2013-05-22,4.16,4.16,4.16,4.16,000,4.16
2013-05-21,4.16,4.16,4.16,4.16,000,4.16
2013-05-20,4.50,4.50,4.00,4.16,1500,4.16
2013-05-17,4.71,4.71,4.71,4.71,100,4.71
2013-05-16,4.71,4.71,4.71,4.71,100,4.71
2013-05-15,4.65,4.99,4.65,4.93,1900,4.93
2013-05-14,5.00,5.00,5.00,5.00,2200,5.00
2013-05-13,4.40,5.00,4.40,4.68,1000,4.68
2013-05-10,4.30,4.30,4.30,4.30,000,4.30
2013-05-09,4.10,4.35,4.10,4.30,100,4.30
2013-05-08,4.10,4.10,4.10,4.10,100,4.10
2013-05-07,4.03,4.03,4.03,4.03,000,4.03
2013-05-06,4.03,4.03,4.03,4.03,000,4.03
2013-05-03,4.03,4.03,4.03,4.03,000,4.03
2013-05-02,4.02,4.29,4.02,4.03,300,4.03
2013-05-01,4.10,4.10,4.10,4.10,000,4.10
2013-04-30,4.10,4.10,4.10,4.10,000,4.10
2013-04-29,4.10,4.11,4.10,4.10,1100,4.10
2013-04-26,3.85,3.85,3.85,3.85,300,3.85
2013-04-25,3.96,3.96,3.96,3.96,000,3.96
2013-04-24,3.95,3.96,3.95,3.96,1400,3.96
2013-04-23,3.61,3.74,3.61,3.70,1400,3.70
2013-04-22,3.50,3.50,3.50,3.50,2900,3.50
2013-04-19,3.13,3.13,3.13,3.13,000,3.13
2013-04-18,3.13,3.13,3.13,3.13,400,3.13
2013-04-17,3.12,3.12,3.12,3.12,300,3.12
2013-04-16,3.12,3.12,3.12,3.12,500,3.12
2013-04-15,3.00,3.10,3.00,3.00,600,3.00
2013-04-12,3.00,3.00,3.00,3.00,1500,3.00
2013-04-11,3.00,3.00,3.00,3.00,000,3.00
2013-04-10,3.00,3.00,3.00,3.00,300,3.00
2013-04-09,2.98,2.98,2.98,2.98,000,2.98
2013-04-08,2.98,2.98,2.98,2.98,800,2.98
2013-04-05,2.85,2.95,2.85,2.94,3200,2.94
2013-04-04,3.00,3.00,2.95,3.00,3200,3.00
2013-04-03,2.99,2.99,2.99,2.99,2500,2.99
2013-04-02,2.94,2.94,2.94,2.94,000,2.94
2013-04-01,2.94,2.94,2.94,2.94,000,2.94
2013-03-29,2.94,2.94,2.94,2.94,000,2.94
2013-03-28,2.94,2.94,2.94,2.94,000,2.94
2013-03-27,2.94,2.94,2.94,2.94,000,2.94
2013-03-26,2.94,2.94,2.94,2.94,000,2.94
2013-03-25,2.94,2.94,2.94,2.94,000,2.94
2013-03-22,2.94,2.94,2.94,2.94,000,2.94
2013-03-21,2.94,2.94,2.94,2.94,000,2.94
2013-03-20,2.94,2.94,2.94,2.94,000,2.94
2013-03-19,2.94,2.94,2.94,2.94,000,2.94
2013-03-18,2.94,2.94,2.94,2.94,000,2.94
2013-03-15,2.94,2.94,2.94,2.94,000,2.94
2013-03-14,2.94,2.94,2.94,2.94,000,2.94
2013-03-13,2.94,2.94,2.94,2.94,400,2.94
2013-03-12,2.45,2.45,2.45,2.45,300,2.45
2013-03-11,2.50,2.50,2.50,2.50,1000,2.50
2013-03-08,2.40,2.40,2.40,2.40,000,2.40
2013-03-07,2.39,2.40,2.39,2.40,800,2.40
2013-03-06,2.43,2.45,2.43,2.44,1200,2.44
2013-03-05,2.40,2.40,2.40,2.40,1100,2.40
2013-03-04,2.50,2.50,2.39,2.41,3200,2.41
2013-03-01,2.70,2.70,2.70,2.70,000,2.70
2013-02-28,2.70,2.70,2.70,2.70,000,2.70
2013-02-27,2.70,2.70,2.70,2.70,000,2.70
2013-02-26,2.70,2.70,2.70,2.70,300,2.70
2013-02-25,2.88,2.88,2.88,2.88,100,2.88
2013-02-22,3.00,3.00,3.00,3.00,000,3.00
2013-02-21,2.85,2.85,2.85,2.85,000,2.85
2013-02-20,2.85,2.85,2.85,2.85,000,2.85
2013-02-19,2.85,2.85,2.85,2.85,000,2.85
2013-02-18,2.85,2.85,2.85,2.85,1100,2.85
2013-02-15,2.90,2.90,2.90,2.90,100,2.90
2013-02-14,3.10,3.10,3.10,3.10,000,3.10
2013-02-13,3.10,3.10,3.10,3.10,000,3.10
2013-02-12,3.10,3.10,3.10,3.10,000,3.10
2013-02-11,3.10,3.10,3.10,3.10,000,3.10
2013-02-08,3.10,3.10,3.10,3.10,500,3.10
2013-02-07,3.05,3.05,3.05,3.05,000,3.05
2013-02-06,3.24,3.24,3.24,3.24,700,3.24
2013-02-05,3.24,3.24,3.24,3.24,000,3.24
2013-02-04,3.24,3.24,3.24,3.24,000,3.24
2013-02-01,2.90,2.90,2.90,2.90,000,2.90
2013-01-31,2.90,2.90,2.90,2.90,500,2.90
2013-01-30,3.00,3.10,3.00,3.03,500,3.03
2013-01-29,3.10,3.10,3.10,3.10,000,3.10
2013-01-28,3.16,3.16,3.16,3.16,000,3.16
2013-01-25,3.20,3.20,3.15,3.16,000,3.16
2013-01-24,3.17,3.17,3.16,3.17,300,3.17
2013-01-23,3.21,3.30,3.21,3.26,200,3.26
2013-01-22,3.40,3.40,3.40,3.40,400,3.40
2013-01-21,3.35,3.35,3.35,3.35,800,3.35
2013-01-18,3.35,3.35,3.35,3.35,000,3.35
2013-01-17,3.35,3.35,3.35,3.35,500,3.35
2013-01-16,3.30,3.30,3.30,3.30,000,3.30
2013-01-15,3.30,3.30,3.30,3.30,900,3.30
2013-01-14,3.40,3.40,3.40,3.40,1200,3.40
2013-01-11,3.35,3.35,3.35,3.35,000,3.35
2013-01-10,3.35,3.35,3.35,3.35,600,3.35
2013-01-09,3.41,3.41,3.41,3.41,200,3.41
2013-01-08,3.50,3.58,3.50,3.56,4300,3.56
2013-01-07,3.31,3.40,3.31,3.40,2000,3.40
2013-01-04,3.25,3.25,3.25,3.25,600,3.25
2013-01-03,3.15,3.15,3.15,3.15,1200,3.15
2013-01-02,3.07,3.07,3.07,3.07,1000,3.07
2013-01-01,3.03,3.03,3.03,3.03,000,3.03
