Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,3.00,3.00,3.00,3.00,100,3.00
2013-05-22,3.00,3.00,3.00,3.00,100,3.00
2013-05-21,3.00,3.00,3.00,3.00,100,3.00
2013-05-20,3.00,3.00,3.00,3.00,100,3.00
2013-05-17,2.98,2.98,2.98,2.98,100,2.98
2013-05-16,2.99,2.99,2.77,2.77,300,2.77
2013-05-15,2.70,2.99,2.70,2.99,300,2.99
2013-05-14,3.00,3.00,3.00,3.00,100,3.00
2013-05-13,2.99,2.99,2.99,2.99,100,2.99
2013-05-10,3.00,3.00,3.00,3.00,100,3.00
2013-05-09,3.00,3.00,2.90,2.90,200,2.90
2013-05-08,3.00,3.00,3.00,3.00,100,3.00
2013-05-07,2.97,2.97,2.97,2.97,000,2.97
2013-05-06,2.97,2.97,2.97,2.97,000,2.97
2013-05-03,2.97,2.97,2.97,2.97,000,2.97
2013-05-02,2.97,2.97,2.97,2.97,100,2.97
2013-05-01,2.70,2.70,2.70,2.70,000,2.70
2013-04-30,3.00,3.00,2.70,2.70,600,2.70
2013-04-29,3.00,3.00,3.00,3.00,100,3.00
2013-04-26,3.00,3.00,3.00,3.00,100,3.00
2013-04-25,2.90,2.90,2.90,2.90,100,2.90
2013-04-24,3.00,3.00,2.70,2.70,300,2.70
2013-04-23,2.70,3.00,2.70,3.00,200,3.00
2013-04-22,3.00,3.00,3.00,3.00,100,3.00
2013-04-19,3.00,3.00,3.00,3.00,100,3.00
2013-04-18,2.99,3.00,2.88,2.88,300,2.88
2013-04-17,2.90,2.90,2.90,2.90,100,2.90
2013-04-16,3.00,3.00,2.90,2.90,200,2.90
2013-04-15,3.00,3.00,3.00,3.00,100,3.00
2013-04-12,3.00,3.00,3.00,3.00,100,3.00
2013-04-11,2.98,2.98,2.98,2.98,100,2.98
2013-04-10,3.00,3.00,3.00,3.00,100,3.00
2013-04-09,2.75,2.75,2.75,2.75,100,2.75
2013-04-08,3.00,3.00,2.70,2.70,400,2.70
2013-04-05,3.00,3.00,3.00,3.00,100,3.00
2013-04-04,3.00,3.00,3.00,3.00,100,3.00
2013-04-03,3.00,3.00,3.00,3.00,100,3.00
2013-04-02,3.00,3.00,3.00,3.00,000,3.00
2013-04-01,3.00,3.00,3.00,3.00,000,3.00
2013-03-29,3.00,3.00,3.00,3.00,000,3.00
2013-03-28,3.00,3.00,3.00,3.00,100,3.00
2013-03-27,3.00,3.00,3.00,3.00,100,3.00
2013-03-26,3.00,3.00,3.00,3.00,100,3.00
2013-03-25,3.00,3.00,3.00,3.00,000,3.00
2013-03-22,3.00,3.00,3.00,3.00,100,3.00
2013-03-21,3.00,3.00,3.00,3.00,100,3.00
2013-03-20,3.00,3.00,3.00,3.00,100,3.00
2013-03-19,3.00,3.00,3.00,3.00,100,3.00
2013-03-18,3.00,3.00,3.00,3.00,000,3.00
2013-03-15,3.00,3.00,3.00,3.00,100,3.00
2013-03-14,3.00,3.00,2.77,2.77,200,2.77
2013-03-13,3.00,3.00,3.00,3.00,100,3.00
2013-03-12,3.00,3.00,3.00,3.00,100,3.00
2013-03-11,2.99,2.99,2.99,2.99,100,2.99
2013-03-08,2.97,2.97,2.97,2.97,100,2.97
2013-03-07,2.70,2.70,2.70,2.70,500,2.70
2013-03-06,3.00,3.00,3.00,3.00,100,3.00
2013-03-05,3.00,3.00,3.00,3.00,100,3.00
2013-03-04,3.00,3.00,3.00,3.00,100,3.00
2013-03-01,3.00,3.00,3.00,3.00,100,3.00
2013-02-28,3.00,3.00,3.00,3.00,100,3.00
2013-02-27,3.00,3.00,3.00,3.00,100,3.00
2013-02-26,3.00,3.00,3.00,3.00,000,3.00
2013-02-25,3.00,3.00,3.00,3.00,100,3.00
2013-02-22,3.00,3.00,3.00,3.00,100,3.00
2013-02-21,3.00,3.00,3.00,3.00,000,3.00
2013-02-20,3.00,3.00,3.00,3.00,100,3.00
2013-02-19,3.00,3.00,3.00,3.00,100,3.00
2013-02-18,3.00,3.00,3.00,3.00,000,3.00
2013-02-15,3.00,3.00,3.00,3.00,100,3.00
2013-02-14,3.00,3.00,3.00,3.00,100,3.00
2013-02-13,3.00,3.00,3.00,3.00,000,3.00
2013-02-12,3.00,3.00,3.00,3.00,100,3.00
2013-02-11,3.00,3.00,3.00,3.00,100,3.00
2013-02-08,3.00,3.00,3.00,3.00,000,3.00
2013-02-07,3.00,3.00,3.00,3.00,100,3.00
2013-02-06,2.95,2.95,2.87,2.87,100,2.87
2013-02-05,3.00,3.00,2.95,2.95,100,2.95
2013-02-04,2.96,2.96,2.96,2.96,100,2.96
2013-02-01,3.00,3.00,3.00,3.00,100,3.00
2013-01-31,2.95,2.95,2.95,2.95,100,2.95
2013-01-30,2.89,2.89,2.89,2.89,100,2.89
2013-01-29,2.90,2.90,2.90,2.90,100,2.90
2013-01-28,2.90,2.90,2.90,2.90,100,2.90
2013-01-25,2.95,2.95,2.70,2.70,400,2.70
2013-01-24,3.00,3.00,3.00,3.00,100,3.00
2013-01-23,3.00,3.00,2.85,2.85,3500,2.85
2013-01-22,3.00,3.00,3.00,3.00,100,3.00
2013-01-21,2.70,3.00,2.70,3.00,200,3.00
2013-01-18,3.00,3.00,3.00,3.00,100,3.00
2013-01-17,3.00,3.00,3.00,3.00,100,3.00
2013-01-16,2.94,2.94,2.94,2.94,000,2.94
2013-01-15,2.94,2.94,2.94,2.94,1500,2.94
2013-01-14,3.00,3.00,2.68,2.68,400,2.68
2013-01-11,2.97,2.97,2.97,2.97,100,2.97
2013-01-10,3.00,3.00,2.70,2.70,200,2.70
2013-01-09,3.00,3.00,3.00,3.00,100,3.00
2013-01-08,2.91,2.91,2.91,2.91,100,2.91
2013-01-07,2.91,2.91,2.91,2.91,100,2.91
