Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.66,0.66,0.66,0.66,16800,0.66
2013-05-22,0.65,0.67,0.65,0.66,10800,0.66
2013-05-21,0.50,0.57,0.50,0.56,7100,0.56
2013-05-20,0.50,0.52,0.50,0.51,8100,0.51
2013-05-17,0.45,0.50,0.45,0.50,12900,0.50
2013-05-16,0.45,0.45,0.45,0.45,10000,0.45
2013-05-15,0.44,0.47,0.41,0.46,6800,0.46
2013-05-14,0.45,0.45,0.45,0.45,600,0.45
2013-05-13,0.47,0.47,0.47,0.47,4600,0.47
2013-05-10,0.44,0.44,0.44,0.44,1300,0.44
2013-05-09,0.40,0.47,0.40,0.44,2400,0.44
2013-05-08,0.40,0.44,0.40,0.40,12400,0.40
2013-05-07,0.39,0.39,0.39,0.39,000,0.39
2013-05-06,0.39,0.39,0.39,0.39,000,0.39
2013-05-03,0.39,0.39,0.39,0.39,000,0.39
2013-05-02,0.44,0.44,0.38,0.39,2900,0.39
2013-05-01,0.37,0.37,0.37,0.37,000,0.37
2013-04-30,0.37,0.37,0.37,0.37,5900,0.37
2013-04-29,0.38,0.38,0.36,0.37,3900,0.37
2013-04-26,0.42,0.42,0.42,0.42,2400,0.42
2013-04-25,0.42,0.42,0.42,0.42,000,0.42
2013-04-24,0.45,0.45,0.44,0.45,2000,0.45
2013-04-23,0.60,0.60,0.44,0.44,1500,0.44
2013-04-22,0.54,0.54,0.54,0.54,000,0.54
2013-04-19,0.45,0.46,0.45,0.45,1300,0.45
2013-04-18,0.44,0.44,0.44,0.44,500,0.44
2013-04-17,0.44,0.44,0.44,0.44,8200,0.44
2013-04-16,0.36,0.42,0.36,0.41,500,0.41
2013-04-15,0.39,0.39,0.39,0.39,1900,0.39
2013-04-12,0.38,0.38,0.38,0.38,000,0.38
2013-04-11,0.38,0.40,0.38,0.38,2900,0.38
2013-04-10,0.36,0.45,0.36,0.42,7600,0.42
2013-04-09,0.38,0.38,0.38,0.38,400,0.38
2013-04-08,0.35,0.40,0.35,0.38,2000,0.38
2013-04-05,0.43,0.43,0.35,0.38,900,0.38
2013-04-04,0.43,0.43,0.43,0.43,100,0.43
2013-04-03,0.47,0.47,0.41,0.45,600,0.45
2013-04-02,0.47,0.47,0.46,0.47,14400,0.47
2013-04-01,0.39,0.39,0.39,0.39,000,0.39
2013-03-29,0.39,0.39,0.39,0.39,000,0.39
2013-03-28,0.38,0.41,0.38,0.39,6400,0.39
2013-03-27,0.38,0.39,0.38,0.39,2300,0.39
2013-03-26,0.47,0.47,0.47,0.47,5000,0.47
2013-03-25,0.47,0.47,0.47,0.47,000,0.47
2013-03-22,0.48,0.48,0.47,0.47,1200,0.47
2013-03-21,0.43,0.43,0.43,0.43,7000,0.43
2013-03-20,0.50,0.50,0.47,0.48,9600,0.48
2013-03-19,0.50,0.51,0.50,0.51,13500,0.51
2013-03-18,0.51,0.51,0.51,0.51,000,0.51
2013-03-15,0.51,0.51,0.51,0.51,2100,0.51
2013-03-14,0.56,0.56,0.47,0.51,1900,0.51
2013-03-13,0.56,0.56,0.56,0.56,700,0.56
2013-03-12,0.56,0.57,0.53,0.56,3500,0.56
2013-03-11,0.56,0.56,0.56,0.56,200,0.56
2013-03-08,0.60,0.60,0.56,0.58,4600,0.58
2013-03-07,0.60,0.60,0.59,0.60,17000,0.60
2013-03-06,0.52,0.52,0.52,0.52,000,0.52
2013-03-05,0.52,0.52,0.51,0.52,500,0.52
