Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.34,0.34,0.34,0.34,1900,0.34
2013-05-22,0.34,0.34,0.34,0.34,12600,0.34
2013-05-21,0.34,0.34,0.33,0.34,28100,0.34
2013-05-20,0.33,0.34,0.33,0.34,3300,0.34
2013-05-17,0.32,0.36,0.32,0.35,6100,0.35
2013-05-16,0.38,0.38,0.38,0.38,000,0.38
2013-05-15,0.39,0.39,0.38,0.38,1300,0.38
2013-05-14,0.36,0.36,0.35,0.35,22700,0.35
2013-05-13,0.39,0.39,0.36,0.36,1000,0.36
2013-05-10,0.38,0.38,0.38,0.38,000,0.38
2013-05-09,0.33,0.41,0.32,0.38,14600,0.38
2013-05-08,0.33,0.35,0.33,0.35,2600,0.35
2013-05-07,0.32,0.32,0.32,0.32,000,0.32
2013-05-06,0.32,0.32,0.32,0.32,000,0.32
2013-05-03,0.32,0.32,0.32,0.32,000,0.32
2013-05-02,0.32,0.32,0.32,0.32,1000,0.32
2013-05-01,0.33,0.33,0.33,0.33,000,0.33
2013-04-30,0.32,0.33,0.32,0.33,1100,0.33
2013-04-29,0.34,0.35,0.33,0.34,5400,0.34
2013-04-26,0.34,0.35,0.34,0.34,3600,0.34
2013-04-25,0.35,0.35,0.35,0.35,2900,0.35
2013-04-24,0.34,0.36,0.34,0.35,2500,0.35
2013-04-23,0.35,0.35,0.35,0.35,000,0.35
2013-04-22,0.34,0.34,0.34,0.34,8000,0.34
2013-04-19,0.34,0.34,0.34,0.34,5900,0.34
2013-04-18,0.36,0.36,0.34,0.34,3500,0.34
2013-04-17,0.33,0.34,0.33,0.34,3600,0.34
2013-04-16,0.34,0.34,0.34,0.34,000,0.34
2013-04-15,0.34,0.34,0.34,0.34,000,0.34
2013-04-12,0.33,0.34,0.33,0.34,500,0.34
2013-04-11,0.33,0.33,0.33,0.33,2000,0.33
2013-04-10,0.33,0.33,0.33,0.33,000,0.33
2013-04-09,0.33,0.33,0.33,0.33,200,0.33
2013-04-08,0.31,0.34,0.31,0.33,9600,0.33
2013-04-05,0.34,0.34,0.34,0.34,2000,0.34
2013-04-04,0.35,0.35,0.34,0.34,4100,0.34
2013-04-03,0.37,0.37,0.37,0.37,000,0.37
2013-04-02,0.37,0.37,0.37,0.37,000,0.37
2013-04-01,0.37,0.37,0.37,0.37,000,0.37
2013-03-29,0.37,0.37,0.37,0.37,000,0.37
2013-03-28,0.37,0.37,0.37,0.37,9400,0.37
2013-03-27,0.39,0.39,0.39,0.39,000,0.39
2013-03-26,0.36,0.39,0.36,0.39,300,0.39
2013-03-25,0.36,0.36,0.36,0.36,000,0.36
2013-03-22,0.36,0.36,0.36,0.36,000,0.36
2013-03-21,0.36,0.36,0.36,0.36,000,0.36
2013-03-20,0.36,0.36,0.36,0.36,1500,0.36
2013-03-19,0.37,0.38,0.35,0.36,15000,0.36
2013-03-18,0.37,0.37,0.37,0.37,000,0.37
2013-03-15,0.37,0.37,0.37,0.37,1700,0.37
2013-03-14,0.36,0.38,0.36,0.38,1000,0.38
2013-03-13,0.38,0.38,0.38,0.38,000,0.38
2013-03-12,0.38,0.39,0.38,0.38,8800,0.38
2013-03-11,0.37,0.37,0.37,0.37,000,0.37
2013-03-08,0.37,0.38,0.36,0.37,3000,0.37
2013-03-07,0.37,0.38,0.35,0.37,15600,0.37
2013-03-06,0.36,0.36,0.36,0.36,300,0.36
2013-03-05,0.36,0.38,0.36,0.37,7800,0.37
2013-03-04,0.37,0.38,0.36,0.36,7100,0.36
2013-03-01,0.39,0.40,0.39,0.40,1100,0.40
2013-02-28,0.37,0.43,0.37,0.42,24100,0.42
2013-02-27,0.40,0.40,0.40,0.40,000,0.40
2013-02-26,0.39,0.40,0.39,0.40,6500,0.40
2013-02-25,0.40,0.41,0.40,0.40,7400,0.40
2013-02-22,0.40,0.41,0.40,0.40,7400,0.40
2013-02-21,0.39,0.39,0.38,0.39,6800,0.39
2013-02-20,0.38,0.39,0.38,0.38,10400,0.38
2013-02-19,0.39,0.39,0.39,0.39,000,0.39
2013-02-18,0.38,0.38,0.38,0.38,100,0.38
2013-02-15,0.38,0.41,0.38,0.41,4500,0.41
2013-02-14,0.44,0.44,0.41,0.41,3600,0.41
2013-02-13,0.38,0.38,0.38,0.38,200,0.38
2013-02-12,0.38,0.38,0.38,0.38,000,0.38
2013-02-11,0.41,0.41,0.38,0.38,3200,0.38
2013-02-08,0.39,0.39,0.39,0.39,1500,0.39
2013-02-07,0.37,0.38,0.37,0.38,2500,0.38
2013-02-06,0.39,0.41,0.39,0.41,7900,0.41
2013-02-05,0.38,0.39,0.33,0.39,17800,0.39
2013-02-04,0.38,0.39,0.33,0.37,17600,0.37
2013-02-01,0.38,0.40,0.38,0.40,2800,0.40
2013-01-31,0.41,0.41,0.40,0.40,6300,0.40
