Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,5.01,5.01,5.01,5.01,000,5.01
2013-05-22,5.01,5.01,5.01,5.01,000,5.01
2013-05-21,5.01,5.01,5.01,5.01,000,5.01
2013-05-20,5.01,5.01,5.01,5.01,000,5.01
2013-05-17,5.01,5.01,5.01,5.01,000,5.01
2013-05-16,5.01,5.01,5.01,5.01,000,5.01
2013-05-15,5.01,5.01,5.01,5.01,000,5.01
2013-05-14,5.01,5.01,5.01,5.01,000,5.01
2013-05-13,5.01,5.01,5.01,5.01,000,5.01
2013-05-10,5.01,5.01,5.01,5.01,000,5.01
2013-05-09,5.01,5.01,5.01,5.01,000,5.01
2013-05-08,5.01,5.01,5.01,5.01,000,5.01
2013-05-07,5.01,5.01,5.01,5.01,000,5.01
2013-05-06,5.01,5.01,5.01,5.01,000,5.01
2013-05-03,5.01,5.01,5.01,5.01,000,5.01
2013-05-02,5.01,5.01,5.01,5.01,000,5.01
2013-05-01,5.01,5.01,5.01,5.01,000,5.01
2013-04-30,5.01,5.01,5.01,5.01,000,5.01
2013-04-29,5.01,5.01,5.01,5.01,000,5.01
2013-04-26,5.01,5.01,5.01,5.01,000,5.01
2013-04-25,5.01,5.01,5.01,5.01,000,5.01
2013-04-24,5.01,5.01,5.01,5.01,000,5.01
2013-04-23,5.01,5.01,5.01,5.01,000,5.01
2013-04-22,5.01,5.01,5.01,5.01,000,5.01
2013-04-19,5.01,5.01,5.01,5.01,000,5.01
2013-04-18,5.01,5.01,5.01,5.01,000,5.01
2013-04-17,5.01,5.01,5.01,5.01,000,5.01
2013-04-16,5.01,5.01,5.01,5.01,000,5.01
2013-04-15,5.01,5.01,5.01,5.01,000,5.01
2013-04-12,5.01,5.01,5.01,5.01,000,5.01
2013-04-11,5.01,5.01,5.01,5.01,000,5.01
2013-04-10,5.01,5.01,5.01,5.01,000,5.01
2013-04-09,5.01,5.01,5.01,5.01,000,5.01
2013-04-08,5.01,5.01,5.01,5.01,000,5.01
2013-04-05,5.01,5.01,5.01,5.01,000,5.01
2013-04-04,5.01,5.01,5.01,5.01,000,5.01
2013-04-03,5.01,5.01,5.01,5.01,000,5.01
2013-04-02,5.01,5.01,5.01,5.01,000,5.01
2013-04-01,5.01,5.01,5.01,5.01,000,5.01
2013-03-29,5.01,5.01,5.01,5.01,000,5.01
2013-03-28,5.01,5.01,5.01,5.01,000,5.01
2013-03-27,5.01,5.01,5.01,5.01,000,5.01
2013-03-26,5.01,5.01,5.01,5.01,000,5.01
2013-03-25,5.01,5.01,5.01,5.01,000,5.01
2013-03-22,5.01,5.01,5.01,5.01,000,5.01
2013-03-21,5.01,5.01,5.01,5.01,000,5.01
2013-03-20,5.01,5.01,5.01,5.01,000,5.01
2013-03-19,5.01,5.01,5.01,5.01,000,5.01
2013-03-18,5.01,5.01,5.01,5.01,000,5.01
2013-03-15,5.01,5.01,5.01,5.01,000,5.01
2013-03-14,5.01,5.01,5.01,5.01,000,5.01
2013-03-13,5.01,5.01,5.01,5.01,000,5.01
2013-03-12,5.01,5.01,5.01,5.01,000,5.01
2013-03-11,5.01,5.01,5.01,5.01,000,5.01
2013-03-08,5.01,5.01,5.01,5.01,000,5.01
2013-03-07,5.01,5.01,5.01,5.01,000,5.01
2013-03-06,5.01,5.01,5.01,5.01,000,5.01
2013-03-05,5.01,5.01,5.01,5.01,000,5.01
2013-03-04,5.01,5.01,5.01,5.01,000,5.01
2013-03-01,5.01,5.01,5.01,5.01,000,5.01
2013-02-28,5.01,5.01,5.01,5.01,000,5.01
2013-02-27,5.01,5.01,5.01,5.01,000,5.01
2013-02-26,5.01,5.01,5.01,5.01,000,5.01
2013-02-25,5.01,5.01,5.01,5.01,000,5.01
2013-02-22,5.01,5.01,5.01,5.01,000,5.01
2013-02-21,5.01,5.01,5.01,5.01,000,5.01
2013-02-20,5.01,5.01,5.01,5.01,000,5.01
2013-02-19,5.01,5.01,5.01,5.01,000,5.01
2013-02-18,5.01,5.01,5.01,5.01,000,5.01
2013-02-15,5.01,5.01,5.01,5.01,000,5.01
2013-02-14,5.01,5.01,5.01,5.01,000,5.01
