Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.48,0.48,0.48,0.48,100,0.48
2013-05-22,0.44,0.44,0.44,0.44,000,0.44
2013-05-21,0.44,0.44,0.44,0.44,000,0.44
2013-05-20,0.45,0.45,0.44,0.44,1200,0.44
2013-05-17,0.46,0.46,0.46,0.46,000,0.46
2013-05-16,0.46,0.46,0.46,0.46,000,0.46
2013-05-15,0.45,0.50,0.45,0.46,2000,0.46
2013-05-14,0.43,0.49,0.43,0.49,300,0.49
2013-05-13,0.46,0.46,0.46,0.46,5000,0.46
2013-05-10,0.49,0.49,0.48,0.48,9000,0.48
2013-05-09,0.50,0.50,0.47,0.47,6200,0.47
2013-05-08,0.51,0.51,0.51,0.51,5000,0.51
2013-05-07,0.47,0.47,0.47,0.47,000,0.47
2013-05-06,0.47,0.47,0.47,0.47,000,0.47
2013-05-03,0.47,0.47,0.47,0.47,000,0.47
2013-05-02,0.47,0.47,0.47,0.47,100,0.47
2013-05-01,0.52,0.52,0.52,0.52,000,0.52
2013-04-30,0.52,0.52,0.52,0.52,000,0.52
2013-04-29,0.52,0.52,0.52,0.52,000,0.52
2013-04-26,0.52,0.52,0.52,0.52,000,0.52
2013-04-25,0.48,0.52,0.48,0.52,1900,0.52
2013-04-24,0.53,0.53,0.53,0.53,000,0.53
2013-04-23,0.53,0.53,0.53,0.53,000,0.53
2013-04-22,0.53,0.53,0.53,0.53,000,0.53
2013-04-19,0.53,0.53,0.53,0.53,100,0.53
2013-04-18,0.50,0.50,0.50,0.50,000,0.50
2013-04-17,0.47,0.50,0.47,0.50,200,0.50
2013-04-16,0.48,0.48,0.48,0.48,000,0.48
2013-04-15,0.48,0.48,0.48,0.48,000,0.48
2013-04-12,0.47,0.48,0.47,0.48,1000,0.48
2013-04-11,0.48,0.48,0.48,0.48,4000,0.48
2013-04-10,0.46,0.46,0.46,0.46,1000,0.46
2013-04-09,0.44,0.44,0.44,0.44,100,0.44
2013-04-08,0.48,0.48,0.48,0.48,000,0.48
2013-04-05,0.48,0.48,0.48,0.48,000,0.48
2013-04-04,0.45,0.45,0.45,0.45,6600,0.45
2013-04-03,0.48,0.48,0.48,0.48,000,0.48
2013-04-02,0.48,0.48,0.48,0.48,100,0.48
2013-04-01,0.44,0.44,0.44,0.44,000,0.44
2013-03-29,0.44,0.44,0.44,0.44,000,0.44
2013-03-28,0.44,0.44,0.44,0.44,000,0.44
2013-03-27,0.44,0.44,0.44,0.44,000,0.44
2013-03-26,0.44,0.44,0.44,0.44,2000,0.44
2013-03-25,0.46,0.46,0.46,0.46,000,0.46
2013-03-22,0.46,0.46,0.46,0.46,000,0.46
2013-03-21,0.46,0.46,0.46,0.46,000,0.46
2013-03-20,0.46,0.46,0.46,0.46,1000,0.46
2013-03-19,0.47,0.47,0.47,0.47,2000,0.47
2013-03-18,0.51,0.51,0.51,0.51,000,0.51
2013-03-15,0.51,0.51,0.51,0.51,000,0.51
2013-03-14,0.51,0.51,0.51,0.51,1900,0.51
2013-03-13,0.44,0.50,0.44,0.50,200,0.50
2013-03-12,0.49,0.49,0.49,0.49,100,0.49
2013-03-11,0.54,0.54,0.54,0.54,000,0.54
2013-03-08,0.50,0.54,0.50,0.54,1400,0.54
2013-03-07,0.50,0.50,0.50,0.50,3200,0.50
2013-03-06,0.53,0.53,0.53,0.53,000,0.53
2013-03-05,0.53,0.53,0.53,0.53,100,0.53
2013-03-04,0.55,0.55,0.55,0.55,000,0.55
2013-03-01,0.55,0.55,0.55,0.55,000,0.55
2013-02-28,0.55,0.55,0.55,0.55,000,0.55
2013-02-27,0.50,0.50,0.50,0.50,000,0.50
2013-02-26,0.50,0.50,0.50,0.50,500,0.50
2013-02-25,0.50,0.54,0.50,0.54,100,0.54
2013-02-22,0.54,0.58,0.54,0.58,200,0.58
2013-02-21,0.58,0.58,0.58,0.58,000,0.58
