Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.03,0.03,0.03,0.03,000,0.03
2013-05-22,0.03,0.03,0.03,0.03,000,0.03
2013-05-21,0.03,0.03,0.03,0.03,000,0.03
2013-05-20,0.03,0.03,0.03,0.03,000,0.03
2013-05-17,0.03,0.03,0.03,0.03,000,0.03
2013-05-16,0.03,0.03,0.03,0.03,000,0.03
2013-05-15,0.03,0.03,0.03,0.03,000,0.03
2013-05-14,0.03,0.03,0.03,0.03,000,0.03
2013-05-13,0.03,0.03,0.03,0.03,000,0.03
2013-05-10,0.03,0.03,0.03,0.03,000,0.03
2013-05-09,0.03,0.03,0.03,0.03,000,0.03
2013-05-08,0.03,0.03,0.03,0.03,000,0.03
2013-05-07,0.03,0.03,0.03,0.03,000,0.03
2013-05-06,0.03,0.03,0.03,0.03,000,0.03
2013-05-03,0.03,0.03,0.03,0.03,000,0.03
2013-05-02,0.03,0.03,0.03,0.03,000,0.03
2013-05-01,0.03,0.03,0.03,0.03,000,0.03
2013-04-30,0.03,0.03,0.03,0.03,000,0.03
2013-04-29,0.03,0.03,0.03,0.03,000,0.03
2013-04-26,0.03,0.03,0.03,0.03,000,0.03
2013-04-25,0.03,0.03,0.03,0.03,000,0.03
2013-04-24,0.03,0.03,0.03,0.03,000,0.03
2013-04-23,0.03,0.03,0.03,0.03,000,0.03
2013-04-22,0.03,0.03,0.03,0.03,000,0.03
2013-04-19,0.03,0.03,0.03,0.03,000,0.03
2013-04-18,0.03,0.03,0.03,0.03,000,0.03
2013-04-17,0.03,0.03,0.03,0.03,000,0.03
2013-04-16,0.03,0.03,0.03,0.03,000,0.03
2013-04-15,0.03,0.03,0.03,0.03,000,0.03
2013-04-12,0.03,0.03,0.03,0.03,000,0.03
2013-04-11,0.03,0.03,0.03,0.03,000,0.03
2013-04-10,0.03,0.03,0.03,0.03,000,0.03
2013-04-09,0.03,0.03,0.03,0.03,000,0.03
2013-04-08,0.03,0.03,0.03,0.03,000,0.03
2013-04-05,0.03,0.03,0.03,0.03,000,0.03
2013-04-04,0.03,0.03,0.03,0.03,000,0.03
2013-04-03,0.03,0.03,0.03,0.03,000,0.03
2013-04-02,0.03,0.03,0.03,0.03,000,0.03
2013-04-01,0.03,0.03,0.03,0.03,000,0.03
2013-03-29,0.03,0.03,0.03,0.03,000,0.03
2013-03-28,0.03,0.03,0.03,0.03,6400,0.03
2013-03-27,0.03,0.03,0.02,0.03,1000,0.03
2013-03-26,0.03,0.03,0.03,0.03,000,0.03
2013-03-25,0.03,0.03,0.03,0.03,000,0.03
2013-03-22,0.03,0.03,0.03,0.03,3500,0.03
2013-03-21,0.03,0.03,0.03,0.03,000,0.03
2013-03-20,0.03,0.03,0.03,0.03,000,0.03
2013-03-19,0.03,0.03,0.03,0.03,5700,0.03
2013-03-18,0.03,0.03,0.03,0.03,000,0.03
2013-03-15,0.02,0.03,0.02,0.03,6100,0.03
2013-03-14,0.03,0.03,0.03,0.03,4000,0.03
2013-03-13,0.02,0.03,0.02,0.02,2200,0.02
2013-03-12,0.02,0.02,0.02,0.02,200,0.02
2013-03-11,0.02,0.02,0.02,0.02,4100,0.02
2013-03-08,0.02,0.02,0.02,0.02,1500,0.02
2013-03-07,0.02,0.02,0.02,0.02,000,0.02
2013-03-06,0.02,0.02,0.02,0.02,1100,0.02
2013-03-05,0.02,0.02,0.02,0.02,000,0.02
2013-03-04,0.02,0.02,0.02,0.02,6100,0.02
2013-03-01,0.03,0.03,0.02,0.02,25300,0.02
2013-02-28,0.03,0.03,0.03,0.03,700,0.03
2013-02-27,0.03,0.03,0.02,0.03,5200,0.03
2013-02-26,0.02,0.02,0.02,0.02,700,0.02
2013-02-25,0.02,0.02,0.02,0.02,9200,0.02
2013-02-22,0.03,0.03,0.02,0.03,24300,0.03
2013-02-21,0.03,0.03,0.03,0.03,30900,0.03
2013-02-20,0.03,0.03,0.03,0.03,38400,0.03
2013-02-19,0.03,0.03,0.03,0.03,3000,0.03
2013-02-18,0.03,0.03,0.03,0.03,94700,0.03
2013-02-15,0.03,0.03,0.03,0.03,25800,0.03
2013-02-14,0.03,0.03,0.03,0.03,94000,0.03
2013-02-13,0.04,0.04,0.03,0.04,18200,0.04
2013-02-12,0.04,0.04,0.04,0.04,17000,0.04
2013-02-11,0.04,0.04,0.04,0.04,35500,0.04
2013-02-08,0.04,0.04,0.04,0.04,35600,0.04
2013-02-07,0.03,0.03,0.03,0.03,44400,0.03
2013-02-06,0.03,0.03,0.03,0.03,1000,0.03
2013-02-05,0.03,0.03,0.03,0.03,400,0.03
2013-02-04,0.04,0.04,0.03,0.04,54200,0.04
2013-02-01,0.03,0.04,0.03,0.03,73900,0.03
2013-01-31,0.03,0.03,0.03,0.03,9900,0.03
2013-01-30,0.03,0.03,0.03,0.03,11300,0.03
2013-01-29,0.03,0.03,0.03,0.03,16600,0.03
2013-01-28,0.04,0.04,0.03,0.03,17400,0.03
2013-01-25,0.04,0.04,0.04,0.04,3500,0.04
2013-01-24,0.04,0.04,0.03,0.03,8800,0.03
2013-01-23,0.04,0.04,0.04,0.04,12100,0.04
2013-01-22,0.04,0.04,0.04,0.04,112600,0.04
2013-01-21,0.04,0.04,0.04,0.04,106500,0.04
2013-01-18,0.04,0.04,0.03,0.03,54400,0.03
2013-01-17,0.03,0.04,0.03,0.03,124800,0.03
2013-01-16,0.04,0.04,0.04,0.04,57000,0.04
2013-01-15,0.04,0.04,0.04,0.04,24500,0.04
2013-01-14,0.05,0.05,0.05,0.05,1600,0.05
2013-01-11,0.07,0.07,0.07,0.07,100,0.07
2013-01-10,0.09,0.09,0.09,0.09,3000,0.09
2013-01-09,0.08,0.09,0.08,0.09,97200,0.09
2013-01-08,0.05,0.07,0.05,0.07,184000,0.07
2013-01-07,0.05,0.05,0.05,0.05,12000,0.05
2013-01-04,0.05,0.05,0.05,0.05,124300,0.05
2013-01-03,0.04,0.05,0.04,0.05,28500,0.05
2013-01-02,0.04,0.05,0.04,0.04,162300,0.04
2013-01-01,0.04,0.04,0.04,0.04,000,0.04
2012-12-31,0.04,0.04,0.04,0.04,000,0.04
2012-12-28,0.04,0.04,0.03,0.04,24100,0.04
2012-12-27,0.03,0.04,0.03,0.03,37700,0.03
2012-12-26,0.03,0.03,0.03,0.03,000,0.03
2012-12-25,0.03,0.03,0.03,0.03,000,0.03
2012-12-24,0.03,0.03,0.03,0.03,000,0.03
2012-12-21,0.03,0.04,0.03,0.03,14700,0.03
2012-12-20,0.03,0.03,0.03,0.03,4500,0.03
2012-12-19,0.03,0.03,0.03,0.03,25100,0.03
2012-12-18,0.03,0.03,0.03,0.03,3000,0.03
2012-12-17,0.03,0.04,0.03,0.04,63800,0.04
2012-12-14,0.03,0.03,0.03,0.03,50500,0.03
2012-12-13,0.03,0.03,0.03,0.03,5100,0.03
2012-12-12,0.03,0.03,0.03,0.03,153000,0.03
2012-12-11,0.03,0.03,0.03,0.03,5000,0.03
2012-12-10,0.03,0.03,0.03,0.03,3200,0.03
2012-12-07,0.03,0.03,0.03,0.03,15900,0.03
2012-12-06,0.03,0.03,0.03,0.03,20400,0.03
2012-12-05,0.03,0.03,0.03,0.03,000,0.03
2012-12-04,0.03,0.03,0.03,0.03,8500,0.03
2012-12-03,0.04,0.04,0.04,0.04,3000,0.04
2012-11-30,0.04,0.04,0.04,0.04,10000,0.04
2012-11-29,0.04,0.04,0.04,0.04,000,0.04
2012-11-28,0.04,0.04,0.04,0.04,100,0.04
2012-11-27,0.05,0.05,0.04,0.04,14600,0.04
2012-11-26,0.05,0.05,0.05,0.05,000,0.05
2012-11-23,0.05,0.05,0.05,0.05,000,0.05
2012-11-22,0.04,0.05,0.04,0.05,12000,0.05
