Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.20,0.20,0.20,0.20,1000,0.20
2013-05-22,0.22,0.22,0.20,0.20,3000,0.20
2013-05-21,0.20,0.21,0.20,0.20,6000,0.20
2013-05-20,0.20,0.20,0.20,0.20,500,0.20
2013-05-17,0.23,0.23,0.21,0.21,6000,0.21
2013-05-16,0.22,0.22,0.22,0.22,200,0.22
2013-05-15,0.21,0.21,0.21,0.21,000,0.21
2013-05-14,0.21,0.21,0.21,0.21,1300,0.21
2013-05-13,0.21,0.21,0.21,0.21,10000,0.21
2013-05-10,0.21,0.22,0.21,0.22,5600,0.22
2013-05-09,0.20,0.20,0.20,0.20,000,0.20
2013-05-08,0.20,0.20,0.20,0.20,000,0.20
2013-05-07,0.20,0.20,0.20,0.20,000,0.20
2013-05-06,0.20,0.20,0.20,0.20,000,0.20
2013-05-03,0.20,0.20,0.20,0.20,000,0.20
2013-05-02,0.20,0.20,0.20,0.20,000,0.20
2013-05-01,0.20,0.20,0.20,0.20,000,0.20
2013-04-30,0.20,0.20,0.20,0.20,000,0.20
2013-04-29,0.20,0.21,0.20,0.20,9000,0.20
2013-04-26,0.23,0.23,0.23,0.23,1800,0.23
2013-04-25,0.23,0.23,0.23,0.23,200,0.23
2013-04-24,0.25,0.25,0.25,0.25,100,0.25
2013-04-23,0.22,0.23,0.22,0.22,12900,0.22
2013-04-22,0.20,0.22,0.20,0.22,8900,0.22
2013-04-19,0.22,0.26,0.22,0.26,1200,0.26
2013-04-18,0.20,0.20,0.20,0.20,000,0.20
2013-04-17,0.20,0.20,0.20,0.20,5200,0.20
2013-04-16,0.21,0.21,0.21,0.21,2000,0.21
2013-04-15,0.30,0.30,0.22,0.22,2200,0.22
2013-04-12,0.23,0.23,0.23,0.23,3000,0.23
2013-04-11,0.28,0.28,0.28,0.28,100,0.28
2013-04-10,0.22,0.22,0.22,0.22,000,0.22
2013-04-09,0.22,0.22,0.22,0.22,1500,0.22
2013-04-08,0.20,0.21,0.20,0.21,2900,0.21
2013-04-05,0.25,0.25,0.25,0.25,000,0.25
2013-04-04,0.25,0.25,0.25,0.25,1000,0.25
2013-04-03,0.25,0.25,0.25,0.25,7500,0.25
2013-04-02,0.21,0.30,0.21,0.26,6500,0.26
2013-04-01,0.30,0.30,0.30,0.30,000,0.30
2013-03-29,0.30,0.30,0.30,0.30,000,0.30
2013-03-28,0.30,0.30,0.28,0.30,500,0.30
