Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.38,1.38,1.38,1.38,4100,1.38
2013-05-22,1.38,1.38,1.38,1.38,300,1.38
2013-05-21,1.40,1.40,1.38,1.38,300,1.38
2013-05-20,1.38,1.39,1.38,1.38,7900,1.38
2013-05-17,1.35,1.40,1.35,1.38,1800,1.38
2013-05-16,1.41,1.44,1.40,1.41,4000,1.41
2013-05-15,1.38,1.41,1.38,1.40,9900,1.40
2013-05-14,1.37,1.37,1.36,1.37,2700,1.37
2013-05-13,1.39,1.39,1.39,1.39,000,1.39
2013-05-10,1.40,1.40,1.38,1.39,1300,1.39
2013-05-09,1.44,1.44,1.44,1.44,400,1.44
2013-05-08,1.42,1.44,1.42,1.44,1300,1.44
2013-05-07,1.39,1.39,1.39,1.39,000,1.39
2013-05-06,1.39,1.39,1.39,1.39,000,1.39
2013-05-03,1.39,1.39,1.39,1.39,000,1.39
2013-05-02,1.35,1.43,1.35,1.39,15500,1.39
2013-05-01,1.28,1.28,1.28,1.28,000,1.28
2013-04-30,1.27,1.34,1.27,1.28,3200,1.28
2013-04-29,1.35,1.35,1.28,1.32,2000,1.32
2013-04-26,1.35,1.36,1.35,1.35,7000,1.35
2013-04-25,1.32,1.33,1.32,1.32,1600,1.32
2013-04-24,1.25,1.25,1.25,1.25,1000,1.25
2013-04-23,1.26,1.28,1.26,1.27,800,1.27
2013-04-22,1.36,1.36,1.36,1.36,2200,1.36
2013-04-19,1.30,1.30,1.30,1.30,700,1.30
2013-04-18,1.25,1.25,1.25,1.25,2100,1.25
2013-04-17,1.22,1.22,1.22,1.22,2000,1.22
2013-04-16,1.22,1.23,1.22,1.22,5600,1.22
2013-04-15,1.26,1.26,1.26,1.26,000,1.26
2013-04-12,1.23,1.38,1.23,1.33,1600,1.33
2013-04-11,1.21,1.33,1.21,1.31,3000,1.31
2013-04-10,1.21,1.21,1.21,1.21,5400,1.21
2013-04-09,1.20,1.22,1.20,1.21,1900,1.21
2013-04-08,1.20,1.20,1.20,1.20,200,1.20
2013-04-05,1.26,1.26,1.20,1.21,4500,1.21
2013-04-04,1.23,1.23,1.21,1.22,2400,1.22
2013-04-03,1.20,1.21,1.20,1.20,6000,1.20
2013-04-02,1.26,1.26,1.24,1.25,2300,1.25
2013-04-01,1.25,1.25,1.25,1.25,000,1.25
2013-03-29,1.25,1.25,1.25,1.25,000,1.25
2013-03-28,1.27,1.27,1.22,1.25,5600,1.25
2013-03-27,1.41,1.41,1.21,1.27,5500,1.27
2013-03-26,1.40,1.41,1.40,1.41,5900,1.41
2013-03-25,1.44,1.44,1.44,1.44,000,1.44
2013-03-22,1.44,1.44,1.44,1.44,000,1.44
2013-03-21,1.42,1.45,1.42,1.44,5700,1.44
2013-03-20,1.42,1.44,1.42,1.44,14600,1.44
2013-03-19,1.50,1.50,1.50,1.50,75400,1.50
2013-03-18,1.50,1.50,1.50,1.50,000,1.50
2013-03-15,1.50,1.50,1.50,1.50,5000,1.50
2013-03-14,1.51,1.51,1.50,1.51,2700,1.51
2013-03-13,1.53,1.53,1.53,1.53,2200,1.53
2013-03-12,1.50,1.53,1.50,1.51,12600,1.51
2013-03-11,1.50,1.50,1.50,1.50,3000,1.50
2013-03-08,1.51,1.51,1.51,1.51,1000,1.51
2013-03-07,1.52,1.52,1.50,1.50,1700,1.50
2013-03-06,1.50,1.55,1.50,1.54,13800,1.54
2013-03-05,1.50,1.50,1.50,1.50,300,1.50
2013-03-04,1.50,1.50,1.50,1.50,3000,1.50
2013-03-01,1.57,1.57,1.57,1.57,100,1.57
2013-02-28,1.57,1.57,1.57,1.57,11500,1.57
2013-02-27,1.54,1.54,1.54,1.54,500,1.54
2013-02-26,1.55,1.55,1.55,1.55,100,1.55
2013-02-25,1.60,1.60,1.56,1.57,7000,1.57
2013-02-22,1.56,1.56,1.56,1.56,1000,1.56
2013-02-21,1.54,1.54,1.54,1.54,18000,1.54
2013-02-20,1.57,1.58,1.57,1.58,6800,1.58
2013-02-19,1.50,1.56,1.50,1.55,400,1.55
2013-02-18,1.50,1.56,1.50,1.56,2000,1.56
2013-02-15,1.46,1.54,1.46,1.53,2400,1.53
2013-02-14,1.50,1.50,1.50,1.50,500,1.50
2013-02-13,1.44,1.47,1.44,1.44,2300,1.44
2013-02-12,1.50,1.50,1.44,1.49,3300,1.49
2013-02-11,1.55,1.55,1.50,1.52,3300,1.52
2013-02-08,1.56,1.56,1.50,1.55,2000,1.55
2013-02-07,1.55,1.55,1.55,1.55,12000,1.55
2013-02-06,1.55,1.55,1.51,1.52,2100,1.52
