Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.11,1.12,1.09,1.09,31700,1.09
2013-05-22,1.11,1.17,1.10,1.12,49900,1.12
2013-05-21,1.15,1.17,1.11,1.14,48500,1.14
2013-05-20,1.24,1.24,1.17,1.18,35000,1.18
2013-05-17,1.33,1.33,1.24,1.24,44900,1.24
2013-05-16,1.33,1.36,1.27,1.30,63300,1.30
2013-05-15,1.25,1.35,1.22,1.32,170600,1.32
2013-05-14,1.13,1.25,1.13,1.20,134400,1.20
2013-05-13,1.14,1.16,1.10,1.11,47800,1.11
2013-05-10,1.13,1.16,1.10,1.13,48700,1.13
2013-05-09,1.19,1.22,1.12,1.13,100100,1.13
2013-05-08,1.20,1.22,1.16,1.19,110300,1.19
2013-05-07,1.17,1.17,1.17,1.17,000,1.17
2013-05-06,1.17,1.17,1.17,1.17,000,1.17
2013-05-03,1.17,1.17,1.17,1.17,000,1.17
2013-05-02,1.11,1.20,1.11,1.17,19500,1.17
2013-05-01,1.15,1.15,1.15,1.15,000,1.15
2013-04-30,1.14,1.17,1.14,1.15,12400,1.15
2013-04-29,1.22,1.22,1.16,1.17,14600,1.17
2013-04-26,1.18,1.23,1.16,1.18,106300,1.18
2013-04-25,1.09,1.17,1.09,1.16,203600,1.16
2013-04-24,1.09,1.16,1.06,1.09,32400,1.09
2013-04-23,1.11,1.14,1.06,1.09,26500,1.09
2013-04-22,1.15,1.16,1.12,1.16,13100,1.16
2013-04-19,1.15,1.17,1.09,1.15,12600,1.15
2013-04-18,1.13,1.18,1.11,1.13,16000,1.13
2013-04-17,1.12,1.13,1.08,1.11,9100,1.11
2013-04-16,1.08,1.12,1.07,1.09,3200,1.09
2013-04-15,1.15,1.15,1.07,1.09,19400,1.09
2013-04-12,1.17,1.17,1.09,1.13,3600,1.13
2013-04-11,1.09,1.15,1.02,1.13,20700,1.13
2013-04-10,0.94,1.05,0.94,1.04,29400,1.04
2013-04-09,0.97,1.03,0.97,0.98,22500,0.98
2013-04-08,0.92,0.98,0.92,0.96,35200,0.96
2013-04-05,1.02,1.04,0.98,1.00,19600,1.00
2013-04-04,1.02,1.06,1.01,1.06,7400,1.06
2013-04-03,1.16,1.16,1.02,1.06,26800,1.06
2013-04-02,1.10,1.18,1.09,1.15,67500,1.15
2013-04-01,0.95,0.95,0.95,0.95,000,0.95
2013-03-29,0.95,0.95,0.95,0.95,000,0.95
2013-03-28,0.94,0.96,0.94,0.95,24900,0.95
2013-03-27,0.93,1.00,0.90,0.93,39800,0.93
2013-03-26,1.04,1.04,0.98,0.98,7800,0.98
2013-03-25,1.04,1.04,1.04,1.04,000,1.04
2013-03-22,0.98,1.04,0.98,1.04,13100,1.04
2013-03-21,0.98,1.02,0.98,1.00,46300,1.00
2013-03-20,1.00,1.05,0.97,1.00,81800,1.00
